	autosomal dominant Alport syndrome	transient bullous dermolysis of the newborn	generalized dominant dystrophic epidermolysis bullosa	pretibial dystrophic epidermolysis bullosa	epidermolysis bullosa with congenital localized absence of skin and deformity of nails	"Hematuria, benign familial"	holoprosencephaly 3	solitary median maxillary central incisor syndrome	schizencephaly	dystrophic epidermolysis bullosa pruriginosa	nonsyndromic congenital nail disorder 8	"microphthalmia, isolated, with coloboma 5"
positive regulation of sclerotome development	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0
laminin-1 binding	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0
stem cell development	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0
positive regulation of cerebellar granule cell precursor proliferation	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0
ventral spinal cord interneuron specification	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0
neuroblast proliferation	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0
formation of anatomical boundary	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0
primary prostatic bud elongation	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0
negative regulation of ureter smooth muscle cell differentiation	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0
positive regulation of kidney smooth muscle cell differentiation	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0
bud outgrowth involved in lung branching	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0
left lung development	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0
mesenchymal smoothened signaling pathway involved in prostate gland development	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0
negative regulation of kidney smooth muscle cell differentiation	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0
negative regulation of protein catabolic process	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0
"CD4-positive or CD8-positive, alpha-beta T cell lineage commitment"	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0
regulation of mesenchymal cell proliferation involved in prostate gland development	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0
positive regulation of skeletal muscle tissue development	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0
positive regulation of protein import into nucleus	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0
positive regulation of sprouting angiogenesis	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0
positive thymic T cell selection	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0
hindgut morphogenesis	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0
cellular response to lithium ion	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0
male genitalia morphogenesis	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0
positive regulation of oligodendrocyte differentiation	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0
positive regulation of striated muscle cell differentiation	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0
positive regulation of immature T cell proliferation in thymus	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0
positive regulation of hh target transcription factor activity	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0
metanephric mesenchymal cell proliferation involved in metanephros development	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0
positive regulation of oligodendrocyte progenitor proliferation	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0
epithelial cell proliferation involved in salivary gland morphogenesis	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0
dorsal/ventral neural tube patterning	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0
mesenchymal cell proliferation involved in lung development	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0
