	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_55	Chrna2_tdTpositive_cell_57	Chrna2_tdTpositive_cell_77	Gad2_tdTpositive_cell_18	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_48	Gad2_tdTpositive_cell_49	Gad2_tdTpositive_cell_64	Gad2_tdTpositive_cell_69	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_24	Htr3a_tdTpositive_cell_32	Htr3a_tdTpositive_cell_44	Htr3a_tdTpositive_cell_91	Ndnf_tdTpositive_cell_20	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_40	Nos1_tdTpositive_cell_45	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	PvalbF.Gad2_tdTpositive_cell_31	Rbp4_tdTpositive_cell_59	Rbp4_tdTpositive_cell_165	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_29	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_63	Sst_tdTpositive_cell_69	Sst_tdTpositive_cell_72	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Vip_tdTpositive_cell_30	Ntsr1_tdTpos_10cell_3	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Ero1lb	3.45	27.41	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.15	68.53	158.05	0.0	0.0	1.41	0.0	0.0	0.0	16.77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.91	0.0	0.0	0.0	0.95	0.0	0.0	0.0	9.93	17.89	21.58	0.0	2.17	30.03	0.0	0.0	0.0	31.62	1.78	0.0	0.0	0.0	0.0	0.0	9.47	28.44	0.0	0.39	2.15	8.38	4.16	5.59	3.3	2.28	15.1	14.1	15.52
Fam161b	1.37	2.7	1.96	3.29	2.0	2.28	6.26	62.6	4.34	0.76	6.85	147.94	8.28	2.89	52.12	3.85	2.69	3.76	1.83	3.37	2.49	1.15	3.05	1.48	2.43	3.43	2.45	2.13	1.57	2.16	2.27	1.95	3.26	1.67	2.18	5.49	2.41	3.23	2.12	2.33	1.43	12.32	2.21	10.9	2.65	1.61	2.1	13.64	3.64	22.83	0.67	31.08	5.56	1.1	29.57	2.79	5.89	11.22	2.54	3.56	4.81	67.08	22.41	7.39	12.15	12.07	6.19	12.52	6.47	13.0	13.58	13.16
Fam20a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.78	23.96	0.0	3.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	3.6	0.25	2.82	1.36	1.37	9.75	9.41	10.43
Fam36a	54.53	29.08	111.21	0.0	0.0	76.69	136.17	80.7	200.67	0.0	235.2	311.63	0.0	176.39	143.93	149.93	0.0	0.0	24.59	193.34	52.6	87.08	65.6	88.92	64.12	50.82	0.0	51.08	21.38	127.66	39.44	27.56	113.73	28.7	106.62	47.08	7.84	57.46	141.59	43.48	29.3	77.35	100.46	67.21	31.54	110.94	73.77	129.15	279.67	138.61	18.7	61.97	136.11	88.63	86.43	86.46	117.19	74.32	67.99	64.69	55.71	10.59	145.65	75.93	158.93	92.37	108.08	76.79	103.65	77.0	72.89	75.0
Fbxw8	6.5	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	64.48	0.0	0.0	0.1	10.27	0.0	0.0	0.0	0.02	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	1.77	2.64	0.0	3.71	0.0	0.0	2.7	0.19	0.0	0.0	1.47	0.0	0.0	0.06	0.16	0.03	0.0	0.05	0.0	0.76	1.29	0.0	0.0	0.0	20.46	0.0	1.59	0.0	23.75	0.0	0.19	0.0	0.0	0.87	0.63	2.42	2.51	0.83	2.19	0.83	22.44	24.04	24.28
Fchsd1	0.0	0.0	0.49	0.0	0.0	43.49	0.04	0.0	0.0	0.0	0.0	53.53	0.0	3.84	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	3.52	0.0	0.0	20.49	0.16	0.0	2.37	0.0	0.0	0.0	14.01	13.81	2.41	0.0	0.0	0.22	0.0	0.0	0.0	0.24	0.05	0.1	0.0	0.0	2.87	0.0	0.55	0.0	0.0	0.0	0.18	0.0	0.0	3.0	0.0	1.07	0.0	1.38	0.3	0.0	0.0	0.5	0.25	0.0	6.64	6.92	6.15
Fkbp1a	155.51	54.99	127.77	207.88	0.0	109.78	100.87	293.91	218.36	152.31	267.05	246.53	0.0	85.08	155.34	218.44	73.87	537.59	33.46	93.2	59.67	35.57	95.92	23.04	142.31	56.06	78.95	74.22	56.3	64.59	51.13	46.97	62.41	238.23	90.1	186.19	124.13	32.74	112.88	85.87	81.11	101.2	70.46	68.71	60.84	199.95	21.52	265.72	591.6	405.02	12.05	60.69	194.7	320.39	143.42	88.14	184.31	118.41	77.85	104.55	73.58	257.84	492.18	441.72	503.56	330.33	317.62	399.58	383.88	675.87	658.61	643.41
Fnbp1l	1.97	5.13	0.0	39.42	0.0	5.85	22.92	5.49	67.97	17.85	24.23	92.3	0.0	65.98	0.39	28.84	0.04	0.0	0.03	3.46	0.0	4.35	0.31	0.04	0.04	3.98	0.18	11.69	2.83	9.88	2.06	12.69	14.03	11.06	38.75	25.39	11.48	0.0	0.0	5.92	23.39	3.79	21.04	2.05	5.25	7.49	14.48	25.13	29.37	37.61	18.04	0.97	6.41	0.0	0.85	0.72	14.53	5.11	24.91	2.58	0.12	17.37	40.75	25.87	19.47	40.9	27.24	22.8	21.81	70.63	59.91	69.07
Fv1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.45	0.0	0.0	59.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.0	0.0	0.0	0.0	2.61	0.0	4.79	0.0	7.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.89	4.2	0.0	0.51	7.32	6.92	8.38
Gcet2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.1	0.0	0.07	0.08	0.07
Ggcx	1.79	4.01	2.19	9.09	5.06	1.92	8.79	0.36	2.3	4.93	65.87	149.62	11.42	0.2	0.68	6.49	0.3	0.0	2.86	0.24	0.35	6.26	0.26	9.1	1.11	10.49	0.93	36.11	3.19	0.43	18.27	11.92	0.09	2.54	0.21	0.0	2.42	0.15	7.37	11.47	2.02	5.21	2.92	0.46	3.13	4.32	21.89	11.1	0.45	11.05	1.82	0.47	4.68	7.5	8.47	3.39	0.33	0.14	0.0	0.56	16.98	7.35	25.23	12.22	16.43	22.84	7.36	10.43	12.93	14.59	13.45	15.96
Gm11549	0.15	1.04	0.13	0.0	0.0	0.06	0.71	0.0	0.24	0.26	0.51	0.81	0.0	0.27	0.0	0.02	0.0	0.0	0.07	0.16	0.0	0.16	0.12	0.29	0.05	0.2	0.27	0.0	0.77	0.17	0.0	0.26	0.3	0.4	0.0	0.28	0.1	0.1	0.0	0.0	0.1	0.22	0.21	0.22	0.61	0.47	0.02	86.54	55.66	91.12	0.0	0.19	0.71	0.12	0.23	0.1	0.0	0.0	1.1	0.3	0.19	1.22	295.39	291.38	230.28	155.72	236.96	244.21	213.97	31.51	32.7	35.16
Gm15706	0.0	0.0	1.96	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	133.26	0.0	40.16	5.35	0.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.32	20.18	30.24	0.48	0.0	2.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.04	0.0	0.0	0.0	0.0	0.0	0.31	0.0	0.0	96.5	0.53	0.0	0.0	0.52	0.0	0.0	0.0	0.0	0.0	3.17	0.0	0.0	0.34	0.0	3.25	3.69	11.92	10.58	13.62
Gm5127	0.0	0.0	0.0	0.0	0.0	0.15	0.19	0.11	0.0	0.0	0.0	0.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.14	0.0	0.0	0.0	0.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33	0.36	0.45
Gm5460	1.02	0.36	0.46	0.16	1.07	0.28	2.16	0.98	1.87	0.34	0.25	4.95	0.61	1.59	0.27	1.29	0.26	0.0	0.3	0.49	0.24	0.64	1.07	0.63	0.69	0.77	0.16	0.95	0.0	0.45	0.04	0.69	0.16	0.52	1.75	0.0	0.0	0.12	2.63	1.69	0.01	0.37	0.14	0.0	0.77	0.45	1.27	0.75	3.0	1.71	0.43	0.24	0.18	0.41	0.41	0.72	1.72	1.3	2.31	0.1	0.0	0.68	0.57	0.7	0.56	0.97	0.24	0.4	0.55	0.67	0.73	0.76
Grem2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.3	6.62	10.18	0.0	66.12	0.0	8.49	0.67	21.92	0.0	0.0	2.12	5.75	0.0	0.0	0.0	2.45	0.0	0.19	1.48	2.05	0.0	0.0	0.0	2.61	0.0	0.14	6.38	0.0	0.0	12.46	0.0	2.44	0.0	13.94	0.0	0.0	0.0	0.0	0.0	1.52	0.0	0.07	0.0	0.0	0.0	0.0	20.12	1.23	0.0	0.0	0.0	4.07	0.0	0.0	0.09	12.67	1.43	7.39	2.38	3.47	3.5	19.88	19.29	19.38
Gsg1l	9.73	0.0	0.11	0.0	0.0	0.03	0.15	0.0	0.0	0.82	0.0	176.53	0.25	0.08	0.03	37.43	0.0	0.0	0.11	0.02	26.23	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.13	3.95	0.0	0.0	46.9	8.31	1.06	0.0	0.79	1.2	10.88	0.0	0.06	0.03	34.53	0.13	0.05	0.12	0.0	0.0	0.0	0.0	0.17	0.17	3.49	3.6	8.2	4.15	5.4	6.42	68.85	61.79	72.47
H1fx	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.1	0.0	0.83	0.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.77	0.0	0.0	2.15	2.28	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.64	0.0	0.3	0.0	1.96	0.0	0.0	0.0	0.29	0.0	0.34	31.05	40.08	38.04
Hist1h1d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.98	0.0	0.29	0.0	0.0	0.0	0.0	0.05	0.34	0.03	0.0	0.15	0.03	0.0	0.0	0.15	0.21	0.0	0.14	0.0	0.09	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.33	0.0	0.06	0.45	0.0	0.11	0.0	0.05	0.0	0.0	0.25	0.0	0.0	0.06	0.0	0.0	0.0	0.19	0.0	0.16	0.4	0.23	0.12	0.03	0.17	0.1
Hivep1	1.01	1.54	0.02	13.04	0.0	0.18	10.01	1.87	0.23	3.88	9.22	77.05	0.0	0.03	10.48	0.0	0.0	0.0	3.75	0.04	3.48	0.02	0.0	6.58	0.0	2.74	0.03	0.0	0.31	0.0	0.07	5.1	3.5	0.03	0.0	0.0	0.0	0.0	0.0	4.38	0.61	0.44	2.01	0.0	0.44	1.03	0.5	4.16	14.26	7.14	0.0	0.03	11.18	21.58	0.56	2.39	0.0	3.3	9.87	0.0	0.0	4.3	8.65	3.46	4.94	5.78	6.08	3.91	4.77	27.35	25.41	30.51
Hrh1	0.0	0.0	0.0	16.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	131.9	0.0	2.68	0.0	0.28	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.03	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0	52.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.56	0.0	0.0	0.0	0.0	1.16	0.39	7.56	0.0	0.0	29.11	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.19	7.65	7.56	5.26	4.45	2.2	2.62	3.92	9.22	8.93	8.41
Hs2st1	0.0	0.0	0.0	0.33	0.0	0.0	0.0	0.0	0.0	0.0	2.19	164.41	0.0	0.0	0.0	0.0	0.0	0.0	8.99	0.0	0.0	0.0	0.0	0.0	20.16	0.0	0.0	10.5	13.26	0.0	0.0	0.0	26.97	0.27	0.0	0.0	15.4	0.0	0.0	0.0	0.0	0.0	26.23	0.0	0.0	2.01	0.0	14.41	16.69	21.97	0.0	0.0	0.07	0.0	0.0	0.0	22.23	31.25	31.37	0.0	0.0	0.0	5.79	6.45	10.93	10.28	4.67	8.93	8.87	40.63	39.0	38.87
Itga4	2.12	5.3	1.44	1.64	1.96	3.12	6.3	4.12	4.13	4.81	4.97	14.21	13.73	10.86	4.36	10.52	3.06	0.0	1.94	4.86	4.09	3.79	1.75	1.52	3.93	3.33	5.48	3.93	5.13	4.53	2.75	3.3	2.42	4.73	2.43	4.0	3.91	2.04	3.83	6.0	4.21	4.05	3.84	3.45	3.54	2.75	3.25	6.01	25.05	11.24	2.7	2.74	2.73	2.34	3.25	2.97	4.59	4.52	7.1	2.58	2.93	8.5	7.22	5.01	4.29	6.72	4.27	4.27	4.4	11.38	8.49	11.06
Itgbl1	0.0	0.0	0.0	4.93	0.0	0.0	0.0	20.36	0.0	26.29	0.0	176.65	0.0	33.75	0.0	0.0	0.0	0.0	0.0	1.45	0.0	0.0	0.0	0.0	0.0	0.0	1.19	0.0	0.82	0.0	3.47	0.0	1.69	0.0	0.0	0.0	0.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.0	0.0	0.0	2.04	1.65	0.0	0.0	0.0	0.0	0.0	1.69	0.0	0.0	0.0	0.0	3.49	0.0	1.0	2.08	4.17	0.98	0.13	1.76	2.51	4.8	4.07	4.42
Kcnq5	0.0	0.0	0.41	0.0	0.05	0.0	30.35	11.84	48.94	2.04	22.07	57.71	0.0	0.08	11.7	0.45	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.91	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.76	26.23	6.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	16.53	12.21	3.77	4.81	0.12	2.21	1.37	1.53	44.09	42.45	44.67
Kctd18	0.0	0.33	0.0	0.0	0.0	4.57	0.0	0.0	0.0	0.0	0.0	98.02	0.0	0.0	0.24	106.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.74	0.0	0.0	5.06	7.04	65.26	0.0	0.0	0.0	0.0	0.0	0.0	6.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34	12.62	5.45	0.0	0.0	0.0	0.0	0.0	0.0	5.96	0.0	0.0	0.0	0.11	0.0	2.55	0.0	7.49	7.03	4.57	1.31	0.99	9.98	9.88	10.67
Lclat1	13.01	0.0	46.42	0.0	0.08	18.17	0.26	17.7	52.86	0.0	0.0	142.91	0.0	0.0	13.71	0.0	4.86	0.0	0.78	22.38	50.48	0.04	2.61	27.17	0.05	43.12	0.0	41.55	0.09	14.92	20.83	0.0	0.0	26.74	0.0	0.0	0.0	24.87	0.0	0.0	0.0	6.93	37.88	0.24	0.11	25.13	0.0	7.65	67.94	18.18	17.74	0.05	39.2	51.79	0.0	0.0	66.55	0.0	116.06	0.04	8.14	0.0	28.41	21.64	23.32	13.73	41.25	33.78	31.96	29.19	27.61	27.25
Ldb1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.82	0.0	0.0	138.99	0.0	0.0	0.24	0.38	0.0	0.0	5.26	0.0	0.06	0.0	0.0	0.21	23.9	0.0	13.2	1.85	0.0	0.0	0.0	0.0	0.0	11.99	44.52	0.0	10.45	15.43	0.0	0.0	0.0	0.0	28.39	0.0	0.0	7.56	0.0	8.43	8.56	6.69	0.0	13.69	0.0	0.07	0.42	5.71	0.0	0.0	0.0	1.19	0.0	0.0	0.16	11.01	7.76	4.26	0.57	3.46	2.33	80.31	91.12	80.98
Lemd2	0.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	2.32	0.0	0.0	27.07	0.0	0.0	0.0	0.0	0.0	0.0	21.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.63	0.0	0.0	0.0	0.3	0.0	0.0	39.71	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.23	0.0	4.17	0.22	0.23	0.93	1.47	24.38	27.88	26.35
Lgi2	0.0	28.67	0.0	0.0	0.0	0.0	0.06	0.0	2.95	40.84	9.69	210.76	0.0	11.71	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	4.71	0.25	0.0	0.0	47.53	19.51	0.0	0.0	0.0	0.0	0.0	9.8	0.0	0.11	0.0	0.0	0.0	4.22	0.0	0.0	0.0	5.02	0.0	9.69	0.0	0.95	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	3.41	4.93	0.37	0.53	9.34	0.53	0.0	2.81	3.24	1.64	42.22	39.3	44.81
Lrrc61	0.48	6.84	0.0	0.0	0.0	0.81	0.68	4.92	1.55	0.22	0.42	204.54	2.67	0.36	0.35	0.37	0.09	0.0	1.42	0.29	0.17	0.06	0.7	45.02	15.17	6.48	0.34	0.43	1.78	0.35	0.2	0.64	0.46	0.42	0.59	0.49	0.09	0.0	9.53	56.53	0.04	0.26	0.23	0.53	0.4	41.88	0.28	1.02	0.48	1.21	0.15	0.0	0.33	0.26	0.49	0.3	0.0	0.44	92.97	0.22	0.28	0.83	1.73	0.59	0.25	0.54	3.46	4.5	1.65	19.37	19.31	18.7
Mef2d	0.0	0.0	0.0	0.0	0.0	0.0	28.56	0.08	0.0	5.03	0.0	25.5	0.0	0.0	7.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.0	19.35	0.0	0.0	7.1	2.95	2.64	0.0	4.32	0.0	0.39	0.0	0.0	0.0	0.0	13.09	6.23	0.0	0.0	0.0	0.0	0.0	1.08	0.88	3.59	0.0	0.0	0.0	0.0	0.0	0.0	3.34	0.0	0.0	3.83	3.85	1.15	4.23	2.58	3.99	1.64	1.58	1.26	1.13	110.76	106.58	106.74
Mesp2	0.27	1.12	0.19	0.0	0.31	0.42	1.75	0.18	0.81	0.0	0.04	156.06	1.98	0.0	0.56	0.0	0.18	0.0	0.34	0.2	0.26	0.31	0.13	0.14	1.06	0.0	0.0	0.02	0.0	0.84	0.26	0.0	0.79	0.15	0.0	0.0	0.38	0.0	1.84	0.54	0.0	0.14	0.16	0.0	0.29	0.13	0.36	5.31	0.52	0.28	0.0	0.25	0.18	0.09	0.0	0.12	0.23	0.0	1.33	0.0	0.0	1.23	0.19	6.59	0.45	0.3	1.55	2.51	0.9	1.74	1.42	1.3
Mgea5	5.02	85.69	4.28	12.14	0.0	41.42	3.8	56.08	17.25	36.5	106.91	342.97	0.0	32.16	52.51	8.07	28.69	0.0	40.66	3.22	80.76	20.8	85.33	64.35	48.82	21.47	35.79	56.07	59.53	34.36	19.94	27.13	42.55	68.64	63.27	17.79	53.38	41.43	0.0	97.11	19.51	54.7	23.72	58.72	2.27	0.43	28.49	63.75	128.74	86.76	34.38	66.37	6.76	35.66	52.26	65.72	4.98	54.12	138.73	12.09	1.19	17.53	45.54	42.37	30.34	57.42	59.76	50.24	41.24	152.39	147.9	149.57
Mkl2	60.69	30.56	15.26	2.09	0.66	19.38	47.5	30.72	45.94	43.59	54.32	91.94	4.45	22.85	16.47	54.51	49.96	0.89	25.3	4.22	23.73	22.01	23.28	23.44	7.34	13.2	15.66	25.19	8.76	25.09	18.31	14.81	24.7	55.05	63.98	23.45	20.85	21.7	28.27	12.75	3.47	21.2	52.0	16.69	29.97	40.13	19.17	151.36	170.37	126.33	28.72	35.8	13.58	40.74	36.55	35.07	19.03	19.42	75.85	71.78	35.25	1.22	305.55	250.28	226.81	269.64	360.18	264.2	249.53	89.28	82.44	89.75
Mmp16	63.12	31.44	0.0	5.72	0.0	27.18	0.0	0.0	0.0	57.84	0.0	332.37	99.51	172.45	20.07	0.11	59.93	0.0	60.59	3.84	13.86	43.04	16.51	11.03	26.67	22.05	0.0	39.17	9.41	20.01	39.81	38.4	32.09	0.0	0.0	37.88	26.85	0.0	0.0	0.0	4.41	43.23	83.81	16.07	6.06	55.59	72.81	38.45	2.51	5.84	9.99	11.8	0.95	1.39	0.0	53.92	192.64	89.93	120.4	37.47	24.29	0.0	42.48	45.71	64.39	57.05	68.37	36.76	42.96	14.5	11.34	14.75
Mmp17	0.0	1.95	3.06	19.5	34.6	0.0	35.37	1.4	48.97	28.19	50.72	260.97	44.19	0.0	1.15	149.78	19.75	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.09	0.07	0.0	0.0	0.0	0.0	19.2	0.0	0.0	18.56	50.04	0.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.0	17.59	14.66	6.52	0.18	0.0	6.65	0.0	0.0	0.0	0.0	0.0	13.31	0.0	0.0	0.0	23.48	46.26	65.05	52.78	37.2	33.97	30.71	167.46	165.74	168.59
Mob3c	2.7	3.98	0.08	0.13	3.43	1.55	3.95	2.32	5.01	0.88	4.1	89.15	12.28	5.62	2.58	3.75	1.46	0.0	6.49	1.34	2.42	1.31	3.21	1.99	1.74	1.86	3.16	2.74	1.41	4.48	1.84	1.48	2.72	1.84	3.86	0.99	1.83	1.22	3.94	2.59	1.47	2.65	3.11	1.41	2.04	2.54	5.3	17.27	5.22	4.87	1.71	1.85	5.25	1.15	2.75	5.69	3.21	3.07	6.93	2.4	1.19	5.13	4.74	4.24	5.97	4.02	2.42	4.14	1.56	4.74	4.4	4.11
Mpp5	18.38	0.0	23.94	0.0	0.0	28.08	0.02	0.0	0.0	0.0	30.89	119.1	0.0	4.62	28.9	55.56	0.0	0.0	0.0	0.1	0.0	0.03	0.0	0.0	11.53	12.37	0.0	0.05	0.0	19.69	8.93	27.56	14.87	2.96	0.0	0.06	0.0	0.0	0.0	24.18	13.99	17.4	0.0	0.0	10.78	13.49	0.0	10.43	19.17	10.87	0.0	20.44	0.06	0.0	0.0	0.0	37.37	29.47	34.54	25.87	17.93	0.0	19.09	8.87	13.45	15.59	22.37	9.14	25.82	21.4	18.94	20.96
Necab1	0.62	1.37	0.13	0.0	0.27	0.32	14.91	234.78	169.52	466.97	139.77	347.6	2.75	28.67	1.6	217.88	0.85	0.0	0.41	0.88	1.89	0.67	0.52	0.89	0.76	0.57	0.33	0.19	0.43	0.53	0.09	0.62	0.57	41.59	4.27	0.84	0.23	0.21	0.59	0.58	0.63	0.0	0.42	0.32	0.76	1.09	0.53	20.8	7.5	27.52	0.17	0.29	0.8	1.04	0.95	0.64	0.47	0.63	0.68	0.18	0.06	1.46	65.45	34.95	43.1	99.37	128.72	71.96	79.88	77.53	66.55	73.48
Nos1ap	30.1	8.17	1.3	0.0	0.0	0.27	0.0	0.0	8.6	4.75	40.68	78.79	6.62	0.0	0.0	63.45	64.51	0.0	0.0	4.94	0.0	2.35	0.0	0.0	0.0	5.51	0.0	10.42	0.17	0.0	3.02	4.48	0.25	23.32	1.11	15.93	0.0	2.87	0.0	0.0	0.0	0.0	0.0	0.0	14.43	25.49	0.0	27.22	28.24	26.57	0.0	10.06	5.55	1.09	9.04	0.0	0.0	4.41	19.06	0.0	0.0	0.0	57.63	57.6	50.7	84.08	38.74	52.38	52.04	86.8	83.23	89.82
Npy	138375.8	173305.25	40775.82	1.6	1.46	115124.65	43922.94	108594.8	42632.64	68542.73	67463.47	65548.38	14635.6	45335.24	125016.83	59230.28	34339.27	0.0	132042.44	149629.49	134232.96	130357.56	105498.11	116117.28	120987.76	122165.94	132052.33	122154.33	122963.43	126501.28	117863.77	130527.91	173863.58	73168.9	45711.04	166048.87	115420.41	191162.16	154857.31	124150.07	134158.33	153405.37	147732.76	141010.39	110523.31	101137.64	151963.58	12.38	0.0	985.16	145032.54	180453.32	92572.95	38762.64	128781.07	137945.15	48908.54	35571.91	32250.58	95298.15	137580.94	68416.93	0.0	0.0	0.0	0.0	0.6	0.0	0.7	214.21	196.57	200.76
Nr4a3	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.74	22.46	24.73	11.21
