	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_28	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_55	Chrna2_tdTpositive_cell_57	Chrna2_tdTpositive_cell_77	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_48	Gad2_tdTpositive_cell_49	Htr3a_tdTpositive_cell_91	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_54	Rbp4_tdTpositive_cell_165	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_39	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_72	Sst_tdTpositive_cell_80	Vip_tdTpositive_cell_30	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Mastl	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	23.7	0.0	0.0	0.0	2.48	10.31	0.0	38.59	0.0	17.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.48	0.73	0.96	0.44	0.79	0.74
Mfsd4	3.83	4.64	37.83	4.49	10.12	32.93	0.47	7.73	39.88	13.86	8.54	8.78	7.12	3.85	38.43	6.43	5.94	6.86	11.33	22.33	34.98	12.6	35.52	10.56	63.95	11.74	17.12	7.16	18.99	45.96	13.42	11.27	44.63	22.03	19.34	35.62	6.69	37.97	23.8	3.15	33.97	6.99	11.03	43.5	26.54	30.82	38.88	56.06	58.28	54.29
Mnd1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.06	0.0	0.58	1.1	1.2
Mpp3	0.0	36.98	6.73	0.0	0.0	32.09	0.0	0.0	44.3	0.18	0.0	0.08	2.7	3.75	0.04	1.93	0.0	0.7	0.25	0.0	0.14	0.04	45.32	0.0	98.95	30.01	0.26	0.0	13.14	0.0	2.83	4.95	7.01	70.42	36.33	34.87	6.23	8.75	0.56	17.07	0.0	7.78	0.0	8.66	11.52	10.02	15.34	42.99	45.77	47.83
Mrps30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.95	8.01	0.15	0.0	0.0	0.0	0.15	46.13	0.0	0.0	0.0	0.0	41.73	0.0	0.0	0.0	0.0	0.0	0.18	0.0	42.65	0.0	0.0	7.44	0.0	0.0	16.73	0.56	0.0	11.06	0.0	14.85	3.05	5.5	3.11	25.2	31.88	25.69
Npy	138375.8	9073.51	173305.25	1.6	1.46	115124.65	0.0	108594.8	96206.73	42632.64	68542.73	34339.27	105008.15	149629.49	134232.96	130357.56	116117.28	120987.76	122165.94	132052.33	126501.28	102118.34	130527.91	173863.58	101365.79	166048.87	115420.41	191162.16	108906.97	154857.31	153405.37	147732.76	141010.39	151963.58	24726.66	985.16	145032.54	180453.32	23340.13	137945.15	32250.58	137580.94	68416.93	0.0	0.6	0.0	0.7	214.21	196.57	200.76
Nusap1	0.0	0.0	0.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.84	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	23.64	0.0	0.27	0.0	0.0	0.0	0.0	2.58	0.0	0.0	0.0	0.0	0.48	0.73	1.96	1.8	2.14
Otud7a	0.0	0.0	1.96	0.0	0.0	0.0	0.0	1.41	0.0	3.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.53	0.0	0.81	0.0	0.86	40.77	0.0	1.45	0.0	0.0	0.54	0.0	0.0	0.0	0.0	0.0	1.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.49	1.03	0.1	0.8	34.24	37.91	37.57
Pak1	169.66	174.13	222.43	26.31	34.53	108.11	0.0	129.18	220.49	48.93	289.18	334.95	200.58	100.28	240.05	215.83	143.62	51.77	212.68	162.08	186.92	116.4	220.07	39.53	414.37	250.81	247.34	247.81	184.3	139.26	186.23	165.71	165.79	166.74	314.25	324.82	108.78	68.01	218.95	166.71	306.85	160.09	0.23	876.75	973.68	870.65	881.59	422.11	398.57	412.06
Pelp1	0.0	0.0	7.13	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.06	0.0	0.0	2.42	8.09	0.0	0.0	0.0	31.78	9.9	0.0	3.27	0.0	0.0	0.0	0.34	0.0	0.0	0.0	2.92	0.0	0.0	0.15	8.32	13.22	0.0	0.0	3.82	2.42	1.39	0.7	24.86	25.3	25.3
Pim1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.51	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.58	8.17	0.0	2.08	0.0	0.0	0.0	0.0	0.0	0.0	1.71	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34	0.2	0.0	3.01	2.46	3.89
Plch2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.61	0.0	4.97	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.59	0.0	26.31	0.0	0.0	0.0	0.33	0.0	0.0	0.0	1.98	0.0	0.0	1.83	0.0	0.0	0.0	0.0	10.76	0.12	0.0	0.0	0.0	0.47	0.34	49.35	50.0	54.36
Pqlc2	35.91	0.24	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.0	0.0	0.36	42.54	61.66	0.0	0.15	0.05	1.9	0.0	11.36	48.74	0.0	0.0	80.57	0.0	42.25	0.0	0.0	0.0	0.0	0.43	0.0	0.0	0.42	20.38	0.0	0.0	0.0	0.0	0.0	33.19	0.0	0.0	3.38	7.44	5.81	11.31	10.58	9.84
Ptk2b	0.0	0.0	0.0	0.0	0.0	9.23	0.0	0.0	53.0	0.0	0.84	0.0	0.09	0.08	0.03	2.65	0.03	34.26	13.95	0.08	16.67	0.0	0.0	0.0	77.84	5.31	0.0	0.0	0.0	0.0	0.0	36.2	0.14	5.2	0.0	114.0	2.14	11.71	1.79	4.95	0.0	27.03	0.0	94.09	69.56	86.95	69.33	310.21	322.91	308.74
Rasgrp1	0.15	0.0	0.31	0.07	0.0	0.07	0.0	1.52	24.11	0.1	0.0	92.11	8.16	0.31	3.42	0.14	4.18	1.64	29.67	0.16	47.15	39.32	17.13	5.36	36.7	25.59	0.33	30.54	0.06	0.0	14.79	1.29	8.62	24.83	0.11	89.61	0.0	0.09	8.74	19.45	83.9	0.0	0.55	179.54	147.86	144.77	156.48	305.33	284.99	284.95
Rassf7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	97.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5	1.36	1.15
Rpap1	0.0	0.0	0.0	0.0	0.0	21.09	0.0	0.0	24.31	0.0	0.0	0.0	0.0	0.02	0.0	0.0	5.41	0.0	1.36	0.0	0.0	1.82	0.0	0.0	48.63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.2	3.19	0.0	4.76	5.5	0.0	0.0	0.0	65.43	0.0	0.0	3.05	3.3	1.65	5.8	13.86	13.97	14.75
Sars2	0.0	0.0	0.0	0.0	0.0	37.93	0.0	0.0	0.0	0.0	92.42	0.0	0.0	15.84	0.0	0.0	0.0	0.65	0.0	0.0	0.0	0.0	0.0	0.0	82.39	0.0	0.0	0.0	0.0	0.0	26.14	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.8	10.57	7.09	3.12	12.26	15.13	15.07
Serpinf1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.69	14.03	10.97
Slc16a6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.06	0.0	0.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.22	1.85	3.12	3.34	12.52	11.34	12.47
Slc4a3	0.0	0.0	0.0	4.91	1.06	24.75	0.0	25.74	4.74	49.67	0.0	20.48	0.0	19.43	0.27	1.33	0.02	1.54	7.92	6.18	2.71	18.57	0.0	23.35	38.3	3.39	0.11	0.0	0.0	0.0	0.0	3.07	12.53	10.3	0.0	15.33	1.28	12.98	0.84	22.26	56.79	7.87	30.3	3.52	2.66	2.0	2.64	97.14	100.66	102.08
Snora62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.68	127.99	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.24	0.0	0.0	0.0	1.01	0.0
Spib	0.0	0.67	0.74	0.0	0.18	0.11	0.0	0.0	0.08	0.26	0.0	0.2	0.37	0.15	0.07	0.06	0.11	0.13	0.31	0.0	0.4	0.36	0.14	0.09	3.44	0.46	0.17	0.13	0.08	0.16	0.34	0.14	0.15	0.3	0.15	0.55	0.11	0.46	0.71	0.14	0.38	0.21	0.0	0.12	0.47	0.13	0.26	0.18	0.14	0.22
Sptlc2	0.0	0.0	7.43	33.24	0.0	0.0	0.0	33.45	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.09	0.0	5.73	0.0	0.0	0.0	0.0	0.0	0.07	62.63	0.0	0.0	0.0	0.15	0.06	0.0	2.32	22.46	0.0	0.0	1.23	0.23	0.0	0.57	0.0	48.65	0.0	0.0	0.0	0.48	4.01	3.4	16.83	15.71	16.18
Stx17	0.0	0.42	0.0	0.0	0.32	9.55	0.0	0.03	0.07	0.0	0.0	2.46	24.88	0.71	0.04	0.0	0.0	0.44	0.0	0.0	0.0	8.22	0.0	0.07	58.71	0.0	30.98	0.0	6.57	0.04	0.0	1.05	0.0	3.63	0.15	1.24	0.09	0.04	0.0	0.08	0.19	0.1	0.13	7.7	5.62	2.42	4.4	14.63	13.6	14.28
Tbck	1.2	0.0	0.0	0.0	0.0	0.41	0.0	0.0	0.0	0.32	0.0	7.08	13.95	0.0	0.0	0.0	0.73	3.16	0.0	0.0	0.0	0.0	24.34	0.0	42.02	0.0	0.0	0.0	0.0	0.51	0.57	0.0	0.0	0.0	3.72	1.04	0.0	0.0	0.0	0.0	0.0	1.13	0.0	19.26	0.35	0.11	2.44	12.61	11.99	13.82
Tcf20	8.65	6.09	0.0	0.0	2.5	15.11	0.0	14.82	4.07	1.47	5.95	15.74	3.46	4.14	3.28	16.34	5.64	2.59	8.16	9.1	12.17	10.29	12.61	2.92	30.19	4.49	7.23	3.18	0.08	11.21	7.82	0.91	6.84	7.61	10.4	13.3	9.7	10.9	11.76	8.27	18.41	6.0	0.0	20.83	20.52	17.95	19.49	41.58	41.79	43.86
Tecpr2	0.56	0.39	17.45	0.1	0.27	0.94	0.0	0.12	4.35	0.13	1.05	1.56	0.43	0.08	0.71	0.07	0.18	0.18	6.54	0.4	2.71	0.73	0.04	0.12	8.87	0.16	0.3	0.1	0.04	0.09	0.11	0.81	0.24	4.61	1.05	3.65	0.04	0.94	4.98	0.09	1.67	0.61	0.6	11.92	7.76	3.95	6.48	37.36	37.41	39.21
Thbd	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.48	0.37	0.65	11.85	11.46	10.75
Tnfrsf11a	1.77	1.05	2.83	0.0	0.0	1.22	0.0	2.07	2.36	1.52	3.32	0.6	2.2	0.58	1.3	0.74	1.43	2.41	3.21	3.18	2.69	2.08	3.81	2.4	4.56	3.33	2.52	0.47	1.69	0.23	1.76	1.25	0.68	4.12	1.45	4.15	0.61	1.07	2.5	1.66	2.13	3.45	0.83	7.32	3.76	3.95	4.77	4.06	2.73	4.13
Ttc38	1.9	2.64	2.28	0.7	0.59	0.95	0.09	0.59	0.85	3.34	37.8	0.77	0.62	21.15	0.83	0.66	0.97	0.65	0.45	0.76	1.16	0.36	0.46	0.37	55.99	1.05	1.4	1.21	1.33	1.08	1.91	15.47	0.26	2.03	1.07	2.36	0.64	0.51	1.55	0.6	1.8	0.74	3.6	6.45	3.68	5.52	4.51	7.84	7.69	7.21
Ufd1l	17.15	286.17	103.28	45.39	236.88	105.9	0.0	72.13	65.6	3.36	432.95	11.98	109.22	23.47	70.46	142.92	130.06	127.19	109.13	148.51	182.53	85.87	148.75	114.53	705.21	196.44	117.78	182.96	113.86	131.25	160.31	116.9	0.29	15.53	137.36	106.63	75.96	41.82	90.51	2.06	310.71	188.45	13.61	275.37	268.94	215.25	204.34	78.59	82.11	76.98
Unc13a	2.93	4.21	3.96	0.4	1.77	10.57	0.0	2.03	5.44	1.21	0.89	3.42	2.48	2.34	2.37	4.43	17.28	4.18	7.76	1.92	4.16	3.2	3.1	3.48	6.7	4.67	4.16	0.79	1.05	7.39	1.82	2.95	4.73	1.92	3.73	16.25	1.67	4.11	1.79	8.35	6.81	2.18	24.09	11.55	14.56	13.86	12.99	173.28	162.24	184.32
Vprbp	7.47	0.83	0.18	0.81	0.29	1.16	0.06	0.35	0.97	2.87	0.59	4.71	1.62	1.97	0.39	0.03	1.44	0.35	13.16	0.69	9.66	13.3	2.28	0.58	45.15	0.32	0.83	0.28	0.2	1.11	0.17	16.18	0.26	0.62	0.19	5.15	0.36	0.08	14.51	0.28	0.1	0.45	0.28	7.47	8.77	5.76	5.27	16.92	17.02	16.89
Zadh2	0.0	0.0	15.4	0.0	0.0	0.0	0.0	0.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	61.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.81	20.54	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.72	0.62	0.1	22.79	23.39	24.11
Zfp398	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.07	4.7	0.0	1.62	0.03	0.0	1.87	0.2	2.32	0.0	0.4	2.01	28.05	0.0	0.0	0.0	0.0	0.0	0.0	1.51	0.0	0.0	0.83	0.67	2.32	0.2	0.17	0.0	0.17	0.0	0.0	1.33	2.03	1.78	0.56	11.13	9.89	11.02
Zfp462	0.0	6.01	0.0	0.0	4.13	0.0	0.0	0.0	0.0	5.57	0.06	0.0	0.0	0.01	3.35	1.36	0.0	0.0	0.0	0.0	0.0	1.92	0.01	2.07	18.7	0.0	1.3	0.02	0.0	0.0	0.29	0.0	0.0	0.0	0.0	1.63	0.0	0.0	0.7	0.0	2.08	0.51	0.0	0.0	0.17	0.71	0.26	13.35	12.9	14.56
Zfp524	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	79.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	102.74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52.56	0.0	0.0	4.29	4.19	1.61	2.6	9.94	10.22	8.19
mt_AK166684	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.81	0.0	0.0	0.0	0.0	3.7	21.29	0.0	26.4	0.0	0.0	0.0	0.0	0.0	17.75	5.49	0.0	0.0	10.12	0.0	0.0	0.0	0.0	8.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18796.57	17507.83	18655.33
