	Chrna2_tdTpositive_cell_43	Cux2_tdTnegative_cell_12	Gad2_tdTpositive_cell_43	Gad2_tdTpositive_cell_74	Htr3a_tdTpositive_cell_85	Ndnf_tdTnegative_cell_6	Nkx2.1_tdTpositive_cell_18	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_14	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_30	Pvalb_tdTpositive_cell_35	Pvalb_tdTpositive_cell_40	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_11	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_18	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_22	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_38	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_54	PvalbF.Gad2_tdTpositive_cell_58	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_65	PvalbF.Gad2_tdTpositive_cell_73	PvalbF.Gad2_tdTpositive_cell_81	PvalbF.Gad2_tdTpositive_cell_83	PvalbF.Gad2_tdTpositive_cell_87	Rbp4_tdTpositive_cell_8	Rbp4_tdTpositive_cell_15	Rbp4_tdTpositive_cell_43	Rbp4_tdTpositive_cell_45	Rbp4_tdTpositive_cell_51	Rbp4_tdTpositive_cell_57	Rbp4_tdTpositive_cell_84	Rbp4_tdTpositive_cell_87	Rbp4_tdTpositive_cell_91	Rbp4_tdTpositive_cell_93	Rbp4_tdTpositive_cell_101	Rbp4_tdTpositive_cell_127	Scnn1a.Tg3_tdTnegative_cell_12	Tac2_tdTpositive_cell_2	CAV_LP_Ipsi_tdTpos_cell_3	CAV_LP_Ipsi_tdTpos_cell_5	CAV_LP_Ipsi_tdTpos_cell_30
Rapgef2	7.65	0.0	36.85	0.0	44.79	0.0	21.78	68.63	50.04	27.34	37.3	10.25	25.12	30.5	0.0	63.97	58.06	47.41	17.67	70.0	8.17	43.93	14.11	22.47	27.14	43.33	39.56	75.69	15.86	15.93	33.24	0.0	26.34	6.05	12.34	44.69	55.96	29.07	42.85	25.1	43.8	40.06	49.96	0.0	13.38	27.41	67.26	17.4	79.13	144.42	85.1	116.57	47.0	60.82	82.18	66.97	73.24	82.02	110.03	116.51	0.0	109.38	201.69	132.2	167.5
Rnd1	2.04	1.34	2.41	1.85	1.0	1.25	2.79	53.25	1.44	0.0	1.24	1.34	13.37	2.1	0.78	4.24	1.39	1.68	4.51	2.94	2.06	2.04	1.1	2.36	0.63	0.68	1.96	3.25	1.94	1.35	33.98	1.79	1.31	1.72	0.96	1.47	3.02	3.26	5.17	0.87	1.49	2.92	2.27	1.63	1.5	4.61	0.95	2.09	2.83	21.12	45.71	14.76	39.13	34.91	22.26	37.38	90.15	7.68	20.22	1.94	11.69	24.05	132.05	26.82	6.78
Rnf169	0.0	0.0	11.72	0.0	0.0	0.0	10.0	3.92	6.86	0.0	0.0	2.59	4.04	0.0	0.0	0.18	0.0	11.29	2.87	0.0	7.62	0.0	0.0	33.09	1.77	0.0	0.0	19.84	11.93	0.0	0.0	4.24	0.41	0.0	0.0	2.2	11.59	0.07	3.6	8.1	7.9	1.23	0.0	0.0	0.17	0.0	0.0	5.31	58.79	25.97	2.55	1.17	0.0	29.8	0.06	7.72	8.56	10.66	12.33	24.21	0.0	19.94	0.41	3.01	7.55
Scn2a1	0.85	0.0	19.66	210.88	0.04	0.16	30.9	18.38	20.05	3.79	0.63	3.94	6.71	9.12	19.78	5.28	7.68	7.23	7.25	0.07	0.0	26.83	0.48	30.8	25.71	4.94	50.23	4.24	8.92	2.58	7.52	11.16	15.08	1.66	10.5	4.03	25.14	0.92	0.28	5.22	9.94	18.38	5.8	9.39	47.51	2.04	0.04	16.37	85.26	82.84	87.11	112.61	0.76	110.93	138.35	164.59	162.24	97.4	208.38	114.31	0.0	119.0	91.77	98.15	192.83
Slc25a14	341.78	0.0	68.41	243.01	147.0	0.0	207.17	83.49	45.99	18.03	70.93	72.18	65.18	0.0	0.0	9.06	45.83	56.02	41.79	289.44	0.0	52.47	103.98	122.66	146.01	98.85	115.85	69.94	48.36	133.97	271.65	74.31	26.81	180.85	81.99	51.7	135.62	266.49	212.71	190.25	49.18	264.35	83.94	1.79	76.8	139.87	248.46	255.88	195.29	115.76	353.91	173.78	169.24	233.45	297.72	111.67	270.09	173.31	224.78	299.03	0.0	2.83	323.03	294.96	155.46
Slc8a1	0.01	0.02	25.53	27.36	11.52	0.05	10.12	21.58	4.49	14.87	13.78	4.77	6.94	10.25	0.0	24.5	8.54	4.36	1.34	20.97	9.27	10.37	7.35	21.06	1.36	15.5	3.9	11.72	7.34	23.07	12.08	2.38	14.91	17.29	7.4	10.4	9.82	18.72	1.24	0.02	46.7	23.44	22.18	26.18	7.1	9.09	1.12	5.02	76.95	61.76	68.79	90.76	14.6	68.0	65.64	109.31	113.04	124.89	64.87	79.06	0.0	110.11	32.63	67.91	160.3
Spsb3	0.69	0.0	146.1	324.63	89.62	0.0	0.0	147.43	65.05	0.0	64.27	47.62	50.08	0.0	35.81	93.54	0.0	100.59	0.32	58.21	72.55	49.05	12.3	127.63	2.03	0.0	61.05	0.0	82.17	2.46	0.0	12.06	0.0	60.76	65.8	16.49	23.88	42.93	174.49	0.29	0.29	0.0	131.63	0.0	2.82	178.2	62.12	53.76	48.36	125.68	76.63	53.95	62.96	105.8	22.69	253.68	0.0	75.91	86.51	72.94	0.0	110.01	112.63	137.41	44.64
Tmem14a	0.0	0.0	135.34	0.0	192.54	625.66	88.78	81.42	190.66	21.03	51.02	269.91	82.2	134.29	0.0	233.24	320.75	49.39	117.64	186.05	124.61	59.36	262.74	0.0	0.0	64.02	275.29	132.0	121.51	68.87	54.97	249.74	151.31	200.49	62.36	58.52	166.7	60.06	95.12	99.84	101.33	68.19	81.45	0.0	0.0	134.17	34.7	74.64	120.15	127.48	66.98	86.64	189.49	143.5	275.97	167.79	368.69	198.29	164.25	287.97	0.0	218.17	345.72	203.59	88.13
Tomm34	160.11	0.0	68.61	59.15	30.65	0.0	80.33	22.5	90.22	94.4	195.49	112.86	46.38	0.0	61.72	175.02	58.96	33.62	70.11	17.6	219.64	82.92	62.04	150.47	185.34	25.21	94.42	66.07	59.59	158.8	33.51	39.22	31.64	111.54	148.68	5.79	46.91	104.49	84.59	111.98	89.82	14.15	17.56	33.89	252.36	33.21	124.21	39.66	148.93	117.6	141.46	261.66	93.84	158.66	139.87	179.88	179.72	187.04	135.03	244.28	0.0	207.76	357.34	231.43	264.82
Ube2e2	3.66	0.0	8.48	0.38	110.69	0.21	64.25	48.92	98.51	3.89	18.12	28.42	131.12	139.1	0.0	31.68	112.85	77.5	4.87	0.48	66.14	0.0	42.48	63.11	1.36	93.13	0.68	214.26	112.21	175.39	92.63	156.8	91.47	102.26	113.23	0.0	63.66	16.04	102.98	0.0	67.52	162.74	50.0	36.81	0.0	105.29	10.49	149.06	139.33	80.37	12.89	166.01	69.22	122.73	142.2	169.7	55.45	105.76	10.95	127.21	0.0	100.52	176.1	197.44	202.73
Wasf1	20.23	0.0	19.17	0.0	17.02	75.95	10.05	23.98	15.14	18.97	0.38	9.52	23.9	16.98	93.19	9.74	8.69	28.98	0.2	1.01	62.07	8.21	19.89	0.91	56.2	0.0	31.46	55.28	33.98	11.13	0.48	20.15	15.51	0.51	52.94	0.0	39.88	0.0	22.93	63.14	19.45	22.55	17.18	19.59	51.27	82.27	19.11	28.67	131.78	201.87	183.69	224.38	11.84	213.08	82.33	122.32	158.92	265.36	232.1	321.34	0.0	192.53	197.6	184.8	142.81
Wdr47	0.06	0.0	0.0	0.0	0.44	0.0	11.73	17.69	23.55	0.0	20.55	65.26	26.25	9.57	66.95	46.9	23.58	20.65	83.74	0.0	17.27	27.67	26.7	63.63	39.34	30.93	46.95	26.51	14.95	50.99	26.98	28.25	14.69	98.35	0.0	56.97	131.29	10.27	66.56	29.62	6.36	3.68	18.15	7.16	78.57	60.85	121.75	15.41	7.07	41.86	38.56	51.87	0.0	50.68	76.86	107.43	16.88	76.0	13.54	145.59	0.0	49.49	29.28	82.6	137.51
Zfp239	10.91	0.0	5.3	0.0	0.98	0.0	59.78	0.0	23.45	19.3	50.86	25.82	0.0	17.38	55.44	2.9	100.01	59.88	49.32	16.64	0.21	85.97	64.59	91.19	0.0	0.0	37.45	5.72	29.62	2.75	0.16	34.07	5.51	73.99	0.0	33.29	50.42	2.49	5.74	51.35	0.0	4.39	8.27	14.18	0.0	62.54	55.63	0.48	84.84	62.14	50.63	47.45	28.9	121.57	99.46	70.76	71.97	147.49	0.73	64.04	0.0	121.38	0.12	160.64	15.26
Zmat2	56.94	15.41	205.43	89.03	80.65	0.0	93.52	56.45	63.95	107.82	70.36	92.82	105.93	90.29	88.2	49.51	157.91	55.06	75.57	71.53	122.96	92.03	133.5	152.11	126.76	94.74	101.77	109.69	127.3	56.01	187.07	17.0	70.55	101.37	98.6	22.7	168.54	102.02	22.98	145.59	123.25	111.5	195.89	111.49	66.25	201.45	195.25	30.53	206.46	157.41	129.4	169.94	43.07	116.18	197.87	182.54	285.61	123.9	216.55	185.67	0.0	243.66	310.67	222.1	222.21
