	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Ctgf_tdTpositive_cell_6	Htr3a_tdTpositive_cell_44	Ndnf_tdTpositive_cell_7	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_68	Rbp4_tdTpositive_cell_165	Scnn1a.Tg3_tdTnegative_cell_12	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_46	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_76	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_96	Sst_tdTpositive_cell_101	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Slc36a1	14.17	10.02	0.0	24.6	0.0	18.65	5.87	0.0	5.19	5.51	0.35	0.88	0.0	0.74	0.1	0.33	0.0	12.41	0.0	0.0	0.34	16.4	0.46	10.11	3.5	0.0	1.5	15.43	0.1	20.71	0.0	0.9	0.0	0.16	2.61	16.05	10.01	6.58	40.34	37.04	38.5
Slc36a4	0.0	0.0	0.0	132.16	0.0	0.0	0.0	0.05	0.0	0.0	29.22	27.99	0.0	15.39	0.0	0.0	52.11	11.45	0.0	0.0	0.0	0.0	0.0	0.0	1.75	0.0	0.0	0.0	0.0	0.0	113.56	0.0	0.0	81.21	0.0	11.72	2.69	5.8	34.49	30.78	33.11
Spire1	17.32	50.87	0.0	61.96	0.0	0.03	9.85	31.55	0.02	3.51	1.48	34.85	6.65	6.64	0.0	39.99	33.1	1.98	0.39	2.55	0.16	0.06	1.93	12.02	30.18	0.0	18.52	4.68	0.0	0.43	0.49	27.68	7.46	0.0	3.4	30.19	28.36	22.41	93.54	91.17	91.85
Srp9	278.36	12.08	0.0	354.5	0.0	62.59	52.03	184.87	1.14	45.43	105.81	144.32	109.09	136.25	96.79	176.71	91.46	48.72	94.55	144.73	135.02	69.24	95.62	49.03	222.06	0.0	64.32	177.8	53.01	111.58	6.23	73.41	96.59	295.57	150.4	185.5	188.39	185.0	96.33	102.55	97.13
Star	0.0	0.0	0.0	61.39	0.0	0.04	0.0	0.0	0.14	5.68	0.0	0.0	0.07	13.19	0.06	0.0	0.4	26.03	0.0	0.0	41.75	0.04	0.0	0.0	0.77	0.0	0.0	0.0	0.0	24.44	0.0	0.05	0.0	0.0	0.0	0.0	1.37	2.15	5.3	4.89	4.77
Stk11	43.29	0.0	0.0	133.27	0.0	0.0	0.0	0.0	0.0	13.14	0.0	0.35	0.6	0.0	0.0	0.0	0.0	0.0	1.78	0.0	0.0	0.0	0.0	0.0	16.86	0.0	0.0	0.21	0.0	32.66	0.0	2.76	0.0	0.0	10.68	2.63	14.65	8.26	71.22	81.33	72.57
Stub1	8.93	18.69	0.0	177.6	0.0	49.26	0.06	0.13	57.35	45.6	8.32	53.34	16.45	54.89	12.2	12.1	9.18	0.0	2.76	91.05	32.47	14.13	1.27	20.8	18.9	0.0	6.97	4.11	0.0	58.07	0.36	22.3	45.87	1.86	12.8	26.61	30.84	28.82	147.15	161.63	152.75
Tmem87a	31.92	1.64	6.42	74.22	0.12	11.33	0.11	0.39	25.94	6.18	0.11	12.57	6.17	0.68	0.93	1.1	0.44	0.36	7.85	21.64	4.66	28.67	1.78	10.65	5.37	0.0	0.63	1.04	1.66	3.06	42.6	0.07	28.19	0.45	8.18	20.5	9.12	7.08	26.68	26.05	25.87
Trib2	39.81	70.25	0.0	152.99	0.0	50.32	53.06	0.15	46.32	57.69	31.52	0.52	20.21	72.36	14.1	0.76	17.62	39.86	0.0	0.0	28.44	53.26	0.0	13.39	23.14	0.0	51.64	0.08	0.0	47.87	0.0	120.96	0.0	0.0	40.61	11.7	3.5	2.38	29.1	25.99	14.95
Tubgcp5	61.94	8.51	11.49	117.4	0.0	7.07	7.11	0.0	0.0	0.0	11.31	45.72	0.26	40.36	2.42	35.94	38.26	26.06	62.21	78.57	12.53	43.57	59.88	0.0	30.53	0.0	0.0	0.64	0.0	10.69	0.07	18.58	36.27	0.0	0.02	21.8	25.22	29.93	23.07	21.37	22.42
Ubn1	14.11	0.1	0.0	23.58	0.0	0.0	4.87	0.0	10.58	3.95	0.0	8.22	0.19	0.3	0.0	20.98	1.68	0.0	9.98	1.62	0.0	1.59	0.13	0.0	2.62	0.0	0.0	0.0	0.0	0.27	0.04	0.06	0.0	0.0	0.0	9.45	7.21	7.07	27.68	26.73	27.37
Upf3a	0.0	23.43	0.0	88.44	0.0	0.0	0.0	0.0	1.62	0.0	0.0	0.2	2.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.43	3.96	0.0	0.0	0.0	0.0	14.01	0.54	0.0	3.1	0.0	1.91	6.78	5.52	8.35	49.66	47.79	44.94
Usp24	0.0	7.95	0.0	52.27	0.0	8.71	0.03	0.02	0.06	11.31	18.68	0.0	0.0	19.98	0.62	0.73	2.58	9.92	0.0	0.0	2.06	5.99	0.21	5.86	3.63	0.0	0.36	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.02	1.39	1.85	3.51	31.44	28.25	32.77
Vmn2r29	0.0	0.0	0.0	219.08	0.0	0.0	14.72	1.56	0.14	0.0	0.0	0.0	0.0	0.0	0.0	11.99	0.0	8.19	48.26	0.0	85.36	0.19	0.0	0.29	19.72	0.0	1.52	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0	11.65	7.68	18.71	9.85	9.88	9.48
Wdpcp	0.0	0.0	0.0	120.04	0.0	0.0	0.0	0.0	0.0	29.39	0.0	0.0	0.0	0.0	11.42	0.0	0.0	3.85	0.0	0.0	0.0	0.0	0.0	0.95	5.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.0	0.0	13.84	11.12	7.97	7.58	7.64
Wdr41	22.73	0.0	0.0	146.79	0.0	0.0	12.11	0.0	0.51	13.9	0.0	0.0	27.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	61.39	0.0	0.0	4.47	0.0	0.0	0.11	0.0	34.2	0.0	0.0	14.45	56.76	0.03	11.33	4.48	3.73	30.24	29.73	28.79
Ylpm1	6.65	4.13	0.0	110.34	0.05	0.0	1.09	1.49	29.0	18.91	0.57	1.31	5.2	0.0	2.37	2.67	11.45	15.93	0.0	8.02	0.0	19.37	38.17	24.11	9.3	0.0	0.0	1.43	11.1	24.75	0.14	0.0	13.99	0.06	3.6	12.67	10.29	12.81	51.66	46.9	52.27
Zc3h12b	0.0	0.0	0.0	63.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.48	0.0	0.0	0.0	0.0	0.0	1.21	0.0	1.61	0.0	0.0	0.0	0.0	0.0	0.0	1.53	0.0	17.25	0.0	7.28	2.24	2.16	10.18	8.65	10.57
Zfp111	4.29	0.73	0.0	46.28	0.19	0.68	18.55	0.12	8.76	0.36	0.18	0.1	1.38	0.24	0.24	0.61	0.36	11.42	0.86	0.46	0.74	0.59	13.17	0.38	4.31	0.09	0.25	0.28	0.86	9.87	0.03	0.65	0.37	0.39	18.91	3.87	2.98	2.78	4.11	3.6	4.09
Zfp759	0.0	0.0	0.0	135.99	0.0	0.0	26.47	0.0	0.0	27.5	0.0	0.0	53.05	6.11	0.0	0.0	30.99	0.0	0.74	27.98	0.0	0.0	0.0	0.0	7.77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.52	0.0	0.0	6.0	6.79	4.27	3.95	3.01	3.68
