	Calb2_tdTpositive_cell_2	Chrna2_tdTpositive_cell_58	Cux2_tdTpositive_cell_34	Cux2_tdTpositive_cell_68	Cux2_tdTpositive_cell_75	Cux2_tdTnegative_cell_2	Cux2_tdTnegative_cell_7	Cux2_tdTnegative_cell_13	Gad2_tdTpositive_cell_51	Gad2_tdTpositive_cell_57	Gad2_tdTpositive_cell_76	Gad2_tdTpositive_cell_78	Nos1_tdTpositive_cell_30	Ntsr1_tdTpositive_cell_6	Ntsr1_tdTpositive_cell_8	Ntsr1_tdTpositive_cell_63	Ntsr1_tdTnegative_cell_25	Ntsr1_tdTnegative_cell_36	Ntsr1_tdTnegative_cell_45	Ntsr1_tdTnegative_cell_51	Ntsr1_tdTnegative_cell_52	Rbp4_tdTpositive_cell_1	Rbp4_tdTpositive_cell_6	Rbp4_tdTpositive_cell_14	Rbp4_tdTpositive_cell_67	Rbp4_tdTpositive_cell_79	Rbp4_tdTpositive_cell_90	Rbp4_tdTpositive_cell_113	Rbp4_tdTpositive_cell_116	Rbp4_tdTpositive_cell_117	Rbp4_tdTpositive_cell_143	Rbp4_tdTpositive_cell_146	Rbp4_tdTpositive_cell_147	Rbp4_tdTpositive_cell_153	Rbp4_tdTpositive_cell_164	Rbp4_tdTpositive_cell_166	Rbp4_tdTpositive_cell_168	Rorb_tdTpositive_cell_10	Rorb_tdTpositive_cell_23	Rorb_tdTpositive_cell_41	Rorb_tdTpositive_cell_52	Scnn1a.Tg2_tdTpositive_cell_19	Scnn1a.Tg3_tdTpositive_cell_1	Scnn1a.Tg3_tdTpositive_cell_63	Scnn1a.Tg3_tdTpositive_cell_64	Scnn1a.Tg3_tdTpositive_cell_83	Slc17a6_tdTpositive_cell_20	Vip_tdTpositive_cell_55	Ntsr1_tdTpos_100cell_1	CAV_LP_Ipsi_tdTpos_cell_40	CAV_VISp_Contra_tdTpos_cell_4
Incenp	0.0	35.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.8	13.91	0.07	41.2	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.17	0.0	0.0	0.0	0.0	0.0	22.77	0.0	2.35	0.0	0.0	0.0	0.81	0.0	0.0	0.83	0.0	0.0
Itpr1	0.0	62.96	63.83	20.21	7.9	0.0	0.0	57.29	23.86	11.21	4.54	0.0	54.65	191.11	56.92	49.51	0.0	61.1	0.0	17.18	15.26	1.73	4.27	18.62	45.13	29.48	56.18	42.92	73.69	3.07	103.66	59.35	1.67	76.32	19.4	28.5	4.9	56.64	121.63	36.72	44.45	51.76	66.26	106.56	104.84	69.7	34.58	0.06	64.04	0.47	24.38
Jakmip2	89.48	146.13	197.19	0.0	0.0	0.0	0.0	0.0	77.38	0.8	136.47	7.26	94.49	61.64	27.9	30.27	0.0	0.0	0.0	108.16	14.6	37.82	47.14	189.3	118.21	112.67	41.54	179.15	273.5	23.08	9.82	94.78	46.35	29.32	16.96	54.2	65.01	176.52	92.06	22.55	110.75	7.51	1.31	8.95	73.94	264.85	62.67	103.06	93.44	40.58	103.46
Kalrn	0.11	24.64	106.3	57.51	47.22	0.08	0.34	1.12	74.94	0.05	2.21	35.83	45.63	1.23	74.41	56.14	0.39	30.83	1.46	70.53	43.8	66.6	30.97	59.89	13.03	29.08	67.56	38.08	72.27	3.3	27.34	59.35	31.98	70.26	55.21	38.41	50.91	30.15	45.73	24.3	14.36	30.88	41.93	69.3	12.85	67.43	22.15	0.7	17.99	31.15	78.76
Klhl2	0.0	52.2	81.44	64.18	42.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	152.76	17.36	1.49	0.0	0.0	0.0	0.0	98.1	55.83	0.27	56.59	0.0	7.75	95.18	192.42	169.74	64.31	61.28	42.28	84.2	0.72	59.75	9.91	2.68	0.0	71.98	36.83	169.73	92.11	131.3	0.21	148.57	10.44	6.92	169.44	149.99	60.59	14.89	178.53
Kpna3	324.42	141.56	138.06	41.74	182.39	0.0	0.0	0.0	192.91	0.0	56.04	28.79	135.62	0.6	0.2	107.56	0.0	133.34	0.14	63.02	119.11	113.76	76.34	41.52	27.54	65.73	138.38	56.38	107.08	202.16	227.79	107.73	167.19	137.44	79.31	24.84	279.06	84.65	64.72	115.43	107.99	133.9	151.15	236.05	132.0	0.0	48.77	1.16	83.21	71.97	52.41
Lgi1	577.1	76.95	207.98	126.93	335.25	0.0	19.45	0.0	420.91	0.0	0.0	682.4	292.83	55.06	248.85	390.9	24.68	110.12	0.0	3.57	81.18	506.64	198.36	163.25	157.16	355.15	106.79	149.05	288.64	173.63	553.89	259.7	173.98	300.73	89.33	121.34	99.1	285.53	294.27	161.4	253.89	306.06	498.32	364.76	293.4	179.79	145.94	301.69	239.08	65.71	376.46
Lrrc49	282.66	10.25	44.58	0.16	123.36	0.0	0.0	0.0	0.0	33.73	60.54	38.47	135.71	67.76	0.2	94.89	0.0	0.91	118.96	94.58	53.02	71.53	71.52	194.39	139.4	211.56	2.23	2.76	38.31	55.24	37.26	54.03	84.84	49.39	96.82	77.29	204.26	52.17	95.42	34.52	10.02	25.4	41.01	2.73	70.65	149.16	3.9	0.22	26.2	0.0	47.95
March6	0.0	60.8	112.02	83.76	68.25	5.37	0.0	0.0	69.13	60.75	90.79	331.22	89.15	119.85	46.18	129.77	7.53	19.9	0.0	105.01	89.19	199.66	117.56	24.53	162.92	149.39	166.34	10.53	115.97	90.1	73.04	108.65	30.77	70.95	56.89	42.73	20.7	82.33	115.38	45.75	49.73	12.0	8.64	12.02	39.16	71.87	43.53	28.3	52.5	49.82	3.23
Mbnl2	0.0	20.19	204.97	59.26	39.75	15.7	94.86	0.0	35.49	23.7	127.37	150.33	65.07	283.28	8.93	155.62	9.18	14.14	0.0	101.89	39.32	29.9	5.08	77.95	47.66	39.82	95.34	94.74	2.48	43.38	36.69	126.19	83.01	90.35	90.47	16.06	285.96	15.32	57.59	55.25	46.62	59.14	110.93	119.04	51.87	27.01	47.1	59.29	50.67	82.04	126.01
Miat	0.0	36.74	36.42	0.0	0.09	0.0	0.0	0.0	50.85	0.05	0.0	1.11	30.34	23.97	9.9	59.76	0.0	11.8	0.0	33.64	9.53	0.02	16.35	38.52	14.13	24.14	70.14	61.59	1.72	26.89	10.49	5.81	21.34	15.28	23.22	22.77	23.41	32.92	37.5	2.87	33.48	29.74	38.83	108.48	33.45	17.68	23.32	0.07	7.28	2.81	30.24
Mphosph8	37.12	78.45	64.19	68.34	21.22	0.0	0.0	0.0	149.82	45.75	296.6	2.35	84.35	15.32	20.1	41.7	32.17	34.07	0.0	93.22	21.14	164.76	112.46	106.77	79.87	85.96	59.77	79.5	174.03	36.05	47.88	62.39	34.55	74.5	30.4	105.76	47.56	19.59	132.14	66.85	32.7	72.45	93.19	28.99	68.45	11.34	57.09	0.41	43.69	97.55	34.52
Mtf2	0.0	56.43	81.65	80.32	67.67	0.0	0.0	0.0	75.57	82.07	33.38	16.12	53.04	41.71	82.94	0.0	0.0	47.08	0.95	103.48	15.36	1.15	2.82	78.8	46.41	2.41	14.22	3.46	1.55	19.48	51.84	5.43	82.83	10.03	6.51	12.14	12.13	34.15	41.91	19.02	50.21	38.39	19.29	42.43	28.81	0.0	19.42	0.0	24.44	0.24	57.44
Napb	18.98	830.66	306.27	431.25	498.1	0.78	0.15	1.75	1013.43	562.55	774.16	527.66	859.94	381.65	576.88	552.04	0.0	374.7	0.16	878.96	898.48	352.82	640.73	345.43	650.83	1075.64	456.24	674.67	440.52	320.53	1035.67	1303.71	740.33	1007.17	606.97	602.02	511.56	734.92	790.05	890.23	783.26	520.63	734.21	406.93	722.47	473.47	424.35	377.5	395.13	731.97	771.44
Nckap1	10.25	101.91	136.92	230.07	150.15	0.34	0.0	0.0	104.06	15.22	109.22	42.02	44.27	1.35	54.35	111.62	9.12	54.06	41.28	402.48	166.5	44.32	20.61	0.76	8.2	155.5	272.26	405.78	454.57	80.01	143.46	80.69	323.87	221.25	141.43	162.17	139.64	184.15	111.78	157.99	76.23	249.91	260.5	154.11	99.69	160.5	248.16	12.18	136.74	238.28	186.57
Necab3	22.67	0.23	219.16	105.44	0.0	177.86	0.0	0.0	0.0	0.0	0.0	0.0	136.07	239.39	136.89	113.36	0.0	144.33	0.34	233.77	147.42	17.91	0.0	3.14	95.75	0.0	68.23	0.0	0.63	31.07	3.06	1.62	0.0	111.82	51.6	170.32	77.89	0.0	70.14	39.23	85.87	48.36	219.01	0.0	27.38	0.0	0.0	37.77	115.53	0.0	10.27
Nrg3	2.57	0.52	0.0	84.11	0.0	0.0	0.0	0.34	0.0	0.0	0.0	48.46	0.0	8.2	9.47	1.63	0.0	34.42	0.0	0.21	3.06	0.23	0.08	0.0	54.0	25.52	0.11	1.52	0.0	0.0	0.12	5.7	49.93	0.14	8.67	0.0	0.26	46.51	6.88	0.0	33.87	54.83	3.66	0.0	0.09	0.0	0.17	0.11	8.81	9.15	0.38
Odz2	1.49	9.16	13.56	0.0	8.48	0.0	0.0	0.0	6.53	15.91	0.05	25.61	14.27	22.0	25.86	16.97	0.0	4.76	0.0	27.94	9.64	13.35	19.12	3.1	9.38	32.23	17.25	57.81	30.49	43.31	5.95	22.36	49.98	38.71	7.42	29.58	18.76	29.48	11.39	45.18	11.41	7.82	8.02	57.29	31.6	16.5	0.0	4.44	9.5	11.94	30.83
Ogdh	15.24	280.27	16.61	71.8	127.99	30.86	56.63	79.07	59.74	75.95	23.4	76.62	27.66	113.32	279.51	33.12	10.93	99.73	32.36	118.17	232.57	77.42	54.92	64.92	16.9	74.1	92.89	11.51	139.58	107.93	60.89	127.87	29.28	116.02	218.49	87.72	101.98	103.18	112.52	164.05	11.18	31.65	26.45	35.06	159.17	70.52	69.67	29.45	125.39	66.06	147.17
Parp1	0.12	4.3	55.04	25.64	0.0	0.0	0.0	0.0	2.01	38.35	179.82	0.0	0.0	0.11	74.07	52.98	0.0	147.73	0.0	84.8	44.62	1.75	14.97	109.18	62.08	48.63	20.99	26.81	47.63	125.52	133.7	78.92	1.11	150.18	0.0	55.77	68.52	65.74	0.0	47.4	95.82	0.0	54.84	39.21	89.41	52.81	43.45	0.16	19.52	0.0	14.98
Pbx1	0.0	59.25	43.4	43.16	2.64	0.17	13.84	0.87	26.94	0.0	7.86	0.49	45.17	224.55	4.78	36.22	0.0	11.73	201.99	19.66	185.6	47.93	98.8	55.48	74.67	107.95	21.71	43.82	85.44	0.75	18.36	12.7	10.06	1.1	18.13	33.31	71.05	12.65	51.05	40.3	34.59	17.47	22.73	25.8	8.33	18.25	104.56	18.14	103.95	30.57	36.27
Pclo	0.11	35.48	32.43	30.83	20.12	0.0	0.13	0.39	23.38	10.8	48.75	188.64	56.34	38.26	19.33	70.59	0.14	16.93	94.49	8.24	27.16	96.39	41.46	29.24	46.9	49.88	37.02	6.79	59.8	4.95	29.19	35.72	35.19	47.86	20.25	21.91	38.32	48.46	41.19	29.87	32.7	65.83	30.18	47.53	38.24	33.29	36.37	76.13	30.42	16.45	40.87
Pde1a	0.0	540.0	697.71	903.11	1133.21	1.09	1.78	1.46	518.85	0.0	151.32	704.14	1003.58	428.38	510.68	846.76	0.0	714.98	1.85	912.63	1552.6	638.1	794.29	1723.18	1555.89	895.61	721.16	38.98	1839.74	853.27	1704.83	1160.95	1281.56	887.84	445.97	777.17	1221.0	361.16	587.21	942.32	1039.08	372.48	719.28	795.09	429.59	1206.43	854.17	1.02	554.82	72.45	1367.86
Pfkl	258.57	0.45	207.95	168.21	0.38	1.69	0.14	0.18	1.69	27.38	0.0	0.53	78.71	283.67	83.65	272.71	0.39	133.82	1.53	99.34	224.2	277.38	78.01	0.6	140.6	131.81	106.48	112.89	0.14	1.52	1.22	97.76	111.5	0.18	43.24	15.37	59.34	11.46	54.53	72.23	58.07	102.28	151.68	194.94	54.67	227.29	50.98	1.21	81.24	0.0	60.59
Pnmal1	0.0	72.7	194.82	97.13	0.4	0.0	0.0	0.0	255.63	100.66	124.41	0.0	10.53	170.8	116.98	93.83	0.0	182.01	0.0	206.71	97.52	188.09	14.05	0.0	65.35	0.0	32.02	58.06	16.56	62.96	0.0	120.75	0.0	47.9	35.23	108.93	1.57	77.43	90.52	42.65	77.31	117.03	6.47	130.42	151.11	111.52	0.0	0.37	92.52	108.92	143.24
Ppp5c	154.7	3.03	94.03	214.35	225.08	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.2	151.23	0.0	0.0	128.95	0.0	82.7	0.18	115.65	58.82	0.0	33.32	94.32	0.0	288.89	6.02	44.75	0.0	70.52	20.41	0.49	3.71	37.69	92.02	56.96	96.15	33.25	45.44	150.4	90.04	54.06	43.84	74.86	0.0	3.85	13.07	0.36	8.7
Ptpn3	0.0	0.0	41.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.85	0.0	7.2	0.13	0.0	0.08	0.0	6.84	0.0	77.1	0.06	0.03	0.0	0.0	0.59	44.23	0.0	0.0	0.0	0.0	0.0	0.08	1.49	5.8	12.24	4.73	0.0	18.34	27.41	0.0	17.94	0.0	41.26	0.0	17.71	0.89	0.0	0.0	4.9	18.29	1.03
Ptprn2	0.19	30.84	54.47	11.46	45.4	0.12	0.0	0.14	0.18	3.68	0.0	103.06	78.64	29.34	44.8	3.03	0.07	94.11	0.0	5.74	102.07	71.68	34.82	0.18	111.46	88.2	36.34	11.61	10.12	37.78	28.06	53.12	11.28	25.9	49.12	78.84	47.26	73.04	48.19	46.43	59.39	97.26	17.13	7.98	107.46	62.17	24.43	91.94	17.57	165.18	32.07
R3hdm2	0.0	49.63	164.47	102.44	55.11	0.0	0.0	0.17	48.72	0.6	6.84	1.48	35.19	42.36	42.46	151.29	0.0	0.51	0.0	47.5	36.84	33.1	37.34	66.73	60.5	55.76	123.58	26.66	20.82	37.18	13.76	35.47	53.59	208.77	129.85	30.26	2.46	31.32	37.76	34.68	67.71	92.51	23.57	111.3	42.52	50.29	20.2	0.15	15.22	41.13	162.47
Rab40b	0.0	83.95	8.47	0.0	8.95	0.0	0.0	0.0	0.0	0.0	2.41	0.0	0.0	4.98	0.0	152.2	0.0	0.0	0.0	0.0	0.0	9.78	2.32	0.0	0.0	0.0	0.0	0.0	0.0	23.84	49.88	0.0	10.36	10.66	0.79	58.79	0.1	64.04	0.0	39.92	3.35	0.0	0.0	0.0	0.19	0.0	0.0	0.0	22.14	54.88	0.0
Rasgef1c	0.0	1.11	0.0	14.45	0.0	0.0	0.0	0.0	26.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.33	0.0	0.62	0.0	2.61	16.22	0.0	0.0	0.0	15.51	0.0	0.0	0.0	0.0	0.65	0.0	0.0	0.0	0.94	0.0	0.0	0.0	0.0	0.4	0.0	17.9	0.0	1.61	0.0	0.0	0.0	1.87	0.0	12.57
Rims2	3.27	84.89	0.93	58.95	58.45	0.0	0.0	0.0	49.81	0.05	22.23	106.22	70.09	64.64	60.65	15.15	0.0	9.75	0.0	80.72	57.52	12.35	39.47	0.92	58.02	12.23	40.3	30.75	102.82	23.79	20.16	32.34	27.07	20.56	48.23	25.14	70.29	37.0	35.75	12.8	11.27	34.03	21.86	44.23	30.56	22.48	76.82	0.0	23.45	2.84	93.99
Ryr2	0.37	6.55	7.28	17.62	20.34	0.03	0.0	0.04	12.43	0.26	2.2	2.99	52.08	2.4	11.17	22.26	0.0	1.75	0.18	51.28	6.69	9.23	5.16	1.8	20.45	15.55	8.33	0.04	5.2	3.91	5.71	8.83	11.07	6.46	9.85	24.13	3.03	22.65	13.92	25.45	10.94	21.47	36.69	12.11	23.86	4.23	21.92	16.55	15.18	0.08	23.91
Samd12	0.0	119.44	97.07	0.0	2.21	0.0	0.0	0.0	0.0	0.0	3.32	0.0	0.0	6.07	0.0	48.07	0.0	5.66	0.0	125.32	13.16	186.2	112.9	212.2	98.88	18.34	65.49	0.0	0.0	56.57	37.16	0.0	3.57	40.6	0.0	8.59	108.98	0.0	0.0	22.59	0.0	0.0	50.94	19.87	13.69	9.32	0.0	0.0	32.03	120.98	1.14
Scn2a1	114.15	236.64	105.01	153.3	255.56	0.11	0.04	0.15	105.86	6.98	109.69	583.1	228.61	285.97	264.44	268.09	0.0	276.54	0.0	141.99	231.45	159.24	113.86	174.18	112.94	181.34	211.06	218.42	188.27	108.16	287.61	288.14	214.5	121.71	143.51	142.09	201.71	128.5	251.3	97.7	106.14	154.92	213.78	221.86	338.76	270.22	220.59	66.86	142.15	133.66	207.2
Sept6	0.13	149.61	46.6	0.13	11.37	0.0	0.0	0.0	39.02	105.9	239.66	129.09	143.48	243.35	80.1	94.4	0.0	81.64	0.0	0.2	42.08	85.4	1.66	91.26	227.19	80.11	58.57	78.03	55.18	0.76	56.88	110.1	51.12	50.64	68.08	42.64	112.03	101.27	221.17	129.64	30.56	35.48	168.94	1.16	138.97	0.0	73.4	0.0	91.8	52.89	7.15
Serinc1	2732.26	2547.76	2892.85	3331.52	3615.51	1045.78	2041.44	1091.18	1281.05	988.67	1621.7	4359.09	3043.14	2941.59	1548.78	2997.32	1371.09	2495.58	1442.52	3172.25	2912.94	1746.48	2918.72	2677.51	2850.74	3004.88	2566.26	2829.46	2660.61	2189.12	3217.52	3139.5	3216.09	2926.44	2848.21	2671.8	2566.84	3087.62	2589.32	2590.12	2889.38	2525.44	3196.11	4108.61	2848.19	3750.01	2358.14	4595.7	1911.57	2377.17	2769.58
Sgtb	0.0	140.82	0.84	11.63	0.0	0.0	0.0	0.75	57.0	48.62	0.0	0.0	0.0	7.89	11.77	113.93	0.0	79.98	0.0	101.37	94.3	249.44	2.44	63.33	58.68	0.0	3.78	1.42	1.66	9.77	9.95	9.46	0.0	0.0	46.52	13.46	0.0	110.73	46.3	58.88	7.84	52.62	78.08	173.95	81.0	199.16	98.84	0.23	47.33	0.0	25.48
Sh3glb2	0.0	1.22	423.47	0.51	1.94	4.39	0.0	0.0	97.6	74.02	0.0	0.0	63.26	127.25	100.49	382.45	0.0	253.71	118.8	240.03	78.23	0.26	108.26	103.23	224.48	167.76	266.75	172.14	62.1	112.43	171.01	62.12	112.89	80.68	53.71	250.5	0.61	241.72	233.36	65.23	96.65	104.52	24.07	282.68	63.47	353.53	222.43	0.71	72.89	0.15	236.79
Sidt1	0.0	79.99	109.65	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	93.42	0.28	0.0	1.73	7.81	0.0	0.12	0.0	54.66	0.0	0.42	47.44	5.05	0.0	0.0	25.3	0.0	0.0	0.0	33.23	0.9	54.89	66.68	37.58	28.29	0.12	6.52	0.0	0.23	3.44	32.08	0.0	11.27	5.72	0.0	0.0	1.85	15.37	61.6	9.41
Slc2a6	0.0	23.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.06	0.0	0.0	105.9	0.0	0.0	101.83	0.0	251.01	0.0	88.56	211.49	1.83	112.76	113.68	8.96	109.84	0.84	123.88	167.48	1.58	32.0	22.53	75.33	76.84	87.43	56.45	9.08	0.0	0.0	42.38	80.46	6.92	0.0	2.97	0.0	1.87	0.0	0.31	28.67	0.0	68.53
Slc30a4	0.0	0.52	130.74	0.0	102.52	0.0	0.0	0.0	0.0	0.0	105.6	0.0	0.0	23.42	0.0	0.0	0.0	30.75	0.0	0.0	8.92	52.77	9.5	12.97	0.09	0.0	9.6	0.0	0.0	47.0	8.49	34.92	67.84	0.0	49.34	70.37	0.0	61.43	0.0	19.96	18.85	0.0	75.19	26.55	15.88	6.12	25.07	0.11	12.99	96.84	0.09
Spata2	0.0	0.0	7.04	0.0	23.81	0.0	0.0	0.0	0.0	10.36	0.0	0.0	0.07	87.98	0.07	0.0	0.0	0.0	0.0	18.86	0.0	13.02	4.26	0.0	0.0	37.56	0.0	0.0	0.0	53.94	23.57	5.4	13.16	0.0	1.39	3.22	0.0	0.0	5.01	8.74	0.07	21.78	0.0	3.25	9.94	15.16	0.68	56.01	4.15	0.0	2.79
Sphkap	0.07	20.11	5.73	0.0	101.39	0.0	0.0	0.0	0.0	1.24	55.51	0.0	69.3	9.83	0.0	0.97	0.0	15.52	0.0	44.45	4.8	2.11	4.8	49.98	37.29	25.41	58.26	31.64	178.35	51.02	31.54	100.9	2.59	33.71	14.37	58.64	57.28	17.58	56.59	63.16	34.42	39.3	63.11	42.34	93.44	12.57	26.31	70.48	8.14	19.51	54.97
Spna2	6.57	87.86	163.05	68.27	57.96	0.0	5.01	0.0	118.67	101.44	23.57	64.12	91.26	60.23	117.19	82.22	0.0	24.35	0.0	139.99	96.33	157.67	50.61	34.19	113.25	36.23	61.68	85.76	90.28	73.63	73.41	58.51	69.81	117.92	107.66	63.59	66.06	77.57	52.93	79.88	60.87	117.05	76.68	49.75	178.49	64.87	64.07	100.54	55.17	69.9	104.84
Sprn	16.9	0.0	0.0	0.0	75.77	0.0	0.0	0.0	0.0	0.0	98.68	0.0	7.97	18.1	0.0	25.0	0.0	0.0	0.0	39.6	0.0	3.45	0.0	1.37	0.16	22.83	13.78	19.08	0.0	10.72	68.29	8.95	15.5	0.0	63.29	22.79	11.57	100.98	76.19	45.75	23.46	138.22	5.99	100.83	4.34	5.11	0.0	152.57	29.43	112.26	105.48
Strbp	123.18	285.71	318.22	319.73	380.29	0.67	203.66	8.95	374.19	184.98	147.54	369.7	330.58	180.03	176.84	224.06	1.31	227.73	0.52	264.26	172.6	225.25	189.43	160.06	314.46	220.34	361.67	417.06	192.42	279.76	333.32	257.52	332.16	379.46	383.64	264.67	344.67	298.02	530.72	107.39	277.95	542.43	322.48	420.92	289.31	550.85	435.65	334.97	289.37	509.48	268.56
Stxbp5l	31.67	69.02	50.84	38.99	5.39	0.02	0.18	0.58	48.36	17.29	1.39	45.53	36.99	0.91	3.74	19.13	0.0	6.12	0.09	20.79	40.17	5.29	49.61	2.26	9.12	16.85	21.89	31.49	0.18	17.14	14.42	6.23	12.69	64.06	7.84	6.12	5.49	40.93	3.97	23.66	8.84	22.65	21.42	24.55	7.32	9.04	15.49	16.52	18.37	28.48	2.1
Synj1	5.02	113.45	109.68	151.72	192.99	0.0	133.39	0.0	56.28	89.32	210.83	155.65	100.75	85.67	160.36	149.43	0.0	148.88	0.0	89.88	119.08	128.32	71.52	34.76	56.72	193.53	70.67	154.34	153.1	40.02	168.9	138.37	220.01	94.27	82.72	145.88	98.5	100.09	139.45	88.97	63.64	124.09	157.91	130.62	156.51	69.75	145.32	65.68	87.33	54.16	101.03
Tmem56	0.0	0.26	0.05	11.86	11.75	83.47	0.0	0.0	78.35	0.0	89.19	6.26	97.03	0.0	49.18	3.8	0.0	0.16	5.89	0.0	19.51	13.03	32.74	3.09	1.37	0.0	0.0	7.67	16.17	4.68	16.73	9.44	63.4	64.17	8.62	51.23	79.09	51.43	21.67	47.44	28.31	100.0	28.65	61.32	27.23	0.0	0.0	2.71	29.41	43.84	0.0
Tollip	0.0	47.49	62.4	117.38	0.0	0.0	0.0	0.0	0.0	0.33	118.44	0.0	74.29	224.37	110.73	0.57	0.0	0.0	0.0	0.19	137.76	0.0	95.64	111.44	105.52	11.46	72.47	108.76	7.1	46.39	22.03	167.28	27.95	131.37	59.28	188.17	103.63	1.5	0.18	65.87	70.45	121.97	0.0	77.74	136.15	1.96	112.27	0.0	62.05	360.54	90.56
Zfp148	164.47	3.33	57.09	2.97	0.0	0.0	0.0	5.8	64.29	11.07	0.0	0.0	75.88	34.41	71.35	13.48	8.03	40.15	0.06	54.38	35.85	28.79	41.79	32.59	0.92	62.1	4.04	29.25	46.65	67.58	7.52	13.17	29.66	13.52	23.53	48.25	0.92	44.93	24.7	1.49	9.2	37.9	47.77	20.82	33.83	9.04	32.46	24.17	18.81	27.54	50.32
Zmynd11	0.0	89.31	61.23	73.03	152.73	0.0	49.7	0.0	117.11	18.61	45.57	191.95	91.26	70.84	32.09	66.76	0.0	25.06	0.31	102.49	100.51	23.55	85.96	2.83	48.08	89.03	23.04	44.44	60.97	0.33	3.67	39.18	114.5	149.41	12.39	15.27	10.9	48.1	71.35	32.22	95.71	34.41	36.85	103.1	70.69	1.97	10.94	26.01	60.02	40.38	117.68
Znfx1	0.0	0.0	8.95	11.71	0.68	0.0	0.0	0.0	28.03	6.25	0.0	21.7	1.9	1.9	2.22	2.33	0.0	0.0	0.0	0.0	3.93	0.0	54.96	52.89	3.99	0.45	0.97	0.0	0.08	1.87	24.52	1.12	0.0	0.0	20.95	0.34	0.0	26.42	0.0	0.0	0.81	1.92	0.0	0.1	3.25	0.0	0.0	0.08	8.0	0.0	33.38
