	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_25	Chrna2_tdTpositive_cell_43	Chrna2_tdTpositive_cell_54	Chrna2_tdTpositive_cell_62	Cux2_tdTpositive_cell_63	Gad2_tdTpositive_cell_11	Gad2_tdTpositive_cell_43	Ndnf_tdTnegative_cell_10	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_68	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	Pvalb_tdTpositive_cell_80	Pvalb_tdTpositive_cell_83	Pvalb_tdTpositive_cell_84	PvalbD.Slc32a1_tdTpositive_cell_5	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbD.Slc32a1_tdTpositive_cell_30	PvalbD.Slc32a1_tdTpositive_cell_35	PvalbD.Slc32a1_tdTpositive_cell_37	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_50	PvalbF.Gad2_tdTpositive_cell_74	PvalbF.Gad2_tdTpositive_cell_75	PvalbF.Gad2_tdTpositive_cell_79	PvalbF.Gad2_tdTpositive_cell_84	PvalbF.Gad2_tdTpositive_cell_85	PvalbF.Gad2_tdTpositive_cell_86	PvalbF.Gad2_tdTpositive_cell_87	Rbp4_tdTpositive_cell_51	Sst_tdTpositive_cell_56	Sst_tdTpositive_cell_66	Tac2_tdTpositive_cell_6	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Sema4g	0.0	0.62	2.27	0.0	3.58	5.39	21.38	0.0	0.0	6.77	0.0	0.15	0.0	0.0	18.22	7.71	0.68	6.12	1.48	0.0	4.95	1.47	51.51	0.16	4.3	0.0	6.39	1.81	1.12	9.19	1.5	8.65	0.5	5.87	4.91	0.0	0.07	21.5	7.63	0.0	18.97	0.19	15.72	16.16	16.98
Sfmbt1	0.0	0.0	0.0	0.0	22.91	13.28	2.92	25.85	0.0	14.72	6.74	2.5	1.82	0.0	0.0	0.12	0.0	20.84	6.54	0.0	7.61	21.15	51.08	0.0	16.88	0.84	6.3	14.52	0.35	11.58	0.0	0.06	0.0	6.47	2.33	2.45	1.36	0.0	1.32	0.81	0.08	1.73	13.24	12.53	13.37
Slc11a2	0.21	0.28	0.33	81.67	43.16	0.17	0.0	0.0	0.41	0.0	0.0	7.51	5.9	0.0	0.08	66.64	0.1	41.03	92.41	30.98	6.85	30.05	131.55	0.17	0.51	15.75	39.06	31.89	0.0	9.68	0.0	0.1	0.13	0.15	15.84	0.28	10.4	0.0	61.04	0.09	0.15	12.09	36.02	36.01	37.34
Slc25a25	0.0	0.91	0.0	0.0	26.65	22.57	19.42	10.28	0.0	0.21	33.12	55.93	16.83	0.0	23.82	38.92	0.0	0.0	13.7	52.24	45.22	50.57	174.41	0.0	0.0	35.95	34.89	1.46	9.35	0.0	47.45	1.06	13.24	0.0	94.43	0.96	0.0	0.0	33.0	30.42	2.97	0.0	46.38	46.66	37.47
Slc25a33	0.25	0.0	0.0	0.0	0.0	6.87	0.0	5.12	0.0	0.0	0.77	19.56	0.0	0.0	0.0	6.44	0.0	0.0	0.73	0.0	32.32	35.43	49.46	0.0	4.54	0.0	0.0	0.0	18.86	17.75	0.0	0.0	0.0	83.57	0.0	0.0	0.0	20.36	3.35	0.42	0.0	24.7	37.88	43.15	37.19
Slc7a1	0.0	0.07	0.0	0.0	15.09	0.37	1.2	0.0	0.0	1.44	13.01	5.18	1.78	9.63	5.96	15.04	0.02	9.42	2.02	5.42	3.56	5.08	34.87	2.48	17.83	0.17	8.92	0.18	0.07	0.0	0.13	6.72	0.0	0.0	0.87	0.07	0.04	3.66	1.88	9.12	22.46	16.27	21.29	20.23	23.14
Snx9	0.0	0.0	0.0	0.0	0.0	41.41	0.0	28.85	0.0	0.0	0.0	6.74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	28.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.45	11.69	11.86
Spen	0.0	0.0	0.0	0.0	0.41	0.0	0.39	0.2	0.0	0.0	0.0	0.0	0.04	0.59	0.59	0.0	0.33	0.0	0.0	4.24	2.63	0.42	16.54	0.0	12.8	4.38	1.86	0.33	7.98	0.43	0.3	0.0	0.0	14.2	2.08	7.07	7.96	0.0	0.02	4.26	0.0	0.0	19.23	19.39	20.09
Stag1	0.0	0.0	1.04	2.14	0.0	31.92	42.74	0.42	0.0	2.58	35.6	7.26	0.0	0.0	0.0	19.53	0.0	1.47	0.0	12.14	0.0	0.05	78.89	22.0	11.52	0.0	1.36	0.0	7.72	0.0	0.0	1.52	26.44	8.59	0.0	10.28	0.0	0.17	4.1	5.38	0.0	15.65	19.23	18.21	19.87
Tbr1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.07	0.0	0.0	0.0	0.0	7.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	79.44	81.98	78.39
Thoc5	142.82	0.0	82.2	0.0	51.23	3.91	0.0	71.83	0.0	46.0	43.18	0.0	12.99	0.0	0.0	1.24	75.6	62.61	85.27	29.4	45.97	6.25	195.16	0.11	6.89	105.96	40.24	3.33	0.0	73.94	0.0	0.0	0.0	2.41	0.0	0.0	163.15	0.0	49.31	0.0	0.0	0.0	33.57	32.99	32.59
Ticam2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.76	0.57	0.44
Tmcc1	58.04	0.0	0.05	0.0	0.32	0.0	18.82	17.98	0.0	10.37	0.0	18.41	7.53	18.2	2.26	16.87	8.31	29.66	11.05	29.08	18.92	12.44	39.94	25.42	0.18	3.39	7.71	4.67	0.75	9.69	0.0	13.2	39.07	12.58	0.0	28.01	0.6	9.64	0.03	28.97	14.0	6.26	39.25	38.54	38.8
Tmcc2	0.0	0.0	0.0	0.0	0.65	0.0	0.0	0.0	0.0	13.46	0.0	0.0	0.0	0.0	4.57	0.0	0.0	0.0	0.0	0.0	6.05	15.98	36.88	0.0	29.71	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.26	0.12	0.12	0.0	0.0	1.08	0.0	0.0	0.0	125.04	130.95	130.63
Tmem150a	5.05	0.0	0.0	0.0	0.0	2.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.82	0.0	0.0	0.0	81.83	0.0	0.0	14.04	0.0	0.0	2.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.94	15.8	15.01
Tmem185b	0.0	0.0	0.0	0.0	0.0	0.0	17.39	0.0	456.53	0.0	0.0	0.0	44.05	0.0	0.0	0.17	0.0	0.0	0.0	0.25	0.0	0.2	58.39	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0	41.07	0.14	0.0	0.0	0.0	0.0	0.0	0.0	11.19	13.0	10.32
Tnpo2	0.0	23.97	0.0	1.0	10.39	16.94	2.85	2.19	0.0	2.38	15.96	32.39	4.02	2.94	13.43	9.62	5.1	1.9	3.85	14.28	24.75	6.67	44.68	23.26	21.56	4.24	3.36	14.99	9.45	13.52	4.63	2.96	1.46	15.63	5.7	15.88	10.74	7.98	28.22	22.16	0.13	8.83	98.65	98.42	99.6
Tpd52	0.0	133.96	2.06	0.0	83.98	26.1	44.78	0.0	0.0	0.0	16.52	50.32	13.41	0.0	6.44	94.5	58.43	151.51	54.78	69.35	86.55	0.12	530.13	131.45	28.88	13.8	3.42	107.37	21.28	11.82	7.67	0.0	44.85	0.0	29.18	126.37	0.0	165.43	73.7	116.86	0.0	0.0	74.98	75.6	75.45
Ube2o	0.0	0.0	0.0	54.01	2.4	0.67	0.0	4.37	0.0	0.57	3.46	1.73	1.57	4.88	2.43	1.46	0.06	0.0	4.12	17.1	3.68	0.85	61.79	35.21	26.42	0.0	0.5	0.66	3.09	8.18	5.69	0.84	3.41	5.79	19.92	42.34	0.96	0.64	2.3	0.9	5.27	0.0	88.4	97.29	91.53
Ubxn6	0.0	0.0	0.0	0.0	46.92	23.47	74.94	4.91	0.0	0.15	0.57	1.93	0.0	0.0	5.55	46.41	0.0	2.78	57.57	0.0	58.75	21.5	63.67	0.0	4.71	1.7	3.79	0.0	2.25	9.95	0.97	0.26	0.0	0.0	0.0	0.24	0.0	2.41	35.06	0.23	0.0	0.0	96.98	109.7	101.44
Uhmk1	0.0	0.0	0.0	0.0	0.18	0.0	0.0	0.0	0.0	0.0	19.75	37.17	0.0	0.0	38.97	0.0	0.0	27.34	0.0	0.83	0.0	0.0	33.31	3.05	0.0	0.0	0.93	1.52	0.0	0.0	0.0	0.0	24.39	0.0	0.0	0.0	0.0	0.0	37.96	0.0	0.0	0.0	88.22	83.8	88.49
Unc45a	0.0	10.16	0.17	115.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.19	0.0	0.0	56.12	4.41	0.0	44.1	0.0	0.0	17.69	0.17	90.02	0.0	3.88	0.0	18.07	2.79	0.33	0.0	0.0	0.0	0.0	53.57	7.14	0.0	1.43	0.0	0.42	2.77	10.85	0.0	26.91	25.32	22.3
Vamp5	0.84	2.45	0.39	0.18	1.77	0.28	2.07	3.24	1.46	0.0	0.0	1.27	0.0	1.04	0.89	0.66	0.24	1.92	0.0	0.95	0.93	0.91	4.2	1.74	2.49	0.0	1.38	1.19	0.51	0.31	1.06	0.0	1.69	1.62	1.95	0.0	1.6	2.22	1.25	1.82	1.34	1.51	3.03	2.48	2.96
Wdr18	0.0	2.61	0.0	73.46	45.77	26.28	34.18	18.64	0.16	0.0	0.0	30.94	26.97	64.72	33.89	14.73	7.47	0.0	1.26	0.05	23.92	15.68	163.63	0.0	80.0	54.53	93.17	45.48	24.79	0.0	50.99	98.26	44.9	47.52	0.0	40.35	38.73	42.83	79.36	11.19	149.88	109.16	37.97	41.86	38.71
Wdr43	0.0	0.0	0.0	3.23	4.48	54.67	69.91	0.0	0.0	3.52	0.28	38.03	0.13	0.3	4.84	69.0	10.13	41.11	0.1	13.72	18.78	23.61	190.59	4.15	37.92	3.77	28.53	5.4	78.16	4.56	0.0	0.0	46.51	0.0	0.0	15.73	1.36	23.4	2.97	1.25	2.47	0.0	18.99	17.87	18.26
Wdr46	0.0	0.0	0.0	0.0	0.14	0.11	0.0	0.0	0.0	0.0	0.0	0.0	1.28	0.0	0.35	0.32	0.0	0.0	0.0	0.0	0.0	0.0	3.48	0.14	0.0	0.0	0.0	0.4	0.5	0.0	0.0	1.02	0.0	0.0	0.0	1.49	0.0	0.16	0.0	1.13	0.0	0.03	8.6	10.58	10.16
Zc3h8	0.0	111.76	0.0	0.0	65.75	0.0	0.0	0.0	0.0	75.74	0.0	0.42	0.0	0.0	0.0	0.0	0.0	0.0	143.86	73.21	0.0	0.0	184.11	52.96	89.14	0.0	0.24	0.0	0.0	59.78	0.0	4.01	18.81	0.0	99.95	0.0	0.0	87.21	58.74	55.99	31.98	104.88	11.07	10.91	10.34
Zdhhc18	0.0	0.0	0.0	0.0	0.13	0.0	3.73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.3	0.0	14.17	0.0	0.0	21.09	0.0	0.0	1.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.2	21.34	22.92
Zfp507	0.0	0.0	0.0	0.0	24.85	0.0	0.04	1.31	0.0	0.0	0.0	0.96	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.83	2.85	5.99	53.74	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.92	0.12	0.12	11.79	2.84	0.03	12.92	7.77	0.0	11.96	10.86	12.34
