	Calb2_tdTpositive_cell_34	Calb2_tdTpositive_cell_35	Calb2_tdTpositive_cell_40	Calb2_tdTpositive_cell_52	Calb2_tdTpositive_cell_56	Gad2_tdTpositive_cell_10	Gad2_tdTpositive_cell_22	Gad2_tdTpositive_cell_23	Htr3a_tdTpositive_cell_7	Htr3a_tdTpositive_cell_48	Htr3a_tdTpositive_cell_59	Htr3a_tdTpositive_cell_65	Nr5a1_tdTpositive_cell_30	Ntsr1_tdTpositive_cell_39	Sst_tdTpositive_cell_3	Sst_tdTpositive_cell_6	Sst_tdTpositive_cell_31	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_83	Sst_tdTpositive_cell_88	Vip_tdTpositive_cell_1	Vip_tdTpositive_cell_16	Vip_tdTpositive_cell_45	Vip_tdTpositive_cell_48	Vip_tdTpositive_cell_49	Vip_tdTpositive_cell_50	Vip_tdTpositive_cell_51	Vip_tdTpositive_cell_52	Vip_tdTpositive_cell_61	CAV_LP_Ipsi_tdTpos_cell_21	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28
Gm6300	52.39	109.2	31.83	74.64	77.84	2.08	60.67	112.9	122.41	95.81	227.47	117.42	23.27	23.97	114.79	61.25	4.48	35.8	32.44	81.69	86.35	0.08	76.05	87.79	69.21	78.57	77.96	67.87	134.48	236.28	23.84	40.7	28.24	49.7	36.22	25.82
Gm6313	9.5	23.73	8.97	18.58	13.22	2.6	16.01	38.43	18.32	4.84	25.1	27.73	0.69	7.15	13.27	8.6	0.95	5.7	3.87	27.48	25.33	0.0	9.22	18.79	21.9	14.28	10.84	14.77	29.19	51.58	2.54	9.93	1.67	12.52	3.99	3.77
Gm6602	17.96	26.15	1.75	14.35	13.65	1.5	17.63	25.15	32.71	13.47	48.38	43.84	1.66	4.56	13.34	10.0	0.26	5.17	5.96	7.68	25.94	0.0	29.58	34.12	33.11	42.54	20.73	34.86	38.29	34.59	13.55	13.48	12.24	6.36	8.93	4.65
Gm6634	8.97	10.54	1.13	6.61	10.08	0.0	4.46	6.97	8.31	9.54	7.43	3.27	0.0	2.56	3.79	4.66	0.0	4.19	1.28	5.81	5.44	0.0	3.68	6.54	5.21	0.54	8.39	3.72	6.55	14.05	0.32	2.97	1.35	1.96	2.73	1.36
Gpr174	0.84	1.05	0.25	1.36	0.31	0.65	0.75	1.83	0.88	1.47	0.8	0.93	0.48	0.45	1.77	1.23	0.12	0.35	0.66	1.4	1.29	0.0	0.89	1.66	1.71	1.15	1.22	1.66	1.64	1.53	0.56	0.6	0.25	1.47	1.2	0.27
Grk4	222.41	632.19	86.1	418.76	289.97	5.9	288.47	506.5	736.17	544.8	915.12	756.7	95.04	106.36	511.5	253.17	7.84	127.38	207.41	414.05	290.99	32.88	300.85	406.41	569.1	525.54	439.06	277.06	688.5	883.03	197.62	320.29	230.56	295.8	248.39	121.94
H2-Q4	94.46	165.71	14.8	164.93	65.43	0.2	72.32	181.33	104.43	143.0	267.04	176.03	13.95	37.55	95.85	95.36	11.57	51.54	66.04	120.79	87.79	3.2	85.54	141.83	160.22	171.04	128.27	114.18	142.72	184.12	55.56	45.85	83.09	98.83	33.35	32.67
Hbq1a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Il1rl1	1.04	3.69	0.0	2.84	4.37	0.54	1.66	4.49	4.69	1.48	2.86	1.35	1.57	2.88	4.81	2.79	0.77	1.16	1.17	1.6	2.23	0.0	2.11	4.44	3.7	1.95	2.75	2.69	4.35	7.29	0.72	3.99	1.84	1.9	2.29	2.35
Il5ra	3.17	13.11	2.5	49.06	8.85	0.0	2.88	29.84	3.0	12.06	30.62	6.35	3.59	5.43	10.3	17.57	0.07	2.5	5.27	11.71	19.71	0.0	8.1	29.45	3.7	27.88	5.2	18.32	30.96	33.68	3.03	7.41	5.81	37.93	15.65	6.27
Itga4	6.34	6.78	0.16	8.63	5.73	0.57	5.09	8.91	7.05	13.24	8.47	139.99	1.19	2.34	7.44	2.54	1.33	2.58	1.16	6.59	4.94	0.45	8.81	6.57	11.27	4.12	8.54	4.89	10.66	16.89	2.1	2.72	1.53	2.48	5.24	2.27
Kcnj15	0.27	0.32	0.19	0.61	0.29	0.2	0.07	0.22	0.31	0.34	0.39	1.07	0.2	0.12	0.16	0.0	0.0	0.12	0.15	0.39	0.13	0.0	0.69	0.18	0.26	0.72	0.34	0.19	0.55	0.13	0.24	0.0	0.13	0.09	0.0	0.19
Kcnq1ot1	38.42	74.22	25.0	63.72	55.52	0.77	38.24	69.61	112.21	72.23	158.12	98.18	12.22	14.61	99.56	53.4	1.61	19.92	28.54	61.12	59.29	6.01	69.49	60.82	66.74	62.36	56.38	56.43	89.16	140.97	32.73	53.73	29.16	47.0	38.76	28.83
LOC434412	0.55	0.19	0.0	0.3	0.16	0.0	0.3	0.23	0.51	0.13	0.26	1.07	0.0	0.07	0.08	0.0	0.13	0.1	0.0	0.0	0.28	0.0	0.06	0.27	0.25	0.0	0.27	0.0	0.36	0.62	0.11	0.0	0.08	0.32	0.11	0.0
LOC622124	0.29	0.21	0.26	0.11	0.4	0.0	0.06	0.08	0.68	0.0	0.1	0.86	0.0	0.44	0.35	1.64	0.0	0.06	0.45	0.0	1.71	0.0	0.29	0.49	0.45	0.21	0.35	0.22	0.21	1.19	0.24	0.23	0.48	0.0	0.25	0.32
Lama2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Lrrn4cl	6.74	14.28	1.09	11.39	8.48	0.0	3.54	12.02	8.44	12.06	10.35	15.91	2.38	1.65	18.02	6.72	0.25	2.84	4.4	12.79	8.6	0.48	7.29	14.58	16.81	15.19	11.61	11.21	16.49	16.49	3.49	4.91	6.24	4.52	2.59	3.31
Mageb16-ps1	3.08	5.41	5.8	4.14	3.42	0.0	3.45	14.13	8.88	6.96	8.07	15.95	2.2	1.95	15.39	2.63	0.0	1.96	6.69	17.19	2.68	0.0	8.09	10.36	4.59	2.94	11.99	8.97	8.76	16.96	0.98	5.39	5.06	0.87	4.29	0.81
Mir128-1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Msx2	1.62	4.01	0.77	1.85	0.33	0.0	0.76	0.97	1.81	1.09	1.32	0.72	0.08	0.14	0.33	0.5	0.0	0.26	0.15	1.65	0.17	0.17	0.48	0.51	2.15	1.42	0.94	1.13	1.57	0.0	0.13	0.0	0.15	0.45	0.23	0.0
Npm2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Oas3	2.11	2.0	2.56	3.28	3.11	0.7	2.5	7.39	3.55	1.52	4.87	5.3	1.64	0.53	1.85	3.52	0.33	0.53	2.32	4.74	9.91	0.0	1.84	3.63	1.76	1.39	7.97	1.83	0.91	10.33	1.56	4.61	0.45	1.94	1.61	1.69
Olfr613	51.2	123.28	7.76	133.33	86.15	0.41	60.83	146.99	99.66	119.72	251.23	131.3	22.59	16.47	79.69	82.98	1.97	37.46	52.68	35.06	56.25	0.31	97.93	89.72	54.98	96.13	75.25	75.15	102.79	230.03	14.96	40.1	53.1	79.16	56.59	20.84
Olfr856-ps1	306.92	433.79	125.19	170.38	98.61	0.0	189.57	226.93	148.76	125.04	897.34	487.03	95.97	98.78	490.09	212.93	1.64	91.0	88.7	81.6	171.11	3.52	309.24	380.11	387.53	258.2	174.73	203.59	461.61	787.62	29.79	113.08	211.56	119.52	61.46	157.21
Olr1	0.0	0.48	0.0	0.0	1.57	0.0	1.1	4.32	0.11	0.13	5.05	0.12	0.0	0.45	0.0	2.44	0.0	0.1	2.59	0.56	0.43	0.0	2.4	1.43	2.01	4.14	1.89	0.16	8.79	3.82	0.52	0.0	0.0	0.41	0.26	2.97
Onecut3	0.95	1.86	0.09	0.24	1.91	0.07	0.61	0.88	1.72	1.64	1.79	1.67	0.24	0.17	1.32	0.56	0.2	0.3	0.66	0.81	1.55	0.08	0.95	0.61	0.7	0.18	0.8	0.65	1.44	1.58	0.25	0.0	0.0	0.86	0.2	0.14
Pi15	19.31	35.61	12.21	18.96	25.37	5.79	11.67	35.85	34.5	26.74	35.84	30.97	1.23	9.09	23.19	12.52	0.01	9.01	8.33	29.92	10.47	3.61	25.18	39.73	35.06	32.86	21.51	36.0	36.37	55.14	13.88	14.51	6.79	12.4	10.13	7.59
Pirt	1.22	2.53	0.0	2.2	1.53	0.0	0.57	0.0	1.47	0.39	1.22	1.15	0.24	0.27	2.71	1.18	0.0	0.44	0.31	0.64	0.0	0.0	0.43	1.22	1.38	0.8	0.14	0.39	0.67	2.96	0.0	0.43	0.13	1.12	0.49	0.34
Pot1b	39.78	39.62	4.0	29.47	27.99	0.0	23.97	69.05	33.37	22.08	58.34	46.23	3.96	17.2	31.64	5.83	2.15	5.27	30.73	33.14	11.99	0.0	41.31	10.28	25.08	21.64	24.9	18.52	40.14	69.27	11.66	27.41	33.83	10.51	20.26	9.66
Pou5f1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Psg28	9.58	14.26	3.13	12.61	7.27	1.2	10.03	13.41	24.91	15.9	30.19	27.66	1.08	4.03	18.39	11.02	1.85	4.43	4.88	16.22	4.85	2.78	10.58	10.29	13.63	6.44	11.87	8.13	28.9	29.0	7.29	9.75	10.36	4.17	7.13	3.45
Psg29	0.15	0.2	0.0	0.84	0.68	0.0	0.05	1.06	2.09	0.63	5.42	0.08	0.51	0.0	0.03	0.24	0.28	0.41	0.08	0.67	6.03	0.0	0.29	1.1	0.42	0.35	1.2	2.25	0.42	0.79	0.35	0.08	0.55	0.08	0.38	0.0
Rdh1	31.14	40.44	6.66	30.39	31.34	7.48	20.01	56.87	58.93	29.44	87.84	47.38	8.94	12.95	41.83	17.25	0.39	14.62	7.56	41.86	24.27	3.65	39.68	61.18	64.74	37.97	37.83	59.98	96.67	113.98	17.86	23.93	12.31	31.36	20.17	19.08
Rdh9	13.26	23.31	0.0	15.46	21.12	0.0	2.41	37.83	12.9	4.86	19.47	18.68	1.24	0.0	8.38	9.28	0.0	0.07	0.0	0.0	4.1	0.0	0.24	4.12	4.88	33.87	14.72	12.09	3.92	19.99	0.0	0.94	0.89	1.47	1.34	10.05
Runx3	0.41	0.76	0.0	0.13	1.0	0.0	0.0	0.61	0.27	0.46	0.87	0.47	0.36	0.0	1.3	0.62	0.0	0.0	0.08	0.43	0.33	0.0	0.81	0.02	0.33	0.91	0.4	0.55	0.83	0.12	0.0	0.36	0.0	0.0	0.16	0.0
Saa4	0.92	0.89	0.42	2.21	1.75	0.15	0.57	0.67	1.3	1.07	1.49	1.2	0.73	0.23	1.21	0.45	0.0	0.39	0.0	2.45	0.0	0.0	0.57	1.58	0.51	0.25	1.8	0.88	2.12	0.39	0.43	0.14	0.0	0.44	0.0	0.24
Serpina1a	1.72	11.5	2.27	4.26	7.15	0.97	3.44	6.85	5.98	4.75	10.51	8.39	1.93	1.16	5.43	3.13	0.42	2.95	0.52	3.43	8.59	0.31	1.44	4.38	7.77	6.83	3.46	4.11	5.66	5.13	0.08	2.18	0.0	0.83	1.8	0.31
Six6	0.0	0.0	0.0	0.11	0.53	0.0	0.7	0.0	0.0	0.0	0.5	1.94	0.16	0.0	0.0	0.4	0.0	0.12	0.0	0.0	0.0	0.0	0.16	0.2	0.0	0.0	0.0	0.0	0.05	0.26	0.15	0.0	0.36	0.09	0.08	0.05
Skint4	9.7	11.0	0.5	12.65	9.98	0.06	6.69	11.55	17.24	14.16	35.04	15.25	0.84	1.47	9.35	5.62	0.0	1.57	1.6	8.34	6.24	0.0	10.38	19.22	7.52	10.75	8.31	15.5	18.7	17.78	6.12	4.01	1.5	4.15	4.18	2.86
Slc6a18	4.33	3.5	1.57	7.3	1.66	0.0	2.66	8.09	3.71	5.61	15.21	5.59	0.43	2.16	9.21	3.85	0.12	1.67	4.24	3.62	4.0	0.0	5.59	5.27	6.69	8.35	3.81	9.98	13.23	7.82	3.38	3.41	1.79	5.11	3.96	4.59
Slfn8	4.54	0.58	0.31	2.97	5.65	0.0	3.91	2.98	9.02	12.84	9.21	4.64	1.73	0.27	16.59	1.68	0.43	0.28	3.5	6.75	11.9	0.0	1.9	7.27	2.28	4.85	5.71	3.12	8.71	7.7	1.04	1.67	2.1	4.8	3.4	6.85
Slfn9	8.28	22.28	14.61	16.48	10.29	0.0	11.77	16.31	29.74	23.72	29.23	23.9	2.7	7.27	25.55	7.95	1.49	4.79	6.25	22.07	10.1	0.49	13.17	15.38	14.48	18.68	21.7	12.82	30.92	34.02	4.84	11.7	17.13	12.37	17.35	7.1
Spag8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Spc24	20.99	47.55	9.73	19.65	38.74	0.16	15.52	47.42	52.69	39.48	65.48	30.94	4.51	11.1	30.02	17.05	2.15	15.85	9.64	18.35	14.44	0.45	25.53	41.44	43.33	17.03	25.68	22.33	51.98	57.01	9.75	16.2	18.97	20.06	23.62	8.42
Synj2bp	133.43	241.49	100.77	92.62	69.08	96.33	131.98	297.94	127.91	207.62	162.68	176.96	16.64	82.23	145.86	96.95	41.49	78.62	60.8	135.21	83.37	5.12	115.69	214.07	130.84	85.63	127.67	159.36	204.12	254.4	111.85	71.78	114.04	110.52	123.89	63.26
Tectb	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tigit	10.88	43.03	9.74	31.12	24.52	0.0	13.48	42.69	40.59	39.4	29.73	40.24	7.19	9.84	17.96	15.98	0.0	16.67	17.79	27.5	16.71	0.0	26.21	44.37	24.66	44.37	19.93	14.69	43.52	30.07	15.2	6.91	3.63	7.57	19.87	8.74
Tmprss11g	1.17	3.41	2.27	0.61	0.69	0.0	0.82	3.39	0.52	1.29	1.83	2.64	0.35	0.77	1.12	0.62	0.0	0.97	0.11	0.77	0.3	0.0	1.14	1.84	0.37	3.45	0.16	0.77	1.29	1.63	0.99	0.27	1.26	1.52	0.32	0.1
Tnfrsf10b	22.31	44.77	3.2	49.18	19.22	0.48	21.46	50.06	36.69	43.31	65.9	32.66	9.59	8.11	49.31	33.97	0.48	14.12	13.88	26.3	22.45	5.99	20.0	45.99	51.51	67.31	28.33	35.76	57.77	57.69	16.59	16.09	15.52	24.49	10.22	9.2
Trappc9	23.18	39.23	13.73	73.13	32.37	5.35	68.85	67.82	42.41	38.65	467.62	39.51	13.9	41.77	56.63	28.55	9.42	140.39	27.96	32.99	27.22	3.05	38.38	49.75	27.76	22.14	25.76	158.45	51.71	109.17	22.5	30.6	66.15	21.44	20.81	22.4
Tyms	45.81	90.08	21.34	105.5	74.08	0.14	51.37	143.26	96.62	214.97	125.27	117.05	15.62	18.27	54.99	37.63	3.5	50.3	41.5	59.89	70.98	1.01	68.94	94.39	89.23	98.58	86.21	74.15	99.4	147.72	23.02	29.83	46.28	72.7	33.88	24.53
Tyms-ps	0.0	0.0	0.0	0.0	2.08	0.0	1.38	9.84	0.65	3.87	2.23	2.56	0.0	1.24	4.53	0.62	0.0	0.73	0.37	2.14	0.0	0.0	0.32	0.65	0.74	0.8	2.21	0.89	0.2	5.14	0.32	1.57	0.1	4.85	0.04	0.11
Ubb	32253.84	31101.69	25575.28	30893.82	32217.54	24794.68	31186.09	30998.2	27545.09	33033.08	31728.87	31088.98	26433.34	28296.97	31623.03	31415.92	24919.38	30046.08	30412.88	32576.6	32905.97	34072.44	35368.68	33803.89	31243.31	38561.98	34059.86	33756.05	28092.24	27898.6	31907.29	31090.16	29072.44	35026.92	33691.16	30646.34
Ube1y1	15.84	8.14	3.39	13.35	11.33	0.0	10.09	13.63	11.3	7.91	34.54	17.18	5.5	2.3	17.42	8.63	1.64	3.18	4.05	13.51	17.63	0.0	15.95	25.79	20.05	26.42	12.52	17.13	41.12	18.74	4.17	14.49	3.48	8.97	2.4	0.95
Utp23	80.39	15.94	17.72	22.24	19.06	5.05	73.93	33.49	16.86	18.16	33.25	26.01	5.44	62.57	35.82	9.66	4.63	8.39	13.72	26.31	13.01	3.29	15.07	25.84	23.59	25.27	15.2	12.58	24.93	64.63	90.5	29.46	51.82	40.3	19.09	10.98
Veph1	8.08	11.39	1.58	9.12	5.68	0.0	6.26	3.68	17.41	5.19	7.76	5.93	1.26	1.1	5.29	6.5	1.77	2.0	3.58	6.36	15.87	0.12	8.31	7.67	2.06	6.58	5.13	4.91	10.27	10.11	4.23	1.77	5.07	2.78	2.78	1.07
Vmn1r58	135.04	242.76	15.77	178.57	240.22	0.46	91.43	207.96	158.04	188.33	253.86	215.37	21.95	32.95	86.63	95.87	0.42	59.84	86.08	172.28	70.23	2.02	140.64	144.33	120.84	192.47	234.84	152.4	304.59	388.91	38.21	149.62	48.2	277.02	102.88	48.31
Wwtr1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Zfc3h1	0.0	8.09	0.0	0.0	0.12	0.0	15.25	0.0	41.61	0.0	0.0	18.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.38	8.05	0.14	0.33	14.89	0.11	32.94	0.08	0.0	0.38	3.32	21.78	0.0
Zfp277	97.76	186.37	63.4	153.1	209.33	4.08	126.06	225.7	221.76	607.43	378.57	639.86	35.63	44.5	135.21	98.65	81.94	111.22	100.61	144.12	168.41	234.96	149.19	196.74	359.89	179.82	159.81	145.63	446.22	392.79	32.89	135.58	82.58	163.53	154.47	60.12
Zfp300	18.4	19.34	3.75	27.99	10.43	0.61	8.54	36.02	19.53	20.32	43.12	31.63	5.32	4.95	15.34	11.91	0.89	4.49	6.43	16.93	9.99	0.0	23.28	22.98	18.94	42.21	20.12	19.15	40.76	40.36	5.15	12.42	14.82	24.16	48.27	6.35
Zfp385c	1.08	1.89	0.0	1.72	0.49	0.0	0.4	0.0	0.54	0.23	0.44	0.06	0.07	0.16	0.28	1.17	0.0	0.54	0.0	0.0	0.45	0.0	0.33	0.0	0.68	1.41	1.05	1.47	1.37	1.64	0.34	0.15	0.67	0.63	0.46	0.06
Zfp488	203.53	251.16	86.33	299.89	251.91	1.85	213.0	352.8	262.25	178.83	723.13	419.86	55.79	51.28	349.24	202.79	2.19	132.25	117.4	212.53	220.96	0.69	238.5	405.06	257.69	285.66	394.45	277.67	337.74	770.08	35.19	136.85	189.76	213.54	134.33	78.85
Zfp71-rs1	51.11	99.19	14.79	71.75	63.25	1.73	50.89	99.18	177.21	89.61	149.02	138.28	20.76	17.53	89.29	49.96	0.34	74.57	43.67	74.02	40.9	0.48	63.62	82.74	89.82	85.49	93.52	68.08	148.47	257.44	28.95	64.2	35.68	51.87	44.15	17.09
c13_tRNA-Ala-GCY_	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.71	18.82	0.0	0.0	82.92	0.0	0.0	12.98	0.0	0.0	0.0	0.0	104.12	0.0	0.0	166.57	0.0	0.0	0.0	86.13	0.0	74.16	0.0	0.0	0.0	24.12	25.32	0.0
c19_tRNA-Lys-AAA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
c1_tRNA-Lys-AAA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
c7_tRNA-Lys-AAA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
