	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_54	Ctgf_tdTpositive_cell_6	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_43	Htr3a_tdTpositive_cell_85	Ndnf_tdTnegative_cell_6	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_30	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_51	PvalbF.Gad2_tdTpositive_cell_52	PvalbF.Gad2_tdTpositive_cell_54	PvalbF.Gad2_tdTpositive_cell_58	PvalbF.Gad2_tdTpositive_cell_59	PvalbF.Gad2_tdTpositive_cell_60	PvalbF.Gad2_tdTpositive_cell_62	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_67	PvalbF.Gad2_tdTpositive_cell_68	PvalbF.Gad2_tdTpositive_cell_70	PvalbF.Gad2_tdTpositive_cell_72	PvalbF.Gad2_tdTpositive_cell_73	PvalbF.Gad2_tdTpositive_cell_77	PvalbF.Gad2_tdTpositive_cell_81	PvalbF.Gad2_tdTpositive_cell_83	Rbp4_tdTpositive_cell_51	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Npc1l1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.88	0.0	4.02	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	1.14	1.02	1.24
Oaz2	0.0	372.5	0.0	0.0	0.0	0.0	0.0	4.09	0.26	67.55	122.81	76.66	2.11	76.49	4.52	136.05	82.41	57.4	0.0	0.0	112.29	69.57	0.24	4.65	62.56	1.02	257.73	6.16	1.42	71.23	89.09	92.99	66.65	303.79	199.04	68.37	132.83	40.39	2.66	205.75	212.47	201.97
Pcdhgb4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.19	15.04	10.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.64	0.0	0.0	0.0	0.0	0.0	6.68	6.6	6.17
Pcsk1n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.88	1.45	1.49	6.97	0.29	0.57	0.21	0.17	3.1	3.97	1.12	5.59	0.0	2.49	0.0	14.34	4.2	0.17	13.98	14.29	1.02	3.95	0.36	2.55	2.86	4.7	5.03	1.38	11.18	2.1	4.9	383.89	483.91	457.22
Pcx	0.0	0.0	0.0	0.0	18.16	0.0	0.0	7.81	6.33	1.71	16.19	8.91	0.0	49.26	0.0	1.78	0.0	17.79	0.0	52.53	15.58	7.18	27.86	0.0	0.0	31.4	58.41	31.17	30.67	3.91	126.47	2.97	35.44	0.09	0.0	0.0	8.46	12.9	33.94	45.6	46.82	43.87
Peg3	0.0	7.09	0.05	0.0	35.25	95.03	0.08	15.28	0.73	23.32	54.2	26.37	11.32	31.0	0.23	7.54	6.31	27.73	7.36	17.59	24.47	29.5	18.5	20.56	75.17	103.63	40.05	39.23	39.17	71.65	90.77	48.24	19.92	76.03	103.83	23.27	55.21	57.29	32.64	126.23	106.05	122.89
Phax	0.0	171.43	0.0	0.0	59.75	37.35	0.74	38.37	187.35	82.61	195.51	51.0	92.63	107.55	39.62	0.21	20.3	229.44	63.39	158.39	242.46	79.52	173.3	44.96	82.65	112.73	149.68	32.57	71.14	78.39	201.54	11.27	28.81	309.13	51.21	137.74	6.37	125.99	223.33	39.57	40.11	38.93
Plekha8	0.0	2.19	0.0	0.0	24.95	0.0	0.0	0.0	31.76	0.94	32.34	37.77	0.29	21.09	0.0	17.39	0.0	15.79	5.78	0.0	0.0	0.0	31.94	0.07	0.0	26.11	30.92	4.81	0.0	18.74	0.0	0.12	0.0	34.95	0.0	0.0	17.3	46.24	0.64	8.84	8.58	8.01
Polg2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.97	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.86	0.0	0.0	0.0	0.0	5.12	0.0	6.36	0.0	0.0	0.0	0.0	0.0	3.63	2.78	3.32
Polr2m	0.0	0.0	0.0	0.0	6.75	7.85	0.0	0.0	98.37	16.44	27.38	13.38	17.19	17.13	36.52	74.9	62.95	34.6	4.54	24.6	15.23	54.93	3.06	20.37	46.9	3.45	3.1	48.99	70.33	65.51	34.75	117.76	7.92	199.88	91.8	5.41	18.93	32.82	35.11	182.36	197.49	182.07
Ppp1cc	0.0	9.16	6.53	0.0	51.93	0.13	0.12	59.02	8.87	27.32	75.96	11.33	14.04	81.87	33.07	69.63	66.25	42.64	116.58	0.18	5.46	12.76	5.94	159.17	73.08	107.99	253.63	85.01	71.24	152.72	117.01	125.87	0.83	128.8	7.55	117.16	68.07	41.95	63.0	191.89	210.87	186.07
Ppp4r1l-ps	1.0	0.68	0.0	0.0	4.69	0.45	0.41	0.05	0.0	2.63	0.37	0.11	0.04	0.22	0.07	0.15	0.5	0.33	0.0	0.19	0.15	0.1	10.11	0.69	10.87	10.14	37.58	0.81	0.26	1.99	1.1	0.94	0.56	29.94	0.3	0.43	0.52	0.38	0.45	3.65	4.38	3.94
Prkce	0.0	0.89	0.0	0.0	21.84	108.56	0.04	2.92	36.24	28.08	26.82	66.56	63.13	24.63	36.28	37.4	69.04	12.17	15.45	28.57	34.59	27.51	76.21	84.99	32.04	82.26	99.55	124.81	24.93	39.5	92.7	17.03	51.44	52.48	39.46	37.85	58.8	81.95	31.32	203.76	201.38	207.81
Rab12	5.7	0.25	0.0	0.0	24.29	2.68	7.56	4.24	16.77	44.37	53.33	35.15	62.81	65.75	67.95	16.07	28.47	53.65	48.95	18.78	50.03	6.57	65.06	7.71	54.25	6.54	123.85	17.51	110.92	127.73	91.12	18.53	19.68	103.55	21.99	97.55	54.86	117.37	22.08	112.99	122.88	106.48
Rcan3	0.0	47.57	0.0	0.0	5.09	0.0	0.0	0.0	11.97	20.4	10.4	0.0	0.0	32.39	7.63	1.46	17.38	0.0	16.22	0.0	20.47	1.33	0.0	0.0	22.79	0.0	0.52	10.69	0.0	28.81	26.45	0.0	33.83	41.82	0.0	19.3	5.67	18.69	0.0	20.67	21.15	22.02
Rnf165	0.0	0.0	0.0	0.0	0.0	0.0	0.51	0.07	0.06	0.21	0.13	0.07	0.21	0.09	0.19	0.0	0.18	0.19	2.91	0.18	0.39	0.15	0.22	0.29	0.62	0.3	12.18	0.04	10.0	4.35	8.7	0.28	0.18	14.56	0.44	0.22	11.13	5.64	0.06	24.71	25.79	25.0
Rsu1	0.0	0.0	0.24	0.0	0.0	0.0	356.12	0.0	2.07	0.0	1.18	0.0	72.65	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.5	0.0	85.77	0.0	34.81	27.82	71.74	0.0	0.0	78.12	0.0	50.95	0.0	0.25	24.58	29.45	31.07	28.35
Sin3a	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.89	14.49	4.94	0.0	13.43	0.19	15.72	4.46	0.0	35.48	0.0	24.18	1.8	0.7	0.0	0.0	12.18	0.8	2.97	0.0	1.04	3.18	0.0	5.72	21.34	0.33	1.95	1.82	0.07	9.21	19.98	19.5	19.36
Ska1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.12	0.0	0.1	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.07	0.07	0.17	0.22
Slc2a13	0.0	0.04	0.0	0.0	1.05	12.42	0.0	0.0	28.72	30.41	39.15	14.24	4.54	39.9	21.89	2.31	2.97	16.74	0.0	13.81	0.33	16.99	27.84	34.18	10.66	41.37	42.01	36.49	77.8	32.92	61.85	0.0	39.07	116.11	61.84	90.17	44.06	113.63	18.27	67.34	63.59	65.25
Slc30a9	0.0	0.07	0.0	0.0	12.03	0.18	0.0	1.38	34.74	3.46	15.04	19.09	19.62	25.4	1.2	29.93	31.1	68.37	20.99	3.81	0.31	19.26	42.65	97.96	47.78	63.99	80.62	27.49	26.39	91.37	7.3	60.91	32.55	54.62	1.66	58.74	168.19	57.65	44.58	113.22	114.28	108.85
Slc4a7	0.0	0.0	0.0	0.0	68.95	0.24	0.04	0.0	3.0	21.73	16.44	1.62	0.0	19.93	0.86	2.74	23.5	2.16	16.81	11.12	0.0	11.29	2.48	10.83	37.15	2.74	35.63	12.84	0.0	15.59	44.69	3.5	40.9	33.75	7.33	11.56	0.0	0.0	40.36	13.09	12.01	12.37
Snph	0.0	0.0	0.0	0.0	2.81	0.27	0.0	11.05	0.3	50.42	21.1	55.6	35.32	39.11	17.93	71.46	39.44	21.45	1.73	43.35	63.51	40.3	17.03	3.7	29.75	35.85	74.75	29.66	3.68	5.05	25.53	110.31	77.13	132.9	98.0	16.1	54.39	37.42	11.59	167.43	174.0	180.8
Sord	0.0	0.76	0.0	631.92	0.56	0.0	0.0	53.27	0.64	0.0	53.47	1.65	0.0	0.0	59.27	81.72	9.2	0.41	0.0	0.0	80.35	34.76	0.0	0.0	0.0	0.0	94.39	0.0	14.69	0.0	58.23	137.78	0.0	179.39	0.0	0.0	29.57	0.33	55.76	18.48	21.58	18.27
Specc1l	0.0	0.0	0.0	0.0	0.0	0.05	0.0	1.38	1.56	0.0	18.66	14.62	0.0	4.87	0.0	38.84	0.05	0.36	11.12	22.93	0.18	0.0	0.0	0.0	0.0	0.0	0.87	0.31	0.76	0.0	0.0	0.0	0.0	27.7	2.32	19.79	0.89	0.0	0.0	28.51	27.24	28.03
Spin2	0.0	0.19	0.0	0.0	0.0	0.0	0.0	0.0	63.7	0.0	67.25	57.23	100.41	0.0	0.0	0.0	0.0	0.0	42.27	0.0	0.0	0.0	0.0	76.49	0.0	0.0	196.63	67.79	0.0	6.66	166.07	0.0	0.0	0.0	83.24	66.51	0.0	0.0	0.0	7.86	7.66	7.13
Spsb3	0.0	0.0	0.0	190.23	146.1	89.62	0.0	0.0	64.27	0.0	100.59	0.32	58.21	12.3	2.03	0.0	61.05	2.46	0.0	60.76	42.93	0.29	4.45	211.55	0.29	0.0	59.48	61.69	17.31	131.63	0.99	1.25	48.58	202.06	2.82	37.37	178.2	62.12	62.96	65.94	70.23	66.46
Tars2	0.0	0.04	0.0	0.0	0.0	0.91	0.0	42.29	0.14	31.25	1.12	69.86	0.0	14.39	0.34	0.0	0.19	16.22	0.33	64.54	5.98	58.1	76.48	56.68	66.7	0.0	83.83	60.86	0.0	18.96	147.86	3.02	57.13	0.21	71.08	7.81	1.12	55.08	51.56	27.78	27.47	26.48
Tas1r3	0.0	0.0	0.0	0.0	14.59	0.42	0.12	0.0	0.0	0.0	0.0	0.29	0.0	0.19	0.0	0.56	0.0	0.17	0.0	0.62	0.0	0.28	0.0	0.13	0.0	0.11	0.0	0.4	0.21	0.19	0.11	0.0	0.88	0.38	0.0	0.0	0.31	0.0	0.0	0.96	0.62	0.29
Tbc1d17	0.0	38.99	0.0	0.0	0.0	21.64	0.0	4.79	45.25	0.91	0.42	0.0	35.49	0.0	0.0	0.0	71.82	17.43	50.46	43.41	0.21	15.3	0.0	0.0	51.7	26.54	62.96	0.0	21.53	0.0	0.0	29.52	2.75	82.45	18.63	15.82	70.44	38.14	0.0	37.23	41.98	39.97
Thoc2	0.0	36.45	0.0	0.0	1.56	24.43	1.33	14.05	52.49	31.39	10.67	24.67	0.0	33.04	50.23	32.87	51.05	32.4	21.47	11.56	24.72	23.08	43.64	13.38	13.06	23.25	86.1	11.19	6.14	34.08	125.53	69.41	34.79	1.99	0.0	1.43	15.17	21.5	76.51	19.98	14.85	20.31
Tmem20	0.0	0.0	0.1	0.0	0.68	0.46	0.11	0.0	0.32	0.21	1.09	1.52	0.74	0.97	0.0	1.8	0.96	0.88	1.09	0.86	0.84	0.27	0.4	0.84	1.36	0.63	0.79	0.78	0.21	0.31	1.0	0.27	0.41	1.06	0.17	0.75	0.53	0.7	0.7	1.78	2.78	2.14
Tmem64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34	1.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.05	0.0	4.71	23.0	9.16	0.0	1.97	0.0	2.59	0.0	0.0	0.16	32.49	0.0	0.0	12.05	0.0	4.23	37.43	37.22	33.63
Trank1	0.0	0.0	0.0	0.0	0.71	17.3	0.0	0.02	19.45	2.81	2.59	1.04	0.06	3.89	0.47	12.56	3.93	1.2	11.31	13.4	0.2	17.08	14.84	10.37	10.61	7.71	23.18	17.83	0.94	16.45	14.81	5.69	37.05	26.59	49.43	21.24	28.88	4.49	2.55	140.49	127.25	159.33
Trim9	135.06	8.21	0.0	332.72	43.53	1.04	3.02	7.64	42.53	48.31	60.4	4.25	52.32	45.63	3.89	42.17	11.84	54.27	16.15	77.54	75.02	0.09	6.93	5.21	29.76	7.34	42.27	128.05	32.01	46.73	104.84	4.96	54.63	66.18	30.86	7.32	11.52	86.99	39.59	156.89	148.92	163.0
Trip12	0.0	0.72	0.0	0.0	0.0	2.14	0.0	14.0	16.08	30.12	4.4	14.56	36.6	14.21	11.02	14.67	1.38	17.89	15.33	9.87	0.5	2.12	12.82	4.28	50.76	7.89	48.97	20.01	4.77	24.05	39.0	15.24	22.13	26.1	25.07	22.2	25.35	27.01	39.66	63.25	57.31	62.05
Trpc5	0.0	15.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.06	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.87	6.2	9.34
Tulp4	0.73	0.0	0.0	0.0	28.09	5.68	8.86	0.0	14.56	0.08	9.84	3.24	8.34	14.31	1.21	16.51	0.79	0.19	7.41	4.69	0.06	11.46	23.26	16.59	11.63	0.42	29.34	15.99	0.58	4.09	57.38	6.34	5.84	37.08	43.68	42.04	20.05	6.3	19.12	59.3	56.91	65.23
Uevld	0.0	0.0	0.0	0.0	0.0	9.51	0.34	0.05	0.1	0.0	27.79	1.09	0.0	0.49	0.2	25.36	21.25	14.49	0.0	0.0	0.19	9.19	0.0	49.12	0.1	0.21	0.2	0.06	0.16	0.0	50.99	0.56	6.0	0.23	0.0	0.21	22.27	15.4	0.31	10.34	10.67	10.11
Vcp	83.52	44.19	0.1	545.57	45.16	90.12	0.08	39.36	8.9	211.78	110.38	58.34	59.07	86.44	167.64	62.96	116.97	47.43	54.34	158.09	100.66	3.8	33.99	32.5	102.64	58.12	212.46	37.92	66.12	108.03	103.83	48.37	59.21	196.99	66.12	135.48	103.76	120.43	89.31	246.34	254.24	243.23
Yod1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.46	23.81	6.85	0.0	52.79	0.0	36.11	0.56	14.29	0.0	0.0	0.0	13.26	0.0	0.0	0.0	0.0	53.02	0.0	0.0	5.45	85.26	0.0	18.16	0.0	3.91	0.05	18.17	0.0	28.04	7.19	7.33	8.73
Zbtb16	0.0	0.05	0.07	0.0	14.12	0.06	0.28	3.16	0.09	17.59	0.0	8.34	0.0	26.12	1.33	2.53	9.57	9.04	11.72	25.89	0.1	0.0	26.07	4.62	18.3	0.0	25.54	0.06	2.16	12.24	19.9	3.16	42.88	0.07	17.71	20.8	16.98	1.63	0.0	14.94	16.22	15.47
Zdhhc17	37.33	82.29	0.07	0.0	123.86	2.46	222.24	0.0	31.78	1.89	27.55	45.64	21.78	14.3	15.9	0.0	85.17	26.22	62.07	27.72	10.23	16.45	84.43	0.0	78.95	95.6	63.79	43.37	62.83	3.81	104.63	62.91	166.28	84.59	37.59	59.67	71.36	57.51	31.9	75.2	74.31	76.98
Zfp30	0.19	0.12	0.0	0.0	0.0	0.47	0.23	0.09	0.0	0.37	33.37	11.84	0.0	0.0	0.58	77.35	0.0	22.58	11.15	34.53	0.0	0.17	0.53	4.9	18.56	0.8	68.47	0.55	0.6	0.11	54.22	41.11	42.19	0.16	40.43	0.13	0.29	26.46	49.23	11.62	12.32	10.72
Zfp318	0.0	0.0	0.0	0.0	0.0	4.06	0.0	0.0	22.05	11.42	0.82	18.54	1.62	8.85	16.2	2.08	24.82	1.68	17.81	27.49	6.8	14.02	0.0	0.94	16.82	31.34	27.78	18.45	16.95	23.03	0.0	11.88	24.49	52.57	5.66	2.2	57.02	0.0	0.0	28.24	25.01	27.42
Zfp575	0.06	1.24	0.0	0.0	0.34	0.93	0.0	0.0	1.74	0.0	1.1	2.04	1.09	1.62	2.41	2.2	1.52	16.46	1.45	2.41	0.34	1.46	1.53	3.65	42.48	0.84	4.89	2.34	0.32	1.32	2.47	1.79	0.82	2.11	1.64	2.52	3.64	1.1	1.94	8.73	10.02	10.98
Zfp955b	0.0	1.73	0.0	0.0	88.32	0.0	0.0	27.02	100.08	29.66	79.33	34.59	25.66	46.32	121.62	0.0	11.54	16.22	50.85	56.14	1.9	0.0	33.39	60.61	42.35	34.98	155.19	60.0	103.7	32.22	162.48	33.17	14.38	90.01	96.88	26.21	56.28	15.84	0.06	14.43	11.37	13.86
Zrsr1	0.0	0.11	0.0	0.0	11.62	0.86	0.0	0.0	30.91	2.96	14.49	0.11	0.0	0.86	32.9	32.51	13.08	0.06	0.0	5.29	43.59	7.01	3.31	4.1	1.62	2.67	30.19	11.92	3.84	33.06	0.0	12.9	10.86	90.43	0.0	31.46	29.74	0.08	0.0	41.78	40.88	38.0
Zscan18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.36	0.0	7.15	12.95	18.08	12.82	19.77	0.0	89.89	0.0	0.0	0.0	0.0	32.26	0.0	0.0	0.0	10.82	0.0	64.92	0.0	0.0	7.13	37.96	0.0	9.14	52.24	2.34	0.0	30.92	0.1	0.0	15.68	15.82	15.28
