	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_54	Cux2_tdTnegative_cell_4	Cux2_tdTnegative_cell_12	Gad2_tdTpositive_cell_43	Htr3a_tdTpositive_cell_85	Ndnf_tdTnegative_cell_6	Ndnf_tdTnegative_cell_10	Nkx2.1_tdTpositive_cell_18	Ntsr1_tdTnegative_cell_30	Ntsr1_tdTnegative_cell_33	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_35	Pvalb_tdTpositive_cell_40	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_46	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_71	Pvalb_tdTpositive_cell_73	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_11	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_22	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_34	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_77	PvalbF.Gad2_tdTpositive_cell_81	Rbp4_tdTpositive_cell_51	Rbp4_tdTnegative_cell_16	Scnn1a.Tg2_tdTnegative_cell_5	Scnn1a.Tg3_tdTnegative_cell_12
Scn8a	3.32	32.03	0.0	0.0	85.11	31.96	0.02	0.0	27.19	0.0	0.11	60.36	56.0	37.8	24.16	49.68	76.27	79.76	96.35	99.5	115.41	60.77	73.98	66.85	103.08	13.92	39.53	28.69	68.89	70.42	49.37	48.67	62.0	69.2	65.33	74.65	88.97	52.44	40.27	65.37	11.47	52.31	57.61	88.43	64.08	88.05	81.71	0.06	1.33	0.0
Scrn3	0.0	0.0	0.21	0.0	303.68	76.62	0.09	0.14	35.14	0.27	0.0	34.02	72.49	0.0	0.1	38.24	42.3	83.19	52.28	59.41	111.9	48.38	84.47	77.38	72.94	0.24	0.0	0.14	4.33	112.49	206.89	0.0	42.45	60.13	22.6	61.44	29.54	0.0	0.0	32.31	63.92	71.45	0.0	55.46	17.71	3.12	9.26	0.0	0.91	0.0
Skiv2l2	0.29	0.22	0.0	0.0	107.48	0.56	0.0	0.0	17.68	0.0	2.34	55.86	30.6	63.94	67.05	31.55	46.62	30.04	105.82	78.73	62.07	125.9	74.37	106.15	108.3	44.13	2.74	67.22	73.74	69.98	107.22	131.67	59.48	44.56	4.43	89.96	94.39	56.61	2.1	41.24	56.19	30.54	74.95	48.47	118.37	97.33	49.14	2.01	0.22	0.21
Slc12a6	0.0	0.0	0.0	0.39	38.2	110.0	0.0	0.0	73.67	0.0	0.2	63.32	70.24	29.63	53.82	39.96	33.28	52.0	80.07	50.87	23.44	84.16	32.64	12.85	59.85	39.52	0.1	27.53	40.37	23.19	87.88	82.4	78.78	58.12	27.36	52.81	27.65	54.41	50.82	16.3	57.66	66.03	45.58	55.41	42.75	59.72	105.85	0.0	0.5	17.09
Slitrk1	0.0	0.0	0.0	0.0	10.95	0.0	0.0	0.0	0.0	0.0	0.28	0.0	0.0	0.0	0.0	21.75	0.18	21.54	0.0	2.03	25.96	0.0	16.13	17.72	0.0	7.92	0.57	0.0	0.0	0.0	83.23	36.25	0.0	7.01	0.0	0.0	3.41	0.0	0.0	8.92	0.0	0.0	0.0	0.0	0.0	0.0	21.21	0.0	0.09	0.0
Snord116	0.0	0.0	0.0	0.0	0.0	5.72	0.0	0.0	7.69	0.0	0.0	0.0	0.0	0.0	8.69	9.26	13.81	7.55	0.0	0.0	10.13	0.0	4.97	5.44	0.0	21.33	0.0	8.33	3.39	4.84	20.33	5.67	3.11	13.15	7.64	3.68	3.4	0.0	3.94	3.61	9.68	4.39	0.0	13.5	17.03	0.0	1.69	0.0	0.0	0.0
Snord116l1	0.0	0.0	0.0	0.0	0.0	5.72	0.0	0.0	7.69	0.0	0.0	0.0	0.0	0.0	8.69	9.26	13.81	7.55	0.0	0.0	10.13	0.0	4.97	5.44	0.0	21.33	0.0	8.33	3.39	4.84	20.33	5.67	3.11	13.15	7.64	3.68	3.4	0.0	3.94	3.61	9.68	4.39	0.0	13.5	17.03	0.0	1.69	0.0	0.0	0.0
Snord116l2	0.0	0.0	0.0	0.0	0.0	5.72	0.0	0.0	7.69	0.0	0.0	0.0	0.0	0.0	8.69	9.26	13.81	7.55	0.0	0.0	10.13	0.0	4.97	5.44	0.0	21.33	0.0	8.33	3.39	4.84	20.33	5.67	3.11	13.15	7.64	3.68	3.4	0.0	3.94	3.61	9.68	4.39	0.0	13.5	17.03	0.0	1.69	0.0	0.0	0.0
Sprn	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.08	0.0	0.0	22.78	9.49	0.0	0.0	8.16	0.0	25.8	30.4	0.0	23.84	0.0	42.47	0.0	0.0	0.49	0.0	0.14	0.0	26.98	36.24	9.41	45.02	0.23	0.0	1.03	5.68	0.0	0.14	0.63	0.0	0.0	0.0	0.0	2.38	1.38	8.17	0.0	0.12	0.0
Stxbp5l	0.0	0.85	0.0	0.34	1.96	0.14	0.08	0.07	10.49	0.06	0.54	7.62	6.15	14.34	2.2	6.22	8.48	14.62	10.32	13.15	24.18	9.82	20.86	1.15	20.34	4.46	0.82	27.31	13.09	6.27	35.09	8.33	0.51	3.33	8.73	14.63	28.1	2.47	3.55	3.42	5.35	12.47	12.41	26.33	6.82	37.24	2.55	0.11	0.22	0.37
Sugp1	0.0	0.81	0.0	0.0	81.01	0.0	0.0	0.21	2.76	0.0	0.0	24.72	0.0	0.0	0.0	23.38	1.01	65.35	0.0	60.37	9.29	7.34	26.69	6.3	5.42	51.83	73.49	26.38	11.78	82.67	145.95	0.0	57.03	21.98	22.93	22.42	26.64	0.22	43.79	40.74	0.71	0.0	1.39	65.88	51.15	24.66	0.17	0.0	0.0	0.0
Tmem141	0.0	272.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	161.13	81.53	89.25	0.0	114.35	0.0	99.77	63.41	160.26	101.8	43.19	0.0	0.0	75.07	171.89	66.53	136.47	35.97	97.81	12.38	0.0	46.19	0.5	0.0	116.15	55.49	0.0	69.11	105.26	82.5	0.0	0.0	44.22	0.0	0.0	0.0
Tmem65	0.0	1.54	0.0	8.83	86.36	33.02	0.0	0.0	65.89	0.0	0.0	55.66	34.94	20.18	95.99	63.81	5.26	48.79	104.77	88.19	66.78	24.62	46.3	27.57	93.4	6.2	78.8	18.53	47.72	7.75	125.39	141.36	29.96	112.07	100.9	74.58	72.17	19.8	5.35	86.78	48.29	22.81	12.84	29.89	27.69	133.74	106.09	0.0	0.0	0.0
Tmem87a	0.81	0.0	0.0	38.22	3.68	0.0	3.13	0.17	9.89	4.25	0.0	45.11	0.24	0.0	0.82	20.77	31.33	0.85	1.3	2.43	36.13	7.45	3.72	1.02	0.89	1.58	2.28	32.3	0.89	1.08	52.78	6.4	0.0	10.02	18.9	0.56	0.9	6.32	7.89	7.76	0.37	12.16	0.77	7.26	1.29	14.85	1.33	0.6	11.98	0.0
Tom1l2	0.0	13.36	0.07	0.0	0.25	3.9	0.0	0.0	22.2	0.0	0.12	40.98	35.97	8.74	14.37	36.83	30.12	52.34	45.61	42.43	32.24	24.7	76.38	29.96	57.71	11.48	4.0	31.08	35.49	26.78	22.36	74.31	53.87	37.13	16.91	28.83	83.01	7.62	35.71	15.89	7.25	16.39	49.11	48.14	28.42	63.4	40.38	0.0	0.3	0.0
Trmt61b	0.0	0.0	0.0	0.0	72.85	51.4	0.0	0.0	0.0	0.0	0.0	45.02	188.19	83.34	52.39	0.0	0.0	64.6	52.38	54.43	87.64	50.0	0.0	0.0	4.55	0.0	0.0	57.29	0.0	0.0	174.49	40.54	0.0	40.35	0.0	0.0	0.63	38.28	54.07	0.0	82.45	60.93	65.42	99.57	50.3	46.76	100.58	0.0	0.77	0.0
Trp53bp1	0.0	0.0	0.0	0.0	39.74	0.96	0.0	0.0	19.42	0.0	0.0	23.72	24.95	9.22	15.9	9.56	3.06	48.49	13.67	7.68	3.12	20.33	14.98	15.6	16.2	29.2	27.85	10.32	0.05	4.17	71.52	13.31	5.82	10.3	13.11	11.26	18.62	31.08	2.12	38.78	0.14	30.8	2.6	24.05	14.03	33.15	21.15	0.0	0.28	59.51
Trpc4	0.0	4.42	0.0	0.0	47.26	29.5	0.0	0.0	0.56	0.0	0.0	1.19	1.74	52.2	0.0	3.18	0.48	54.7	0.79	22.73	11.06	0.0	18.13	93.48	0.0	0.0	0.0	0.0	0.0	0.0	83.46	34.9	48.81	102.22	0.0	31.1	115.42	15.04	56.33	17.84	0.17	15.91	0.0	38.8	3.78	64.06	0.0	0.0	0.0	0.0
Ube3a	25.4	18.3	0.0	0.09	81.78	44.86	0.06	0.0	56.89	0.0	3.62	94.87	91.66	37.57	39.79	75.6	92.21	62.01	131.45	38.67	81.03	80.91	109.2	62.2	56.68	62.66	55.36	34.14	111.02	56.3	119.83	124.46	64.44	28.0	98.21	25.18	167.34	62.75	87.85	65.39	62.99	26.06	52.68	99.21	64.74	70.46	107.67	0.1	0.47	0.0
Ubr4	0.0	21.71	0.0	0.0	8.67	4.29	0.03	0.0	6.75	0.0	0.19	8.33	4.34	1.37	2.72	4.86	5.73	14.21	4.29	6.94	20.08	8.5	15.91	7.69	5.02	0.0	1.46	0.68	12.48	13.25	21.11	11.83	8.21	13.76	8.72	7.97	8.9	18.32	0.24	26.28	27.28	6.82	1.26	15.68	27.62	7.47	32.95	0.0	0.25	0.0
Ugcg	0.27	20.66	0.0	0.0	64.3	50.51	0.15	0.0	34.04	0.0	0.32	85.58	44.78	2.86	8.14	70.13	23.86	4.92	18.29	59.28	36.67	13.74	15.48	89.19	59.25	3.31	0.49	6.4	51.59	38.84	116.15	41.87	77.06	93.09	61.68	73.51	69.1	27.73	15.02	20.23	40.02	37.96	2.51	87.65	81.89	62.99	85.21	0.0	0.0	0.17
Usp15	70.45	118.42	0.0	0.0	23.0	131.07	0.09	88.48	36.67	0.28	0.37	95.01	31.29	9.42	91.68	39.15	154.29	127.85	33.89	77.4	4.88	92.86	90.63	103.94	73.07	86.11	0.19	117.44	46.23	14.84	13.63	118.94	64.65	26.83	22.22	51.44	28.1	68.99	69.67	54.32	37.46	43.82	58.55	3.72	39.04	76.52	17.66	0.0	0.0	0.0
Zc3h6	0.0	0.0	0.0	0.0	1.79	0.0	0.0	0.0	3.64	3.76	0.0	22.33	6.21	23.28	1.44	5.78	4.66	1.01	0.0	1.11	0.0	10.52	21.56	0.0	0.26	0.0	0.0	0.0	5.03	16.63	87.66	0.0	0.0	9.22	13.77	5.6	5.58	3.32	8.6	15.89	0.33	0.58	8.74	6.35	0.0	19.28	0.0	0.0	0.0	0.0
Zfp317	0.0	1.17	0.0	0.0	43.84	95.22	0.76	0.62	38.33	0.76	0.86	37.32	42.45	6.63	23.35	12.72	167.49	16.82	17.25	89.47	82.39	41.82	7.23	34.83	8.97	0.0	32.78	52.85	76.51	39.09	135.68	17.09	79.19	28.84	23.53	88.97	32.98	7.86	9.17	60.87	78.29	37.88	47.71	39.07	49.36	49.4	107.35	1.1	1.39	0.55
