	Calb2_tdTpositive_cell_3	Cux2_tdTpositive_cell_3	Cux2_tdTpositive_cell_8	Cux2_tdTpositive_cell_20	Cux2_tdTpositive_cell_52	Cux2_tdTpositive_cell_55	Cux2_tdTpositive_cell_56	Nr5a1_tdTpositive_cell_3	Nr5a1_tdTpositive_cell_9	Nr5a1_tdTpositive_cell_10	Nr5a1_tdTpositive_cell_11	Nr5a1_tdTpositive_cell_13	Nr5a1_tdTpositive_cell_14	Nr5a1_tdTpositive_cell_16	Nr5a1_tdTpositive_cell_17	Nr5a1_tdTpositive_cell_24	Nr5a1_tdTpositive_cell_33	Nr5a1_tdTpositive_cell_46	Ntsr1_tdTpositive_cell_38	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_183	Rorb_tdTpositive_cell_11	Scnn1a.Tg3_tdTpositive_cell_66	Scnn1a.Tg3_tdTpositive_cell_67	Scnn1a.Tg3_tdTpositive_cell_72	Scnn1a.Tg3_tdTpositive_cell_76	Scnn1a.Tg3_tdTpositive_cell_80	Scnn1a.Tg3_tdTpositive_cell_85	Scnn1a.Tg3_tdTpositive_cell_88	Scnn1a.Tg3_tdTpositive_cell_99	Slc17a6_tdTpositive_cell_15	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3
Plekhh2	0.11	0.02	0.03	10.32	0.0	0.0	0.0	0.14	0.0	0.11	0.0	0.19	0.0	0.0	0.0	0.0	0.0	0.05	0.0	2.57	42.85	0.14	0.01	0.05	0.0	0.0	0.35	0.0	0.05	0.07	0.0	0.15	2.53	1.11	0.13	0.37	0.55
Polr1b	0.58	0.4	0.92	0.49	1.28	2.07	2.26	85.75	0.77	1.07	1.1	76.91	1.23	2.21	1.03	1.83	2.59	1.58	0.0	2.11	0.51	1.95	1.22	2.12	1.0	0.88	1.18	0.37	0.86	0.6	1.94	30.34	11.78	10.82	12.28	9.43	4.68
Prdx6b	0.0	0.0	0.0	0.8	0.0	0.21	0.19	0.82	0.25	0.0	0.19	0.15	0.34	0.0	0.19	0.0	0.0	0.25	0.0	0.54	0.05	0.0	0.0	0.0	0.0	0.0	0.32	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.12	0.0
Psmc4	183.89	967.57	315.54	848.58	487.62	721.57	353.96	589.92	467.17	213.04	437.16	946.56	727.83	1091.38	212.86	523.36	818.94	171.58	25.05	487.15	348.41	463.58	566.57	742.4	556.11	0.76	427.38	578.44	256.54	96.28	975.19	499.16	472.59	403.99	571.33	575.55	551.49
Psmd13	0.0	227.96	165.05	181.12	225.03	28.97	0.0	127.5	99.9	194.12	0.35	69.69	2.31	45.54	14.13	12.15	149.46	158.96	365.81	108.32	128.91	230.43	349.48	2.36	0.0	0.0	110.62	207.17	103.44	415.59	114.89	112.24	174.89	209.88	59.2	92.42	75.65
Ptpn5	202.03	204.91	68.07	542.27	40.7	46.45	80.59	120.2	359.02	238.43	62.62	123.9	160.04	32.48	43.75	112.84	52.46	184.06	42.98	126.47	76.34	33.14	331.5	36.6	85.9	122.63	163.63	64.49	28.44	835.49	22.25	126.85	123.45	105.46	117.74	98.86	93.99
Pxmp4	7.48	3.56	4.2	225.3	5.79	8.53	2.8	10.89	6.09	7.77	8.21	131.08	15.27	4.94	4.51	8.42	8.17	6.76	3.49	26.88	4.72	5.31	27.94	8.32	5.21	123.29	4.15	2.06	4.18	5.76	7.44	55.59	46.31	23.88	28.28	24.62	34.63
Rad52	0.0	0.06	0.0	30.51	0.0	0.0	0.0	231.58	0.0	0.0	0.0	175.33	0.0	60.89	18.58	0.32	0.27	90.59	140.96	7.57	16.73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.49	0.0	18.14	17.33	19.76	20.67	24.72	28.69
Rpl13a	109.95	275.53	499.1	502.27	333.1	178.3	121.81	5.8	123.33	203.43	133.26	528.06	327.05	207.39	213.09	187.9	55.21	257.06	247.93	272.18	87.32	263.31	373.1	76.45	165.82	314.84	68.42	262.96	322.82	291.25	317.26	259.36	201.64	247.14	178.9	203.57	220.77
Rpl24	388.46	408.35	781.34	662.82	113.8	494.31	316.75	560.68	270.87	271.7	385.66	178.71	971.89	373.05	295.58	288.89	775.63	465.5	283.09	765.62	736.83	607.05	407.36	783.54	217.88	198.78	226.24	494.98	93.95	375.49	739.86	583.9	443.89	540.86	332.43	463.92	426.33
Rps23	270.73	661.66	298.68	791.35	295.18	927.34	455.77	600.5	247.92	119.32	343.41	549.55	1044.9	794.16	557.24	426.22	360.38	836.04	499.85	941.26	1165.51	264.05	909.54	425.84	372.21	584.62	331.58	719.7	732.43	810.94	315.03	913.93	830.13	710.38	501.85	613.15	666.19
Rsph9	0.0	0.0	1.0	241.73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.44	0.0	0.0	0.0	0.0	0.0	0.43	52.12	85.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	108.58	106.26	110.81	52.24	117.7	84.19
Rufy1	0.0	82.62	0.0	110.26	0.0	0.0	0.0	0.07	0.28	0.0	0.0	164.28	0.0	0.0	0.0	62.01	0.0	0.09	0.0	25.15	0.57	0.0	0.0	0.0	1.9	61.55	0.0	0.4	0.0	0.26	0.29	2.54	12.27	7.51	13.03	10.37	10.46
Sap30l	0.0	32.31	0.0	55.13	0.0	0.0	0.0	20.76	0.0	0.0	0.0	41.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.23	1.28	0.0	0.0	0.0	0.0	65.35	0.0	0.0	0.0	3.01	0.0	0.0	2.35	4.88	3.53	4.52	2.05
Scyl3	2.62	1.81	2.38	80.23	3.01	0.0	0.0	0.0	0.54	0.75	0.0	0.0	3.09	6.52	0.0	0.0	0.0	0.59	0.0	11.75	1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	39.71	2.42	3.93	3.46	6.16	6.89	3.9
Seh1l	0.0	1.45	1.97	131.75	164.06	0.0	10.06	6.03	116.5	0.64	129.43	176.65	0.0	0.14	0.08	81.5	81.56	70.67	111.42	50.46	56.19	7.53	133.01	0.0	0.0	0.0	335.09	129.83	0.0	170.52	0.44	46.82	62.76	54.84	68.71	59.48	54.89
Slc10a2	0.0	1.23	0.35	1.58	0.38	0.42	0.34	1.14	0.0	1.45	0.0	1.28	0.0	0.61	0.17	0.63	0.66	0.91	0.0	0.63	0.87	1.55	0.56	0.46	0.44	0.0	1.74	0.0	1.38	0.43	0.0	0.0	0.41	0.0	0.0	0.22	0.18
Slc16a11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6	0.52	0.0	0.56	0.0	0.0	0.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.78	0.69	0.99	0.4
Slc35a5	126.07	127.1	0.0	229.13	6.56	0.0	0.0	102.32	21.02	47.39	0.0	63.82	3.18	0.0	0.06	0.0	84.9	0.0	0.09	30.05	0.36	13.89	0.0	0.0	0.0	0.0	104.59	0.0	132.55	0.0	65.37	52.33	32.65	31.77	40.32	30.99	37.09
Slc35d2	19.34	1.7	3.79	49.99	2.39	6.66	15.06	12.87	2.91	9.68	34.77	3.55	0.63	3.91	5.76	9.2	1.08	6.79	2.97	14.08	9.29	4.83	8.55	9.63	4.11	3.88	14.34	4.75	5.02	17.34	23.34	5.25	11.95	9.88	14.6	7.53	10.19
Slc35e3	32.63	18.96	0.0	0.0	0.0	0.0	0.0	28.49	0.0	1.98	0.0	88.37	0.0	25.75	0.0	0.14	0.0	0.0	11.99	6.81	5.3	0.0	0.28	54.65	0.0	0.0	0.78	0.0	0.0	0.0	0.66	6.29	9.31	9.75	7.84	15.54	10.02
Slc8a2	0.0	0.05	8.72	20.23	9.1	0.0	5.29	3.99	7.93	0.0	6.73	0.0	12.88	1.72	0.0	17.9	0.0	0.0	9.91	4.19	3.96	0.0	0.0	0.0	0.0	0.0	0.0	6.72	3.37	12.26	0.0	2.58	3.27	4.91	1.05	1.45	2.52
Snap25	26182.83	24880.43	23752.44	18385.26	16982.14	17171.12	25194.29	24000.2	22188.29	17100.1	20741.69	17649.48	24648.02	18953.07	18880.15	20270.61	22891.51	20758.47	23051.34	12067.68	15494.11	25542.47	21394.04	19595.44	19363.42	16051.58	18361.62	20672.41	19978.93	18926.54	17971.93	13859.73	14414.73	13443.27	20846.74	19146.26	18964.09
Snrpd1	0.96	203.76	270.44	740.75	545.0	108.96	185.93	139.28	67.38	109.42	302.61	475.71	227.57	276.72	349.87	163.69	316.28	115.69	191.37	344.27	467.44	492.46	436.2	0.0	113.2	0.0	730.64	564.04	165.09	678.64	313.42	240.67	294.42	324.21	196.25	200.54	219.4
Snrpd2	229.84	107.83	309.93	401.35	243.09	148.73	0.0	154.89	414.32	143.65	122.31	194.56	629.06	548.86	228.53	343.57	344.18	371.0	363.9	507.7	276.56	0.0	612.04	179.35	170.55	222.82	395.35	371.68	236.08	107.7	118.11	348.94	328.18	412.29	285.84	343.36	335.0
Snx32	178.02	0.31	134.43	379.79	211.97	14.24	0.0	296.96	3.16	5.69	0.0	146.03	0.73	278.76	29.38	17.39	0.52	0.0	0.0	110.09	105.04	358.19	208.79	0.0	0.0	124.04	291.9	347.31	378.95	90.25	0.0	186.65	121.39	65.03	126.23	142.59	138.12
Sox7	0.0	0.37	0.21	0.91	0.41	0.0	0.34	0.19	0.45	0.69	0.83	1.54	0.12	0.15	0.09	0.78	0.26	0.0	0.12	0.81	0.15	0.0	0.59	0.44	1.32	0.16	0.47	0.38	0.0	0.0	0.0	0.54	0.34	0.62	0.0	0.42	0.31
Spen	6.74	0.0	0.0	10.38	0.0	2.14	2.41	14.28	0.0	0.0	0.04	0.0	0.0	0.0	0.0	3.6	9.27	0.21	1.35	1.62	4.03	0.0	0.0	0.0	0.0	0.09	0.15	2.99	3.62	0.0	0.0	1.42	1.69	2.65	1.57	1.21	1.64
Spna1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Spty2d1	0.0	0.02	0.0	5.09	0.0	2.17	0.0	0.04	0.0	0.29	0.0	120.52	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.69	0.03	0.0	0.0	0.0	0.0	0.0	1.04	0.0	0.0	0.0	0.0	8.07	6.58	3.33	7.68	2.41	6.78
Stx12	0.0	545.12	608.57	940.36	0.27	804.94	513.16	84.19	0.0	18.02	240.46	614.31	0.34	184.56	0.18	339.4	136.68	107.13	162.37	115.84	160.57	0.0	187.46	228.77	1.56	0.0	263.14	221.96	0.48	170.64	97.23	291.55	175.51	218.25	215.22	216.36	207.65
Suclg1	394.28	166.34	120.63	913.47	190.98	263.22	4.42	212.16	335.41	199.7	459.76	353.61	0.29	370.36	74.9	503.57	408.92	589.08	387.9	401.32	536.55	142.48	631.81	376.76	0.0	180.44	232.14	408.2	0.0	0.67	513.9	432.8	444.05	539.58	501.72	467.55	450.67
Timeless	0.0	61.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.21	0.0	64.18	0.0	0.11	0.0	8.54	53.97	0.0	0.0	2.42	0.0	197.04	0.0	48.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.12	0.0	2.05	1.59	0.69	1.31
Timm10	0.0	0.49	198.67	499.18	251.35	0.0	271.61	25.44	0.0	0.0	143.24	175.41	0.64	1.58	355.04	417.78	204.07	320.41	1.26	358.56	429.8	604.77	271.62	211.77	0.0	0.0	231.07	0.0	0.0	215.93	350.4	180.3	91.16	155.76	111.58	178.27	156.48
Timp2	0.0	0.0	0.0	231.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.93	0.33	0.13	0.0	0.0	0.0	0.0	3.02	46.11	95.07	0.0	130.39	0.0	45.15	0.0	50.73	0.0	0.0	0.13	0.0	96.32	35.49	29.59	25.4	21.93	30.99
Tmem126a	92.06	334.22	51.98	508.2	134.78	305.33	27.25	214.47	222.38	20.3	290.9	24.07	33.95	27.74	28.59	332.81	44.83	21.69	349.46	256.25	245.75	31.41	411.86	39.19	14.95	108.89	42.98	39.38	58.0	165.48	202.4	288.56	171.4	252.02	132.54	101.76	119.03
Tmem37	0.0	0.0	7.4	178.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.5	0.0	145.59	0.0	0.0	1.46	0.0	0.0	0.0	0.0
Tmem44	0.0	58.66	0.0	71.86	32.61	0.0	55.73	34.79	0.0	0.0	0.17	0.0	0.09	0.0	0.0	40.3	0.0	6.84	0.0	3.6	23.16	0.0	0.0	4.42	6.58	0.0	0.86	0.42	5.97	0.59	0.0	0.0	0.0	0.0	0.07	1.31	2.11
Tnfaip8l1	0.0	0.0	0.0	113.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	106.45	0.17	0.0	0.0	0.21	95.85	0.0	0.0	18.12	0.0	0.0	0.0	58.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.41	11.54	23.94	6.84	14.02	7.22
Tpd52	5.42	383.73	558.43	482.39	198.43	18.96	0.0	359.54	185.03	0.0	31.57	392.64	146.38	92.68	0.12	0.0	176.26	126.34	53.82	77.52	2.25	265.7	259.49	0.0	234.09	2.83	84.47	191.18	0.0	216.14	209.32	143.92	126.13	97.96	153.3	124.03	124.19
Traf2	0.0	0.0	0.0	234.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	98.99	114.28	68.81	0.0	0.0	0.0	0.0	0.0	7.5	0.85	0.0	199.82	0.0	0.0	0.0	0.0	0.0	0.0	0.46	0.0	8.5	16.8	4.5	21.65	9.39	14.34
Trim23	31.79	0.14	0.0	21.82	110.51	97.28	97.48	47.54	30.67	70.45	0.13	106.74	95.39	0.0	71.99	48.73	0.0	33.65	0.0	51.39	83.19	0.0	56.67	53.05	0.0	0.0	149.61	167.58	40.17	43.2	0.0	25.89	23.69	19.6	58.36	28.63	33.99
Trpc1	0.0	0.0	0.0	40.38	0.0	0.0	0.0	90.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.33	0.2	0.0	0.0	0.6	0.0	0.0	0.61	0.0	0.0	0.08	0.0	6.35	3.8	2.01	2.27	2.05	3.68
Tsen2	0.0	0.12	0.0	201.27	0.0	0.0	0.0	123.62	0.0	0.0	0.0	0.0	93.78	0.0	0.0	49.75	0.0	0.0	0.0	15.95	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.67	35.94	37.2	45.62	52.21	43.38
Ttpal	0.0	0.02	0.05	107.73	176.09	0.0	0.0	0.37	0.16	73.43	0.0	121.04	0.0	0.0	45.39	0.0	0.0	0.0	0.69	11.36	43.31	0.21	89.12	11.6	0.0	0.12	3.81	175.91	164.45	134.35	1.7	14.32	31.56	6.82	8.57	12.99	7.47
Ube2o	22.79	0.87	1.1	51.22	0.0	1.59	0.0	0.57	4.63	2.35	0.41	42.55	1.43	3.08	6.38	5.34	18.61	24.33	22.96	4.2	1.06	17.35	5.89	6.38	1.65	9.34	0.0	6.89	0.0	1.01	0.0	7.16	1.36	3.86	2.96	2.56	3.11
Ube2r2	0.0	0.21	1.71	87.59	0.0	13.04	26.68	0.17	0.22	0.46	0.0	7.38	0.0	0.15	14.64	131.3	19.74	49.86	0.0	17.35	20.44	0.0	0.0	0.0	0.0	0.0	38.51	7.99	0.0	73.41	14.68	17.51	11.52	13.46	8.7	10.45	16.61
Wbp1	0.0	0.0	0.0	30.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.87	27.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.39	0.0	2.7	3.03	2.57	2.02	3.49	5.87
Wdr70	0.0	0.05	0.0	169.3	0.0	0.0	0.0	0.09	0.0	0.0	0.0	2.52	0.0	1.76	0.19	0.0	3.2	0.25	0.18	11.76	102.36	4.45	5.44	0.71	0.0	0.0	10.26	0.0	3.06	349.49	144.1	22.52	17.68	26.29	14.19	19.79	24.12
Zfp428	0.0	0.0	0.0	0.0	0.0	6.83	0.0	0.5	0.0	0.0	0.0	9.87	0.0	0.87	0.0	0.0	0.0	0.0	0.0	2.29	1.32	0.0	2.56	6.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.63	0.63	1.49	0.0	0.91	0.92
Zfp870	0.14	0.27	0.18	89.95	0.35	0.44	0.21	0.29	0.33	0.6	0.2	0.21	99.05	0.18	0.1	0.06	0.16	0.44	0.16	0.38	0.43	0.35	0.52	0.0	0.13	0.22	0.68	0.0	0.42	0.09	0.68	3.61	13.75	5.31	7.45	4.14	8.45
c13_tRNA-Ala-GCY_	0.0	0.0	21.73	153.66	0.0	0.0	0.0	17.46	0.0	0.0	0.0	0.0	8.75	0.0	0.0	20.07	0.0	0.0	0.0	10.6	23.43	0.0	18.94	40.66	43.0	61.5	95.61	125.61	106.85	0.0	0.0	0.0	33.66	0.0	27.19	0.0	0.0
mt_AK141672	144.35	26.68	69.42	57.77	48.51	60.24	13.57	88.92	70.8	73.96	46.98	317.94	40.27	88.59	62.76	71.98	95.74	69.28	84.49	150.15	186.52	16.51	35.5	182.71	41.24	83.86	67.12	125.15	59.69	31.9	53.99	94.22	140.42	141.6	94.21	128.8	139.37
