	Chrna2_tdTpositive_cell_15	Chrna2_tdTpositive_cell_23	Chrna2_tdTpositive_cell_26	Chrna2_tdTpositive_cell_28	Chrna2_tdTpositive_cell_30	Chrna2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_55	Chrna2_tdTpositive_cell_57	Gad2_tdTpositive_cell_68	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_18	Htr3a_tdTpositive_cell_24	Htr3a_tdTpositive_cell_83	Htr3a_tdTpositive_cell_91	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Ntsr1_tdTnegative_cell_54	Rbp4_tdTpositive_cell_165	Sst_tdTpositive_cell_7	Sst_tdTpositive_cell_29	Sst_tdTpositive_cell_46	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_69	Sst_tdTpositive_cell_92	Sst_tdTpositive_cell_96	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Tmed2	0.78	19.76	0.0	96.43	15.27	0.0	0.2	0.0	0.0	0.0	0.0	0.0	4.81	0.0	0.61	4.2	28.94	2.89	0.49	49.14	36.2	5.28	0.0	2.33	9.79	94.83	32.5	41.27	54.46	0.55	3.27	0.4	0.0	0.89	12.95	18.62	126.13	130.28	124.98
Tmem134	0.63	0.0	6.27	54.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.72	0.0	0.0	1.57	0.0	0.0	24.77	0.0	0.0	14.63	0.0	0.0	0.0	29.18	4.66	0.0	0.31	0.0	1.53	0.0	0.32	2.12	3.93	3.85	28.74	31.09	31.77
Tmem64	0.26	0.0	0.0	48.71	3.53	7.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.02	0.0	0.05	3.22	27.15	0.0	0.0	0.0	5.65	28.13	0.0	0.25	0.0	1.08	33.37	0.2	0.0	17.11	9.71	37.43	37.22	33.63
Top2a	0.0	0.0	0.0	0.74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.31	1.2
Utp20	9.84	0.08	0.0	38.27	0.12	0.34	0.0	1.06	0.0	0.0	0.0	0.0	1.31	0.0	4.98	16.26	4.1	1.67	0.0	0.0	0.0	1.8	0.0	0.21	5.75	5.09	3.94	9.99	10.34	0.0	0.0	12.52	6.97	0.24	3.69	2.4	9.8	9.18	10.39
Wac	26.07	19.91	18.09	186.66	5.96	47.44	3.48	7.54	45.49	0.0	0.69	28.64	6.08	74.43	15.89	96.56	38.59	34.57	33.41	21.25	19.34	3.37	3.24	24.23	38.84	89.32	81.71	58.78	18.93	119.69	37.09	12.65	94.75	47.19	38.88	30.4	58.03	57.36	55.33
Wipf3	56.08	34.49	0.0	82.18	79.22	0.0	0.0	0.06	1.3	0.0	0.0	0.0	0.06	0.0	0.0	2.87	0.02	0.0	0.0	0.0	0.07	0.0	0.0	0.07	0.04	3.54	5.7	0.0	47.11	0.0	0.0	3.5	13.99	14.84	9.17	17.32	86.45	99.02	90.36
Zfp36	0.0	0.0	0.0	0.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.09	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.75	4.56	3.43
Zfp820	0.0	0.1	0.0	16.34	0.0	0.0	0.0	0.0	0.0	6.18	0.0	0.62	0.84	0.41	0.03	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.02	0.0	0.0	0.0	0.77	0.0	0.0	1.01	0.0	0.0	0.0	1.09	0.31	1.31	0.74	0.42	0.77
Zfp828	0.0	0.09	24.07	147.86	82.3	14.4	16.03	0.0	54.65	0.0	2.8	0.07	0.0	3.97	30.08	0.87	38.93	22.3	5.49	2.08	13.26	0.0	0.0	21.8	60.52	17.25	8.2	26.11	0.0	0.43	0.0	0.0	39.23	9.64	25.81	9.52	24.77	23.34	24.42
