	Calb2_tdTpositive_cell_3	Cux2_tdTpositive_cell_3	Cux2_tdTpositive_cell_8	Cux2_tdTpositive_cell_9	Cux2_tdTpositive_cell_56	Ndnf_tdTpositive_cell_7	Ndnf_tdTpositive_cell_20	Nr5a1_tdTpositive_cell_3	Nr5a1_tdTpositive_cell_4	Nr5a1_tdTpositive_cell_11	Nr5a1_tdTpositive_cell_14	Nr5a1_tdTpositive_cell_33	Nr5a1_tdTpositive_cell_37	Nr5a1_tdTpositive_cell_46	Ntsr1_tdTpositive_cell_4	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_38	Rbp4_tdTpositive_cell_3	Rbp4_tdTpositive_cell_41	Rbp4_tdTpositive_cell_62	Rbp4_tdTpositive_cell_65	Rbp4_tdTpositive_cell_71	Rbp4_tdTpositive_cell_96	Rbp4_tdTpositive_cell_97	Rbp4_tdTpositive_cell_103	Rbp4_tdTpositive_cell_116	Rbp4_tdTpositive_cell_142	Rbp4_tdTpositive_cell_150	Rbp4_tdTpositive_cell_155	Rbp4_tdTpositive_cell_170	Rbp4_tdTpositive_cell_171	Rbp4_tdTpositive_cell_172	Rorb_tdTpositive_cell_3	Rorb_tdTpositive_cell_11	Rorb_tdTpositive_cell_36	Rorb_tdTpositive_cell_38	Rorb_tdTpositive_cell_40	Scnn1a.Tg3_tdTnegative_cell_4	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3
Rngtt	0.0	0.02	0.0	0.0	0.0	0.0	105.9	1.4	0.0	0.0	0.0	81.0	23.46	0.0	0.0	0.0	8.72	0.0	4.24	0.0	0.04	67.89	55.44	0.51	0.0	0.0	0.9	0.0	0.59	34.92	13.14	59.32	0.0	0.0	0.0	0.0	0.29	0.0	22.29	32.73	21.63	14.44
Rrm1	182.6	0.03	0.0	0.0	0.0	0.0	0.0	0.0	91.38	0.0	0.0	0.0	0.0	0.0	0.0	5.88	0.0	0.0	0.22	0.0	99.52	33.39	3.73	0.0	0.0	0.0	20.01	0.0	0.0	0.83	0.11	62.82	70.41	0.71	0.0	18.24	0.0	0.0	15.28	14.97	17.53	19.42
Sdccag3	1.56	1.4	1.39	2.18	154.51	0.0	0.0	1.06	54.05	1.17	1.41	0.0	27.25	111.19	5.03	0.84	35.61	2.47	2.53	0.32	3.56	55.63	1.47	72.96	7.92	32.73	0.49	1.78	0.47	2.89	1.51	1.27	5.31	0.0	0.38	0.63	0.62	3.25	10.26	11.12	19.49	20.73
Sec23a	198.71	141.73	0.0	5.16	195.7	0.0	1.81	0.05	89.85	0.13	154.07	1.75	150.53	26.73	467.68	48.56	88.81	109.74	2.68	157.76	356.24	144.54	172.2	51.57	18.3	1.63	224.05	19.28	185.64	57.68	124.31	176.11	0.0	0.0	78.43	2.06	98.32	0.19	92.71	120.84	81.84	101.38
Slc24a2	45.87	33.92	80.5	123.54	32.99	0.0	0.0	67.5	132.77	10.16	93.68	33.11	211.81	34.16	245.58	130.02	143.79	486.29	196.02	205.99	109.62	228.74	219.32	78.3	309.57	240.38	211.35	308.88	334.67	227.49	241.08	177.03	109.27	47.18	16.63	197.72	259.62	0.0	113.2	144.15	111.97	131.04
Slc4a10	193.9	90.72	143.75	75.16	249.28	0.0	0.0	629.68	240.07	275.88	362.89	243.91	93.59	20.31	210.92	134.79	427.54	145.01	142.02	233.46	250.77	471.44	427.86	38.96	305.0	358.84	490.54	166.61	230.78	383.67	322.94	414.0	43.9	194.73	149.8	199.94	323.08	0.0	159.55	383.75	200.03	205.61
Slc5a5	0.0	0.48	0.0	0.0	0.0	0.0	0.0	0.51	0.8	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.24	84.78	0.0	17.36	64.28	9.92	0.0	0.0	0.0	0.18	15.13	0.63	0.14	0.0	0.32	0.0	0.0	0.18	0.19	0.17	0.0	11.46	5.49	3.76	4.38
Snap25	26182.83	24880.43	23752.44	19564.24	25194.29	0.0	0.0	24000.2	21827.11	20741.69	24648.02	22891.51	21740.03	20758.47	20760.73	21261.82	23051.34	22470.57	17289.81	21550.85	21435.37	16728.88	20362.31	19790.53	20314.47	22845.02	19669.87	21696.22	19534.15	16555.4	22039.64	19998.95	21226.95	25542.47	21954.45	22725.47	21280.34	0.0	17485.78	20846.74	19146.26	18964.09
Sprr2a1	0.0	0.04	0.14	0.06	0.15	0.05	0.0	0.21	0.0	0.0	0.06	0.0	0.16	0.0	0.39	0.0	0.11	0.29	0.0	0.27	0.1	0.92	0.19	0.18	1.33	0.14	0.54	0.25	0.0	0.59	0.41	0.19	0.03	0.0	0.28	1.15	0.04	0.1	0.08	0.08	0.05	0.1
Sprr2a2	0.0	0.04	0.14	0.06	0.15	0.05	0.0	0.21	0.0	0.0	0.06	0.0	0.16	0.0	0.39	0.0	0.11	0.29	0.0	0.27	0.1	0.92	0.19	0.18	1.33	0.14	0.54	0.25	0.0	0.59	0.41	0.19	0.03	0.0	0.28	1.15	0.04	0.1	0.08	0.08	0.05	0.1
Tapt1	0.0	0.32	0.0	0.0	0.0	0.0	0.0	0.0	2.29	107.17	0.0	72.22	32.69	0.0	0.0	0.0	1.79	0.0	0.0	0.18	0.47	0.04	2.01	0.0	0.0	0.0	0.0	0.0	0.0	5.09	0.12	0.44	0.0	0.0	0.0	0.0	39.69	0.0	0.09	8.94	6.54	13.77
Tecpr2	21.97	3.11	54.37	0.17	2.83	0.71	0.0	0.45	0.09	65.8	0.36	0.5	35.1	4.45	11.85	3.12	0.05	1.02	0.41	1.6	1.98	0.14	21.78	0.12	16.68	14.25	9.91	17.16	9.28	20.67	13.64	25.56	0.24	0.12	0.04	2.42	21.67	0.0	8.33	7.76	3.95	6.48
Tmem135	0.0	0.11	15.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	57.37	60.74	95.6	0.0	0.0	0.19	0.0	0.0	63.15	0.0	24.86	0.0	54.55	0.15	0.0	0.0	5.36	6.79	4.78	100.81	0.0	5.36	90.73	0.03	25.97	13.01	20.51	14.62	10.66	10.94
Tomm70a	202.59	22.93	101.08	40.39	0.0	0.0	0.0	11.5	181.14	0.0	0.0	142.08	74.07	0.0	208.55	56.56	94.31	117.29	0.0	147.38	93.33	127.16	83.14	62.64	96.52	105.25	0.0	0.0	0.24	73.79	0.0	139.48	89.14	3.74	15.55	162.15	0.0	0.0	45.85	62.95	33.66	40.84
Trpc5	0.0	0.05	1.71	5.5	0.0	0.0	0.0	1.53	4.83	0.0	0.0	82.69	5.51	5.47	0.04	0.0	0.13	7.61	0.0	0.0	0.04	22.64	53.29	0.0	3.41	6.75	3.47	0.0	0.07	21.13	0.1	0.0	0.19	0.0	0.0	0.28	1.32	0.0	0.0	0.0	0.0	0.0
Uba1	0.89	0.51	279.28	121.19	0.28	1.97	0.0	123.78	141.32	245.26	5.08	43.86	18.92	92.84	19.89	106.73	22.72	103.23	63.17	108.5	0.04	144.35	1.7	31.81	11.82	150.88	97.05	238.17	45.02	77.65	192.92	107.85	0.0	0.24	133.04	0.2	40.22	0.39	51.87	77.59	55.27	71.86
Zdhhc14	0.0	0.0	0.07	1.84	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	35.03	0.0	0.0	21.79	37.92	0.22	0.0	0.0	1.81	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.68	26.95	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.86	7.26	7.6	4.34
Zfand1	0.0	419.38	104.41	6.55	0.0	0.0	0.0	98.85	0.0	0.0	166.39	0.0	69.4	0.0	0.0	0.0	0.75	111.79	0.0	18.09	0.0	98.21	0.2	0.0	146.24	90.16	2.74	0.32	135.62	0.0	70.7	0.0	0.0	0.0	0.0	0.0	2.33	0.0	49.04	44.59	57.12	50.99
Zfp287	1.49	0.77	0.59	2.13	1.02	0.26	0.0	1.72	0.86	0.79	2.44	1.22	4.32	1.51	0.67	0.28	1.63	72.4	1.09	0.63	1.91	11.97	1.16	0.3	1.15	1.41	1.56	4.14	1.37	53.36	1.77	1.07	0.39	0.81	0.74	1.31	0.58	0.13	2.18	4.15	3.92	2.01
Zfp37	1.8	191.48	7.47	143.81	8.53	0.97	0.0	12.86	219.16	4.58	167.77	94.41	2.35	3.48	62.79	0.83	2.0	1.26	1.56	6.01	3.21	9.45	11.86	0.31	45.19	6.14	2.95	1.17	53.43	99.56	11.2	22.38	2.97	1.42	93.01	3.06	44.5	0.27	27.05	42.2	22.74	21.35
mt_BC055066	0.0	0.0	0.0	80.82	5.25	0.0	0.0	0.0	0.0	0.0	0.27	0.16	105.44	36.85	0.0	0.63	69.99	0.38	0.0	0.0	0.0	9.78	0.0	0.01	8.74	0.0	0.0	0.0	0.0	100.02	0.0	73.42	0.0	11.88	29.58	164.8	14.82	0.0	132.28	182.47	64.45	87.6
