	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_7	Ctgf_tdTpositive_cell_10	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_69	Htr3a_tdTpositive_cell_32	Ndnf_tdTpositive_cell_4	Ndnf_tdTpositive_cell_9	Ndnf_tdTpositive_cell_12	Ndnf_tdTpositive_cell_20	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_70	Rbp4_tdTpositive_cell_165	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_101	Ntsr1_tdTpos_10cell_3	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Fat1	0.0	0.0	0.0	0.0	0.0	1.74	0.01	18.03	37.66	2.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	12.35	11.48	14.61
Fbxo33	40.14	0.0	0.0	0.0	0.0	0.0	1.47	16.07	141.82	0.0	0.0	0.0	0.0	0.0	30.31	35.74	9.21	21.48	0.0	39.51	30.51	0.09	0.0	27.73	11.07	2.84	23.62	0.17	32.99	48.77	0.0	0.0	16.63	0.0	0.96	0.0	6.32	0.0	56.48	10.01	44.55	0.0	0.0	20.56	0.63	38.17	18.96	34.13	25.18	12.44	41.23	40.72	34.25
Fgfr3	0.16	1.03	0.0	0.0	0.0	47.34	0.0	3.0	14.28	0.0	0.0	0.0	0.09	0.0	0.0	0.08	0.0	0.04	0.08	0.0	1.82	2.41	0.41	1.54	5.56	1.34	2.56	3.74	0.0	0.0	0.0	0.3	0.0	1.2	4.03	0.0	0.0	0.0	6.11	0.0	0.0	9.11	0.0	0.0	3.86	0.0	0.0	1.43	7.36	4.79	64.08	58.11	63.67
Flot2	30.6	0.0	0.0	128.43	0.0	0.0	0.0	0.08	173.36	67.6	0.0	0.0	0.0	0.0	74.3	73.72	50.46	15.14	27.5	24.27	70.68	0.24	51.07	24.4	38.52	5.94	4.1	1.01	20.05	39.0	0.41	68.52	54.07	55.7	0.11	33.3	43.57	39.29	13.71	1.76	45.03	69.04	54.73	64.03	1.62	6.41	60.75	5.98	26.56	26.91	98.88	102.37	104.94
Fuk	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.16	0.58	0.0	0.0	0.0	0.0	0.0	8.05	0.0	0.0	5.38	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.57	0.87	0.77	1.17	12.3	14.05	13.61
Gabrb1	51.11	6.32	0.0	0.0	0.0	0.0	0.0	82.7	480.03	0.0	0.0	0.0	0.0	0.0	170.54	17.57	34.15	59.62	108.7	23.59	163.85	103.53	73.93	95.46	67.26	62.66	57.79	178.7	116.22	61.1	0.58	0.0	218.97	109.89	0.0	61.42	68.65	25.6	17.15	60.22	64.0	4.77	0.16	46.46	1.46	24.42	117.54	46.91	7.62	43.95	32.51	26.05	33.46
Gapvd1	2.45	6.94	0.0	0.0	0.0	0.0	5.44	0.21	166.92	13.38	0.07	112.97	0.0	0.0	1.96	15.64	0.0	0.06	2.47	0.06	0.0	27.6	0.05	0.0	21.41	15.05	0.0	0.0	1.82	11.59	0.6	36.04	1.23	0.0	0.0	14.32	0.0	6.07	13.08	4.66	13.19	0.06	15.75	13.99	0.0	0.0	1.19	5.89	7.58	6.63	43.6	41.96	41.4
Gfpt1	16.0	23.5	0.0	0.26	0.0	0.0	17.0	26.71	35.53	0.08	1.25	0.15	0.0	0.0	1.77	11.38	2.48	8.95	0.84	23.88	2.58	18.14	22.58	17.01	20.93	0.04	14.06	4.21	6.41	10.41	14.73	0.33	1.55	13.03	33.74	20.29	0.85	45.06	3.77	2.13	18.23	0.11	2.97	11.73	4.64	5.24	1.7	5.18	7.82	5.82	34.41	32.86	34.21
Gigyf2	1.65	8.56	0.0	0.0	0.0	0.0	0.0	8.07	90.51	10.06	0.0	0.0	0.0	0.0	4.1	2.41	0.19	2.67	22.88	0.98	3.81	0.05	1.47	1.39	0.11	5.72	1.11	1.47	1.28	0.17	0.0	0.0	2.24	3.15	4.88	16.39	0.33	8.57	3.34	22.1	6.95	0.47	1.73	4.8	2.84	0.37	1.88	9.02	7.46	5.98	32.74	29.92	31.35
Gm4951	0.94	0.0	0.0	0.0	0.0	0.0	0.41	0.23	2.21	0.43	0.0	0.0	0.0	0.0	0.07	0.07	0.44	0.31	0.37	0.29	0.26	0.24	0.32	0.31	0.12	0.34	0.39	0.0	0.0	0.32	0.15	0.75	0.6	0.54	0.11	0.33	0.1	0.18	0.47	0.29	0.43	0.13	0.41	0.45	0.21	0.11	0.17	0.66	0.45	0.16	0.33	0.2	0.49
Gm5801	0.0	0.0	0.0	0.0	0.0	0.0	0.0	76.55	119.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60.88	49.01	0.71	41.55	2.06	0.0	0.0	0.0	49.64	0.0	0.0	0.0	12.83	0.0	0.0	0.0	0.0	0.0	0.0	0.24	23.63	12.62	11.06	5.07	51.32	52.9	48.8
Golga4	0.0	12.55	0.0	0.0	0.0	0.06	7.55	24.82	47.19	16.61	0.0	0.0	0.0	0.0	0.28	5.62	0.02	6.6	0.54	0.03	3.22	0.04	17.04	19.89	2.24	7.63	7.71	0.0	5.58	0.75	0.06	0.28	2.9	0.19	0.0	1.11	5.41	0.45	6.11	3.94	14.48	0.04	3.31	15.63	1.15	0.08	5.69	9.51	6.84	6.41	48.3	40.88	49.25
Gpr155	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.0	310.91	54.4	0.0	0.0	372.48	266.1	1.76	2.05	1.14	0.13	0.0	0.0	0.0	0.19	0.05	0.0	0.0	50.42	0.0	0.0	20.54	0.05	0.0	0.0	0.0	0.0	17.86	0.0	0.0	0.05	2.67	17.25	0.79	0.0	0.0	13.94	0.0	18.23	0.0	23.54	11.41	13.73	45.45	41.51	40.13
Gpr158	11.42	17.22	0.0	0.0	0.0	0.0	10.9	0.99	83.17	35.55	0.0	0.0	0.0	0.0	14.2	0.04	2.21	4.28	0.03	13.29	39.95	22.96	5.94	15.11	1.66	0.78	0.0	0.0	0.04	0.93	0.0	0.0	0.0	6.66	18.82	0.0	16.49	0.0	9.06	0.0	0.0	0.05	9.45	3.54	0.03	8.77	0.0	4.39	22.96	13.77	84.39	83.48	85.5
Gria3	15.14	16.08	0.0	0.0	0.0	0.0	63.22	116.85	364.01	123.31	0.0	0.0	0.0	0.0	9.91	20.36	0.05	45.87	0.94	35.67	4.44	3.37	30.79	0.0	7.11	13.52	28.84	11.32	22.78	24.04	53.1	0.09	29.36	24.07	22.78	0.06	51.51	1.27	189.07	42.33	29.15	0.63	107.9	8.22	53.73	12.74	39.18	253.01	335.92	223.69	145.23	119.79	146.2
Grin2d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.2	0.0	8.24	10.5	10.52
Heatr5b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.16	47.04	0.54	0.0	0.0	0.0	0.0	0.0	1.36	0.02	27.96	1.04	0.0	1.0	0.05	0.85	0.12	31.92	20.85	13.38	15.52	0.05	0.0	0.0	0.0	3.36	0.0	0.0	8.29	0.0	4.81	4.45	0.04	0.0	1.19	6.31	1.19	0.71	0.14	7.62	7.55	3.75	3.09	25.73	24.21	25.56
Herc2	9.92	13.77	0.0	0.0	0.0	0.0	2.3	5.03	89.4	33.55	0.0	6.56	5.82	0.0	2.62	6.19	1.04	24.93	22.1	10.52	8.85	28.17	14.08	16.86	26.84	38.73	5.44	17.61	2.5	12.86	4.93	30.93	13.0	11.43	6.2	12.03	12.61	6.9	11.08	7.19	0.26	6.9	7.28	13.32	20.15	21.19	5.83	18.44	14.13	12.4	67.41	63.82	69.15
Hs6st2	8.89	0.0	0.0	0.0	0.0	0.0	9.77	21.04	146.45	68.95	0.0	0.0	0.0	0.0	0.0	0.0	58.36	7.47	0.0	0.0	0.0	0.0	1.1	0.22	0.0	0.0	4.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.32	20.73	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	7.93	12.28	30.42	28.53	28.81
Ipo13	0.18	0.84	0.0	0.0	0.0	0.0	0.57	3.67	99.07	7.96	0.0	0.0	0.0	0.0	0.0	0.02	0.03	0.34	0.0	0.0	23.8	0.09	0.0	0.0	2.46	0.16	0.34	0.0	7.69	0.27	0.0	0.0	0.07	35.16	21.5	0.08	0.3	0.07	1.44	0.24	1.46	0.0	10.66	0.0	31.29	12.55	0.0	29.42	10.42	9.05	61.91	67.32	63.81
Kcnd1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.0	7.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.0	0.0	0.0	0.0	35.75	0.0	0.0	6.73	0.0	1.43	8.47	9.28	9.06
Kcng2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.44	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.31	0.32	0.25	6.48	7.22	6.47
Kif1a	76.06	156.02	0.0	0.0	0.0	0.0	87.21	157.47	304.32	65.59	0.0	0.0	0.0	0.0	64.08	110.24	68.98	51.28	93.06	58.35	119.86	158.74	131.87	166.33	52.94	24.18	44.59	117.02	42.31	97.05	84.2	160.92	67.1	72.5	89.35	58.45	89.41	35.63	31.87	91.89	70.23	58.59	132.58	129.93	163.41	77.26	37.72	56.07	52.06	52.68	383.45	381.16	420.26
Lman2l	46.84	109.11	0.0	0.0	0.0	0.0	144.39	4.16	362.95	0.0	0.0	0.0	0.0	0.0	37.53	54.12	0.0	1.35	47.17	105.01	103.36	0.28	75.42	1.65	46.49	79.04	75.0	0.0	15.45	4.01	47.92	104.78	0.0	84.03	0.0	17.55	3.58	0.0	25.84	107.02	94.46	0.0	43.86	12.88	60.91	75.88	0.0	68.78	38.27	26.19	38.78	36.32	38.49
Lrpprc	50.68	99.1	0.0	0.0	0.0	4.49	0.08	78.12	245.4	31.27	0.0	0.0	0.0	0.0	12.86	19.14	9.12	1.99	0.14	21.72	10.52	8.51	24.66	11.9	20.49	11.79	67.01	10.22	36.43	34.77	34.85	90.39	0.15	0.91	16.69	12.24	40.48	0.56	46.51	59.3	35.52	7.26	38.28	14.32	56.74	24.08	45.73	38.04	54.81	30.76	42.42	41.23	42.29
Mapk1	53.83	25.13	0.0	0.0	0.15	0.0	1.43	28.24	296.06	131.27	0.0	0.0	0.07	0.0	1.58	35.88	54.4	4.41	44.21	78.74	60.63	22.57	82.52	29.47	4.73	108.97	80.82	64.38	17.35	6.94	62.4	55.14	35.9	14.87	71.23	19.97	92.06	25.18	136.79	22.7	11.24	32.58	39.44	68.59	52.16	43.76	30.02	61.16	89.68	80.82	371.72	366.39	352.91
Mdga2	0.06	7.9	0.0	0.16	0.18	0.06	7.39	0.07	44.82	1.12	0.0	0.0	0.0	0.75	0.0	2.27	0.06	0.75	16.44	0.17	4.97	13.45	3.49	1.93	4.98	8.84	7.58	0.26	0.11	2.78	1.23	3.82	0.2	0.08	2.45	4.55	7.55	14.45	8.74	4.61	0.1	0.03	23.49	0.07	11.69	0.72	10.9	7.68	8.82	7.02	12.76	9.79	12.6
Med15	0.2	0.0	0.0	0.0	0.0	0.0	0.0	39.58	221.15	44.28	0.0	0.0	0.0	0.0	9.46	3.13	0.26	0.0	27.05	8.03	1.33	0.26	0.0	4.7	4.74	0.0	18.44	0.0	0.0	0.0	0.0	0.0	4.2	0.0	0.42	3.12	0.0	0.0	14.16	0.0	1.61	0.0	27.35	0.07	0.64	22.73	0.0	11.65	14.39	13.37	44.79	47.43	48.92
Mtap2	46.23	34.87	0.0	0.0	0.0	0.0	91.04	91.45	94.91	29.0	0.0	0.0	0.0	0.0	17.31	74.02	25.11	40.4	10.0	29.1	18.32	35.27	69.88	33.08	26.85	42.62	66.15	31.03	31.29	35.62	24.63	64.2	102.62	62.54	65.61	28.41	9.53	31.24	74.92	30.5	8.05	58.15	23.6	22.49	78.28	1.27	23.79	106.75	111.31	89.05	353.37	323.67	355.02
Mterfd3	151.12	54.58	0.0	0.0	0.0	0.0	150.11	175.7	419.82	0.0	0.0	0.0	0.0	0.0	10.37	60.11	35.36	69.44	59.35	0.14	0.0	61.1	39.67	45.17	58.75	12.78	112.24	61.84	50.87	5.13	0.0	29.89	0.0	41.4	0.18	86.23	63.66	49.94	9.9	0.0	37.42	0.0	0.19	9.46	52.29	0.2	64.73	71.87	54.01	47.3	21.38	17.08	18.39
Napb	323.05	266.82	0.0	0.0	0.0	0.0	150.45	225.77	646.95	215.42	0.21	0.0	0.0	0.0	289.83	285.15	156.45	276.11	379.72	588.12	219.59	268.09	543.54	460.94	365.51	513.5	353.15	275.38	226.58	283.98	174.78	0.0	208.84	293.71	354.83	113.28	182.37	123.6	64.88	278.65	204.44	143.01	160.39	208.69	253.2	319.35	111.31	409.25	395.13	315.32	335.54	308.69	328.06
Npr2	0.0	1.68	0.0	0.0	0.0	0.0	0.05	0.0	126.01	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	34.62	22.45	0.0	23.9	3.63	35.69	11.68	0.09	0.0	37.86	0.0	2.37	0.0	2.15	0.06	0.0	1.02	19.2	0.4	0.0	17.92	6.41	0.0	0.0	0.0	0.08	9.68	0.0	0.0	0.0	7.01	4.3	8.69	35.79	37.33	37.73
Npy	138375.8	173305.25	0.0	0.0	0.0	0.0	108594.8	96206.73	65548.38	125016.83	0.0	0.0	0.0	0.0	132042.44	149629.49	134232.96	130357.56	116117.28	120987.76	122165.94	132052.33	122154.33	126501.28	98464.67	130527.91	173863.58	126989.03	166048.87	115420.41	191162.16	154857.31	124150.07	134158.33	153405.37	147732.76	141010.39	151963.58	985.16	145032.54	180453.32	92572.95	128781.07	137945.15	95298.15	137580.94	120620.2	0.0	0.6	0.7	214.21	196.57	200.76
Oxct1	33.49	35.42	0.0	0.46	0.0	0.0	9.2	278.48	272.38	144.48	0.0	0.0	0.0	0.0	75.65	71.54	42.67	144.78	29.96	2.22	77.45	32.05	60.41	3.94	67.99	123.53	115.23	1.34	2.12	68.82	137.23	6.52	1.38	159.82	4.85	50.11	46.07	55.8	125.62	13.35	32.18	26.25	152.44	41.26	35.16	41.33	108.27	202.22	128.9	157.41	237.85	234.89	230.25
Pafah1b2	90.34	89.88	0.0	0.0	0.08	0.0	1.01	75.07	235.58	135.59	0.0	11.87	18.28	0.0	103.33	0.11	51.08	46.09	92.53	74.26	96.32	109.17	89.51	47.2	21.71	73.54	98.45	88.19	36.09	99.97	56.73	0.0	29.58	28.11	79.86	68.6	36.62	52.48	84.93	37.75	23.82	47.96	61.32	90.88	26.86	36.12	107.74	57.17	63.1	72.48	128.29	128.62	122.77
Pak1	169.66	222.43	0.0	0.0	0.0	0.0	129.18	220.49	362.04	250.24	0.0	0.0	0.0	0.0	84.5	100.28	240.05	215.83	143.62	51.77	212.68	162.08	184.32	186.92	226.07	220.07	39.53	136.25	250.81	247.34	247.81	139.26	321.36	285.18	186.23	165.71	165.79	166.74	324.82	108.78	68.01	125.89	332.76	166.71	187.46	160.09	126.63	1081.33	973.68	881.59	422.11	398.57	412.06
Pak7	0.0	0.0	0.0	0.0	0.0	0.0	1.92	7.94	76.09	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.02	0.1	0.28	0.18	0.0	0.06	0.4	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.31	0.0	0.0	1.66	0.0	0.0	0.0	0.25	0.0	21.25	61.36	39.5	36.48	35.78	35.56
Pcbp1	45.11	49.05	0.0	0.0	0.0	0.0	0.0	8.42	59.33	0.31	0.0	0.0	0.0	0.0	0.3	33.82	29.28	7.27	0.87	35.61	0.0	2.83	15.38	26.32	0.0	11.28	12.99	10.48	9.22	18.25	0.0	0.0	0.0	32.82	0.0	0.0	6.15	0.0	50.48	10.27	5.14	0.21	45.25	14.91	2.33	2.21	47.36	49.22	8.88	26.37	185.19	202.11	179.35
Pcdhb9	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	256.66	146.25	0.0	0.0	0.0	0.0	0.0	0.03	0.0	56.44	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.08	0.09	0.0	0.11	0.0	0.0	0.0	0.0	0.0	38.39	15.23	17.4	11.11	11.96	10.34
Pde4a	29.29	37.71	0.0	0.0	0.0	0.0	34.95	53.64	17.83	42.32	0.0	0.0	0.0	0.0	7.54	5.74	7.2	9.76	15.75	7.02	0.0	26.58	3.7	18.91	0.0	12.87	7.14	6.09	6.88	11.2	0.97	14.48	2.11	0.55	23.1	13.16	2.42	0.24	29.83	8.03	2.41	0.0	0.07	0.0	2.11	4.37	8.6	53.65	45.86	50.32	70.0	69.52	69.31
Pdf	9.33	36.28	0.0	0.0	0.0	0.0	67.44	39.38	170.79	31.67	0.38	0.0	0.0	0.0	14.44	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	21.72	0.0	39.69	0.0	0.0	0.0	47.02	0.0	0.0	0.0	21.21	0.0	0.0	0.0	0.0	8.91	3.42	55.46	0.0	0.19	0.0	5.2	37.22	0.0	2.44	5.14	5.75	47.66	44.06	37.05
Phactr1	46.38	50.38	0.0	0.0	0.0	0.0	79.13	129.81	156.15	128.39	0.12	0.0	0.0	0.0	34.44	0.22	0.0	1.64	0.5	0.13	0.06	36.54	0.57	25.52	23.98	46.8	0.13	51.38	74.37	61.89	40.02	7.4	14.31	32.48	38.17	0.08	40.06	5.18	79.77	20.93	4.7	0.97	8.18	14.51	0.0	8.2	47.48	143.95	194.11	162.52	250.29	240.7	240.9
Pip5k1a	14.42	15.14	0.0	0.0	0.0	0.0	0.0	69.39	138.48	12.53	0.0	0.0	0.0	0.0	22.76	27.1	24.21	20.05	0.18	4.07	27.63	21.07	13.61	16.48	17.02	0.0	0.59	0.0	37.49	1.33	0.17	5.11	0.0	0.25	0.0	15.47	33.19	0.1	11.25	0.23	0.36	15.34	16.7	29.09	0.0	1.44	28.51	42.58	26.29	25.52	49.38	49.47	46.82
Pnrc2	101.66	105.91	0.0	0.0	0.0	0.0	195.93	83.8	418.45	87.14	0.0	0.0	0.0	0.0	0.0	66.73	0.0	6.34	0.0	4.41	35.1	57.26	21.0	0.0	70.75	136.59	12.1	91.07	0.0	45.71	232.8	0.0	7.55	46.6	0.0	55.51	0.0	0.0	61.39	7.43	82.96	47.73	0.0	38.49	199.57	16.08	0.05	107.02	68.08	72.97	45.86	44.9	44.07
Pomgnt1	47.33	118.97	0.0	0.0	0.0	0.0	17.1	0.0	139.86	0.0	0.0	0.0	0.0	0.0	0.0	0.79	1.14	0.0	43.88	1.53	22.0	14.92	31.69	37.04	0.12	0.11	0.0	0.0	13.44	44.37	10.68	0.0	0.0	0.0	54.28	52.77	0.1	0.09	0.99	31.93	0.0	0.0	0.0	6.08	0.0	0.23	0.0	6.39	12.22	14.56	59.79	61.25	58.35
Ppp1r1a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.08	70.34	0.0	0.0	0.0	0.0	0.0	0.0	1.38	0.0	0.0	0.0	0.88	4.77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.43	0.0	20.06	0.45	21.0	0.0	0.0	0.0	0.0	0.0	0.0	7.68	9.49	16.76	123.86	128.2	126.28
Prpf6	28.86	104.17	0.0	0.0	0.0	0.0	0.0	16.81	240.13	8.22	0.15	0.0	0.0	2.45	2.83	4.1	17.6	74.76	3.98	25.12	44.41	16.4	2.34	82.67	8.79	1.93	48.13	13.7	36.56	132.97	43.5	38.19	87.93	9.11	10.71	0.1	126.62	28.04	5.07	47.34	5.08	7.28	4.99	29.38	2.56	0.4	108.85	78.14	34.78	35.16	49.2	50.83	45.58
Pum2	5.06	11.07	0.0	0.0	0.07	0.08	17.54	26.33	175.15	72.52	0.0	0.0	0.0	0.0	0.17	42.73	17.14	3.28	15.4	12.81	0.08	5.84	2.94	26.37	0.71	16.33	0.08	79.01	12.7	20.81	42.53	62.02	15.86	1.65	14.56	62.65	10.82	23.37	29.7	12.87	5.0	0.45	21.64	8.66	21.95	10.9	3.99	24.54	31.7	26.26	94.04	86.54	93.06
Purb	26.72	24.41	0.0	0.0	0.19	0.42	46.33	206.62	211.34	85.87	0.42	0.0	90.12	296.99	51.24	18.77	32.48	49.28	72.59	15.37	12.33	69.02	18.74	46.19	34.85	26.62	83.13	7.81	2.59	14.85	1.09	5.22	34.13	40.04	37.15	10.56	23.22	39.38	42.27	24.41	23.81	30.47	15.32	45.41	1.05	19.34	11.09	73.22	92.94	59.75	202.04	181.97	195.46
Qser1	0.0	1.61	0.0	0.0	47.71	0.0	0.04	0.05	69.39	3.27	0.0	0.0	54.48	0.0	0.04	0.0	0.04	0.02	0.02	0.0	1.32	0.0	0.0	5.96	0.0	0.0	0.0	0.0	9.81	0.79	1.03	0.02	0.0	1.9	11.55	0.05	13.89	0.0	1.61	0.0	0.02	0.03	10.6	0.0	8.89	0.3	0.0	0.33	1.18	1.61	7.33	6.0	6.65
Rab10	8.16	22.5	0.0	0.0	0.0	0.0	0.0	61.04	167.34	77.73	0.0	0.0	0.0	0.0	0.05	48.81	16.7	28.28	43.09	68.09	16.67	1.93	18.58	45.78	37.14	3.27	18.17	3.07	21.03	2.65	23.16	0.0	13.86	3.13	23.14	14.57	0.0	10.9	24.38	27.35	1.75	0.67	20.71	31.25	0.05	23.58	0.0	10.71	20.54	25.48	125.64	123.8	124.07
Rab3a	125.32	203.31	0.0	0.0	0.0	0.0	167.16	878.75	562.74	283.96	0.0	0.0	0.0	0.0	296.03	72.42	202.87	240.62	217.99	128.36	425.92	142.12	471.84	593.28	152.36	110.88	232.98	210.0	102.44	115.19	151.7	195.59	85.51	297.25	131.87	113.91	41.47	115.22	640.39	210.88	102.26	14.05	493.75	216.1	138.39	10.5	265.02	413.22	228.27	329.4	698.81	772.2	724.96
Ralgapa2	0.4	0.66	0.58	1.97	0.34	0.05	0.68	7.58	95.13	1.59	0.65	0.15	0.0	0.54	0.48	0.4	1.95	0.4	0.63	0.64	12.9	2.38	0.87	10.91	0.27	4.12	0.72	1.21	0.46	1.02	0.68	0.24	6.22	0.38	0.66	11.01	0.68	0.73	7.31	0.36	0.44	0.73	0.65	0.5	10.92	0.92	0.27	10.69	3.97	3.83	10.55	9.66	11.81
Rap1gds1	63.05	115.78	0.0	0.0	0.0	0.0	28.41	224.72	118.84	124.96	0.0	0.0	0.0	0.0	88.29	84.24	18.27	70.34	40.6	72.14	9.62	79.76	147.77	99.78	101.29	73.47	87.65	48.01	8.02	33.12	1.03	29.57	38.23	175.93	64.52	34.07	59.64	65.02	82.22	13.7	2.53	0.0	27.75	98.98	132.22	3.01	15.97	264.42	163.34	252.04	284.57	290.45	264.54
Rbm24	0.0	0.0	0.0	0.0	0.0	80.9	7.57	0.0	128.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.18	0.0	0.0	0.21	0.0	0.0	0.0	0.0	0.0	2.9	1.01	2.47	20.02	17.81	14.33
Reln	0.0	0.0	0.0	0.0	0.0	0.0	14.0	49.59	636.75	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.54	0.02	0.0	15.45	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	26.59	26.5	29.11
Rif1	15.07	15.8	0.0	0.0	0.0	0.0	9.54	38.83	76.22	5.08	0.41	0.0	0.0	0.0	3.05	0.0	1.73	16.31	0.04	13.25	8.89	15.3	0.7	0.0	0.0	6.39	5.91	0.0	0.56	0.0	2.57	0.0	0.33	0.0	10.63	0.5	14.31	0.0	7.6	9.53	0.0	13.31	0.0	0.0	7.78	0.0	0.0	4.22	8.09	2.62	10.09	7.03	9.28
Rnf112	15.51	21.88	0.0	0.0	0.0	0.0	0.0	8.91	59.8	41.5	0.0	0.0	0.0	0.0	0.15	2.13	3.86	0.0	10.89	0.82	1.46	0.21	7.7	5.31	0.0	0.43	3.17	1.87	5.32	0.08	7.97	5.46	0.0	4.84	0.0	1.33	0.0	21.84	35.02	1.35	6.16	6.36	68.02	7.44	0.0	17.27	36.67	19.03	16.86	20.1	274.94	298.54	287.09
Rtcd1	108.45	6.24	0.0	0.0	0.0	0.0	0.12	24.99	152.97	17.06	0.0	0.0	0.0	0.0	40.03	2.82	0.0	64.25	75.12	16.57	0.15	107.23	0.36	52.27	0.21	22.0	56.54	0.0	0.0	49.08	0.83	0.0	0.0	16.72	0.0	1.52	17.65	78.8	78.09	74.87	39.66	6.11	15.67	0.72	1.12	0.99	2.41	24.0	16.73	21.27	61.74	65.43	62.36
