	Calb2_tdTpositive_cell_9	Chrna2_tdTpositive_cell_51	Cux2_tdTpositive_cell_57	Cux2_tdTpositive_cell_65	Cux2_tdTpositive_cell_74	Nr5a1_tdTpositive_cell_44	Nr5a1_tdTpositive_cell_45	Ntsr1_tdTpositive_cell_16	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_31	Ntsr1_tdTpositive_cell_32	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_42	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_75	Rbp4_tdTpositive_cell_89	Rbp4_tdTpositive_cell_127	Rbp4_tdTpositive_cell_128	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_138	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_180	Rbp4_tdTpositive_cell_182	Rbp4_tdTpositive_cell_183	Scnn1a.Tg3_tdTpositive_cell_44	Scnn1a.Tg3_tdTpositive_cell_92	Slc17a6_tdTpositive_cell_28	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_3	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_31	CAV_LP_Ipsi_tdTpos_cell_33	CAV_LP_Ipsi_tdTpos_cell_36	CAV_VISp_Contra_tdTpos_cell_1
Otud7a	0.0	0.0	0.0	0.0	0.0	0.0	42.62	0.0	0.0	0.0	3.56	0.0	2.99	0.0	0.1	0.0	0.0	0.0	0.0	0.0	6.26	1.49	0.0	0.17	27.64	0.0	1.36	3.41	0.72	3.56	1.24	0.0	1.49	0.28	1.03	0.0	0.0	0.07	0.0	0.0	13.97	7.21	0.0	0.0	4.63
Papd5	6.34	0.05	11.64	0.1	0.0	0.0	5.5	0.0	0.0	3.18	48.75	0.93	0.0	0.0	0.08	0.09	0.0	30.25	6.8	0.37	64.93	23.19	5.88	54.15	12.05	0.0	0.11	46.01	6.4	14.93	1.86	8.47	20.94	6.2	12.8	0.0	0.0	60.36	0.0	1.68	0.0	0.0	4.86	48.62	86.65
Pbld1	46.6	34.47	20.79	75.36	115.19	26.05	202.32	115.44	63.25	34.98	30.58	40.38	92.06	101.41	54.18	61.4	8.04	48.13	111.78	126.35	95.14	137.51	108.39	153.39	156.03	82.58	59.11	89.44	109.31	76.74	114.02	81.18	92.97	106.33	121.34	128.81	134.53	271.69	77.07	409.48	66.25	71.7	116.46	56.74	95.86
Pet112l	0.0	0.0	121.63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.26	0.0	0.0	30.92	0.0	0.0	0.0	63.96	0.71	0.0	98.72	16.34	3.21	0.19	0.39	0.19	298.31	0.0	20.25	46.46	39.55	14.23	38.46	25.29	30.51	62.62	0.0	0.1	0.0	0.0	0.0	42.1	0.0	88.68	0.0
Pex13	39.51	30.91	0.77	98.03	0.83	0.75	1.94	8.72	45.59	1.12	0.26	1.48	1.4	0.86	0.34	4.45	0.0	8.05	65.77	1.81	5.73	18.71	9.13	7.97	1.79	0.07	0.33	2.19	3.7	1.97	2.23	1.01	8.89	3.07	1.6	1.14	48.76	0.33	0.0	0.8	1.58	0.42	0.65	1.89	6.5
Phospho2	0.0	0.0	0.0	104.2	0.0	7.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.67	0.19	0.0	0.25	64.37	0.2	65.6	45.08	2.17	19.81	98.06	0.0	24.96	4.18	35.97	51.24	19.12	32.54	59.86	14.75	15.56	0.0	0.14	0.0	0.0	0.0	0.0	0.18	0.0	25.9	21.3
Pigt	0.0	0.0	0.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.87	0.0	0.0	0.0	0.0	45.85	0.0	0.0	0.11	0.0	0.82	9.26	17.11	0.23	0.88	0.0	24.41	0.0	1.26	6.55	2.93	7.05	4.27	2.17	1.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	79.03
Prpf39	106.51	31.86	135.03	95.35	234.2	61.81	79.97	43.88	103.76	44.19	56.69	113.61	53.12	23.56	70.53	92.67	0.0	114.32	179.52	188.36	64.66	126.29	29.53	170.64	46.52	9.92	66.89	203.94	72.75	85.26	67.9	79.49	116.0	68.75	121.17	12.42	88.42	58.3	3.59	17.41	80.1	0.7	18.21	9.64	34.28
Prpf40a	159.83	47.24	74.51	60.89	0.0	10.38	26.66	65.9	5.23	53.32	1.41	0.07	0.76	54.8	94.26	33.04	0.1	27.77	28.91	0.63	67.23	19.38	0.16	1.06	29.54	0.0	73.29	1.39	32.98	42.69	40.29	27.05	36.92	43.91	44.93	173.05	0.0	63.38	125.22	0.0	0.0	0.0	22.99	38.46	138.9
Prr5l	2.75	0.17	0.91	1.17	0.49	1.09	0.54	0.62	0.8	0.08	0.35	0.54	0.6	0.32	0.69	0.98	0.0	0.77	1.62	2.29	0.73	1.09	2.15	2.29	1.39	0.1	0.74	2.48	5.67	1.0	1.1	1.31	0.83	0.57	0.76	0.75	1.4	0.41	2.24	0.88	0.34	0.13	1.1	2.04	0.66
Psd	24.36	27.09	54.83	41.39	21.08	21.1	59.69	34.88	15.08	15.98	21.26	10.32	48.87	10.77	50.69	0.71	14.87	43.33	23.11	35.49	12.63	41.25	36.87	34.85	26.02	20.14	17.42	5.41	21.43	17.99	22.49	14.59	22.51	21.9	13.22	18.76	18.73	37.43	17.04	48.25	23.73	13.06	46.31	28.08	40.02
Psen1	72.7	99.57	1.23	227.72	0.0	30.45	0.0	0.0	0.0	0.0	193.15	0.0	36.72	0.09	134.61	2.88	0.0	0.0	102.16	15.09	151.24	16.84	0.0	0.53	23.47	0.0	127.64	118.92	30.84	57.11	17.65	27.92	27.75	44.43	46.88	0.0	0.0	0.0	0.0	0.7	56.59	2.42	0.0	0.0	0.0
Ptchd1	22.57	37.77	257.92	27.17	0.0	48.56	42.85	184.46	250.8	43.05	174.58	42.8	11.76	56.24	99.2	41.47	284.52	118.7	114.31	210.58	211.01	127.61	85.57	55.34	246.4	0.0	0.42	130.3	207.66	249.82	157.68	190.38	161.91	65.71	388.53	78.62	12.74	19.0	44.41	50.36	6.61	301.43	116.74	57.06	131.64
Ptp4a2	65.31	193.08	1.31	338.17	446.95	101.94	57.24	226.11	9.78	134.53	0.0	60.6	70.64	85.53	38.39	79.18	31.81	129.52	192.6	51.82	291.95	63.06	0.33	91.97	16.98	72.48	198.61	102.77	131.98	85.83	83.81	126.56	108.78	77.28	140.9	100.77	30.22	17.63	82.69	62.84	137.59	155.13	19.48	72.36	139.76
Rabif	0.0	199.06	147.1	238.96	0.0	84.29	141.34	76.6	74.18	111.9	0.0	95.44	274.18	9.56	0.18	0.46	0.0	8.42	0.84	63.0	197.82	47.72	10.76	113.25	20.18	0.11	0.68	96.74	112.63	103.92	92.69	130.22	197.08	111.38	135.36	9.45	0.0	0.0	0.24	77.34	0.0	157.55	0.22	0.0	249.74
Rev1	0.0	0.0	0.0	0.0	0.0	2.75	0.09	0.0	33.35	0.0	0.0	0.0	0.17	0.0	7.43	2.31	0.0	3.39	55.29	2.27	76.49	7.16	33.94	45.88	0.08	0.0	0.0	0.0	6.24	6.53	15.82	0.75	1.96	5.39	10.51	0.0	0.0	0.06	0.0	0.0	0.1	0.0	0.1	0.0	46.26
Rgs2	45.19	90.11	0.25	1.15	0.0	0.2	0.0	45.29	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.26	0.0	11.38	87.56	52.36	32.81	47.75	39.53	1.36	1.94	30.67	0.16	0.0	71.0	30.08	13.26	39.59	20.55	15.4	17.61	0.09	0.0	0.0	0.15	0.0	0.0	0.0	8.42	8.17	174.24
Rgs20	0.84	0.7	2.77	59.71	0.98	1.25	0.36	39.83	0.82	0.27	182.56	0.74	0.63	0.51	0.17	2.76	0.0	6.3	46.6	11.99	107.24	41.51	102.01	36.7	2.34	0.0	1.11	240.03	43.59	25.08	31.86	69.44	60.95	59.68	16.35	0.45	0.92	1.26	1.09	0.37	0.0	0.23	1.1	21.06	2.07
Rngtt	0.09	3.41	0.09	66.31	0.0	0.0	0.0	0.0	0.0	4.14	72.37	0.0	0.0	50.37	14.96	0.09	0.0	15.88	0.08	14.47	34.1	20.98	19.13	43.12	6.62	0.0	107.94	18.51	22.24	38.63	15.19	22.29	17.62	18.09	32.73	0.0	0.0	0.0	0.0	9.44	0.0	38.47	0.0	0.0	37.93
Rrp9	0.0	5.72	0.0	136.69	0.0	0.0	0.0	0.0	100.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.28	0.0	12.32	112.04	10.28	4.5	0.0	2.57	0.0	0.0	0.0	28.2	17.95	9.33	25.22	18.99	14.78	4.35	0.0	0.0	0.0	0.0	9.46	0.0	0.0	0.0	1.81	139.81
Rtel1	0.0	0.0	0.0	0.0	0.0	0.0	0.47	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.48	0.0	0.0	5.05	0.0	0.14	0.15	0.0	0.0	0.0	3.61	5.45	0.0	1.11	6.13	0.0	2.47	1.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.97
Sgol2	4.19	11.2	1.6	9.68	7.51	5.36	3.0	2.62	1.72	0.85	7.48	0.61	1.26	0.42	2.53	2.36	0.0	4.87	14.79	19.67	9.98	11.07	8.28	8.03	9.28	0.71	4.37	4.37	2.62	4.28	5.19	4.34	5.03	4.25	4.49	3.08	2.56	4.14	3.54	2.85	1.52	12.81	4.08	3.88	7.51
Sidt1	2.04	5.87	0.17	0.0	0.0	40.77	5.64	8.24	0.0	0.0	0.0	0.0	0.0	26.21	34.69	95.29	0.08	9.94	93.84	72.31	41.64	1.33	0.0	0.1	0.56	4.27	0.19	0.0	5.58	5.62	17.31	7.7	16.32	11.86	15.37	1.65	0.0	0.0	50.57	0.0	0.0	54.16	20.68	0.0	0.66
Slc44a5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33	0.0	0.0	0.0	0.14	0.0	0.0	13.55	0.0	0.0	0.0	13.9	0.04	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.29	4.52	0.0	0.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.77
Smc3	43.34	6.33	59.59	43.08	36.05	11.49	9.71	25.2	13.7	0.14	0.0	36.33	0.0	0.0	64.57	18.28	0.0	37.02	107.14	55.41	39.21	21.35	14.26	2.66	0.4	90.26	0.24	41.83	15.65	28.77	23.07	17.09	36.63	12.63	22.6	0.06	57.97	0.44	2.16	32.03	20.89	0.0	21.07	41.73	50.58
Smtnl2	1.03	1.74	2.34	4.08	0.0	0.36	1.9	1.65	0.97	0.9	1.26	0.33	1.37	1.38	0.9	1.68	0.0	0.74	1.94	2.61	2.1	1.43	4.84	1.54	1.49	0.0	1.1	1.96	1.02	2.0	1.22	1.06	1.99	0.9	0.71	0.0	0.99	0.43	1.08	0.67	0.47	0.15	0.49	1.95	1.47
Snhg1	0.0	0.0	277.89	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	260.32	256.76	0.0	214.79	48.48	0.0	44.12	1.32	2.74	206.19	0.0	0.0	10.19	34.43	28.27	36.43	38.01	18.18	51.0	20.29	200.72	27.84	1.69	272.6	0.71	0.0	0.0	0.0	0.0	259.57
Soat2	23.85	2.35	14.92	12.94	8.46	12.93	12.86	18.84	2.95	3.93	9.77	7.5	14.36	21.22	6.29	22.88	0.0	18.28	23.02	37.53	19.69	35.15	33.63	35.1	24.62	7.88	8.56	12.5	13.02	16.56	15.33	13.05	16.5	10.04	7.7	7.01	5.02	10.13	11.71	4.81	6.08	11.71	23.55	18.61	18.34
Srsf9	28.11	87.14	101.43	8.04	363.65	36.7	9.84	260.41	95.7	41.25	179.64	24.62	98.24	116.32	9.66	117.89	0.0	53.4	207.78	66.59	114.03	132.38	89.46	21.4	248.35	9.17	241.69	81.87	154.26	133.45	165.41	109.54	92.37	77.33	110.42	40.26	1.62	43.31	242.6	182.1	8.86	0.0	221.31	271.64	379.32
Stambp	90.42	22.52	0.17	12.09	37.5	149.69	0.18	18.19	94.59	0.0	74.32	83.94	0.0	1.13	88.22	183.67	249.52	55.96	148.52	20.72	108.5	95.72	46.29	18.36	86.73	0.0	12.28	14.85	55.09	39.64	83.67	95.26	50.04	74.28	89.18	103.82	0.0	99.27	0.0	160.11	0.0	0.0	153.05	16.45	268.16
Tcea1	48.78	27.01	115.33	130.61	0.31	135.25	75.15	150.04	80.18	218.53	231.66	40.01	87.15	91.61	67.76	145.15	0.14	169.67	92.48	75.23	340.43	93.65	146.61	34.95	41.25	158.34	189.18	163.03	96.04	171.66	125.96	224.2	158.31	95.22	182.0	154.29	103.87	1.04	2.83	46.82	123.54	23.6	104.94	84.38	193.9
Tdp2	0.0	0.0	101.78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	106.65	18.88	0.0	0.0	0.0	0.0	10.91	0.13	106.76	0.22	0.6	5.02	2.89	1.43	0.15	0.0	0.0	70.21	12.6	6.32	0.0	8.26	14.34	8.17	11.42	8.12	0.0	0.0	2.47	0.0	40.42	0.0	0.0	76.16	129.74
Tfg	67.14	71.19	152.42	0.24	0.0	0.0	0.0	0.22	0.0	121.89	0.0	153.37	133.47	100.87	0.0	391.93	359.87	225.06	299.78	1.1	155.97	163.9	147.77	290.65	76.09	0.0	202.43	7.76	91.22	87.06	104.84	49.56	136.41	88.75	68.61	19.8	0.0	7.6	0.0	0.0	0.0	0.0	18.22	85.84	220.04
Tyms	54.96	17.64	75.54	82.44	50.13	50.62	28.84	78.27	36.32	10.11	41.27	18.27	26.97	30.7	34.23	40.68	0.82	54.42	92.4	116.19	73.77	84.51	96.31	109.87	106.5	10.78	43.23	72.77	60.09	86.73	76.8	83.09	81.75	50.9	63.16	23.02	29.83	46.28	72.7	33.88	24.53	71.07	81.61	46.06	120.26
Usp31	27.54	3.22	6.39	2.28	0.11	9.7	0.15	0.0	0.0	0.0	0.0	0.0	7.81	0.05	3.22	0.25	0.31	4.34	26.86	4.62	13.72	4.36	8.0	9.93	1.57	2.81	8.9	0.3	6.82	12.17	9.1	9.64	6.82	5.23	8.78	2.88	0.0	22.65	9.98	7.1	0.0	71.08	0.36	18.78	22.41
Vma21	53.58	94.94	81.24	128.38	0.0	98.77	61.46	0.0	34.1	183.17	184.17	46.77	23.81	49.43	77.95	0.57	93.35	159.83	175.37	40.16	199.34	75.46	121.74	93.41	169.69	1.62	55.72	168.98	120.01	158.34	78.62	89.15	72.24	74.1	89.16	35.97	46.86	127.36	0.0	89.57	44.99	0.0	36.01	43.25	144.74
Xab2	0.0	0.0	2.24	0.0	0.0	13.36	0.29	0.9	0.0	0.0	5.14	81.33	19.66	0.0	0.0	0.0	0.0	4.5	4.41	1.91	48.85	15.03	0.86	5.63	0.06	0.08	0.68	94.39	28.07	35.84	29.81	47.39	43.81	10.43	35.88	0.11	5.97	0.0	147.72	28.68	0.0	0.0	0.16	0.0	155.02
Xpo1	0.08	12.18	2.4	0.0	14.96	2.7	25.01	30.52	0.0	135.29	37.69	10.53	0.0	0.0	37.85	0.4	0.0	100.88	65.96	63.99	153.35	52.57	65.67	61.33	175.21	0.27	8.45	27.34	32.73	58.71	35.68	53.6	70.6	18.94	75.04	123.03	0.06	17.96	12.0	0.0	18.61	0.0	9.58	30.74	104.5
Zdhhc6	4.66	97.68	143.61	0.0	0.0	0.0	0.0	260.9	0.0	33.71	0.0	0.0	0.0	0.0	1.46	0.18	0.0	232.01	227.51	84.41	0.0	61.34	93.21	2.17	0.97	0.0	0.08	26.29	50.7	38.88	78.7	90.78	97.19	70.52	61.17	286.37	109.14	17.25	0.0	0.0	0.0	0.18	217.93	0.0	197.34
Zfp287	1.3	0.42	1.81	79.15	0.0	0.99	1.61	0.49	0.28	0.2	0.59	0.77	0.9	0.38	0.43	1.19	0.0	29.38	3.51	1.29	3.41	2.31	2.18	1.87	2.97	0.62	1.98	2.77	6.22	3.07	2.13	2.18	4.74	3.84	4.15	0.84	0.93	0.87	1.29	0.66	34.91	1.18	0.97	23.15	3.63
Zfp606	8.34	0.04	0.0	3.44	0.0	4.24	0.0	0.0	0.0	0.0	0.0	0.0	30.47	0.0	4.27	0.0	0.0	0.0	3.75	1.15	57.18	11.22	12.83	0.4	1.1	8.39	0.07	0.0	14.31	5.48	9.4	0.88	10.02	6.2	10.19	3.81	0.0	0.0	0.19	2.04	0.0	0.0	0.09	0.0	63.99
Zfp956	19.63	0.0	0.0	0.0	0.0	65.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.27	0.0	0.07	0.0	14.38	55.82	0.0	22.44	19.98	0.0	5.78	1.46	0.0	0.0	40.48	10.36	26.06	16.56	1.2	24.52	34.79	13.94	0.0	0.0	0.0	0.0	0.22	0.0	0.0	0.0	0.0	0.0
c12_tRNA-Ala-GCA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.04	0.0	0.0	0.0	0.0	15.77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48.65
c5_tRNA-Ala-GCY_	15.05	0.0	181.64	55.16	0.0	8.37	14.31	107.84	0.0	0.0	0.0	23.44	22.54	0.0	15.31	38.3	13.58	0.0	77.52	58.74	20.7	22.58	74.95	42.6	6.43	0.0	0.0	26.45	16.2	43.0	12.4	14.31	0.0	8.74	0.0	0.0	0.0	0.0	0.0	21.42	0.0	121.34	0.0	0.0	150.33
