	Calb2_tdTpositive_cell_9	Chrna2_tdTpositive_cell_51	Cux2_tdTpositive_cell_57	Cux2_tdTpositive_cell_65	Cux2_tdTpositive_cell_74	Cux2_tdTpositive_cell_91	Cux2_tdTpositive_cell_96	Cux2_tdTnegative_cell_14	Gad2_tdTpositive_cell_66	Nr5a1_tdTpositive_cell_30	Nr5a1_tdTpositive_cell_44	Nr5a1_tdTpositive_cell_45	Ntsr1_tdTpositive_cell_16	Ntsr1_tdTpositive_cell_17	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_32	Ntsr1_tdTpositive_cell_38	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_52	Ntsr1_tdTpositive_cell_75	Rbp4_tdTpositive_cell_89	Rbp4_tdTpositive_cell_127	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_182	Rbp4_tdTpositive_cell_183	Scnn1a.Tg3_tdTpositive_cell_44	Scnn1a.Tg3_tdTpositive_cell_92	Slc17a6_tdTpositive_cell_16	Slc17a6_tdTpositive_cell_28	Slc17a6_tdTpositive_cell_30	Slc17a6_tdTpositive_cell_31	Slc17a6_tdTpositive_cell_38	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_3	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_21	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_31	CAV_LP_Ipsi_tdTpos_cell_36	CAV_LP_Ipsi_tdTpos_cell_37	CAV_LP_Ipsi_tdTpos_cell_39	CAV_LP_Ipsi_tdTpos_cell_42	Rbp4_CTX_250ng_1	Trib2_CTX_250ng_1
Dhx57	0.0	0.0	0.0	0.0	0.0	2.45	0.0	0.0	0.09	0.0	1.7	0.0	1.68	30.39	0.0	2.06	0.0	0.05	1.15	0.0	0.6	43.4	0.0	6.06	9.64	29.28	4.2	0.0	0.1	0.0	2.26	8.82	0.15	11.83	3.8	0.29	4.72	6.34	10.43	12.75	2.15	3.45	2.89	1.91	5.23	2.71	2.77	0.0	0.11	0.0	0.63	0.0	0.0	0.0	0.0	0.12	0.0	4.89	0.14	29.97	29.34
Dnajc14	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	68.85	95.53	21.6	0.0	0.0	149.92	0.08	54.51	70.41	2.08	0.0	0.0	0.0	0.05	0.0	45.23	6.99	0.0	0.0	0.0	0.12	0.0	2.98	0.0	0.0	17.4	20.13	29.16	40.19	18.7	26.04	16.57	22.83	11.0	25.82	8.97	24.12	16.18	21.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.98	0.0	3.19	0.0	35.4	31.78
Dpyd	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.07	3.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.04	0.0	0.7	0.0	0.0	0.0	0.0	2.32	0.15	0.0	0.3	5.43	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.94	3.27
Dzip1	0.0	18.49	0.16	2.39	0.0	0.0	0.0	0.0	1.61	0.0	0.0	1.61	16.05	46.12	3.28	0.0	1.91	3.77	0.88	20.18	70.09	53.11	0.0	6.1	20.88	25.12	5.67	0.0	0.04	25.04	2.35	0.0	0.0	1.77	17.69	13.14	28.28	16.81	14.82	28.31	25.67	12.86	19.64	20.38	30.07	25.7	28.52	0.0	3.84	0.31	47.19	4.39	4.81	0.43	2.73	0.0	74.86	0.0	34.45	41.01	40.62
Eef2k	0.29	0.31	0.27	83.74	0.0	0.24	0.0	0.25	0.43	0.0	1.03	0.92	0.26	24.76	0.27	0.24	0.72	0.04	0.34	0.4	0.28	0.17	0.57	0.31	3.62	3.09	26.23	0.25	0.04	5.54	0.82	0.6	15.2	0.64	0.67	2.59	7.94	6.06	10.94	7.19	3.47	8.78	4.88	5.89	6.48	3.05	2.99	0.26	0.18	0.12	0.1	0.35	0.2	0.12	0.71	6.5	2.4	0.51	4.18	27.93	28.24
Ehbp1l1	2.88	8.72	3.16	1.81	2.85	4.08	0.5	4.59	51.35	0.8	9.59	4.25	2.63	56.36	0.88	0.71	1.63	2.08	44.76	0.76	3.38	15.69	0.1	2.31	14.74	10.98	2.68	0.2	2.08	1.53	4.99	4.25	1.61	13.55	8.96	2.3	3.16	10.45	6.29	10.14	13.84	3.2	3.81	7.61	4.77	4.55	5.98	7.64	7.51	3.67	0.84	2.52	1.25	0.34	2.75	6.32	6.85	5.68	2.58	16.25	17.77
Eif2ak4	0.0	0.0	0.0	3.12	0.0	0.0	0.15	0.0	2.66	0.0	0.0	0.0	0.0	22.74	2.46	3.85	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.79	1.72	5.64	2.02	0.13	0.03	0.0	0.0	0.0	0.0	0.0	6.44	1.01	4.79	1.51	1.64	4.84	7.0	5.36	3.54	0.96	0.72	3.12	2.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.4	0.0	0.0	0.0	15.52	15.03
Eif4e2	4.08	30.48	3.39	3.95	4.36	3.02	0.3	41.81	4.42	1.4	39.18	94.36	14.58	137.85	25.54	1.21	1.16	1.47	0.9	117.86	1.87	2.64	116.65	14.51	22.99	5.75	3.64	0.29	111.64	2.75	2.48	27.74	37.38	69.27	46.78	17.8	37.51	26.8	26.86	47.73	37.87	31.55	61.23	34.18	27.47	36.09	31.2	5.62	0.89	13.92	0.54	19.7	5.74	142.5	89.5	6.71	1.26	2.93	2.84	38.48	35.26
Eif4h	1.45	26.75	0.15	0.0	0.0	2.56	103.76	31.32	44.28	0.28	95.28	0.0	11.6	271.74	14.38	53.31	81.49	0.34	95.0	179.7	23.39	203.81	201.34	0.54	46.12	97.96	75.75	37.3	136.04	16.79	11.18	0.0	257.95	56.31	34.88	59.77	51.55	63.69	70.47	72.94	48.14	59.08	48.1	63.19	73.04	56.63	66.62	67.55	196.29	0.0	64.69	29.32	89.11	168.79	37.51	12.25	154.95	0.3	0.36	333.37	351.38
Erbb2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.03	0.0	0.0	0.0	0.0	0.0	0.0	18.36	0.0	0.0	0.0	0.0	0.0	1.92	1.46
Erbb4	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	17.87	21.17
Ercc6	0.14	0.29	12.92	0.38	0.43	0.19	6.89	0.21	0.32	0.04	0.19	0.59	0.19	69.34	0.14	0.08	0.23	0.16	0.18	0.01	0.47	0.48	0.0	9.7	6.49	0.55	31.39	0.04	0.27	0.0	15.95	12.51	2.65	0.46	4.1	2.81	13.06	2.85	8.76	0.77	4.05	1.74	0.8	3.31	5.95	4.41	4.94	0.38	0.0	0.0	15.09	0.86	16.81	15.15	0.19	0.24	0.44	0.25	14.11	13.65	12.6
Fam177a	17.93	0.68	12.09	17.95	31.64	22.21	2.25	4.51	1.09	2.41	8.84	38.16	23.5	57.57	12.26	1.53	1.07	2.82	1.38	30.82	8.35	5.09	0.0	10.56	16.78	9.2	23.68	1.42	2.67	13.22	1.41	2.13	14.19	13.75	30.05	10.32	9.26	6.5	7.93	14.42	11.21	10.17	10.72	11.25	13.41	14.19	19.02	30.11	43.09	1.8	1.3	56.74	0.96	8.04	2.23	32.53	5.94	6.07	29.57	17.56	17.92
Fam178a	11.78	0.04	158.74	2.8	6.11	29.75	0.11	6.08	16.0	0.0	4.41	2.27	27.18	79.0	0.09	9.75	9.97	14.85	0.07	11.69	15.5	7.99	0.0	4.51	31.27	2.56	14.05	1.1	0.37	0.0	4.76	30.2	6.08	24.66	19.76	14.8	34.28	13.22	8.03	17.58	11.81	16.1	17.75	11.14	18.59	18.54	17.49	4.44	0.49	1.77	0.88	17.35	7.81	37.45	8.82	0.43	37.63	25.73	47.15	26.42	26.23
Fam203a	0.66	0.19	0.89	1.08	0.38	0.26	0.31	0.9	1.1	0.0	0.6	1.52	0.15	11.74	0.31	0.0	0.0	0.16	0.0	0.18	0.62	0.86	0.0	0.61	3.47	0.5	0.33	1.01	1.52	0.31	1.43	0.3	0.37	1.49	0.0	0.75	0.74	0.42	0.0	0.68	0.45	0.26	5.31	6.63	1.41	1.61	1.51	0.88	1.18	0.16	0.0	0.0	0.0	1.09	0.76	0.62	0.23	0.81	0.17	10.21	12.35
Fam20a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	38.68	0.0	0.0	3.55	0.0	0.19	0.0	0.0	0.0	141.59	0.31	3.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	3.6	1.06	0.25	0.0	0.0	0.0	2.82	1.36	1.37	0.0	25.78	0.0	0.0	0.0	18.94	0.0	0.0	10.19	0.0	0.0	0.0	9.75	10.43
Ficd	0.0	0.0	0.0	30.81	0.0	0.0	0.0	0.0	0.0	0.0	20.09	0.0	0.0	70.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.42	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	3.78	0.0	11.72	0.0	0.0	1.41	2.61	1.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.56	10.9
Flii	0.0	0.0	0.28	1.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.37	0.3	5.93	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.15	0.0	31.89	6.92	0.18	0.19	0.0	0.08	0.15	0.0	0.0	1.57	0.0	5.89	0.71	3.73	2.35	3.93	3.71	5.89	6.32	5.56	0.54	4.06	1.36	2.84	0.0	30.2	0.0	0.0	0.0	0.0	0.06	0.0	23.41	0.0	0.0	0.0	36.29	35.66
Frmd7	0.0	1.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.1	0.0	0.0	0.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.38	0.69	0.0	0.25	0.43	0.19	0.06	0.0	0.05	0.67	0.45	0.0	0.22	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	12.31	0.0	0.0	1.37	1.74
Gabra5	0.0	81.44	32.68	65.97	0.0	0.0	0.28	0.0	0.0	0.0	0.0	0.0	0.15	67.6	0.0	0.25	0.0	0.0	0.0	0.0	34.61	0.45	486.25	0.1	11.78	0.0	0.0	0.0	0.12	0.0	0.0	3.78	0.0	0.0	23.93	9.33	16.19	33.48	63.18	36.17	43.89	34.26	52.31	56.53	52.99	61.5	49.68	24.56	0.0	0.11	0.0	0.0	59.94	0.0	0.0	0.11	0.12	99.35	106.67	69.6	68.11
Gm10512	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.12	0.18
Gm1078	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.14	0.0	0.0	0.19	0.65	0.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.09	1.13
Gm11837	0.0	0.0	0.0	4.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.06	2.35
Gm14827	1.06	0.0	0.0	1.26	0.25	0.0	0.24	0.0	1.85	0.0	0.2	0.09	0.0	78.09	0.42	0.0	0.0	0.0	0.42	0.0	0.14	0.26	0.0	25.41	27.33	57.59	9.72	0.0	0.54	0.0	1.95	0.26	88.38	0.0	8.42	2.43	0.78	2.6	1.24	2.71	0.57	0.69	0.08	1.52	2.07	0.55	3.7	0.17	0.73	0.0	0.0	0.0	0.58	0.0	0.0	82.4	0.0	0.0	0.68	7.46	6.96
Gm20187	1.8	2.83	1.14	2.07	2.83	0.97	1.19	7.15	3.99	0.64	2.79	12.16	0.22	66.75	0.0	0.53	4.95	0.72	6.19	0.69	2.02	2.06	0.0	0.8	2.17	8.37	5.23	0.0	0.43	1.19	5.7	1.8	42.1	3.22	1.85	2.34	3.32	0.6	2.26	1.61	4.12	2.89	1.77	2.84	1.84	4.55	4.44	1.65	4.67	0.0	0.54	0.57	5.81	0.0	0.0	6.42	0.94	0.24	1.38	1.55	2.31
Gm4890	0.0	0.06	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.2	0.15	30.79	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.15	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.09	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.1	0.17	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.64	0.49
Gm4922	0.0	0.0	0.73	0.57	0.0	1.73	0.0	3.75	0.0	0.0	0.0	0.0	0.0	85.83	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.0	0.0	0.0	0.35	0.06	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	6.56	0.29	9.19	0.43	3.07	0.61	13.3	4.52	3.28	0.76	0.44	0.3	1.18	0.0	34.7	0.0	0.0	0.0	0.0	0.0	0.39	7.28	0.21	5.92	0.8	0.52
Gm6537	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	84.08	0.0	0.0	0.0	0.0	64.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.09	0.0	0.0	0.0	0.77	0.0	1.14	5.18	2.37	0.0	3.03	6.07	0.0	0.0	1.4	0.79	18.44	18.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.87	2.13
Gm7102	27.7	14.03	24.08	36.81	0.0	11.26	1.88	25.06	37.43	9.91	18.58	31.78	28.45	82.87	5.24	20.4	24.25	18.31	7.37	10.35	47.3	20.8	0.0	6.99	43.5	67.43	34.01	13.35	34.36	10.22	34.09	47.38	29.97	46.47	25.58	18.52	24.12	9.16	25.06	31.14	30.18	14.49	29.01	11.36	18.66	20.05	23.66	54.35	8.65	1.81	9.79	0.0	7.98	36.91	39.34	26.76	11.12	22.95	36.85	29.51	25.55
Gpd2	15.94	8.84	59.64	2.89	0.0	0.09	0.0	51.06	13.51	0.06	0.0	75.05	48.68	137.15	6.42	37.4	5.52	0.0	4.09	50.95	55.01	210.94	1.34	41.21	8.43	0.05	15.17	21.08	0.17	0.0	0.55	0.0	39.83	0.0	30.66	46.37	29.62	35.21	35.9	33.3	28.16	23.65	37.74	51.01	65.97	55.71	55.37	27.49	35.36	55.02	15.32	90.0	57.18	24.96	36.35	11.35	24.38	87.31	60.86	64.41	64.21
Gpn3	0.0	87.47	341.67	153.88	0.0	30.55	0.0	0.0	0.0	292.98	0.0	322.82	0.0	199.08	0.0	81.59	0.0	83.8	13.13	0.0	0.0	170.2	144.7	0.0	45.42	1.38	1.09	0.0	0.36	0.0	0.0	0.61	0.0	0.43	40.35	75.37	76.8	52.37	69.9	92.0	6.27	57.14	76.15	123.39	97.16	58.89	49.56	0.0	0.0	0.0	0.0	0.0	136.18	0.0	0.0	3.99	145.5	263.61	0.0	20.32	22.82
Gpr37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.0	0.0	0.71	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.37	0.0	0.27	0.0	0.0	0.0	5.38	0.0	0.0	0.65	0.64	13.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.66	0.08	0.0	45.23	49.6
Gpr75	0.0	0.0	1.9	0.15	0.0	0.52	0.0	0.0	0.53	0.0	0.0	0.52	0.27	80.8	0.0	0.0	5.88	0.0	0.0	0.12	0.0	7.53	0.0	0.0	16.35	0.74	0.36	0.0	0.0	0.14	0.85	0.57	0.65	0.0	0.28	14.07	6.19	0.49	6.81	16.09	4.41	13.58	9.7	11.34	14.68	9.76	7.48	0.0	0.0	15.18	0.08	0.0	0.1	0.08	0.26	0.93	0.88	0.17	0.3	9.55	9.72
H2-M3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.9	0.0	0.0	0.0	239.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.41	0.0	0.18	0.0	0.0	2.71	0.0	0.0	0.0	0.0	0.0	0.32	0.0	0.0	0.0	57.71	0.0	0.0	0.0	3.65	3.98
H2-Q2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.38	0.0	0.0	0.6	0.0	1.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.37	0.56	0.0	0.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.52	0.85
Hdhd3	0.0	0.0	0.35	169.16	0.0	0.0	0.72	0.0	106.36	0.0	113.07	0.0	104.58	117.23	166.6	0.33	0.37	0.0	0.0	66.78	0.0	0.19	221.83	1.24	37.8	0.42	0.43	0.0	0.0	0.0	86.38	0.0	0.0	110.97	42.74	63.96	2.88	42.03	37.44	94.01	27.14	13.06	24.76	43.62	38.49	38.44	33.49	0.0	0.0	0.0	94.9	0.0	0.0	0.0	0.0	149.26	0.0	0.93	0.0	8.0	6.24
Hebp1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.94	150.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.07	3.28	54.72	0.0	3.67	0.0	0.0	0.0	0.0	0.0	0.0	5.94	5.56	0.28	0.0	0.88	9.24	0.0	11.09	0.0	4.37	3.69	5.76	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.08	37.58
Hectd3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.87	0.0	0.0	0.0	0.0	49.37	0.0	0.15	0.0	0.0	0.0	0.0	0.09	27.92	0.0	6.0	3.38	0.0	0.71	0.0	0.0	0.0	12.38	0.0	0.0	0.0	2.16	4.21	2.77	8.58	2.94	3.79	8.5	1.01	8.98	3.44	3.44	4.2	2.8	0.0	36.9	0.0	0.0	0.0	0.07	10.56	0.0	0.0	0.0	0.0	0.15	35.01	33.43
Hps4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.73	0.0	0.0	0.0	0.0	66.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	2.64	0.62	1.0	0.08	31.7	0.0	4.82	0.0	0.0	0.0	0.37	7.92	0.35	2.22	5.34	0.11	0.6	0.36	3.12	5.9	5.24	1.57	2.07	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	1.92	0.0	0.0	16.87	16.53
Ighmbp2	0.06	0.04	0.73	0.43	0.28	0.64	0.17	0.49	0.61	0.06	0.36	0.17	0.33	0.7	0.1	0.39	0.45	0.02	0.47	0.7	1.03	3.87	0.0	0.18	0.85	1.37	0.54	0.57	0.93	0.13	0.61	0.87	0.28	0.19	1.02	4.08	2.19	4.03	1.29	3.32	0.15	3.51	3.4	1.03	1.06	0.83	1.13	0.92	0.21	0.3	0.13	0.36	0.22	0.21	0.14	0.66	0.38	0.42	0.63	6.15	6.15
Igsf10	11.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.49	0.0	0.0	0.0	16.82	0.16	0.0	0.0	0.0	0.0	0.0	0.1	0.06	0.0	0.0	0.04	0.06	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.08	0.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.41	1.55
Ip6k3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.82	0.71
Lman2l	39.15	0.0	27.95	0.0	0.0	0.0	0.0	0.0	113.91	0.0	0.0	0.0	0.0	229.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.21	0.0	143.58	25.84	266.57	0.54	0.1	1.48	0.0	47.37	0.0	23.18	0.0	48.42	24.09	68.78	37.15	40.29	61.65	31.23	25.87	29.21	66.06	38.27	25.23	26.19	139.12	0.0	0.0	0.0	0.0	3.3	0.0	0.0	53.02	0.0	0.0	0.0	38.78	38.49
Maob	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	112.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	19.34	16.26	35.68	28.69	23.5	2.79	41.36	27.12	18.24	13.16	7.51	0.0	0.0	0.0	0.0	0.37	45.39	0.0	0.0	0.0	0.0	0.0	0.0	23.69	21.87
Mapk8	0.4	46.01	0.19	69.14	0.0	0.0	0.0	0.0	1.01	0.0	3.49	0.33	5.6	63.26	65.15	1.81	2.16	28.86	0.76	0.0	2.1	17.12	89.49	9.85	27.0	7.14	33.64	0.0	0.49	10.18	14.05	34.59	0.98	16.31	31.52	22.63	37.88	19.18	24.72	39.0	33.44	24.57	11.49	19.65	19.99	12.71	22.73	6.88	15.34	52.12	0.0	17.54	8.3	0.0	72.26	12.3	0.39	0.0	74.37	56.23	56.31
Mir3101	85.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.34	0.0	8.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54.93	0.0	0.0	5.73	5.91
Mndal	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	73.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.54	2.27	4.07	2.28	6.19	0.0	5.92	6.83	0.62	4.08	9.31	6.74	6.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3	1.71	1.87
Mpzl3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.76	0.0	0.0	0.0	0.0	0.0	144.77	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.07	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.4	0.0	0.0	0.0	12.2	7.93	4.64	3.21	0.0	6.21	0.0	3.85	3.45	15.95	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.44	0.09	0.07	0.0	3.25	4.78
Mro	0.0	38.06	0.61	0.0	0.0	0.23	0.35	0.0	0.21	0.0	0.21	0.57	0.0	9.35	0.0	0.16	0.84	0.0	0.0	1.1	5.18	44.46	0.0	0.26	0.17	0.57	0.48	0.2	0.51	0.0	0.29	0.0	0.0	0.38	5.7	13.96	7.54	10.27	8.76	7.43	10.4	8.4	16.2	6.62	6.98	11.06	9.24	0.0	0.39	0.26	0.11	0.0	0.0	0.0	0.0	0.48	0.33	0.1	0.2	14.71	12.3
Mrp63	100.6	14.78	0.0	47.01	1.93	41.01	103.25	59.94	0.39	1.45	6.08	0.79	0.15	173.96	0.43	25.11	152.89	33.01	29.74	1.67	56.17	0.9	37.47	100.41	34.41	7.58	46.89	24.13	0.28	0.27	74.26	16.76	18.37	0.0	33.01	18.67	50.7	28.2	30.55	47.28	52.24	24.55	31.4	30.75	51.37	50.44	42.07	148.82	65.98	9.2	16.86	0.0	3.42	0.0	377.65	4.31	0.14	20.93	131.25	18.0	18.33
Mrps24	0.4	0.0	21.76	0.0	0.0	2.61	0.78	0.31	0.0	0.0	0.42	1.19	0.0	27.78	0.34	0.0	12.07	0.28	0.0	0.37	0.0	0.0	0.37	0.26	5.48	3.77	5.24	0.0	0.18	23.32	2.04	0.87	16.05	1.22	5.94	5.19	4.15	0.6	0.7	0.53	8.59	4.25	3.8	0.21	4.62	3.55	5.43	0.53	0.89	0.29	0.61	0.08	0.31	0.0	0.4	0.94	9.31	39.19	1.62	34.78	33.55
