	Calb2_tdTpositive_cell_3	Cux2_tdTpositive_cell_2	Cux2_tdTpositive_cell_3	Cux2_tdTpositive_cell_8	Cux2_tdTpositive_cell_56	Cux2_tdTpositive_cell_69	Ndnf_tdTpositive_cell_20	Nr5a1_tdTpositive_cell_2	Nr5a1_tdTpositive_cell_3	Nr5a1_tdTpositive_cell_4	Nr5a1_tdTpositive_cell_9	Nr5a1_tdTpositive_cell_11	Nr5a1_tdTpositive_cell_14	Nr5a1_tdTpositive_cell_33	Nr5a1_tdTpositive_cell_37	Nr5a1_tdTpositive_cell_43	Ntsr1_tdTpositive_cell_38	Rbp4_tdTpositive_cell_3	Rbp4_tdTpositive_cell_62	Rbp4_tdTpositive_cell_171	Rorb_tdTpositive_cell_11	Rorb_tdTpositive_cell_15	Rorb_tdTpositive_cell_36	Rorb_tdTpositive_cell_38	Scnn1a.Tg3_tdTpositive_cell_7	Scnn1a.Tg3_tdTpositive_cell_85	Scnn1a.Tg3_tdTpositive_cell_97	Scnn1a.Tg3_tdTnegative_cell_2	Scnn1a.Tg3_tdTnegative_cell_4	Sst_tdTpositive_cell_27	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3
Plekhm2	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	6.2	0.0	0.0	0.26	0.0	24.26	0.0	0.0	0.0	0.0	0.0	3.66	0.0	34.14	0.0	0.4	0.03	0.0	0.0	0.0	9.27	0.0	0.43	0.48	0.0	0.57	1.07	0.99	0.08
Pnpla3	1.47	0.36	0.41	0.63	0.34	0.24	0.0	0.26	55.15	68.77	0.24	0.57	0.15	0.18	0.05	49.27	0.25	0.34	0.14	0.23	0.2	66.53	0.43	0.32	2.27	0.0	0.14	0.63	0.16	0.12	8.39	1.14	2.69	11.08	1.91	2.8	4.3
Ppp4c	0.0	0.0	0.0	7.84	0.0	0.0	0.0	0.17	0.0	3.08	0.0	0.0	160.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.66	0.0	0.26	0.09	0.0	0.0	0.76	0.0	0.0	2.31	8.38	11.19	10.48	9.86	6.34	5.34
Prdm15	0.0	0.29	0.0	0.0	0.0	0.0	0.0	0.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.81	0.0	1.28	0.46	9.8	0.0	0.0	0.03	0.02	0.0	0.04	0.0	0.0	0.05	0.14	5.13	2.61	0.06	8.87	2.63	3.19
Prmt6	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	1.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.96	0.0	6.86	0.0	0.97	1.46	0.57
Prr14	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.19	39.74	0.0	0.0	9.15	0.0	0.0	0.0	0.0	0.0	36.07	0.0	0.0	118.23	0.0	0.34	0.0	0.0	17.08	7.95	12.29	11.97	8.65	6.74
Prune	279.15	0.3	24.81	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.0	194.43	54.14	0.03	0.04	0.0	0.22	0.0	80.32	0.0	145.5	0.0	0.14	0.08	0.0	0.35	0.0	0.24	0.0	16.86	19.04	43.43	26.17	22.36	21.97	27.13
Psma3	692.58	963.71	511.35	576.81	618.3	701.55	446.85	704.56	1099.28	631.99	143.45	913.21	1026.01	483.44	719.0	394.35	675.14	896.12	487.22	685.28	582.76	992.61	782.07	726.55	576.12	595.03	1008.12	568.42	661.89	352.16	722.4	697.44	813.04	902.58	695.04	630.54	590.48
Ptpn3	0.0	4.42	2.67	0.04	0.0	0.53	0.0	0.25	6.71	27.72	0.23	0.0	0.18	0.0	41.57	0.0	2.01	0.11	0.0	0.46	0.0	3.51	0.35	1.13	1.98	0.16	0.08	0.0	0.0	0.14	8.19	3.29	5.09	8.0	4.9	6.46	4.74
Ptprg	0.16	0.09	0.0	0.1	0.05	0.0	0.0	0.61	0.12	0.0	0.0	0.0	0.0	0.0	0.38	0.0	0.08	0.0	0.0	8.8	0.0	18.8	0.26	0.05	18.03	0.0	0.01	0.0	0.0	0.0	2.8	5.25	0.16	1.36	5.5	4.98	3.16
Pwp1	0.0	0.47	0.04	0.0	302.92	0.0	0.0	157.61	0.07	104.34	0.0	0.0	0.0	0.0	0.04	0.0	3.8	0.0	0.0	69.78	184.33	0.0	0.04	129.38	0.1	0.0	0.05	0.0	0.0	1.64	7.34	30.74	18.98	13.66	25.11	32.2	30.49
Rabep1	96.19	8.94	94.0	97.89	0.0	123.92	0.0	39.62	60.55	52.0	37.42	0.0	1.52	0.08	40.64	113.09	122.15	73.2	0.0	0.69	0.0	153.14	49.63	2.46	51.7	0.0	0.47	0.0	0.0	69.48	32.77	29.51	14.54	12.8	22.86	20.16	18.18
Ramp1	68.34	37.09	60.83	182.26	0.0	69.85	0.0	114.92	30.55	18.45	56.91	7.46	0.05	50.92	31.81	21.46	55.26	36.44	38.37	11.59	45.09	172.24	52.91	28.62	3.62	0.0	38.08	0.2	0.0	0.0	42.9	30.78	20.57	39.93	17.41	28.55	26.95
Rdh18-ps	1.04	5.76	14.81	0.5	9.25	5.11	0.0	4.63	6.67	6.15	2.81	0.0	0.0	4.99	6.46	11.35	1.71	23.38	5.51	6.11	11.38	10.8	0.32	0.49	1.36	0.87	10.96	0.0	0.0	0.0	4.08	4.93	2.49	6.03	3.0	3.09	4.35
Reep1	131.92	76.21	0.95	0.0	0.14	13.54	0.0	169.36	216.98	84.24	0.0	1.7	0.1	0.0	41.05	149.44	0.31	0.0	23.08	70.28	89.77	139.68	0.0	1.76	55.55	1.95	55.74	0.0	0.0	0.08	47.63	39.1	54.37	9.81	54.79	45.47	37.98
Rgs4	4301.63	3554.62	4793.66	4051.91	3726.59	2452.58	2.55	3187.17	4839.36	4315.87	3419.59	3662.03	4053.59	3267.12	1843.21	3832.69	718.52	1858.3	3788.71	3698.23	4166.93	3751.61	5219.32	5037.98	1721.21	3309.04	3769.97	0.0	0.0	0.31	303.98	557.38	477.92	470.62	551.79	516.4	518.01
Rgs7bp	3.07	26.67	21.63	1.03	2.54	16.53	0.0	43.32	51.18	73.55	49.75	3.7	39.48	32.71	10.67	22.51	9.12	7.48	0.6	43.7	1.41	53.28	1.47	24.24	68.1	4.22	60.91	0.0	1.57	9.76	51.29	44.97	38.24	43.53	38.42	44.7	51.79
Riok2	0.0	93.17	0.04	0.0	0.28	0.22	0.0	1.1	21.04	0.05	0.0	0.0	0.5	47.64	91.17	0.0	0.17	0.0	0.21	40.27	0.0	167.81	112.49	0.0	0.17	0.0	49.32	482.57	0.3	82.08	51.91	15.88	22.66	31.59	19.02	24.36	31.04
Rnf41	50.88	5.78	0.09	22.43	133.02	113.84	0.0	164.73	0.13	0.08	28.99	119.73	0.0	0.26	23.33	0.0	0.0	0.0	0.0	4.94	16.75	113.34	78.28	0.05	93.06	0.24	145.63	0.0	0.0	4.73	19.44	45.24	26.29	26.55	30.83	27.77	25.58
Rpf2	287.81	0.32	0.0	101.0	2.64	0.0	0.0	0.0	229.25	101.08	121.92	0.0	71.32	27.59	199.18	0.0	120.17	111.47	62.82	53.81	0.0	235.4	129.46	200.4	0.1	0.0	102.32	0.0	0.0	157.03	99.04	69.94	106.25	125.6	107.29	78.84	91.18
Samd14	0.22	0.23	0.0	0.0	0.17	0.17	0.0	0.57	0.11	0.22	0.24	0.0	0.0	0.0	0.0	0.08	0.23	0.21	0.0	0.0	0.59	0.64	0.18	0.0	0.11	0.0	0.04	1.5	0.19	0.18	2.25	0.22	0.07	0.0	0.18	0.31	0.17
Sar1b	408.35	888.94	189.8	280.43	481.09	511.62	0.0	332.33	111.17	385.01	370.18	478.16	246.83	113.17	0.08	373.55	401.37	330.45	306.14	233.21	890.79	909.98	432.16	492.75	217.49	419.13	763.97	0.0	0.0	460.62	352.98	315.23	406.03	422.23	286.69	338.14	273.01
Slbp	0.0	0.12	46.87	0.0	0.0	140.17	0.0	0.0	482.69	113.33	0.0	0.0	172.01	0.27	98.59	162.46	0.0	112.83	0.39	129.65	245.23	680.68	7.26	2.58	0.38	214.73	0.85	0.0	0.0	0.0	42.19	27.68	12.44	8.49	33.05	26.76	26.58
Slc22a23	0.0	0.0	55.98	0.0	0.0	3.87	0.0	0.1	28.37	0.08	1.74	0.6	0.0	0.2	44.06	0.0	0.0	28.01	29.04	24.41	0.0	105.74	0.0	67.55	0.02	0.0	36.28	0.0	0.12	0.38	4.03	6.44	0.27	1.37	5.99	5.5	5.65
Slc7a4	0.0	63.11	0.72	0.56	201.66	128.98	0.0	89.76	0.29	0.65	119.75	0.0	0.49	0.0	1.94	119.19	7.26	178.49	1.17	159.95	97.06	318.21	107.08	140.74	293.1	2.95	422.97	0.0	0.0	4.19	221.24	220.87	232.23	153.01	191.96	273.68	260.93
Snap25	26182.83	19986.44	24880.43	23752.44	25194.29	22198.58	0.0	20475.86	24000.2	21827.11	22188.29	20741.69	24648.02	22891.51	21740.03	20866.53	23051.34	22470.57	21550.85	22039.64	25542.47	11708.94	21954.45	22725.47	20633.02	20672.41	20516.03	0.13	0.0	21043.71	17485.78	15823.69	16180.38	16617.11	20846.74	19146.26	18964.09
Sort1	96.81	1.7	168.15	115.38	110.45	130.14	0.0	10.56	5.04	95.75	5.8	27.65	72.83	92.74	120.53	53.1	0.69	0.0	20.17	8.29	34.08	146.67	88.41	139.31	49.03	122.61	29.61	24.68	0.0	0.0	24.28	18.86	19.41	16.44	26.68	19.47	23.14
Trappc4	487.61	394.51	133.43	0.0	382.4	170.55	0.0	223.6	90.63	103.98	317.51	0.48	537.71	249.33	211.91	350.66	39.67	77.72	221.35	336.95	471.23	337.59	559.48	305.21	199.6	276.15	279.37	0.0	0.0	91.82	273.9	270.58	328.6	236.95	287.37	307.86	302.48
Trim23	31.79	67.45	0.14	0.0	97.48	15.68	0.0	0.0	47.54	7.79	30.67	0.13	95.39	0.0	0.09	76.5	0.0	0.0	30.1	44.17	0.0	0.0	0.52	42.27	79.06	167.58	0.48	14.4	0.0	0.0	48.33	30.95	36.6	23.26	58.36	28.63	33.99
Trim44	0.0	13.39	55.34	22.24	0.1	94.58	0.0	127.7	0.23	120.05	8.66	0.1	92.38	76.08	50.37	45.4	39.78	184.45	54.65	0.0	58.66	145.31	0.1	0.04	63.44	125.61	70.08	0.0	99.12	115.52	56.31	28.67	28.42	29.86	30.54	30.94	27.69
Tspan15	5.33	6.1	4.58	3.54	7.1	7.08	0.0	8.48	7.44	7.05	6.82	5.55	5.99	3.52	3.13	4.08	3.97	3.0	3.08	5.32	6.27	9.39	7.46	4.49	6.0	3.82	6.89	4.46	2.49	5.42	10.04	8.15	6.69	15.53	10.18	8.53	11.31
Ttc9b	0.0	31.49	4.07	39.33	0.0	0.0	0.0	0.0	0.0	0.39	0.0	71.52	1.83	0.99	0.47	48.08	175.23	24.82	0.0	50.79	1.1	113.54	11.66	32.85	30.36	0.0	17.32	0.0	0.0	0.0	52.83	82.94	32.58	78.49	57.35	73.63	77.52
Tubb5	564.63	377.71	307.15	576.73	498.56	408.98	2180.49	349.51	259.11	392.76	728.34	278.14	49.63	208.67	730.84	214.65	1127.02	536.92	911.11	835.75	580.83	247.29	385.14	856.87	256.31	401.21	544.41	207.71	17.41	355.61	764.0	679.91	766.43	690.36	684.91	710.59	740.46
Uba1	0.89	130.05	0.51	279.28	0.28	34.55	0.0	105.82	123.78	141.32	3.45	245.26	5.08	43.86	18.92	89.73	22.72	103.23	108.5	192.92	0.24	197.84	133.04	0.2	0.53	23.89	100.36	0.47	0.39	89.65	51.87	53.5	71.11	60.23	77.59	55.27	71.86
Wnt2b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.37	0.0	67.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.46	0.0	0.0	0.84	0.0	0.0	0.0	0.0	0.0	1.92	0.0	0.0	0.66	0.25	0.1	0.29
Yipf5	0.0	145.14	0.22	67.42	193.48	7.6	0.0	170.72	170.23	114.79	66.89	141.3	113.52	3.12	191.58	0.0	138.05	80.84	143.32	131.77	0.0	326.3	60.58	168.17	12.4	3.66	4.58	0.0	0.0	302.51	117.91	112.38	131.6	79.82	108.79	83.36	94.14
Zdhhc21	1.09	0.03	69.06	0.0	14.11	76.16	0.0	3.38	0.13	0.02	1.24	45.17	0.08	0.0	28.06	0.01	0.04	64.82	30.99	21.94	0.0	87.41	0.02	1.57	13.16	1.67	0.44	0.0	0.0	0.0	6.19	8.88	6.74	2.54	7.52	8.22	7.01
Zfp148	33.61	45.46	4.81	38.91	0.0	78.69	80.97	5.21	37.79	15.99	51.06	1.75	80.86	9.08	50.56	7.5	0.04	12.51	0.07	110.92	133.24	86.61	33.38	61.57	3.17	119.59	44.14	0.0	0.0	40.41	13.4	20.06	13.37	14.98	18.81	13.3	14.87
Zfp933	4.09	8.84	4.23	1.98	21.2	12.29	0.0	3.82	4.38	3.07	3.57	6.91	2.79	57.94	3.97	2.23	49.44	106.09	72.98	6.85	2.83	4.2	121.87	2.95	34.71	2.11	3.61	2.34	2.08	1.54	3.73	12.14	19.01	19.1	15.4	12.29	19.31
Zfyve21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.03	61.93	0.0	0.0	0.0	0.0	0.0	81.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.57	2.42	0.27
Zmat2	217.25	353.7	33.09	211.65	203.25	240.04	0.0	204.9	97.07	96.38	342.26	226.84	341.13	358.04	264.27	321.96	71.21	18.79	246.96	247.88	368.21	332.88	308.97	250.03	238.07	252.89	424.65	0.0	0.0	307.89	256.88	250.47	290.4	282.21	238.25	264.07	243.89
Zscan22	0.0	0.04	329.04	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.12	0.0	1.8	0.0	0.0	0.0	0.0	115.06	0.0	0.0	0.0	0.0	0.42	0.0	0.0	0.0	5.84	3.29	2.64	7.55	9.23	11.44	10.22
c11_LSU-rRNA_Hsa	5.73	52.23	36.81	10.22	39.58	59.79	0.0	24.52	69.69	40.61	30.86	20.29	31.1	20.34	73.2	15.42	89.73	70.67	87.58	99.33	30.61	116.63	22.66	15.85	81.67	17.34	26.69	1.15	0.0	32.78	49.15	92.04	55.9	76.84	61.61	45.31	44.59
c16_LSU-rRNA_Hsa	384.92	299.37	338.67	396.08	442.39	288.88	199.0	333.12	386.08	347.62	277.56	289.96	221.57	321.67	522.38	397.28	333.43	384.16	304.89	289.05	340.87	435.71	415.23	522.05	387.07	232.9	328.08	134.16	96.91	464.8	978.16	905.57	898.56	887.21	4078.37	3436.41	3239.78
mt_AK136262	12.47	0.0	0.0	0.0	0.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1	1.01	0.0	0.06	0.0	0.0	0.0	0.0	0.2	0.23	0.0	0.0	0.02	0.0	0.0	0.0	210.2	12.15	50.19	19.33	8.22	0.19	1.6
mt_AK142003	12.47	0.0	0.0	0.0	0.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1	1.01	0.0	0.06	0.0	0.0	0.0	0.0	0.2	0.23	0.0	0.0	0.02	0.0	0.0	0.0	210.2	12.15	50.19	19.33	8.22	0.19	1.6
mt_AK166798	12.47	0.0	0.0	0.0	0.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1	1.01	0.0	0.06	0.0	0.0	0.0	0.0	0.2	0.23	0.0	0.0	0.02	0.0	0.0	0.0	210.2	12.15	50.19	19.33	8.22	0.19	1.6
mt_AK166978	12.47	0.0	0.0	0.0	0.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1	1.01	0.0	0.06	0.0	0.0	0.0	0.0	0.2	0.23	0.0	0.0	0.02	0.0	0.0	0.0	210.2	12.15	50.19	19.33	8.22	0.19	1.6
