	Calb2_tdTpositive_cell_21	Calb2_tdTpositive_cell_34	Calb2_tdTpositive_cell_49	Calb2_tdTpositive_cell_56	Calb2_tdTpositive_cell_57	Calb2_tdTpositive_cell_63	Calb2_tdTpositive_cell_64	Chat_tdTpositive_cell_1	Chat_tdTpositive_cell_4	Chat_tdTpositive_cell_5	Chat_tdTpositive_cell_6	Gad2_tdTpositive_cell_10	Gad2_tdTpositive_cell_19	Gad2_tdTpositive_cell_23	Gad2_tdTpositive_cell_29	Gad2_tdTpositive_cell_33	Gad2_tdTpositive_cell_35	Gad2_tdTpositive_cell_38	Gad2_tdTpositive_cell_45	Gad2_tdTpositive_cell_54	Gad2_tdTpositive_cell_60	Htr3a_tdTpositive_cell_7	Htr3a_tdTpositive_cell_23	Htr3a_tdTpositive_cell_37	Htr3a_tdTpositive_cell_40	Htr3a_tdTpositive_cell_58	Htr3a_tdTpositive_cell_59	Htr3a_tdTpositive_cell_68	Htr3a_tdTpositive_cell_71	Htr3a_tdTpositive_cell_76	Htr3a_tdTpositive_cell_77	Htr3a_tdTpositive_cell_81	Htr3a_tdTpositive_cell_88	Nr5a1_tdTpositive_cell_50	Nr5a1_tdTpositive_cell_52	PvalbF.Gad2_tdTpositive_cell_31	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_182	Scnn1a.Tg3_tdTpositive_cell_107	Sst_tdTpositive_cell_44	Vip_tdTpositive_cell_5	Vip_tdTpositive_cell_10	Vip_tdTpositive_cell_14	Vip_tdTpositive_cell_24	Vip_tdTpositive_cell_33	Vip_tdTpositive_cell_34	Vip_tdTpositive_cell_35	Vip_tdTpositive_cell_39	Vip_tdTpositive_cell_41	Vip_tdTpositive_cell_43	Vip_tdTpositive_cell_45	Vip_tdTpositive_cell_49	Vip_tdTpositive_cell_50	Vip_tdTpositive_cell_54	Vip_tdTpositive_cell_55	Vip_tdTpositive_cell_56	Vip_tdTpositive_cell_57	Vip_tdTpositive_cell_58	Vip_tdTpositive_cell_59	Vip_tdTpositive_cell_61	Vip_tdTpositive_cell_65	Vip_tdTpositive_cell_66	Vip_tdTpositive_cell_67	Ntsr1_tdTpos_10cell_3	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Prdm8	0.17	0.28	0.48	0.0	0.0	0.25	0.0	0.22	0.51	0.0	0.22	0.0	0.46	0.24	0.33	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.15	0.0	0.0	0.14	0.0	0.36	0.1	0.29	0.25	0.0	0.0	32.62	0.96	0.14	3.63	0.12	0.4	0.0	0.0	0.42	0.24	0.0	0.33	0.15	0.0	0.19	0.12	0.6	0.17	0.0	0.0	0.56	0.32	0.84	5.0	0.27	0.0	0.12	0.0	0.22	0.0	0.54	1.01	0.67	1.24	0.88	0.89	28.2	33.99	26.7
Prkg1	0.84	0.06	0.51	0.1	0.39	0.21	0.12	0.16	17.5	0.02	0.47	0.0	0.2	0.56	0.15	0.38	0.59	0.26	0.14	0.11	1.06	0.24	0.15	0.2	0.0	0.09	0.69	0.67	0.54	0.28	0.3	0.51	0.19	0.97	32.67	0.47	1.27	13.86	32.0	1.21	0.14	0.43	0.29	0.0	0.57	1.32	0.17	0.16	0.29	0.44	0.27	0.08	0.45	0.46	0.35	0.44	0.58	1.72	0.67	2.78	0.0	0.54	0.11	7.84	1.63	3.71	2.61	3.42	2.97	5.98	5.38	6.26
Rad54l2	0.0	0.0	0.21	0.0	0.0	0.1	0.07	0.13	0.0	0.0	0.0	0.0	0.04	0.0	0.06	43.7	0.0	0.07	0.05	0.3	0.06	0.08	0.04	0.0	0.08	0.05	0.0	0.41	0.05	0.06	0.04	0.0	0.05	0.61	0.21	0.32	0.14	0.61	0.22	0.0	0.06	0.0	0.0	0.0	0.0	0.17	3.32	0.04	0.08	0.0	0.02	0.0	0.0	4.48	0.09	0.05	0.1	0.0	0.03	0.0	0.0	0.0	0.12	1.1	1.06	0.3	0.44	0.4	0.35	11.32	10.45	11.72
Rbms2	0.0	0.0	0.0	0.13	0.0	0.0	0.26	1.42	0.15	0.0	0.0	0.06	0.2	0.0	0.11	0.05	0.34	0.0	0.11	0.0	0.1	0.33	0.0	0.18	1.28	0.14	0.19	0.26	0.0	0.24	0.0	0.0	0.08	0.53	0.65	7.74	0.41	13.47	0.09	0.34	0.1	0.0	0.0	0.0	0.39	0.0	0.0	0.0	0.26	0.62	0.18	0.07	0.1	0.37	0.12	0.06	0.58	0.31	0.07	0.08	0.2	0.29	0.22	1.27	2.68	3.14	1.7	1.97	3.25	6.08	6.95	5.89
Runx2	0.2	0.0	0.43	0.11	0.0	0.39	0.0	0.0	0.13	0.47	0.0	0.0	0.1	0.32	0.09	0.0	0.38	0.0	0.16	0.0	0.36	0.27	0.4	0.33	0.17	0.08	0.0	0.15	0.29	0.0	0.07	0.0	0.1	0.57	0.4	2.7	0.45	0.46	0.17	0.28	0.0	0.1	0.0	0.0	0.0	0.47	0.0	0.3	0.0	0.52	0.1	0.0	0.09	0.32	0.0	0.0	0.08	0.0	0.57	0.14	0.0	0.0	0.31	0.13	2.98	2.57	2.26	0.77	1.63	3.07	3.56	3.45
Siah2	0.0	0.0	134.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	130.78	0.0	0.0	0.0	10.55	0.59	1.06	5.95	0.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	166.73	0.49	0.0	14.62	0.0	0.0	0.0	0.0	0.0	0.0	3.1	0.12	0.72	4.93	6.1	2.66	16.0	16.68	10.78
Smad3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	89.08	40.28	7.97	15.06	1.37	177.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.1	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	4.75	4.25	3.85	2.26	5.09	3.72	34.88	36.49	36.75
Srcin1	0.64	2.03	0.36	13.25	0.0	1.64	0.27	0.0	45.45	0.22	0.0	0.0	0.0	0.03	0.0	0.35	73.51	19.65	3.24	3.88	9.19	2.79	0.24	26.67	5.9	0.0	0.0	4.27	0.0	0.0	1.48	1.39	0.18	60.34	15.26	5.24	2.79	11.89	12.06	0.06	0.07	0.0	0.0	0.29	0.0	1.09	0.46	30.39	0.7	6.71	6.1	0.0	0.41	11.84	0.0	0.07	12.89	0.11	0.17	0.05	1.53	13.18	26.94	6.11	1.75	6.84	4.02	3.56	3.64	138.51	141.68	150.57
Synpo	0.0	0.0	6.97	0.0	0.0	0.0	0.0	0.0	99.66	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	69.9	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	82.03	1.4	13.55	19.74	85.82	54.1	2.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	81.82	0.27	0.12	0.0	0.0	0.26	0.0	0.0	0.11	0.0	6.89	13.11	10.96	11.22	12.12	17.75	115.12	119.16	107.25
Tbl1xr1	18.79	22.82	14.17	0.1	0.08	1.31	0.09	2.9	9.15	4.38	0.06	0.0	0.06	92.35	0.25	0.26	72.03	2.83	0.06	0.0	0.16	18.31	0.19	0.23	0.27	0.0	0.1	0.01	0.04	0.0	32.59	0.0	0.27	16.25	22.17	16.58	5.28	37.44	0.05	0.04	71.36	0.0	27.46	0.0	0.25	0.06	2.51	3.65	0.15	0.46	51.59	0.02	0.25	101.58	0.16	2.57	0.0	50.51	1.35	0.09	0.68	23.03	0.17	31.54	19.38	15.05	12.92	14.34	15.26	25.02	22.94	26.18
Usp7	0.0	2.37	77.41	0.0	0.0	1.13	0.24	0.11	8.39	34.46	0.0	0.0	0.06	0.0	0.0	0.0	112.45	87.15	1.58	52.29	67.33	3.59	76.18	34.91	0.0	0.0	0.0	98.35	0.0	31.92	0.07	0.0	0.08	27.09	44.06	26.58	16.86	32.82	61.9	0.07	7.91	207.3	0.0	0.0	0.18	0.25	0.0	0.0	0.72	16.96	22.13	0.09	0.0	35.15	0.22	0.19	121.51	0.14	170.61	0.28	141.34	36.26	1.25	20.37	16.19	24.17	23.44	18.76	17.97	85.78	84.07	81.9
Zfp276	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	30.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	81.65	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.14	0.0	3.53	0.79	0.49	1.64	12.53	12.73	12.32
