	Calb2_tdTpositive_cell_33	Calb2_tdTpositive_cell_40	Calb2_tdTpositive_cell_42	Cux2_tdTpositive_cell_62	Gad2_tdTpositive_cell_1	Htr3a_tdTpositive_cell_48	Htr3a_tdTpositive_cell_109	Nos1_tdTpositive_cell_37	Ntsr1_tdTpositive_cell_19	Ntsr1_tdTpositive_cell_21	Ntsr1_tdTpositive_cell_42	Ntsr1_tdTpositive_cell_48	Ntsr1_tdTpositive_cell_49	Ntsr1_tdTpositive_cell_76	Ntsr1_tdTnegative_cell_6	Ntsr1_tdTnegative_cell_31	Ntsr1_tdTnegative_cell_36	Ntsr1_tdTnegative_cell_44	Rbp4_tdTpositive_cell_32	Rbp4_tdTpositive_cell_50	Rbp4_tdTpositive_cell_69	Rbp4_tdTpositive_cell_138	Scnn1a.Tg3_tdTnegative_cell_4	Slc17a6_tdTpositive_cell_36	Vip_tdTpositive_cell_20	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_11
Serf1	30.75	178.53	0.0	3.49	0.0	136.93	0.0	0.0	2.41	64.25	0.0	10.08	0.6	19.04	0.88	3.89	0.0	0.0	143.57	0.0	23.5	33.6	0.0	70.51	185.82	47.14	54.36	31.4	34.23	49.91	0.0
Slc16a1	0.94	0.0	0.0	0.42	2.32	0.09	1.75	0.95	14.42	0.21	0.36	0.08	0.0	0.69	0.0	0.0	42.45	2.64	0.0	0.11	0.0	67.3	0.0	0.16	0.0	11.44	0.0	4.88	6.71	3.97	11.14
Sorbs1	20.4	29.21	10.2	12.09	73.63	88.51	67.39	5.89	19.8	39.51	3.33	24.15	10.72	77.89	4.57	0.1	68.71	0.0	63.95	0.28	0.0	177.03	0.0	1.38	0.55	21.91	16.63	31.35	27.58	31.96	5.61
Stxbp5l	8.6	0.0	8.86	68.34	0.26	0.0	1.34	17.86	39.91	9.27	8.58	15.09	0.11	61.86	17.18	10.38	6.12	0.17	25.09	8.96	0.81	24.54	0.13	16.1	2.41	28.81	21.53	18.37	17.77	17.8	11.85
Taz	37.99	0.0	8.6	14.04	0.0	0.0	0.0	96.54	40.26	0.0	0.0	0.0	0.0	0.38	0.0	0.0	0.0	0.0	186.11	0.0	0.0	0.0	0.0	0.0	0.0	19.21	18.1	14.99	15.03	18.01	0.0
Tmem128	116.83	176.31	3.85	239.31	158.37	0.4	234.89	0.0	117.65	308.85	198.69	415.64	22.51	125.37	136.55	86.87	122.15	4.34	262.09	169.53	253.51	59.94	0.0	218.09	130.96	232.0	213.34	213.11	146.89	168.76	272.15
Tmem64	1.66	0.0	3.05	0.0	0.0	0.0	0.1	38.65	47.38	0.0	0.0	7.32	0.0	44.67	0.0	7.24	0.0	0.0	18.21	0.0	0.0	93.1	0.0	0.0	0.0	10.08	8.69	17.11	12.1	9.71	41.83
Tmod3	26.54	1.46	10.18	3.57	3.86	14.7	5.23	97.37	56.94	26.59	20.33	47.42	88.84	22.48	0.17	14.1	26.47	3.39	38.66	36.11	86.77	66.52	1.45	38.45	4.62	28.73	26.81	26.5	34.25	28.01	62.38
Trim23	31.87	0.0	35.61	86.23	0.34	0.0	31.18	105.82	35.41	38.59	0.0	25.92	1.3	35.6	0.0	46.62	33.53	0.0	48.63	48.74	0.1	66.63	0.0	9.43	82.02	30.95	23.26	58.36	28.63	33.99	29.39
Triobp	0.0	0.32	1.27	0.26	0.81	0.82	0.18	0.14	0.38	0.0	0.22	0.0	0.0	0.19	0.1	0.0	1.06	0.0	3.94	0.59	0.17	0.37	0.0	0.0	0.64	0.0	0.15	0.0	0.26	0.27	0.19
Trnt1	103.22	0.0	0.0	167.95	350.2	85.58	190.49	71.99	54.52	50.56	121.83	153.24	48.1	214.77	10.94	72.68	342.95	0.0	284.35	65.05	30.95	185.61	0.0	69.23	0.27	137.02	80.22	161.19	93.55	98.1	85.13
Wasf1	164.82	23.07	112.09	172.77	25.96	13.27	122.19	175.05	261.42	192.6	154.22	113.99	100.64	103.07	242.86	46.95	135.5	0.0	220.09	295.33	120.19	212.92	0.0	62.43	64.64	154.39	119.27	238.93	216.94	214.4	44.65
Zbtb9	0.56	0.71	4.68	0.66	0.15	0.15	1.0	0.42	1.04	0.34	0.68	0.0	0.63	0.86	0.0	0.23	4.44	0.24	1.43	0.55	0.52	1.04	0.0	3.67	0.0	1.25	7.36	2.91	3.91	3.29	0.47
Zfand3	0.0	6.08	0.0	25.38	0.0	0.0	0.0	1.92	0.0	24.23	0.0	0.13	58.13	1.45	2.56	0.0	0.0	0.0	0.0	2.66	0.0	55.37	0.0	5.63	0.0	7.68	0.15	2.4	4.48	3.05	3.11
Zfp37	8.16	6.11	3.35	74.84	3.84	0.9	10.87	4.69	139.85	4.94	1.96	8.4	19.95	6.01	2.28	5.17	1.91	0.0	145.0	84.64	1.59	177.38	0.27	6.52	8.39	21.75	12.71	42.2	22.74	21.35	18.58
Zfp560	1.52	0.0	10.81	1.21	1.11	2.42	0.38	4.28	7.76	11.58	11.47	47.55	6.5	8.06	8.91	0.87	13.92	0.21	0.13	23.34	0.83	39.13	2.74	7.09	24.38	12.25	13.6	7.26	7.52	9.6	0.86
Zfp605	9.37	3.21	11.73	42.49	6.44	2.74	7.18	6.54	8.6	10.57	11.59	4.61	2.09	3.75	0.77	8.26	15.41	1.59	9.49	16.1	6.42	8.63	2.21	12.97	8.26	21.51	20.29	15.78	14.61	20.23	8.34
Zfp873	0.24	0.0	0.0	0.13	0.46	0.0	0.21	0.0	0.16	0.0	0.06	0.0	0.0	164.65	0.0	0.0	0.62	0.0	0.0	0.0	0.0	182.98	0.0	4.82	0.0	15.5	15.75	8.73	7.68	17.01	0.0
Zfp955b	43.57	0.08	60.34	116.33	0.0	0.0	118.05	3.68	38.66	30.35	30.03	28.53	81.42	211.94	77.09	22.9	0.0	0.0	160.89	28.71	0.0	153.39	0.0	0.0	0.0	55.29	76.78	34.63	32.66	31.64	0.7
Zmat2	230.87	47.19	364.68	137.61	47.5	9.21	223.71	251.44	357.78	329.3	397.19	229.63	259.78	164.93	316.46	131.26	182.41	0.0	340.9	372.51	330.53	203.45	0.0	273.16	146.28	250.47	282.21	238.25	264.07	243.89	365.49
cx_5S	0.0	0.0	0.0	0.0	10.95	0.0	0.0	0.0	85.48	0.0	0.0	0.0	0.0	0.0	0.0	3.18	0.0	0.0	0.0	28.8	0.0	42.58	0.0	0.0	0.0	0.0	0.0	23.82	0.0	0.0	0.0
mt_AK136262	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	150.0	0.14	0.0	0.0	0.0	0.12	1.02	0.0	0.01	0.0	9.37	0.0	0.0	0.0	0.0	25.95	0.0	12.15	19.33	8.22	0.19	1.6	0.13
mt_AK142003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	150.0	0.14	0.0	0.0	0.0	0.12	1.02	0.0	0.01	0.0	9.37	0.0	0.0	0.0	0.0	25.95	0.0	12.15	19.33	8.22	0.19	1.6	0.13
mt_AK166798	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	150.0	0.14	0.0	0.0	0.0	0.12	1.02	0.0	0.01	0.0	9.37	0.0	0.0	0.0	0.0	25.95	0.0	12.15	19.33	8.22	0.19	1.6	0.13
mt_AK166978	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	150.0	0.14	0.0	0.0	0.0	0.12	1.02	0.0	0.01	0.0	9.37	0.0	0.0	0.0	0.0	25.95	0.0	12.15	19.33	8.22	0.19	1.6	0.13
