	Calb2_tdTpositive_cell_1	Calb2_tdTpositive_cell_2	Calb2_tdTpositive_cell_19	Calb2_tdTpositive_cell_28	Calb2_tdTpositive_cell_29	Calb2_tdTpositive_cell_40	Calb2_tdTpositive_cell_43	Calb2_tdTpositive_cell_48	Calb2_tdTpositive_cell_51	Calb2_tdTpositive_cell_52	Calb2_tdTpositive_cell_61	Calb2_tdTpositive_cell_62	Chat_tdTpositive_cell_4	Chat_tdTpositive_cell_6	Chrna2_tdTpositive_cell_14	Chrna2_tdTpositive_cell_45	Chrna2_tdTpositive_cell_70	Ctgf_tdTpositive_cell_1	Ctgf_tdTpositive_cell_4	Ctgf_tdTpositive_cell_10	Cux2_tdTpositive_cell_71	Cux2_tdTpositive_cell_81	Cux2_tdTpositive_cell_85	Cux2_tdTpositive_cell_115	Cux2_tdTnegative_cell_3	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_12	Gad2_tdTpositive_cell_45	Htr3a_tdTpositive_cell_3	Htr3a_tdTpositive_cell_52	Htr3a_tdTpositive_cell_66	Htr3a_tdTpositive_cell_71	Htr3a_tdTpositive_cell_74	Htr3a_tdTpositive_cell_81	Htr3a_tdTpositive_cell_94	Ndnf_tdTpositive_cell_4	Ndnf_tdTpositive_cell_12	Ndnf_tdTpositive_cell_21	Ndnf_tdTnegative_cell_7	Nkx2.1_tdTpositive_cell_3	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_71	Nr5a1_tdTpositive_cell_35	Ntsr1_tdTpositive_cell_18	Ntsr1_tdTpositive_cell_57	Ntsr1_tdTnegative_cell_3	Ntsr1_tdTnegative_cell_19	Ntsr1_tdTnegative_cell_29	Ntsr1_tdTnegative_cell_38	Ntsr1_tdTnegative_cell_42	Ntsr1_tdTnegative_cell_46	Pvalb_tdTpositive_cell_80	PvalbD.Slc32a1_tdTpositive_cell_22	PvalbD.Slc32a1_tdTpositive_cell_27	PvalbD.Slc32a1_tdTpositive_cell_43	PvalbF.Gad2_tdTpositive_cell_7	PvalbF.Gad2_tdTpositive_cell_24	Rbp4_tdTpositive_cell_33	Rbp4_tdTpositive_cell_56	Rbp4_tdTpositive_cell_119	Rbp4_tdTnegative_cell_1	Rbp4_tdTnegative_cell_5	Rbp4_tdTnegative_cell_6	Rbp4_tdTnegative_cell_9	Rbp4_tdTnegative_cell_14	Rbp4_tdTnegative_cell_15	Rbp4_tdTnegative_cell_17	Rbp4_tdTnegative_cell_23	Scnn1a.Tg2_tdTnegative_cell_12	Scnn1a.Tg2_tdTnegative_cell_15	Scnn1a.Tg3_tdTpositive_cell_65	Scnn1a.Tg3_tdTnegative_cell_10	Scnn1a.Tg3_tdTnegative_cell_11	Scnn1a.Tg3_tdTnegative_cell_13	Scnn1a.Tg3_tdTnegative_cell_18	Sst_tdTpositive_cell_9	Sst_tdTpositive_cell_38	Sst_tdTpositive_cell_41	Sst_tdTpositive_cell_54	Sst_tdTpositive_cell_58	Sst_tdTpositive_cell_78	Sst_tdTpositive_cell_82	Sst_tdTpositive_cell_85	Sst_tdTpositive_cell_91	Sst_tdTpositive_cell_97	Sst_tdTpositive_cell_98	Vip_tdTpositive_cell_4	Vip_tdTpositive_cell_12	Vip_tdTpositive_cell_18	Vip_tdTpositive_cell_24	Vip_tdTpositive_cell_25	Vip_tdTpositive_cell_28	Vip_tdTpositive_cell_33	Vip_tdTpositive_cell_35	Vip_tdTpositive_cell_38	Vip_tdTpositive_cell_61	Vip_tdTpositive_cell_69	CAV_LP_Ipsi_tdTpos_cell_16
Ids	2.15	40.15	0.0	0.01	1.8	0.34	0.19	0.13	0.3	0.37	4.13	10.15	11.77	3.0	4.35	5.04	46.29	0.0	0.0	0.0	0.31	66.48	173.11	27.13	0.34	0.39	0.11	2.82	32.56	7.26	0.47	1.33	72.92	1.0	28.47	0.0	0.11	0.16	0.0	0.11	15.43	59.57	54.19	69.48	0.18	0.2	0.0	0.0	0.0	0.14	0.36	7.14	2.74	0.72	3.9	25.08	10.81	41.43	7.68	23.2	0.66	0.11	0.17	0.69	1.03	1.07	0.0	1.66	1.1	0.0	0.6	0.0	0.0	0.14	0.14	7.82	8.24	2.27	34.71	9.35	35.37	27.1	47.78	0.22	23.12	5.57	24.04	7.42	28.26	35.6	24.16	32.46	10.0	2.91	15.85	34.65	1.16	0.43
Lmtk2	5.53	37.71	55.29	0.0	31.25	0.09	53.46	0.0	84.27	0.05	0.0	23.19	0.39	43.82	0.1	20.37	6.22	0.0	0.0	0.0	61.32	14.08	72.16	12.99	0.05	0.0	0.15	0.0	0.15	24.22	0.05	12.22	34.99	7.92	17.54	0.05	0.0	0.0	0.0	0.05	9.41	2.0	9.29	24.88	39.27	0.06	0.0	0.0	0.0	0.0	115.57	9.55	0.11	2.02	31.19	10.61	1.52	15.85	2.61	5.84	0.0	3.71	0.35	28.6	0.08	0.25	0.13	0.0	0.0	0.0	39.37	0.0	0.0	0.0	0.0	21.6	0.23	32.07	15.54	25.8	21.92	0.4	5.49	2.31	54.01	31.59	0.0	0.0	10.84	21.77	0.84	0.0	0.25	0.26	0.17	0.48	0.11	6.97
Nat8l	0.0	0.0	80.48	0.0	2.57	0.0	0.0	33.99	46.23	45.73	0.0	27.27	4.32	4.91	5.03	11.2	9.07	0.0	0.0	0.0	21.26	25.96	17.47	14.26	0.0	0.0	0.0	52.8	41.89	87.47	1.67	0.0	16.08	0.0	3.42	0.0	0.0	0.0	0.0	0.0	24.07	0.04	19.8	0.1	19.69	0.0	0.0	0.0	0.0	0.0	0.0	59.11	36.44	11.61	9.42	2.61	0.96	28.05	0.4	28.34	0.0	1.58	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.1	78.35	0.0	0.16	0.0	0.0	0.07	1.48	55.29	0.13	30.52	30.96	20.56	4.24	2.39	0.61	0.38	0.0	39.67	0.0	0.0	0.0	7.43	14.65	0.0	0.0	0.06	7.92	0.69
Numbl	0.72	2.12	1.62	0.51	2.44	0.0	0.0	0.0	1.63	1.63	0.0	2.72	0.29	1.8	0.71	3.56	1.93	0.0	0.0	0.0	13.21	1.09	8.71	20.87	0.0	0.0	0.0	0.5	0.94	0.31	0.53	0.15	1.13	3.6	3.77	0.0	0.0	0.0	4.5	0.0	0.31	3.47	1.42	4.34	0.37	0.0	0.0	0.0	0.0	0.98	0.0	0.54	0.0	0.0	0.87	0.39	0.74	2.25	2.54	3.24	3.8	0.0	14.7	0.0	0.0	0.0	0.0	0.0	0.74	0.0	8.16	0.0	0.0	4.75	0.0	1.42	2.06	1.16	2.89	1.59	3.86	1.32	1.04	2.79	0.44	0.68	1.6	0.0	0.78	3.7	0.0	0.0	1.51	0.79	1.43	3.3	4.73	1.99
Odz2	0.0	1.49	2.63	0.0	0.0	0.0	0.0	0.0	12.49	14.75	0.0	3.7	15.41	0.05	0.0	14.54	9.18	0.0	0.0	0.0	15.12	47.33	3.01	17.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.47	0.0	0.0	0.0	0.0	1.86	3.81	69.98	34.33	6.41	47.31	0.0	0.0	0.0	0.0	0.0	0.0	1.49	11.65	0.0	0.42	6.72	21.84	34.11	1.37	8.77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	8.75	0.0	0.0	0.0	0.0	18.12	13.11	0.0	16.05	12.14	9.25	27.76	108.68	19.35	5.22	4.15	0.0	4.58	8.69	1.84	0.04	3.64	0.0	0.0	3.9	0.12	0.0	4.9
Pclo	14.08	0.11	42.47	0.23	49.15	0.06	8.39	0.65	13.63	0.08	0.12	18.8	41.83	1.35	16.88	50.47	17.28	0.0	0.11	0.09	24.82	23.92	1.57	49.73	0.0	0.0	0.16	41.91	71.9	41.91	50.72	0.11	42.42	3.44	43.83	0.0	0.03	0.04	0.06	10.94	5.49	12.3	44.41	3.32	7.87	0.03	0.0	0.07	0.22	0.18	0.1	38.08	14.7	20.63	13.6	12.17	19.04	12.96	13.95	27.97	0.07	0.09	74.14	0.5	0.35	0.0	0.17	0.06	22.21	0.5	18.93	52.04	0.09	0.0	0.34	52.36	69.13	1.18	48.57	19.0	27.81	33.8	22.78	15.02	28.91	6.08	92.61	17.34	0.46	28.97	8.34	0.05	0.92	15.6	0.2	14.31	0.2	14.46
Psd	0.19	0.0	5.51	0.0	7.85	27.21	6.81	0.0	34.76	20.96	7.49	4.1	20.63	15.85	32.37	21.39	4.94	0.0	0.0	0.0	49.45	23.84	49.43	24.59	0.0	0.0	0.0	5.94	46.14	11.44	5.21	28.28	1.57	10.29	31.02	0.0	28.25	0.0	20.37	25.47	23.19	12.22	0.33	6.65	37.74	0.0	0.0	0.0	0.0	0.0	0.0	17.73	0.0	13.48	31.19	9.01	17.34	17.13	11.75	38.38	0.0	0.0	0.0	0.0	0.0	0.0	41.52	0.0	20.01	0.33	45.23	0.0	0.0	0.0	0.0	20.31	9.73	23.5	22.8	5.54	17.86	30.95	20.84	11.94	23.12	0.0	19.36	5.94	12.33	20.08	12.36	0.0	9.62	14.0	7.67	13.69	0.0	8.85
Ryr2	1.04	0.37	0.0	0.0	10.6	0.0	0.68	0.0	7.85	0.03	0.0	0.69	23.53	0.82	0.01	0.99	28.08	0.1	0.0	0.0	1.53	18.14	77.95	40.96	0.0	0.02	0.0	0.06	0.72	0.06	62.14	0.03	19.86	13.76	9.28	0.0	0.0	0.08	0.04	0.54	5.43	42.16	18.13	6.4	19.18	0.0	0.03	0.0	0.0	0.0	0.16	0.28	0.03	0.35	0.0	0.03	0.27	2.17	4.97	6.89	0.0	0.0	0.18	0.13	0.04	0.05	0.07	0.0	0.25	0.0	6.26	0.03	0.0	0.0	0.04	2.95	1.61	2.41	7.35	9.46	1.12	5.59	0.17	15.02	0.07	4.94	0.03	0.11	0.05	0.0	0.19	0.0	9.45	0.06	35.12	7.8	0.0	0.0
Shank1	3.37	0.52	5.62	7.28	5.15	5.46	15.06	0.0	17.91	0.69	0.0	2.65	31.95	14.6	9.98	11.28	27.81	0.0	0.0	0.0	13.39	17.36	8.95	13.24	0.0	0.0	0.0	2.32	8.04	4.45	3.4	19.38	1.26	2.11	2.22	0.0	0.0	0.0	0.0	7.51	4.6	14.89	2.52	17.69	18.07	0.0	0.0	0.0	0.0	0.0	0.0	2.83	8.14	0.68	13.17	5.56	0.52	9.25	12.89	0.25	0.06	7.92	0.0	0.0	0.0	0.0	0.0	0.0	0.44	0.09	2.41	0.0	4.61	0.0	0.0	2.46	5.13	0.59	15.47	1.24	10.62	0.6	3.03	5.66	4.98	4.44	6.81	3.62	4.36	0.79	18.75	1.76	7.23	6.72	2.5	15.49	3.82	1.37
Slc8a1	0.04	8.45	0.27	0.0	15.0	0.0	0.0	0.0	65.12	0.0	0.0	0.3	0.0	0.0	0.01	13.8	41.16	0.03	0.0	0.0	28.81	9.98	0.0	9.86	0.0	0.0	0.0	0.0	1.81	26.93	0.02	0.02	12.64	4.19	91.37	0.0	0.0	0.0	0.0	20.03	34.84	6.0	0.42	79.25	49.16	0.0	0.0	0.0	0.0	0.0	0.0	91.72	24.82	7.06	13.57	16.69	0.55	50.06	16.21	98.83	0.0	0.05	0.08	0.0	0.0	0.0	0.0	0.0	77.82	0.04	14.96	0.0	15.31	0.0	0.0	5.63	52.67	7.46	42.93	3.13	13.48	59.54	115.88	55.22	27.57	138.65	0.0	34.62	26.66	60.13	1.71	29.74	12.76	12.54	22.74	0.04	0.02	25.34
Stxbp5l	29.74	31.67	3.42	0.11	0.21	0.0	37.36	0.0	22.85	17.44	6.7	4.21	8.59	55.6	0.03	7.72	4.53	0.08	0.07	0.05	1.64	39.6	53.37	36.19	0.07	0.0	0.05	36.74	79.85	1.2	88.51	0.64	5.96	0.21	7.73	0.23	0.03	0.16	0.32	0.0	21.19	16.28	60.64	48.17	74.52	0.14	0.0	0.05	0.0	0.2	0.17	5.08	13.72	16.0	22.66	12.02	11.65	23.07	12.28	2.8	0.2	0.22	0.46	0.63	0.42	0.37	0.3	1.13	122.13	2.07	11.28	0.0	0.0	0.0	0.07	3.52	0.05	34.96	40.48	12.67	12.66	25.37	15.43	43.18	40.07	6.05	0.27	0.56	0.26	28.6	3.68	4.14	92.5	19.6	0.0	0.26	17.3	0.21
Tcf20	1.23	0.59	40.03	0.0	9.04	15.65	4.6	0.0	7.32	14.36	0.0	14.46	30.45	2.37	0.0	10.14	39.65	0.0	0.0	0.0	9.59	74.44	1.28	10.01	0.06	0.0	1.94	13.87	9.27	15.49	0.34	2.58	0.24	14.22	24.7	0.0	54.68	0.0	0.0	0.06	0.08	10.51	16.81	14.11	14.23	0.0	0.0	0.0	0.0	0.96	0.0	8.13	7.53	0.0	0.36	31.52	7.23	17.02	6.6	8.38	0.03	32.38	0.12	0.0	0.0	0.0	0.0	0.0	30.79	0.0	12.7	0.0	0.0	0.0	0.0	0.0	0.0	35.03	14.23	9.38	2.92	3.28	2.14	10.94	2.64	33.59	35.49	18.12	26.64	25.39	36.39	12.69	9.99	30.75	0.0	36.21	0.06	0.82
Tnpo2	33.21	18.85	6.66	0.09	1.57	0.0	0.0	0.0	0.0	8.06	1.36	6.18	35.89	0.09	0.02	0.4	22.97	0.0	0.0	0.0	6.83	9.07	10.22	15.63	0.0	0.0	0.0	0.0	18.05	23.31	0.0	10.7	7.35	0.1	4.3	0.0	0.0	0.0	0.0	28.46	22.4	1.98	0.0	12.42	2.13	0.0	0.0	0.0	0.0	0.0	0.0	5.1	20.44	10.17	30.41	3.38	3.82	19.44	1.89	10.44	0.0	0.0	0.0	0.0	0.0	0.0	1.76	0.0	0.14	0.0	24.61	0.0	0.0	0.0	0.0	9.56	0.0	29.83	0.0	4.6	2.98	2.68	0.0	12.65	4.84	13.53	0.0	0.13	23.08	9.05	0.0	1.62	7.55	0.66	12.31	19.48	0.0	31.73
Trank1	0.33	1.54	0.07	0.0	0.58	27.9	3.6	0.06	15.09	0.0	0.0	17.22	27.33	51.0	1.05	0.08	9.88	0.0	0.0	0.0	47.16	63.12	25.08	19.25	0.0	0.0	0.11	3.9	40.07	5.94	5.04	0.15	103.29	35.3	3.8	0.04	0.0	0.0	0.0	3.99	0.0	42.13	113.36	18.04	21.93	0.0	0.0	0.06	0.0	0.03	0.0	4.5	0.76	0.07	11.89	5.81	14.38	11.11	21.49	3.72	0.04	0.0	0.07	0.0	0.0	0.04	0.0	0.0	0.05	0.06	9.48	0.0	0.26	0.0	0.0	5.48	1.89	0.38	0.53	17.66	6.16	8.93	26.61	8.72	8.79	0.3	14.51	83.0	78.59	33.28	12.34	53.52	26.9	11.59	11.29	0.14	0.0	23.03
Unc13a	3.26	1.71	7.25	0.0	24.43	0.15	7.74	0.0	15.85	0.88	0.0	1.54	0.0	10.4	2.57	8.42	6.33	0.0	0.0	0.0	12.54	10.95	7.17	15.45	0.06	0.0	0.0	4.98	6.25	9.52	8.01	0.0	4.26	0.0	3.13	0.0	0.0	0.0	0.0	6.93	1.05	11.36	20.87	29.38	15.75	0.0	0.0	0.08	0.0	0.0	0.0	3.29	1.92	4.16	2.36	1.06	2.37	5.32	17.86	21.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.17	0.0	33.37	0.0	0.0	0.0	0.0	7.63	10.89	4.66	8.17	11.31	11.07	2.16	2.06	12.56	27.43	1.6	0.11	20.24	8.68	5.51	4.14	2.43	6.0	8.94	13.43	6.28	18.24	7.06
Unc80	10.58	44.19	36.64	37.6	30.62	16.06	6.24	0.0	34.37	0.03	15.09	29.48	93.81	0.26	3.44	33.03	68.66	0.0	0.0	0.0	11.0	60.7	197.75	36.23	0.0	0.0	0.0	46.42	28.26	23.75	1.4	0.03	1.41	15.95	66.71	0.0	0.0	0.0	0.0	3.11	1.36	3.33	61.84	59.57	73.61	0.0	0.0	0.0	0.0	0.0	0.0	14.56	0.06	45.92	13.13	16.34	48.04	79.79	45.34	50.99	0.03	0.11	6.05	0.0	0.05	0.0	0.39	0.07	0.05	0.1	71.54	0.0	0.0	0.0	0.0	0.72	50.07	1.41	46.5	0.0	14.65	16.68	0.35	24.55	18.49	9.02	1.52	123.48	0.0	36.55	47.9	30.93	1.2	18.4	83.99	29.7	74.33	23.39
