	Calb2_tdTpositive_cell_1	Calb2_tdTpositive_cell_24	Calb2_tdTpositive_cell_26	Calb2_tdTpositive_cell_31	Calb2_tdTpositive_cell_34	Calb2_tdTpositive_cell_43	Cux2_tdTpositive_cell_17	Cux2_tdTpositive_cell_80	Cux2_tdTpositive_cell_100	Cux2_tdTpositive_cell_103	Cux2_tdTpositive_cell_106	Cux2_tdTpositive_cell_111	Cux2_tdTpositive_cell_119	Gad2_tdTpositive_cell_32	Gad2_tdTpositive_cell_71	Htr3a_tdTpositive_cell_6	Htr3a_tdTpositive_cell_71	Nos1_tdTpositive_cell_65	Ntsr1_tdTnegative_cell_5	Pvalb_tdTpositive_cell_23	Rbp4_tdTnegative_cell_4	Scnn1a.Tg3_tdTpositive_cell_8	Scnn1a.Tg3_tdTpositive_cell_9	Scnn1a.Tg3_tdTpositive_cell_11	Scnn1a.Tg3_tdTpositive_cell_17	Scnn1a.Tg3_tdTpositive_cell_97	Slc17a6_tdTpositive_cell_33	Sst_tdTpositive_cell_42	Sst_tdTpositive_cell_59	Vip_tdTpositive_cell_2	Vip_tdTpositive_cell_5	Vip_tdTpositive_cell_18	Vip_tdTpositive_cell_29	Vip_tdTpositive_cell_64	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_3
Sh3yl1	0.18	0.0	0.0	0.0	0.0	0.0	0.0	209.87	26.0	0.0	0.0	0.0	0.03	0.0	28.48	0.0	0.0	0.09	0.0	161.27	0.0	0.0	0.0	109.37	0.0	0.0	6.89	0.0	0.0	0.0	0.0	0.0	0.0	0.59	5.05	7.49
Shank1	3.37	10.54	17.5	5.24	1.69	15.06	5.98	19.43	14.73	9.91	11.42	23.73	9.44	9.02	6.45	0.98	19.38	13.64	0.0	11.68	0.0	16.92	4.0	8.95	9.44	8.43	15.35	8.1	0.57	23.09	0.54	4.36	5.36	13.87	11.7	11.76
Shq1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.35	0.58	0.0	0.0	0.0	0.0	90.28	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.39	8.31	9.14
Slc25a24	0.09	0.12	0.0	0.0	0.0	0.0	0.0	0.23	0.0	0.0	0.0	0.18	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.29	0.0	0.09	0.1	0.23	0.0	0.48	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.13	1.58	0.1
Slc39a1	26.42	173.75	40.76	84.9	26.3	80.42	18.34	161.1	20.85	50.14	33.05	56.18	37.14	70.06	13.03	0.15	0.75	32.48	11.55	156.05	25.68	25.46	12.13	38.66	68.11	8.19	58.18	132.04	69.82	91.33	29.99	0.82	103.09	36.81	111.4	114.7
Smpd4	0.0	0.0	0.0	95.71	17.39	16.08	0.0	154.26	19.93	0.11	61.71	91.2	40.32	0.19	1.25	0.0	0.09	0.04	0.0	40.55	0.0	0.0	31.37	0.67	62.03	0.42	16.31	0.0	74.34	0.0	0.0	0.0	0.0	84.97	9.06	10.39
Spin2	0.0	0.0	0.0	0.0	0.0	0.0	0.22	303.62	0.0	46.82	0.0	9.3	0.04	0.0	120.06	0.0	0.33	14.34	0.0	0.0	0.0	5.48	0.0	144.32	150.71	1.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.12	46.02
Spsb3	0.0	0.0	0.0	286.87	0.0	0.0	1.52	240.04	36.31	90.47	126.97	0.0	216.25	188.82	107.5	0.0	0.0	159.2	3.26	0.63	0.0	48.51	0.0	278.36	486.62	50.71	133.83	194.22	137.99	0.0	0.0	368.47	0.0	273.45	89.34	125.66
Srpk1	0.19	0.0	98.61	196.15	0.0	57.64	0.0	147.95	179.5	90.55	156.36	186.48	175.16	131.99	147.0	0.0	0.0	145.64	0.0	0.82	0.0	48.26	157.17	223.71	7.96	119.83	142.7	0.0	26.76	49.16	0.0	89.48	0.0	0.21	56.19	47.8
Srrm3	0.08	0.0	0.0	0.0	0.0	0.0	0.0	1.19	0.0	0.0	0.0	3.0	0.02	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	1.56	0.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.36	1.05
Supt16h	111.3	169.81	52.52	177.75	42.92	420.64	55.85	246.72	45.93	81.36	86.93	101.88	32.62	123.38	169.28	165.32	33.97	93.64	61.86	113.47	2.27	24.76	18.3	80.01	0.0	121.28	111.39	92.73	207.43	165.28	150.82	75.09	14.62	26.54	119.98	105.06
Tmem188	0.0	0.0	0.0	0.0	0.0	0.0	0.0	239.09	5.7	74.18	129.03	88.96	96.78	0.24	0.0	0.0	0.0	3.04	0.0	104.82	0.0	0.0	295.06	56.51	9.67	262.17	0.0	42.13	0.0	138.94	0.0	0.0	0.42	0.0	70.47	36.4
Tnks2	0.44	0.0	1.0	0.0	0.0	0.0	0.0	155.47	37.7	7.04	22.98	26.39	3.39	0.0	1.74	0.05	0.0	0.76	0.0	1.9	0.0	2.02	1.17	1.47	151.49	112.14	4.95	41.04	4.11	0.0	17.47	0.06	0.0	0.0	35.5	13.92
Tomm7	35.58	44.61	88.76	119.71	83.86	153.59	122.71	465.39	129.52	192.9	260.7	284.16	167.53	50.72	127.81	88.72	109.6	49.59	47.0	115.21	142.23	203.6	279.91	201.1	215.18	205.7	87.32	131.05	203.48	147.82	20.44	72.29	64.61	71.41	138.14	167.49
Trerf1	12.03	0.0	0.0	0.0	0.0	0.0	0.06	74.72	34.26	2.74	0.96	0.91	28.46	0.0	0.0	0.08	0.0	28.25	0.0	7.87	0.0	0.0	0.4	14.53	2.8	5.14	19.67	0.0	0.12	0.13	0.0	0.1	0.0	0.12	1.5	2.35
Tspyl5	98.6	282.12	236.44	144.09	52.21	145.11	116.23	260.28	317.03	226.58	349.65	203.26	331.17	184.44	117.15	62.84	0.1	169.94	0.0	43.22	0.0	145.96	194.95	197.81	137.28	267.92	203.65	170.92	183.29	120.64	68.72	320.69	141.22	153.12	255.24	188.49
Tssc1	507.08	0.0	0.0	296.6	0.0	267.62	183.8	272.68	325.09	0.31	321.58	58.64	223.37	181.44	0.0	303.78	0.25	294.37	0.0	482.16	0.0	0.0	183.84	0.0	137.3	12.81	180.92	155.59	15.17	195.2	0.0	22.53	0.0	0.0	159.27	144.97
Ube2e1	58.68	23.74	40.25	0.0	0.0	17.78	0.0	176.38	70.07	45.72	0.0	89.21	53.54	0.87	138.97	0.0	0.49	169.54	0.0	149.84	0.0	1.6	0.84	153.32	5.1	107.72	73.53	0.0	3.22	0.0	0.0	0.0	0.0	0.0	22.63	22.83
Ube2k	70.98	94.97	0.24	171.8	0.26	74.45	4.65	201.52	64.97	33.27	106.43	78.58	66.65	48.78	94.93	38.1	3.42	80.44	0.0	89.26	0.0	72.18	0.0	15.55	0.0	130.49	5.41	39.66	114.1	70.44	11.4	0.09	0.0	24.37	35.89	36.55
Ube2n	217.74	407.94	86.76	204.2	304.47	644.06	146.53	591.12	185.55	276.48	323.3	274.64	389.24	176.3	577.69	80.67	0.11	282.66	0.0	284.86	0.2	434.68	329.02	309.93	164.29	284.57	569.31	211.61	276.95	396.04	262.55	300.64	226.01	136.43	398.67	318.66
Ube3a	193.46	5.52	50.88	141.29	137.64	3.02	0.0	93.93	128.86	76.09	172.1	56.55	44.14	9.41	46.74	70.33	2.46	95.83	33.11	124.13	0.0	48.23	57.58	54.1	236.0	12.11	95.79	77.28	23.07	51.28	38.35	0.0	0.0	110.43	64.99	56.12
Usp11	241.25	24.45	0.0	93.67	116.61	140.22	22.52	235.15	162.82	116.17	147.03	362.24	138.95	331.69	4.97	298.0	0.0	170.11	0.0	64.65	0.0	0.0	0.0	0.0	0.0	10.92	0.0	149.46	110.43	0.0	0.0	362.49	0.0	113.47	66.61	53.79
Usp37	27.85	0.0	0.0	161.09	51.89	0.0	0.0	299.52	33.99	82.71	90.36	112.7	17.52	0.0	68.47	48.09	127.75	0.8	0.0	115.79	0.0	132.8	144.0	6.5	24.23	0.6	33.83	74.51	70.16	94.86	0.5	204.79	194.9	0.35	100.2	60.43
Vamp3	4.7	7.44	10.83	14.12	4.29	4.96	0.04	241.96	88.59	9.67	210.86	3.9	97.87	203.58	11.01	6.02	7.73	34.66	394.65	218.98	6.02	4.22	8.69	7.9	9.01	1.39	48.14	2.23	5.84	3.12	4.05	4.16	1.9	1.75	31.11	22.49
Wdr34	16.69	6.34	54.08	41.37	25.92	132.7	4.46	124.91	27.56	42.1	68.77	32.74	35.39	18.62	17.02	85.71	20.95	13.02	12.77	15.05	46.53	21.13	127.25	21.88	31.09	19.53	23.65	24.55	35.58	13.08	29.34	43.57	23.19	15.21	27.1	23.7
Zbtb3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	175.25	0.0	0.0	0.0	24.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	95.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.84	5.5
Zfp382	0.0	0.0	1.29	0.57	0.2	0.73	0.0	22.81	0.94	75.22	1.25	68.84	8.49	0.9	0.0	0.26	0.5	0.09	0.0	0.47	0.0	1.16	1.15	98.31	151.54	0.29	0.69	0.0	0.68	0.0	1.01	0.22	296.74	0.0	14.56	14.65
