	Calb2_tdTpositive_cell_7	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_6	Ctgf_tdTpositive_cell_7	Ctgf_tdTpositive_cell_8	Cux2_tdTpositive_cell_5	Cux2_tdTpositive_cell_6	Cux2_tdTnegative_cell_4	Ndnf_tdTpositive_cell_10	Ndnf_tdTpositive_cell_20	Nr5a1_tdTpositive_cell_35	Ntsr1_tdTnegative_cell_28	Rbp4_tdTpositive_cell_70	Rbp4_tdTpositive_cell_74	Rbp4_tdTpositive_cell_95	Rbp4_tdTpositive_cell_133	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_141	Rbp4_tdTpositive_cell_175	Rbp4_tdTpositive_cell_176	Rbp4_tdTpositive_cell_177	Rbp4_tdTpositive_cell_185	Rbp4_tdTnegative_cell_6	Rbp4_tdTnegative_cell_8	Rbp4_tdTnegative_cell_9	Rbp4_tdTnegative_cell_13	Rbp4_tdTnegative_cell_22	Rbp4_tdTnegative_cell_23	Rorb_tdTpositive_cell_14	Rorb_tdTpositive_cell_19	Vip_tdTpositive_cell_6	Rbp4_CTX_250ng_1	Trib2_CTX_250ng_1
Slc35f4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.9	0.0	0.0	0.0	0.0	0.0	0.0	263.05	0.0	10.52	18.68	20.04
Slc6a17	10.49	0.25	0.0	0.0	0.08	16.35	151.61	0.0	0.0	0.0	48.3	0.0	20.14	3.93	10.76	4.65	19.89	15.21	50.23	33.58	14.79	19.26	0.16	101.94	0.24	0.0	0.0	0.0	97.5	32.67	0.0	242.23	246.45
Snx31	0.0	0.0	0.0	0.0	0.16	0.0	0.11	0.0	0.38	0.0	0.0	0.0	0.0	0.0	0.23	0.0	0.0	0.0	0.65	0.0	0.07	0.0	0.0	0.0	0.28	0.0	0.11	0.15	0.37	0.0	0.0	0.21	0.3
Sprr2a1	0.05	0.0	0.0	0.0	0.0	0.4	0.77	0.0	0.05	0.0	0.0	0.0	0.34	0.36	0.88	0.86	0.07	0.2	5.39	1.29	0.1	0.2	1.82	1.8	0.0	0.0	0.0	0.0	0.99	0.09	0.0	0.08	0.13
Sprr2a2	0.05	0.0	0.0	0.0	0.0	0.4	0.77	0.0	0.05	0.0	0.0	0.0	0.34	0.36	0.88	0.86	0.07	0.2	5.39	1.29	0.1	0.2	1.82	1.8	0.0	0.0	0.0	0.0	0.99	0.09	0.0	0.08	0.13
Srfbp1	0.0	0.0	0.0	0.0	0.0	217.75	0.21	0.0	0.0	0.0	0.0	0.0	44.41	67.49	0.0	0.0	0.0	0.0	0.0	6.85	0.0	0.0	0.0	0.97	0.0	26.79	0.0	0.0	317.41	0.0	0.0	16.79	15.29
Sult1b1	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.31	0.0	0.28	0.0	0.0	0.0	0.0	0.0	0.39	0.06	0.0	0.04	0.0
Syt2	0.06	0.0	0.0	0.0	0.13	0.06	0.9	0.0	0.0	0.0	0.0	0.0	0.36	4.04	0.23	0.39	0.07	0.11	0.61	0.0	0.0	0.21	1.08	0.15	0.54	0.0	0.17	0.26	1.3	0.23	0.0	22.11	25.48
Thumpd2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.35	0.0	0.0	0.0	0.0	0.0	0.0	216.55	0.0	0.0	300.94	0.0	0.0	121.58	36.86	0.0	5.56	5.19
Tmem147	23.24	0.0	0.0	0.48	0.0	108.24	67.48	0.0	0.0	1101.7	7.82	0.0	131.8	540.94	215.96	271.22	300.07	194.78	2.28	437.41	426.24	320.42	7.04	146.21	0.0	606.6	0.0	0.0	908.1	339.12	68.81	92.77	100.14
Trit1	0.0	0.0	0.0	0.0	0.0	3.01	0.0	0.0	0.0	0.0	0.0	0.0	119.83	0.0	7.63	80.09	0.0	0.23	0.92	1.19	0.0	0.17	0.71	109.28	0.76	0.0	0.0	0.0	82.68	0.0	0.0	15.98	16.75
Ubxn4	0.78	0.54	70.45	1.3	0.1	5.6	1.45	0.0	1.64	0.0	9.41	3.09	27.73	21.05	56.89	32.17	1.1	0.31	40.4	13.7	65.77	24.98	7.41	8.39	0.68	0.54	1.6	0.53	84.58	27.6	2.44	41.41	39.42
Vmn2r55	2.01	0.0	0.0	0.0	0.73	1.57	3.95	0.0	1.11	0.0	0.55	0.3	4.93	3.51	2.81	6.49	3.89	2.12	44.83	2.22	4.94	3.85	10.93	6.15	10.0	0.61	1.0	6.33	31.63	2.43	1.56	3.27	3.31
Vopp1	0.0	0.0	0.0	0.0	0.0	109.11	54.7	0.0	0.0	0.0	159.62	0.0	53.53	53.26	1.68	0.14	11.72	0.0	0.0	98.81	17.12	44.49	0.0	167.96	1012.42	0.0	0.0	0.0	289.77	0.0	0.21	94.53	89.3
Wnt4	3.47	4.5	2.63	2.95	2.59	3.11	16.95	0.22	4.54	0.0	2.59	6.86	2.28	5.12	14.12	6.26	5.54	3.29	64.18	5.66	10.7	13.69	5.69	4.46	6.27	7.54	7.6	13.46	117.81	5.22	4.03	12.67	12.46
Zcchc7	81.26	0.0	0.0	0.0	88.19	91.27	0.0	0.0	0.0	0.0	48.87	0.0	36.6	1.87	120.45	95.35	148.19	38.17	251.32	210.55	49.25	51.45	0.58	48.17	0.0	0.0	212.66	195.08	249.72	100.4	0.0	29.6	29.91
Zfp354a	0.23	0.3	0.0	0.0	0.21	0.06	0.67	2.03	0.2	0.0	0.0	0.36	0.11	0.14	0.49	0.09	0.11	0.06	1.43	60.59	2.08	15.94	0.0	0.52	0.13	0.0	0.0	1.81	154.55	0.19	0.36	6.07	5.1
Zfp407	0.0	0.0	0.0	0.0	0.0	0.0	8.51	0.0	0.0	0.0	0.32	0.0	0.0	0.0	0.0	0.0	13.78	0.0	0.0	31.56	0.0	0.0	0.09	9.65	601.77	0.0	0.0	0.0	146.83	25.3	0.0	5.86	6.08
Zfp445	146.06	0.13	0.0	0.0	0.0	85.45	205.63	0.0	80.32	0.0	0.41	0.22	20.51	143.62	33.06	1.32	8.38	0.04	91.3	21.37	20.92	16.67	137.67	53.37	0.32	0.0	0.1	0.07	309.17	75.29	0.0	88.77	88.28
Zfyve16	103.99	0.0	0.0	0.0	0.0	21.81	0.0	0.0	195.3	0.0	0.0	0.0	0.49	32.13	10.19	7.44	1.38	2.32	246.06	22.38	3.8	16.77	0.13	30.26	0.14	40.64	56.21	0.0	87.14	0.0	0.0	11.29	10.23
c8_tRNA-Gly-GGG	7.61	0.0	13.9	68.68	13.55	39.84	62.3	0.0	41.02	0.0	0.0	31.69	48.4	59.06	0.0	50.8	30.59	0.0	256.97	204.99	106.51	16.57	57.08	14.48	105.79	0.0	158.69	74.9	93.07	99.89	104.86	126.94	152.22
