	Chrna2_tdTpositive_cell_54	Ctgf_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_12	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_70	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_49	PvalbF.Gad2_tdTpositive_cell_52	PvalbF.Gad2_tdTpositive_cell_60	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_72	Rbp4_tdTpositive_cell_51	Tac2_tdTpositive_cell_5	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Syce2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.15	0.0	0.0	0.0	0.0	12.62	0.0	6.3	0.0	0.0	131.07	3.15	5.01	4.01
Tacc3	0.0	0.0	0.0	0.0	0.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.21	0.0	0.0	0.28	12.61	105.07	6.17	4.96	6.25
Tgm3	0.46	1.8	0.0	0.98	1.11	1.09	0.98	1.35	1.21	0.46	0.54	0.52	1.2	0.64	1.08	0.58	0.62	1.52	1.77	3.24	2.81	3.68
Tigit	8.65	0.85	0.54	8.75	12.05	14.21	17.37	16.58	7.78	6.47	12.01	33.03	11.91	13.56	13.32	11.34	35.36	9.39	36.45	9.06	4.32	9.55
Tmc3	4.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.07	33.15	1.32	1.07	1.43
Tmeff2	0.0	0.0	23.47	23.32	65.5	39.17	17.35	0.12	0.0	9.45	32.29	30.25	60.69	17.24	12.56	41.99	0.0	10.16	326.59	52.76	55.44	53.07
Tmem107	0.0	0.0	27.07	25.19	0.54	47.11	0.0	23.09	0.0	0.0	5.29	0.54	0.0	0.0	5.45	63.57	10.23	0.19	155.85	15.03	14.33	14.44
Tmem144	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	111.58	7.64	8.54	9.22
Tmem86a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.2	0.0	0.0	0.0	0.0	0.0	107.2	17.7	20.86	18.1
Tmem87b	0.0	0.0	22.59	0.0	4.32	60.96	26.57	14.11	54.57	8.7	12.53	0.0	19.63	17.51	3.52	31.62	0.0	31.81	174.22	23.46	23.88	22.05
Tmem98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	99.85	13.5	14.27	16.45
Tmie	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24	3.27	4.0	4.19
Tox3	0.0	0.0	0.0	11.51	35.72	0.17	21.53	0.0	23.48	28.45	0.13	33.34	0.0	37.78	0.0	0.08	2.63	0.97	164.04	11.69	11.42	11.65
Trpm4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	8.15	9.98	9.61	9.1
Vmn2r118	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.87	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.09
Wdr43	3.23	0.0	3.52	29.65	54.08	0.0	4.84	0.0	69.0	23.61	3.77	78.16	25.37	0.0	0.0	8.51	0.0	2.97	182.71	18.99	17.87	18.26
Zadh2	0.0	0.0	6.87	0.0	5.23	0.0	11.33	1.46	18.87	0.0	0.0	1.46	0.0	0.0	0.0	20.0	0.0	0.0	64.87	22.79	23.39	24.11
Zfp566	0.0	0.0	0.0	0.0	0.0	0.33	0.0	0.0	0.0	0.0	0.0	0.0	1.41	0.0	0.0	0.0	114.7	67.64	236.71	5.59	6.43	5.89
Zfp810	0.0	0.0	0.0	0.0	0.0	0.0	1.26	0.0	3.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.93	0.0	200.68	13.14	12.89	13.37
Zic1	0.22	0.9	0.0	0.29	0.1	1.46	0.69	0.69	0.71	0.43	0.12	1.36	0.15	0.27	0.26	0.2	1.28	0.27	2.07	9.06	11.02	7.95
Zmynd12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.7	0.2	0.37	0.14
c11_tRNA-Phe-TTY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	74.72	0.0	0.0	0.0
c9_tRNA-Ala-GCG	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.14	0.0	4.37	7.18
mt_AK131586	0.0	6370.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	0.0	0.0	0.0	0.0	5.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.09	0.0	18796.57	17507.83	18655.33
mt_BC104337	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.88	22.17	9032.87	8417.95	8583.15
