	Calb2_tdTpositive_cell_3	Calb2_tdTpositive_cell_23	Calb2_tdTpositive_cell_39	Cux2_tdTpositive_cell_3	Cux2_tdTpositive_cell_8	Cux2_tdTpositive_cell_9	Cux2_tdTpositive_cell_18	Cux2_tdTpositive_cell_50	Cux2_tdTpositive_cell_51	Cux2_tdTpositive_cell_56	Cux2_tdTpositive_cell_65	Nr5a1_tdTpositive_cell_3	Nr5a1_tdTpositive_cell_11	Nr5a1_tdTpositive_cell_14	Nr5a1_tdTpositive_cell_19	Nr5a1_tdTpositive_cell_27	Nr5a1_tdTpositive_cell_37	Nr5a1_tdTpositive_cell_38	Nr5a1_tdTpositive_cell_42	Ntsr1_tdTpositive_cell_32	Ntsr1_tdTnegative_cell_50	Rbp4_tdTpositive_cell_3	Rbp4_tdTpositive_cell_69	Rbp4_tdTpositive_cell_79	Rbp4_tdTpositive_cell_96	Rbp4_tdTpositive_cell_116	Rbp4_tdTpositive_cell_136	Rorb_tdTpositive_cell_11	Rorb_tdTpositive_cell_34	Rorb_tdTpositive_cell_35	Scnn1a.Tg2_tdTpositive_cell_17	Scnn1a.Tg2_tdTnegative_cell_10	Scnn1a.Tg3_tdTpositive_cell_16	Scnn1a.Tg3_tdTpositive_cell_35	Scnn1a.Tg3_tdTpositive_cell_37	Scnn1a.Tg3_tdTpositive_cell_44	Scnn1a.Tg3_tdTpositive_cell_55	Scnn1a.Tg3_tdTpositive_cell_62	Scnn1a.Tg3_tdTpositive_cell_88	Scnn1a.Tg3_tdTpositive_cell_92	Scnn1a.Tg3_tdTpositive_cell_94	Scnn1a.Tg3_tdTpositive_cell_97	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_VISp_Contra_tdTpos_cell_4	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Med9	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.0	1.43	0.12	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	20.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.4	0.0	0.0	0.0	0.1	0.0	0.16	39.52	2.25	2.77	2.96	5.06	6.09	36.05	38.05	37.33
Mettl11a	0.0	233.29	0.0	0.0	0.19	1.04	0.0	0.0	51.79	0.0	155.43	248.79	0.0	1.34	0.0	0.0	61.62	1.92	181.27	3.74	105.5	0.0	36.39	74.86	0.0	0.0	119.46	0.0	151.53	158.97	0.0	0.0	0.0	25.53	0.0	174.08	101.98	0.0	0.0	0.55	438.07	139.64	95.79	97.63	61.87	0.0	31.18	34.27	35.59
Mmd	0.0	73.61	12.36	0.0	225.64	0.0	0.61	9.09	24.79	0.0	90.2	96.46	8.36	14.87	6.01	6.29	157.86	0.07	11.49	33.04	80.96	22.64	9.26	11.12	70.76	0.0	125.82	0.0	55.52	9.46	29.62	13.76	5.78	115.93	0.0	26.91	22.93	36.39	6.23	75.46	219.44	80.78	41.05	35.59	35.78	4.03	250.17	246.63	234.38
Mrpl36	155.39	0.0	135.99	160.12	129.82	248.14	175.24	151.0	144.55	0.0	363.19	11.35	186.98	173.81	153.17	154.01	71.79	30.18	132.15	128.74	116.61	270.41	5.1	68.52	220.12	255.75	88.47	328.3	1.94	43.19	0.0	2.41	0.87	122.37	336.61	0.0	0.0	0.0	363.67	592.48	406.99	136.98	220.25	226.05	222.67	126.09	40.51	41.87	42.86
Mrpl40	0.64	1.95	58.56	0.1	0.0	3.01	0.0	148.53	243.89	0.89	15.69	225.21	180.97	2.31	121.98	21.98	31.71	0.14	104.66	109.32	114.04	168.97	132.29	107.8	0.59	0.24	99.02	0.0	84.74	5.34	0.65	1.55	55.09	121.21	259.84	113.03	172.0	1.76	136.12	331.87	204.29	145.97	62.27	71.65	79.42	130.2	38.8	40.57	36.82
Msh4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.03	0.06
Naa10	163.73	174.22	220.14	4.69	0.49	0.0	0.0	114.46	0.0	0.0	137.7	0.0	0.0	117.51	20.56	3.72	0.0	18.63	121.13	0.0	0.0	0.0	0.0	42.51	147.44	155.6	46.82	137.45	200.69	0.12	44.65	119.01	0.0	137.83	0.0	159.93	0.0	95.65	153.72	1.76	297.38	332.59	55.07	62.32	75.18	4.01	34.51	39.59	32.36
Noa1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.36	3.82	0.0	4.68	0.0	0.0	0.0	0.0	56.05	0.96	69.53	0.89	0.0	0.6	0.0	0.0	0.0	0.0	1.27	4.96	0.0	0.0	0.0	0.18	0.0	0.0	0.0	2.69	0.0	0.0	0.0	0.0	90.63	0.0	1.82	2.55	3.63	19.59	19.29	22.09	20.09
Olfr455	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	183.43	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Olfr691	0.0	0.0	0.0	0.0	0.0	178.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	63.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	203.68	0.29	0.64	0.0	0.0	0.0	0.1	0.0	0.22
Olfr701	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.71	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03
Osbpl10	0.83	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	64.24	0.0	0.0	0.0	0.0	0.18	0.0	0.0	0.0	0.0	0.0	2.73	19.58	0.0	0.0	0.0	0.0	0.0	0.0	8.87	0.0	171.85	0.0	0.0	0.0	0.18	82.65	0.15	2.25	3.16	1.69	0.0	38.78	39.97	39.26
Panx1	0.0	0.0	0.0	0.0	135.85	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.0	0.0	0.0	0.0	1.44	0.04	0.0	0.0	0.0	0.0	0.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	31.12	83.95	2.17	1.84	0.51	0.0	17.96	20.74	18.98
Pcmt1	285.94	117.27	295.95	148.8	114.06	79.07	4.74	241.72	241.44	206.11	313.1	38.93	89.07	206.4	24.85	318.6	200.76	295.73	273.72	57.56	101.47	246.7	571.55	86.46	279.42	229.57	127.22	349.2	107.78	228.19	113.42	277.86	69.5	110.9	98.68	59.91	169.22	289.09	441.45	435.29	572.81	243.05	193.26	225.38	233.98	88.7	178.27	186.69	170.71
Pik3r2	0.0	0.0	0.0	0.06	92.04	0.13	0.0	0.0	0.0	0.0	0.0	0.59	0.0	0.0	0.0	0.16	3.75	0.06	20.41	0.0	0.0	0.22	0.0	0.0	0.1	5.03	31.36	0.6	0.32	0.19	0.0	0.0	0.0	0.0	0.8	0.0	0.0	0.0	0.0	66.39	69.35	37.55	3.2	2.5	5.04	0.0	97.28	109.77	104.18
Plbd1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.87	0.0	0.0	0.0	0.0	0.0	0.45	0.28	0.26
Pof1b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	63.19	0.0	0.0	0.26	0.0	0.0	0.33	0.21	0.42
Pou2f2	0.0	0.2	0.0	8.27	0.0	7.68	0.0	0.0	0.0	13.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.94	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.56	14.61	1.63	0.82	0.42	0.21	1.57	4.68	3.6	5.8
Ppapdc2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.06	0.0	0.0	2.28	0.0	0.0	0.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	102.35	0.0	0.06	118.52	0.19	11.18	8.59	8.3	4.95	44.72	51.93	48.77
Prdm16	0.0	38.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.06	0.03	0.73	0.36	1.22	0.0	3.75	3.6	4.12
Prss35	0.0	0.0	0.87	1.27	0.77	5.46	13.8	5.71	2.86	0.0	3.17	2.93	0.0	1.25	7.41	0.4	11.19	1.49	0.42	6.79	0.49	1.7	2.56	1.65	4.41	2.42	8.5	0.0	4.86	12.59	1.74	7.13	7.28	2.74	1.22	0.0	1.13	3.17	0.8	1.34	70.73	4.64	22.0	18.4	12.59	3.55	4.72	4.89	4.08
Prss51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Rab3b	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.21	160.39	0.0	0.0	0.0	0.65	0.59	0.0	113.82	63.07	0.0	141.31	67.65	0.0	30.0	0.0	0.0	0.0	0.0	62.58	0.0	125.57	49.19	64.3	0.0	0.0	51.27	78.09	10.37	0.0	0.0	0.0	0.44	163.7	140.42	68.57	74.04	73.77	0.77	37.3	39.38	34.6
Ralbp1	0.0	0.51	0.0	0.0	0.07	0.32	0.0	0.97	73.64	14.0	0.0	0.0	0.0	0.0	0.0	16.1	12.47	2.4	1.79	0.0	33.56	0.55	7.19	0.0	7.67	9.2	0.07	0.0	35.88	0.06	0.0	0.0	0.2	1.11	0.13	0.0	0.0	0.0	16.31	0.0	32.73	0.28	9.05	10.53	8.52	2.83	56.83	58.25	54.72
Reep5	78.46	1.11	85.58	14.39	93.78	115.18	309.82	188.07	152.58	191.59	67.35	195.65	29.34	172.1	175.64	89.23	237.62	232.31	26.71	63.91	476.71	0.24	1.97	245.75	96.22	181.91	141.77	39.21	207.08	117.46	11.34	119.73	163.28	69.7	222.99	150.66	30.85	222.45	4.19	35.86	164.84	131.3	117.56	121.5	124.22	28.82	346.59	359.18	339.17
Rgs17	2.33	13.42	25.59	0.96	39.36	38.13	31.29	103.47	117.34	51.4	31.6	49.08	49.38	0.14	43.64	44.43	88.56	32.69	60.42	67.66	61.64	18.23	0.43	32.71	6.44	13.18	62.49	16.69	213.84	0.03	137.22	40.2	70.47	89.61	78.31	106.49	102.64	48.52	49.37	53.97	163.45	233.67	51.95	40.26	41.36	18.96	26.78	21.28	29.91
Rhpn1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	86.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22	75.83	0.18	0.27	0.0	1.37	0.0	8.53	9.46	10.5
Rnf168	8.73	10.17	9.88	10.32	7.91	4.55	9.46	12.48	24.02	14.55	3.25	8.54	8.14	9.55	9.64	6.13	6.08	4.66	8.28	3.97	7.14	4.72	7.49	15.01	23.7	10.85	4.66	16.41	4.82	6.67	30.8	6.14	68.1	14.19	53.05	1.23	9.65	54.38	10.69	7.73	6.61	8.17	13.06	12.94	11.39	11.93	25.77	25.2	23.82
Rpp40	0.6	4.27	2.52	4.36	0.76	2.24	2.21	2.02	86.93	0.81	5.05	1.52	0.4	2.78	1.29	1.96	1.47	0.46	2.18	0.43	0.4	1.23	59.81	3.7	1.27	2.49	2.18	2.22	2.57	0.97	3.02	1.03	5.08	4.32	2.47	0.89	2.26	52.01	1.13	0.33	53.76	2.71	5.66	4.13	6.7	2.07	4.94	4.17	4.1
Rsl1	0.0	0.0	0.0	260.07	16.53	0.0	0.0	0.0	23.9	0.0	0.0	0.0	0.0	0.0	185.55	168.43	0.0	15.35	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.82	0.0	0.0	0.0	0.0	0.0	0.0	17.31	0.0	0.0	141.87	0.07	6.09	12.58	5.95	0.0	4.61	3.72	3.61
Scd4	0.0	0.0	0.6	0.28	0.15	2.95	0.87	0.99	1.14	0.0	0.04	0.6	0.0	0.37	3.58	0.0	1.11	1.01	1.32	0.0	0.0	0.37	0.14	0.0	0.67	0.19	1.72	0.0	1.06	0.61	1.68	0.39	10.23	0.29	0.63	0.0	0.61	0.21	3.32	0.2	119.92	0.91	1.1	1.72	0.96	0.11	1.13	1.29	1.28
Sgcd	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0	2.79	2.42	2.12
Sgcz	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.24	0.0	0.0	45.73	0.0	0.0	0.0	0.0	0.0	1.7	0.0	0.9	0.0	0.0	0.0	54.09	9.65	0.0	0.0	3.44	0.0	5.58	14.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	100.13	8.74	2.13	2.46	0.58	0.0	3.6	3.2	3.08
Sgpp1	0.0	0.0	0.0	3.4	0.0	0.0	0.0	0.0	0.0	0.0	0.13	1.47	0.0	0.0	0.0	0.0	0.36	0.03	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	26.74	0.08	5.01	6.7	4.06	0.0	34.14	35.26	32.71
Shmt1	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	49.03	0.32	166.46	0.53	0.0	3.52	1.19	0.0	2.45	2.8	2.76
Slc7a1	0.0	0.0	0.0	0.04	0.0	5.48	0.0	0.0	26.11	0.0	0.0	18.47	0.0	0.15	0.06	5.96	0.45	0.04	6.98	0.0	0.0	0.96	0.0	0.0	0.09	0.0	14.71	0.26	0.0	11.64	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.16	20.83	63.43	24.95	3.54	3.12	3.53	0.08	21.29	20.23	23.14
Smpd3	1.03	0.0	0.0	0.02	0.17	0.0	0.0	0.3	0.1	0.0	0.17	0.37	0.11	0.03	0.13	0.0	16.15	0.08	0.09	1.31	0.11	0.0	0.17	1.9	0.31	0.11	33.68	2.19	45.78	0.42	5.13	1.62	0.0	3.38	7.5	0.38	0.0	0.89	1.27	0.28	70.88	14.66	8.62	6.02	3.94	0.2	52.6	55.28	52.37
Snap25	26182.83	20388.22	17910.18	24880.43	23752.44	19564.24	16643.48	19832.73	21540.55	25194.29	21404.94	24000.2	20741.69	24648.02	19682.76	19552.31	21740.03	21362.22	17497.88	18548.27	18976.87	22470.57	17356.81	19454.91	20362.31	22845.02	17132.41	25542.47	18796.65	18233.72	17702.97	15981.93	19084.59	19905.31	19440.36	20269.24	15305.37	20576.26	19978.93	15085.86	18336.85	20516.03	20846.74	19146.26	18964.09	16726.25	2513.78	2278.43	1507.97
Snora5c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	85.21	0.0	0.0	0.0	0.0	0.0	4.4	1.43	0.0
Snx7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.03	102.49	0.0	0.0	57.81	15.54	0.28	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	145.15	102.57	0.14	1.8	8.13	1.04	0.47	18.29	20.5	16.63
St8sia5	0.0	5.55	31.23	0.05	112.82	0.0	0.0	0.0	59.95	32.92	119.68	0.0	0.0	0.0	9.63	29.58	22.49	12.89	0.06	66.01	10.22	71.69	6.4	24.89	0.0	0.0	32.26	0.0	3.16	0.12	56.72	10.3	0.0	1.61	0.51	0.0	122.09	5.68	0.0	176.99	158.89	0.48	13.57	35.26	21.43	0.0	60.82	59.54	62.73
Stx17	0.0	1.3	0.09	0.02	0.0	0.0	0.0	0.0	71.08	0.0	0.0	0.07	97.54	0.0	0.07	5.64	0.02	3.23	0.07	0.11	0.3	0.0	0.08	0.0	23.19	0.06	1.18	0.0	0.1	0.0	0.09	0.0	0.0	67.67	0.0	0.0	0.11	44.17	0.0	30.38	31.2	0.14	5.62	2.42	4.4	34.86	14.63	13.6	14.28
Tacr3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	9.52	0.07	0.0	0.0	0.0	0.0	2.53	2.24	2.35
Tfrc	0.0	9.5	0.0	0.02	5.39	0.0	75.93	81.13	100.62	15.78	100.07	0.11	2.95	15.86	49.91	166.21	78.99	19.8	98.03	22.52	93.67	81.2	148.43	33.77	51.65	57.38	100.24	192.2	74.81	92.11	39.77	0.0	0.0	0.0	54.21	51.53	0.0	12.21	0.0	42.15	113.48	39.76	51.59	22.75	34.79	0.51	78.28	75.58	84.9
Tmem132e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.96	0.0	0.0	0.17	0.42	0.0	10.29	11.16	11.83
Tmem2	0.0	0.0	28.92	0.03	1.97	10.84	0.0	4.09	25.39	0.0	0.0	2.07	0.0	0.06	0.0	6.71	0.7	0.12	19.26	1.58	15.7	3.53	0.0	1.48	0.0	0.0	0.99	19.19	1.62	0.0	0.0	0.0	0.96	0.0	0.0	0.0	0.0	3.51	16.74	0.64	51.3	20.35	3.49	2.32	3.18	3.06	7.03	7.19	6.84
Tmem219	0.0	0.0	0.0	0.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	46.44	0.0	0.0	0.0	0.0	116.35	0.0	0.0	0.66	0.0	9.75	0.0	0.0	0.0	0.29	0.0	0.0	0.0	39.59	128.54	0.0	0.0	0.0	25.36	0.0	0.0	126.07	7.25	229.25	0.91	12.86	16.4	22.32	1.13	17.52	20.33	21.41
Tsr1	0.0	0.0	0.0	0.04	1.07	10.5	0.0	7.22	79.81	0.0	6.49	122.63	0.0	25.12	0.0	0.0	2.94	0.0	54.57	8.4	27.6	99.03	84.75	0.0	86.78	9.6	10.93	274.64	6.49	0.0	8.84	35.56	0.0	89.7	0.0	50.43	0.0	0.0	0.0	103.13	207.1	6.98	20.98	27.13	37.17	58.88	34.46	31.44	33.88
Vax2os2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.07	0.07	0.07
Vmn1r45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31	0.03	0.03	0.06
Vps25	0.0	0.0	0.0	120.86	0.0	0.0	0.0	224.14	0.0	8.5	0.84	0.55	169.93	199.1	0.0	188.0	128.18	101.85	0.11	0.0	0.0	0.0	449.08	79.61	100.12	0.0	71.95	0.0	0.0	0.0	0.55	112.12	0.0	218.13	0.0	16.28	0.0	0.61	445.64	1.74	443.34	1.32	125.11	106.13	122.26	31.69	70.71	80.39	71.34
Wasf2	0.0	25.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	32.91	0.03	0.07	0.0	0.17	0.0	11.67	11.02	11.29
Xkr4	0.0	0.0	2.02	0.0	0.0	0.0	0.0	0.0	4.2	0.0	0.12	0.0	0.0	127.51	0.0	0.0	2.36	0.0	0.05	0.0	0.0	0.0	0.0	0.9	0.0	0.0	0.07	0.0	0.0	0.03	0.0	0.0	0.11	0.0	0.07	0.0	0.0	0.0	0.0	0.04	74.38	0.14	3.35	3.57	5.52	0.1	18.96	14.85	19.92
c12_tRNA-Ala-GCA	26.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	142.63	0.0	0.0	0.0	0.0	0.0	2.63	2.48	0.0
