	Calb2_tdTpositive_cell_1	Htr3a_tdTpositive_cell_93	Htr3a_tdTpositive_cell_96	Htr3a_tdTpositive_cell_111	Nos1_tdTpositive_cell_56	Ntsr1_tdTpositive_cell_20	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_35	Ntsr1_tdTpositive_cell_38	Ntsr1_tdTpositive_cell_40	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_43	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_49	Ntsr1_tdTpositive_cell_52	Ntsr1_tdTpositive_cell_73	PvalbD.Slc32a1_tdTpositive_cell_15	Rbp4_tdTpositive_cell_89	Rbp4_tdTpositive_cell_97	Rbp4_tdTpositive_cell_180	Slc17a6_tdTpositive_cell_24	Slc17a6_tdTpositive_cell_30	Vip_tdTpositive_cell_69	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_1	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_32	CAV_LP_Ipsi_tdTpos_cell_43	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Nfkb1	0.0	19.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.5	0.0	36.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.43	0.0	0.0	5.47	1.37	0.33	0.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.92	0.0	9.97	8.94	9.95
Nhsl2	0.05	16.27	16.83	2.82	0.11	0.18	0.09	0.63	0.2	0.05	0.08	0.03	0.27	0.26	0.12	4.82	0.28	0.03	0.13	0.53	11.99	15.56	0.2	3.48	6.81	5.02	6.44	1.9	3.11	4.37	9.08	0.1	4.53	11.69	3.8	0.06	0.73	0.15	0.07	17.44	16.0	16.79
Nlrc4	0.0	0.38	0.25	0.34	0.0	0.0	0.17	0.17	0.3	0.06	0.13	0.44	0.0	0.17	0.56	0.33	0.09	0.19	0.0	0.31	0.15	0.31	0.2	0.24	0.59	0.33	0.23	1.24	0.71	0.45	0.43	0.37	0.06	0.27	0.1	0.04	0.06	0.07	0.1	0.79	0.43	0.73
Nup50	0.06	53.58	0.0	0.27	0.0	0.0	0.0	57.2	0.08	0.0	0.0	0.0	0.0	0.0	3.55	0.0	0.0	0.0	0.0	0.83	0.0	0.0	0.0	2.84	7.42	2.96	9.06	5.54	5.6	6.59	3.91	0.0	25.69	0.0	0.09	0.0	0.0	0.0	48.6	24.06	24.48	22.56
Onecut2	0.09	13.8	0.0	0.05	0.0	0.11	0.0	0.07	0.03	0.04	0.0	0.06	0.03	0.04	12.13	0.0	0.06	0.0	0.0	0.13	0.03	0.17	0.27	0.03	0.01	0.0	0.92	0.74	0.56	1.35	0.12	0.0	0.02	0.0	0.0	0.0	0.0	0.08	0.0	1.83	1.47	1.93
Otol1	0.0	0.28	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.0	0.0	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.09	0.04	0.22
Pbld2	0.0	70.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.53	0.0	1.06	4.85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.09	1.44	1.18
Pcdh18	0.06	58.43	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.46	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.4	3.34	3.72
Pcdha8	0.0	105.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.96	0.0	0.0	4.44	2.1	4.43	1.41	0.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.65	0.35	1.17
Pcp4	4167.1	3283.35	5130.46	5293.38	5082.23	7467.74	5853.47	4442.44	5178.03	4858.15	5498.56	6808.32	7407.1	6583.41	5620.14	4200.61	3805.42	3516.12	3581.8	4470.96	7030.52	5084.45	5492.66	4480.25	3446.01	4928.48	3901.08	2919.09	3442.63	3306.12	7638.97	6941.16	7178.2	5557.87	6670.6	6291.11	8685.7	6217.49	4044.68	788.83	807.59	741.11
Pitpnm3	0.0	15.38	26.99	0.0	0.0	0.05	0.15	0.0	8.78	0.0	0.0	0.0	0.0	0.0	0.0	23.71	60.78	0.0	0.45	1.1	4.68	0.0	0.07	1.55	3.04	7.04	8.17	2.89	4.01	3.21	0.0	0.17	32.0	23.82	0.0	0.0	0.0	1.86	0.0	51.44	49.9	56.3
Pnpla3	0.1	33.1	0.05	0.0	0.22	0.0	0.07	0.22	0.25	0.21	0.0	0.34	45.95	0.4	0.0	0.81	0.12	0.08	0.07	1.33	0.37	0.62	0.25	1.47	1.14	0.62	2.69	1.91	2.8	4.3	0.42	0.0	0.1	0.38	1.13	8.43	0.05	0.09	0.18	9.57	9.56	10.58
Polg2	0.0	54.99	0.0	0.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.14	30.85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	77.46	0.0	8.43	5.32	0.0	5.64	5.32	1.72	4.95	0.0	0.0	0.0	0.0	0.0	14.1	0.0	0.0	0.0	3.63	2.78	3.32
Ppm1f	0.0	43.51	8.36	2.52	0.99	0.0	0.0	0.0	9.07	4.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.1	0.35	0.0	0.0	0.0	8.52	5.59	5.95	5.93	5.39	6.69	7.52	0.0	0.0	0.0	0.0	9.95	0.1	0.0	0.0	46.8	46.46	46.2
Ptpdc1	0.0	43.31	0.0	0.15	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	18.03	0.0	5.69	0.92	0.12	1.31	3.98	4.59	3.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.24	0.0	18.67	22.55	19.99
Rfx1	8.19	38.37	0.0	0.0	32.13	0.0	0.55	0.0	0.0	4.36	0.0	0.0	0.0	7.89	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.2	0.74	2.82	3.19	1.88	0.33	0.0	0.0	0.0	0.0	12.15	0.0	0.0	0.0	0.0	17.75	18.16	19.2
Rnf130	0.0	24.32	6.23	1.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.4	0.0	0.0	0.0	0.0	0.0	5.01	1.59	0.0	0.0	4.62	3.12	13.15	1.84	1.42	0.7	1.89	0.0	0.0	0.16	2.3	0.0	0.0	0.0	0.0	0.0	80.45	77.33	86.19
Rnf151	0.0	0.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.26
Ror1	0.0	21.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.81	0.6	0.57
Rxra	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.37	0.0	0.0	0.14	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.05	0.22	0.32	0.0	2.56	0.65	0.39	0.0	2.02	1.75	1.44	0.06	9.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.03	15.47	15.08
Sfn	0.0	10.31	0.0	0.0	0.0	0.0	0.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31	0.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.04	2.42	1.66
Six3	0.04	0.01	0.07	0.0	0.2	0.0	0.0	0.04	0.23	0.0	0.0	0.0	0.08	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	6.63	6.73	6.66
Slc22a23	0.02	43.27	0.0	1.17	17.3	0.06	0.0	0.07	0.0	0.0	0.0	0.73	0.0	0.1	0.2	9.37	0.0	0.0	0.0	4.22	0.0	0.0	0.0	2.8	6.44	2.24	0.27	5.99	5.5	5.65	0.0	0.0	0.04	0.0	0.0	0.0	0.0	2.21	0.0	39.19	38.53	38.48
Slc26a1	0.0	40.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.37	1.17	0.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.28	1.52	2.05
Slc34a1	0.0	1.87	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.06	0.1
Slc45a4	0.0	54.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.67	0.0	1.1	0.59	1.59	0.18	1.02	0.0	0.0	0.0	0.0	0.0	0.0	10.77	0.0	0.0	25.43	27.88	28.84
Spata18	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.56	0.67	0.68
Speg	0.11	44.02	0.0	0.0	0.0	0.0	0.0	0.0	7.49	1.29	3.37	37.23	0.0	16.43	0.0	3.7	0.0	0.0	0.0	3.39	9.77	0.0	0.0	12.72	5.79	24.78	8.01	4.73	5.16	4.67	4.57	11.69	15.73	0.12	0.0	0.0	0.02	0.0	0.23	75.82	81.03	83.08
Srebf2	0.03	0.0	1.49	0.14	0.0	0.0	0.0	0.0	1.53	0.65	6.81	0.08	14.8	16.1	0.09	0.0	0.0	0.0	10.3	0.12	0.0	2.74	0.0	6.13	3.48	3.83	4.82	2.2	2.54	2.49	2.59	0.0	0.0	0.0	0.0	6.27	0.0	0.0	0.0	117.15	120.52	122.1
St5	0.05	39.63	3.05	21.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.13	0.0	0.0	0.0	0.48	3.24	0.86	2.71	2.87	2.4	1.15	0.0	0.0	0.0	0.0	0.0	6.97	0.0	0.0	0.52	8.8	10.2	10.49
Taok2	1.57	25.22	0.98	1.28	1.64	0.07	0.0	0.97	0.0	0.39	1.2	1.61	0.07	0.0	0.76	0.25	0.5	0.0	0.12	2.37	6.27	1.34	0.0	2.77	4.96	0.61	0.59	2.49	2.58	3.5	0.19	0.0	1.62	0.65	1.67	0.48	7.29	0.25	1.0	75.09	76.41	76.63
Tbc1d10b	77.09	79.43	0.0	0.27	2.53	5.95	44.45	0.19	0.32	54.11	1.43	0.44	0.0	0.5	0.12	0.0	0.54	0.0	0.46	1.44	0.01	0.23	73.57	3.94	4.87	11.07	3.79	4.78	3.92	5.73	10.45	8.86	40.19	25.31	0.0	0.08	0.15	0.07	0.32	51.86	57.48	53.06
Tfcp2l1	1.05	0.15	0.42	1.15	0.05	0.14	0.35	0.44	0.45	0.42	0.23	0.64	0.23	0.23	0.35	0.47	0.84	0.15	0.3	0.94	0.56	0.99	0.45	1.03	0.48	0.24	0.16	0.16	0.07	0.14	0.64	0.02	0.18	0.63	0.75	0.23	0.0	0.45	0.51	2.51	2.46	2.58
Thoc6	0.0	154.71	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	130.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.68	17.24	0.0	10.75	12.57	14.41	17.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.15	0.56	6.62	7.09	6.65
Tmem63c	0.0	30.39	0.0	7.4	0.0	0.0	0.0	0.0	2.23	0.0	0.0	0.35	0.11	0.1	0.13	1.51	6.4	0.0	0.0	0.68	0.0	0.0	0.0	3.1	4.63	3.93	8.7	12.04	15.53	9.13	0.0	0.0	0.0	0.71	0.0	0.0	0.0	52.25	0.0	40.93	37.28	44.54
Traf3ip1	0.0	37.2	0.0	7.67	0.0	0.0	0.0	0.0	60.67	1.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.73	49.83	0.0	0.0	12.52	3.18	8.58	9.48	2.38	6.85	5.43	0.0	0.56	0.0	3.71	0.0	0.0	0.0	23.97	0.0	16.92	16.73	15.28
Trim59	0.0	11.73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.84	1.29	0.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.81	12.4	16.73
Trp53rk	1.4	11.61	0.87	0.76	1.06	1.43	0.25	0.52	0.65	0.54	0.55	0.57	0.33	3.47	0.89	1.58	1.12	0.17	0.43	2.59	0.85	1.18	0.9	1.24	1.06	0.86	0.89	0.48	0.99	0.32	0.56	0.99	0.14	0.54	1.38	0.58	0.07	0.58	1.34	3.58	3.22	2.95
Ttbk1	0.02	18.56	0.0	0.09	0.0	0.0	0.0	0.03	33.33	0.06	0.06	0.06	0.0	0.0	0.0	16.27	0.1	0.0	0.0	0.0	0.0	0.12	0.0	0.25	0.16	0.29	0.17	0.17	0.44	0.99	0.05	0.0	0.0	0.04	0.0	0.04	0.0	0.0	0.0	41.37	40.87	44.19
Tube1	0.0	55.47	0.22	0.56	0.16	0.52	0.0	0.05	0.27	0.58	0.4	0.0	0.04	0.0	0.16	0.27	0.0	0.0	0.0	0.24	0.0	0.29	1.28	1.22	0.56	0.26	0.09	2.24	5.16	0.83	0.0	0.0	0.09	0.56	0.75	1.96	0.08	0.17	0.26	2.78	2.17	2.93
Tubgcp6	0.0	5.63	12.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.81	0.0	0.0	0.0	0.0	2.13	0.0	0.0	0.32	0.0	0.0	0.0	0.46	5.71	1.28	8.51	1.85	3.7	2.6	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	17.64	16.8	19.37
Ubxn10	0.0	1.87	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.11	1.27	1.15
Wbp11	2.91	151.21	0.0	7.44	0.0	0.0	69.2	22.61	0.14	5.94	21.2	26.48	69.64	2.49	0.62	0.0	66.56	0.0	38.91	40.03	39.92	92.83	0.0	56.07	29.62	20.66	31.56	36.72	29.46	27.58	0.0	46.15	0.0	17.19	15.2	3.69	16.88	3.85	1.28	87.5	88.98	76.53
Zfp641	0.0	20.77	0.0	0.0	0.0	0.0	0.0	9.85	103.23	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31	3.43	5.48	5.01	2.44	1.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	10.49	9.0	10.28
Zfp821	0.0	59.65	0.0	0.0	0.0	0.0	0.0	0.23	4.46	0.0	5.4	0.19	0.0	0.49	0.0	0.0	0.0	0.0	0.0	18.02	0.0	0.0	0.0	8.64	10.55	2.05	0.61	9.74	10.21	1.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.12	35.66	38.22	37.84
