	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_15	Chrna2_tdTpositive_cell_30	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_55	Chrna2_tdTpositive_cell_77	Gad2_tdTpositive_cell_18	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_49	Gad2_tdTpositive_cell_68	Gad2_tdTpositive_cell_69	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_32	Ndnf_tdTpositive_cell_16	Ndnf_tdTpositive_cell_19	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_40	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_45	Nos1_tdTpositive_cell_47	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Rbp4_tdTpositive_cell_165	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_28	Sst_tdTpositive_cell_46	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_63	Sst_tdTpositive_cell_72	Sst_tdTpositive_cell_96	Sst_tdTpositive_cell_101	Vip_tdTpositive_cell_30	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_3	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Phyhip	15.14	40.42	64.93	23.06	0.43	0.0	0.09	23.08	55.43	0.15	26.91	0.0	12.63	53.88	1.03	39.45	49.58	0.0	55.03	4.7	48.1	6.39	18.28	31.86	5.17	56.09	45.17	107.19	2.44	47.18	35.92	0.08	52.65	95.3	37.63	11.44	8.57	30.7	32.03	30.16	50.58	15.5	18.45	30.95	30.65	2.93	0.0	137.27	83.64	13.13	0.0	116.78	162.0	157.69	102.95	123.41	83.94	88.43	93.96	399.59	415.43	391.87
Pinx1	0.0	0.0	6.79	0.0	0.0	4.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.45	0.0	11.97	0.0	0.0	0.0	15.01	0.0	0.0	0.0	11.48	144.87	0.0	151.22	0.0	0.0	15.8	11.96	57.53	0.36	0.0	39.47	0.42	0.0	0.0	0.0	7.64	10.41	39.32	24.3	0.0	0.0	0.0	34.05	0.0	0.0	6.95	8.6	3.29	17.64	14.34	11.96	20.11	9.38	15.24	6.74	6.49	6.88
Pm20d2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.35	0.62	0.0	0.06	0.24	0.0	0.0	0.0	2.6	0.0	0.0	19.1	28.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.03	0.0	0.0	0.0	12.09	0.0	0.0	1.1	0.0	0.0	8.98	0.0	0.33	14.69	0.0	0.0	0.0	2.32	0.61	2.19	0.0	7.89	3.36	4.99	5.22	5.88	5.28
Ppp2r5a	0.0	0.0	0.0	0.0	0.0	0.28	0.0	0.0	0.0	9.4	0.0	0.0	0.0	1.32	1.73	0.0	0.13	0.81	0.0	0.0	0.21	9.83	0.12	0.27	0.0	38.72	0.0	27.09	0.0	0.0	0.0	0.0	9.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.29	0.0	0.74	4.1	0.0	19.11	0.0	0.0	0.0	0.0	0.0	19.16	10.42	3.7	14.26	3.58	8.62	5.23	5.72	69.33	67.41	67.73
Ppp3r1	102.0	33.08	43.02	94.77	28.44	82.62	80.03	9.38	39.72	136.61	77.79	3.83	124.3	111.21	13.62	74.05	120.95	18.83	191.07	44.23	28.46	45.27	45.09	23.35	75.94	82.77	12.57	118.23	57.52	23.8	49.04	86.41	41.97	10.64	11.97	106.08	72.55	73.4	18.94	42.26	194.81	18.32	36.85	93.97	24.51	97.3	148.92	104.81	275.36	12.28	73.37	204.46	183.6	178.93	168.24	138.72	226.77	215.64	211.12	920.94	893.77	828.14
Prkcb	13.39	30.92	118.16	45.18	60.32	11.53	7.09	111.88	13.98	6.78	61.7	0.91	74.86	12.0	19.19	8.6	14.93	2.64	6.89	9.02	23.49	9.01	0.36	2.83	3.8	23.13	3.33	154.5	68.43	15.12	33.02	0.06	53.76	32.65	30.8	5.25	14.58	0.37	0.14	7.3	117.39	0.27	0.11	35.92	2.6	2.75	89.59	81.12	23.45	8.53	40.98	309.5	322.54	387.42	329.4	257.9	279.7	261.35	235.19	360.87	341.57	387.59
Prrt2	17.22	23.12	1.2	4.21	29.1	15.19	134.76	0.0	0.0	52.66	0.76	11.5	43.96	48.27	2.48	32.23	29.07	34.78	75.11	12.11	19.19	11.08	15.42	117.08	27.81	0.42	11.65	260.09	38.37	1.3	5.87	0.94	2.4	161.37	20.5	0.25	5.37	27.05	19.69	98.72	36.89	33.43	75.67	4.28	63.47	4.18	67.48	72.98	55.34	114.12	0.0	105.59	85.42	83.42	94.68	78.99	74.21	97.5	91.96	264.19	282.46	274.77
Rcvrn	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.45	0.0	42.74	0.0	0.0	0.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.8	0.0	0.0	0.0	0.0	0.0	1.23	1.16	0.2
Rtn4	140.25	53.39	55.08	136.34	53.16	89.97	98.2	70.64	90.67	98.42	93.86	0.18	92.81	22.98	0.0	102.95	240.25	161.44	171.67	96.47	109.15	135.8	101.08	87.83	88.72	151.86	61.16	304.84	90.65	83.76	75.57	80.24	134.22	142.4	16.37	94.76	119.42	76.05	93.29	46.91	152.44	55.42	146.12	108.32	184.97	117.43	65.32	165.57	93.19	73.94	3.52	392.14	247.45	342.73	290.68	281.55	209.84	228.01	222.14	345.7	345.07	328.47
Scd1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.44	0.0	0.0	0.05	13.8	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	2.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.33	1.17	0.89	0.41	1.43	1.54	1.49	1.0	100.21	100.65	111.27
Sdccag3	6.86	0.62	0.44	5.24	0.2	0.14	0.19	0.38	0.0	0.21	0.32	2.01	13.62	0.0	0.0	14.5	0.4	1.46	0.17	36.48	0.14	1.45	0.0	30.34	0.89	54.96	0.56	122.17	0.28	0.46	31.82	0.0	1.88	0.87	0.52	0.64	0.57	0.75	0.12	0.13	34.13	0.58	0.12	42.43	0.0	46.69	76.2	11.3	0.0	0.37	26.29	11.36	29.73	23.2	26.8	14.11	11.12	19.49	20.73	81.25	90.58	85.78
Sec1	0.0	0.0	0.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.19	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	10.15	0.0	0.0	0.0	6.53	0.0	0.43	0.0	2.92	2.97	3.03
Sec14l1	0.0	0.0	9.82	0.0	0.0	6.33	34.87	13.64	27.63	0.0	20.26	0.0	94.63	6.02	9.43	0.0	0.03	0.38	0.04	0.0	0.0	0.0	21.22	0.0	0.0	4.05	0.0	179.53	104.73	0.0	0.0	0.0	93.25	0.0	0.0	0.0	0.0	0.0	0.0	0.06	46.76	0.0	13.94	8.43	83.05	0.0	49.19	0.0	1.6	0.0	60.77	5.32	19.84	33.06	5.99	16.05	7.75	14.35	16.01	162.02	165.04	152.18
Slc25a15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52.92	3.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	92.63	0.0	0.09	0.07	0.0	0.0	0.0	0.0	37.14	0.0	0.0	0.07	5.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1	51.47	34.09	0.16	5.22	0.0	0.0	6.78	4.62	0.77	2.68	2.2	9.06	8.61	8.41
Strn	2.1	0.0	0.0	0.0	0.0	0.47	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	1.7	0.0	0.0	0.0	32.66	0.62	0.0	0.0	0.38	0.0	0.0	0.0	0.63	0.63	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.56	0.0	0.0	0.0	2.5	0.76	0.07	0.72	1.0	3.23	0.78	0.79	49.78	45.34	46.32
Tmem180	0.0	0.0	0.0	0.0	0.0	0.12	0.11	0.0	0.0	0.0	0.0	0.43	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.09	0.0	0.0	0.0	0.12	7.66	0.0	0.13	38.78	1.46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.6	0.1	7.17	9.92	0.0	0.0	0.0	0.0	0.1	0.0	0.61	28.16	45.29	0.0	1.56	0.29	3.29	4.55	13.37	1.05	3.33	7.19	23.52	25.51	26.07
Ttll7	8.09	23.5	41.15	35.23	0.07	2.12	0.02	67.94	75.92	3.63	53.94	0.0	0.0	39.71	0.07	40.18	9.79	38.91	28.32	40.49	15.11	12.06	15.85	0.82	0.28	52.42	4.54	120.52	11.97	0.0	0.27	36.87	0.28	14.35	0.0	14.49	8.0	26.95	8.23	18.54	9.44	9.18	0.11	70.19	3.41	5.79	17.49	0.0	29.55	20.67	97.41	15.53	17.8	25.06	18.57	21.6	19.41	13.84	19.26	115.17	104.97	116.05
U2af2	5.88	0.0	0.0	1.26	21.82	3.05	0.0	4.58	3.58	0.38	3.45	0.0	11.32	2.16	0.0	5.89	0.04	0.0	7.38	0.0	9.23	0.0	3.32	0.77	0.0	0.0	27.94	19.07	4.68	0.0	6.39	0.0	4.29	15.99	0.23	0.0	0.13	0.0	0.85	2.17	3.92	0.0	2.94	0.76	0.0	0.81	0.0	9.77	0.0	16.44	21.08	5.87	2.03	7.13	3.16	5.67	3.7	2.05	6.22	140.07	148.48	146.35
Unc13a	2.93	2.52	2.17	3.96	0.4	10.57	1.96	2.03	0.89	1.38	1.78	1.22	3.93	3.97	6.91	1.51	2.34	2.37	4.43	17.28	4.2	4.16	4.86	3.1	3.48	4.01	2.83	13.89	3.69	4.67	4.16	0.79	1.05	7.39	6.16	9.15	1.82	2.95	1.96	1.92	16.25	1.67	4.11	16.42	2.2	8.35	6.99	6.81	3.96	2.67	24.09	7.78	15.37	8.33	11.55	14.04	14.56	13.86	12.99	173.28	162.24	184.32
Zdhhc14	19.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32	0.16	0.0	0.0	13.06	0.41	0.0	0.0	0.0	0.0	15.56	19.03	0.0	0.0	3.56	0.0	93.22	12.26	0.83	23.8	0.0	0.0	0.0	0.0	0.0	30.96	0.0	0.22	7.58	14.14	0.0	0.07	0.0	0.0	0.21	0.0	0.0	0.0	33.26	0.0	6.02	20.04	7.24	7.99	4.35	7.26	7.6	4.34	32.19	31.16	34.7
Zdhhc17	18.75	36.13	0.0	0.0	18.9	17.15	5.27	42.7	0.0	20.78	22.09	0.0	76.93	73.77	0.27	15.98	64.0	63.6	50.7	18.42	52.51	29.64	69.32	18.4	0.0	107.85	51.7	138.19	42.05	37.06	32.25	12.33	61.27	90.63	81.72	17.6	2.36	57.96	40.49	8.5	43.53	23.8	30.38	23.9	1.25	10.17	21.85	7.55	52.21	36.85	28.5	30.64	22.98	26.06	22.51	24.88	28.16	30.01	21.5	75.2	74.31	76.98
Zfp518a	4.81	10.23	0.0	0.0	0.0	0.0	0.0	0.19	0.0	0.0	0.0	0.0	33.42	0.0	0.0	0.0	17.49	0.19	0.02	0.0	0.04	0.0	0.44	0.0	0.04	0.04	0.0	71.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	3.51	0.0	0.0	0.0	0.0	0.0	0.0	18.19	0.0	0.0	13.06	2.92	2.85	0.33	2.98	2.99	5.42	3.18	4.06	4.85	3.17	4.97
Zfp566	0.0	0.0	0.0	0.0	0.0	75.46	0.0	0.0	0.0	0.0	0.0	45.47	0.0	0.0	0.0	51.75	12.13	0.07	71.32	0.0	0.0	0.0	0.18	0.0	0.0	0.0	0.0	211.49	0.0	0.0	0.0	0.0	0.0	1.97	0.0	63.47	0.0	0.0	0.0	1.63	0.0	0.0	0.0	0.0	0.0	50.18	0.0	0.0	0.0	0.0	0.0	11.27	2.81	0.0	0.0	13.61	13.94	9.28	17.06	5.59	6.43	5.89
Zfp748	24.7	0.0	0.0	0.0	5.34	2.0	123.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	62.61	12.71	0.0	53.12	0.04	1.42	0.0	0.45	0.0	0.0	87.45	41.06	242.77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.84	27.42	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	8.92	9.68	3.1	8.55	26.38	9.7	11.98	17.73	7.34	6.18	7.29
c11_LSU-rRNA_Hsa	33.03	102.42	8.96	12.74	12.7	21.76	30.7	66.45	3.04	14.28	23.43	62.24	120.17	25.66	22.0	9.62	24.73	63.78	31.68	12.14	11.41	81.28	21.77	15.13	39.28	111.82	71.1	224.14	14.39	30.2	24.18	38.03	7.95	55.9	49.84	11.96	86.12	31.55	50.07	77.3	45.27	12.72	50.79	48.89	15.81	8.63	17.94	41.83	134.77	18.19	111.62	40.74	62.45	69.1	92.04	55.9	61.61	45.31	44.59	250.71	241.69	283.2
