	Chrna2_tdTpositive_cell_62	Gad2_tdTpositive_cell_47	Gad2_tdTpositive_cell_75	Htr3a_tdTpositive_cell_85	Nkx2.1_tdTpositive_cell_2	Nkx2.1_tdTpositive_cell_4	Nkx2.1_tdTpositive_cell_13	Nkx2.1_tdTpositive_cell_18	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_36	PvalbF.Gad2_tdTpositive_cell_46	PvalbF.Gad2_tdTpositive_cell_51	PvalbF.Gad2_tdTpositive_cell_53	PvalbF.Gad2_tdTpositive_cell_55	PvalbF.Gad2_tdTpositive_cell_56	PvalbF.Gad2_tdTpositive_cell_58	PvalbF.Gad2_tdTpositive_cell_59	PvalbF.Gad2_tdTpositive_cell_61	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_65	PvalbF.Gad2_tdTpositive_cell_66	PvalbF.Gad2_tdTpositive_cell_67	PvalbF.Gad2_tdTpositive_cell_69	PvalbF.Gad2_tdTpositive_cell_70	PvalbF.Gad2_tdTpositive_cell_77	PvalbF.Gad2_tdTpositive_cell_81	PvalbF.Gad2_tdTpositive_cell_83	Rbp4_tdTpositive_cell_51	Sst_tdTpositive_cell_56	Sst_tdTpositive_cell_66	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Scap	0.53	4.3	0.07	0.0	0.0	2.95	0.54	0.0	32.68	9.2	1.15	0.11	7.23	0.0	0.0	9.68	0.0	0.27	3.37	9.06	10.56	4.51	0.27	22.21	3.44	0.09	0.17	0.23	0.09	40.04	54.94	62.12	59.05
Scx	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.19	3.84	4.39
Slc4a9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.5	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.03	0.17
Slk	7.69	1.8	0.0	0.8	1.94	0.0	17.81	1.41	44.72	1.01	0.0	6.64	0.0	0.0	8.21	0.0	11.45	9.17	0.21	5.96	38.77	0.0	0.0	20.9	0.0	14.57	17.14	0.03	14.64	16.58	46.81	40.09	47.23
Snora21	0.0	47.61	0.0	0.0	0.0	0.0	0.0	0.0	12.89	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.02	0.0
Snta1	0.0	0.0	0.0	0.0	0.0	0.0	6.99	3.19	35.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.67	0.0	0.0	0.93	0.0	0.0	0.0	0.0	0.0	0.17	0.0	0.0	0.0	25.48	30.84	30.12
Spns3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.15	0.39
Srrd	10.45	28.63	23.75	0.0	0.0	0.0	0.0	0.0	32.95	0.0	0.0	0.0	7.09	0.0	0.0	0.0	0.0	7.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.83	26.01	20.79
Tm6sf2	26.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.24	3.58	1.89
Tmem134	11.01	4.06	0.0	0.0	0.0	0.0	0.0	0.0	24.01	0.82	0.0	0.0	25.8	14.26	0.0	8.51	0.0	0.0	1.38	0.0	9.23	0.0	0.0	22.05	26.35	3.01	0.0	0.0	0.0	0.0	28.74	31.09	31.77
Tnfrsf8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.15	1.25	1.44
Tspan17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.84	26.47	0.0	0.0	0.0	0.0	26.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.39	46.39	44.45
Ttf2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.9	24.32	0.0	0.0	0.0	0.0	1.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.23	2.74	0.0	0.0	1.08	1.24	1.14
Vsx1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.1	0.11
Zfp503	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.64	4.13	3.84
Zfr2	14.13	0.0	4.4	0.0	0.0	3.29	18.06	0.0	31.84	0.31	0.39	0.0	1.64	0.0	0.78	0.11	0.0	1.42	9.61	0.68	1.29	4.43	17.32	4.52	13.83	0.0	0.0	0.06	0.0	28.25	38.45	42.82	46.79
Zpbp2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.07	0.08
Zranb3	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.52	0.0	0.0	0.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.96	5.3	5.59
mt_AK139402	0.0	5.77	0.0	0.0	0.0	0.0	0.0	0.0	22.85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.78	50.34	47.54
