	Ctgf_tdTpositive_cell_9	Cux2_tdTnegative_cell_5	Cux2_tdTnegative_cell_6	Cux2_tdTnegative_cell_12	Cux2_tdTnegative_cell_15	Ntsr1_tdTnegative_cell_18	Ntsr1_tdTnegative_cell_28	Ntsr1_tdTnegative_cell_45	PvalbF.Gad2_tdTpositive_cell_31	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_182	Rbp4_tdTnegative_cell_2	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_4	Rbp4_tdTnegative_cell_10	Rbp4_tdTnegative_cell_14	Rbp4_tdTnegative_cell_16	Rbp4_tdTnegative_cell_19	Rbp4_tdTnegative_cell_21	Rbp4_tdTnegative_cell_23	Scnn1a.Tg2_tdTnegative_cell_4	Scnn1a.Tg2_tdTnegative_cell_5	Scnn1a.Tg3_tdTpositive_cell_95	Scnn1a.Tg3_tdTnegative_cell_2	Scnn1a.Tg3_tdTnegative_cell_4	Scnn1a.Tg3_tdTnegative_cell_8	Scnn1a.Tg3_tdTnegative_cell_10	Scnn1a.Tg3_tdTnegative_cell_12	Scnn1a.Tg3_tdTnegative_cell_16	Scnn1a.Tg3_tdTnegative_cell_21	Scnn1a.Tg3_tdTnegative_cell_24	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Ranbp6	0.0	0.0	218.65	0.1	0.0	0.0	0.0	695.67	48.68	23.35	0.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.47	0.0	0.1	0.15	4.73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.01	25.92	28.48	26.4	25.12	24.63
Rarres2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2988.38	9.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.29	12.9	10.85
Rasa2	0.0	0.0	0.0	0.08	0.0	0.12	0.17	560.53	28.66	4.16	13.31	0.18	0.0	0.07	0.0	0.0	0.0	0.16	0.0	0.08	0.33	164.15	4.7	0.0	0.0	0.0	0.0	0.0	0.17	0.0	0.0	10.72	10.69	12.65	16.84	14.63	18.67
Rdh10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	593.55	0.19	4.64	0.63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.66	0.3	1.06	12.41	11.21	9.61
Rimklb	0.0	0.0	0.0	0.0	0.0	0.0	0.0	716.88	31.69	50.42	7.74	0.0	0.08	0.09	0.0	0.0	0.09	0.0	0.0	0.0	122.84	515.6	55.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.17	9.27	12.02	19.3	20.34	21.06
Sergef	0.0	250.37	0.0	0.0	0.0	0.0	0.0	1015.42	1.84	20.24	104.78	0.0	0.0	0.0	0.0	0.45	0.0	0.0	0.0	0.0	0.18	0.0	0.8	0.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.92	24.74	30.3	28.32	29.19	27.61
Sidt2	0.0	0.0	0.0	0.0	0.0	0.0	0.16	518.85	15.74	4.38	5.2	0.0	0.0	0.0	0.28	0.15	0.0	0.0	0.0	0.0	0.0	0.35	27.51	0.0	0.0	0.0	1.56	0.0	0.0	0.0	47.3	6.73	11.89	8.33	50.61	55.9	57.6
Slitrk2	0.0	0.0	0.0	0.12	0.06	0.0	0.0	1030.07	22.38	39.76	8.75	0.0	0.04	0.0	0.0	0.08	0.04	0.0	0.07	0.04	20.16	17.65	19.82	0.06	0.0	0.14	0.0	0.0	0.08	0.0	0.0	45.97	16.72	20.34	12.07	10.99	12.01
Smox	0.0	0.0	0.0	0.0	0.0	1.18	0.0	1391.16	46.38	0.0	0.7	0.0	9.87	0.0	0.0	0.0	0.0	0.0	0.0	1237.96	0.16	0.91	37.27	0.0	0.0	0.0	0.0	0.0	0.0	155.94	0.0	3.15	1.24	0.75	37.56	38.31	40.37
Swap70	0.0	0.0	0.0	0.0	0.0	0.0	0.0	760.42	0.76	0.0	0.0	0.0	0.0	0.0	0.0	18.88	0.0	224.31	0.0	0.11	0.0	0.0	0.0	0.0	0.0	1.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.3	9.08	8.87
Syne1	5.92	0.53	3.55	8.17	3.13	0.84	13.05	359.5	105.63	240.93	232.46	8.54	14.28	8.93	5.52	9.51	4.68	16.63	4.45	33.25	92.18	13.94	236.8	0.1	7.14	2.82	5.07	9.38	6.45	6.38	11.99	178.63	158.93	157.77	190.06	173.19	193.72
Taf4b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	461.77	10.33	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.81	0.4	0.0	2.8	2.73	2.81
Tmem115	0.48	0.0	0.0	0.0	0.0	0.0	0.0	830.82	23.39	14.11	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	65.98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.16	8.11	9.62	26.7	31.71	33.66
Tnik	0.0	0.06	0.0	0.0	0.0	0.0	0.1	144.22	15.41	15.92	0.91	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	13.34	4.47	38.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.1	11.79	14.12	80.77	74.37	85.69
Tspan5	0.0	0.14	0.0	0.0	0.0	0.0	0.0	182.04	114.74	129.34	79.09	0.0	0.2	0.0	0.0	0.41	0.55	0.0	0.0	0.0	0.24	0.48	183.84	0.0	0.0	0.32	0.0	0.0	0.0	0.0	0.0	100.33	103.63	104.78	148.49	149.54	152.73
Ugt1a6a	0.0	0.0	0.0	2.4	0.0	0.0	0.0	1264.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.06	0.73	0.53
Utp11l	0.0	0.0	0.0	0.0	0.0	594.16	727.24	877.52	82.75	91.63	114.49	1.46	0.0	0.0	0.0	1009.84	0.38	0.0	0.0	0.0	0.28	0.0	99.86	0.0	0.0	489.71	0.0	0.0	0.0	0.0	0.0	55.51	58.31	52.02	24.33	26.33	28.86
Vegfa	0.0	0.0	0.0	0.27	0.18	0.0	0.0	447.52	2.01	7.92	0.59	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	16.96	0.0	13.38	0.0	0.0	0.0	0.42	0.58	0.0	0.0	0.0	0.23	0.55	1.23	54.52	54.42	57.76
Wdr20a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1265.58	25.29	0.21	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.3	26.73	29.84	19.22	17.84	18.67
Wipi2	0.0	0.0	0.0	0.0	0.0	0.62	0.0	552.23	10.07	16.69	1.22	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.07	0.0	29.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.52	9.18	10.32	73.01	77.23	75.08
Zfp2	0.0	0.0	0.15	0.0	0.0	0.0	0.0	1176.91	11.56	22.54	0.0	0.0	0.0	0.0	0.0	0.38	0.0	0.43	0.12	0.0	0.0	0.48	100.35	0.0	0.0	12.76	0.0	0.0	0.0	0.0	0.0	18.58	20.85	33.76	18.58	18.71	16.26
Zfp579	0.0	0.0	0.0	0.0	0.0	0.0	0.0	139.28	2.46	1.33	3.81	0.0	0.0	0.0	0.0	6.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29	0.0	0.42	0.0	0.81	13.53	17.28	15.67
Zfp719	0.0	0.0	0.0	0.0	0.0	0.0	198.9	895.18	6.44	15.0	80.1	0.75	0.0	0.29	0.0	0.0	0.0	0.0	0.0	0.0	0.05	12.43	0.33	0.0	0.0	0.0	0.0	0.13	0.0	0.16	0.0	22.19	16.52	18.8	9.39	9.1	8.66
Zmat3	1.07	0.54	1.19	1.67	0.52	1.03	1.85	3.75	18.3	19.36	6.95	1.0	1.97	0.4	6.77	2.37	0.82	1.64	1.17	1.33	1.9	10.33	55.07	0.08	0.0	0.95	0.2	0.67	0.54	0.53	0.91	9.67	9.05	11.95	42.46	39.38	38.1
