	Gad2_tdTpositive_cell_44	Ntsr1_tdTnegative_cell_5	Ntsr1_tdTnegative_cell_13	Ntsr1_tdTnegative_cell_16	Ntsr1_tdTnegative_cell_19	Ntsr1_tdTnegative_cell_23	Ntsr1_tdTnegative_cell_32	Pvalb_tdTpositive_cell_81	Rbp4_tdTnegative_cell_12	Scnn1a.Tg3_tdTnegative_cell_1	Scnn1a.Tg3_tdTnegative_cell_18	Scnn1a.Tg3_tdTnegative_cell_22	Sst_tdTpositive_cell_19	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
St7l	6.79	0.56	0.0	0.09	0.0	0.0	0.12	1.33	0.0	0.0	67.4	0.06	0.06	8.27	9.1	10.89	10.64	10.32
Styx	17.7	0.0	0.0	13.15	0.0	0.0	0.0	0.36	0.0	0.0	276.36	0.0	0.68	5.8	6.72	11.0	10.28	10.57
Taf5l	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.0	0.0	2.5	0.6	18.7	19.86	16.45
Tfg	208.02	0.0	0.0	0.0	0.0	49.92	95.01	0.0	0.0	0.0	294.54	0.0	157.39	70.04	61.32	65.21	62.57	58.13
Tmem123	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	401.68	0.12	0.0	0.0	1.09	14.13	14.92	14.72
Trim39	0.0	0.0	0.0	0.34	0.18	0.0	0.0	0.0	0.15	0.0	347.34	0.0	0.0	10.63	14.74	22.87	23.34	21.75
Tspan17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.75	0.0	0.0	0.0	0.0	38.39	46.39	44.45
Ttc7b	0.0	0.0	0.0	0.0	0.0	0.17	0.23	0.0	0.0	0.0	158.91	0.0	0.0	17.64	21.89	140.14	145.7	148.07
Tubg2	0.0	0.0	0.0	0.0	0.0	1.23	0.0	0.0	0.0	0.0	450.45	0.0	0.0	73.27	53.32	56.84	60.13	56.52
Tulp2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.95	0.0	0.0	0.99	0.6	0.06	0.0	0.11
Ube2e1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.65	0.0	466.18	0.0	0.0	22.23	22.83	108.0	100.51	100.91
Upf1	5.32	0.0	9.55	0.0	0.0	0.13	4.42	0.0	5.3	12.12	44.93	4.86	12.6	2.96	4.66	41.5	43.06	42.2
Vapb	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.51	0.0	0.0	43.48	0.0	0.0	2.97	2.07	53.38	58.23	58.6
Vars	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6	0.0	0.0	0.08	2.69	28.26	31.81	30.57
Xpo7	2.3	2.06	1.79	1.45	1.01	1.21	3.92	1.32	2.41	5.33	6.81	0.22	1.61	6.48	5.58	19.84	19.5	19.17
Zcchc10	0.0	0.0	0.0	0.0	0.0	0.95	0.0	13.55	0.0	0.0	132.72	0.0	0.0	41.57	37.7	12.78	12.4	9.72
Zfp324	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.47	0.0	0.13	0.4	0.8	6.41	6.19	5.86
Zfp40	45.67	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	488.63	0.0	0.0	24.8	18.6	12.39	8.99	11.21
Zfp580	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	111.18	0.0	0.0	1.29	2.93	26.5	33.72	36.61
Zfp647	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	419.54	0.0	0.0	2.19	1.1	2.64	3.62	3.05
Zfp648	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28	0.0	0.0	0.0	0.0	2.8	2.44	3.5
Zfp865	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.0	16.11	20.13	18.94
c15_tRNA-Gly-GGG	5.63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.8	0.0	22.86	0.0	0.0	0.0	0.0	3.48	6.28	3.59
