	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_14	Htr3a_tdTpositive_cell_85	Ndnf_tdTnegative_cell_10	Ntsr1_tdTnegative_cell_44	Ntsr1_tdTnegative_cell_45	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbD.Slc32a1_tdTpositive_cell_36	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_51	PvalbF.Gad2_tdTpositive_cell_54	PvalbF.Gad2_tdTpositive_cell_55	PvalbF.Gad2_tdTpositive_cell_59	PvalbF.Gad2_tdTpositive_cell_60	PvalbF.Gad2_tdTpositive_cell_61	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_64	PvalbF.Gad2_tdTpositive_cell_66	PvalbF.Gad2_tdTpositive_cell_67	PvalbF.Gad2_tdTpositive_cell_70	PvalbF.Gad2_tdTpositive_cell_73	PvalbF.Gad2_tdTpositive_cell_76	PvalbF.Gad2_tdTpositive_cell_77	PvalbF.Gad2_tdTpositive_cell_78	PvalbF.Gad2_tdTpositive_cell_81	PvalbF.Gad2_tdTpositive_cell_82	PvalbF.Gad2_tdTpositive_cell_83	Rbp4_tdTpositive_cell_51	Rbp4_tdTnegative_cell_16	Scnn1a.Tg2_tdTnegative_cell_5	Scnn1a.Tg3_tdTnegative_cell_6
Pnkd	95.79	112.94	459.49	1422.3	0.0	0.0	189.08	156.47	235.71	227.27	312.15	279.78	229.8	319.17	217.41	658.79	221.38	375.49	48.65	285.8	151.62	307.99	460.83	123.53	242.76	395.96	252.95	83.16	287.51	63.79	133.57	350.83	267.97	380.0	352.08	207.11	518.72	1.19	538.89	707.39
Pnkp	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	66.08	16.46	0.0	4.62	21.15	0.18	0.0	0.0	0.0	25.72	15.81	0.0	0.0	0.41	32.96	46.44	0.0	0.0	0.0	3.12	49.1	0.0	0.0	0.7	0.0	0.0	0.0	0.0	0.18	0.0
Prkar2a	0.0	0.0	26.94	0.0	0.0	0.0	3.92	0.0	8.46	25.29	54.92	0.7	23.97	28.36	40.27	20.35	0.53	0.0	56.47	11.49	20.03	0.0	3.87	22.05	29.13	61.46	0.0	0.1	0.0	0.0	66.38	0.09	24.03	3.47	0.0	17.34	0.0	0.0	0.0	0.0
Prkcb	0.0	32.53	80.01	0.36	0.04	0.29	12.95	22.09	30.94	49.45	21.51	9.83	23.19	48.39	38.0	34.05	46.98	31.07	84.2	26.81	25.73	49.13	42.82	31.21	18.65	80.19	60.91	65.01	24.16	11.65	22.81	47.05	8.97	33.92	18.09	23.38	23.52	0.38	0.8	0.0
Prps2	0.0	0.04	0.0	0.0	0.0	0.0	0.48	3.27	0.89	0.0	17.71	0.0	40.98	118.25	0.0	68.78	0.15	0.0	0.0	43.76	2.0	0.0	85.95	0.0	47.97	59.22	0.0	0.07	0.0	3.18	0.0	0.2	112.56	1.09	4.5	0.0	1.88	36.57	0.21	0.14
Psip1	0.0	8.22	177.41	0.0	0.12	0.0	30.04	53.17	30.12	29.56	13.39	51.54	49.12	37.64	23.3	44.37	87.74	4.67	3.31	73.25	26.36	34.14	39.48	31.63	32.67	106.18	46.71	5.02	28.01	9.43	26.95	85.27	34.05	21.02	10.71	16.36	7.5	0.11	0.0	0.16
Psma4	0.0	398.3	262.58	0.0	0.0	0.57	152.09	278.84	462.55	427.24	256.41	312.17	143.8	181.61	252.52	470.62	362.85	299.86	189.21	291.8	474.47	435.82	209.67	148.51	309.83	741.3	510.82	268.88	362.31	251.53	240.15	338.65	310.27	512.49	329.51	490.29	568.71	0.0	0.0	0.49
Psmg4	0.0	455.56	48.33	0.0	0.0	0.0	53.95	0.0	31.53	0.0	0.74	70.65	21.95	46.14	57.85	0.0	56.92	35.83	54.38	45.53	0.0	0.0	38.4	51.66	64.25	85.23	150.43	0.0	35.42	83.34	116.08	0.0	23.71	26.37	0.0	94.94	0.0	0.0	0.0	0.0
Ptpn23	5.0	0.0	0.0	0.0	0.0	0.11	0.0	16.75	0.0	0.0	0.0	0.0	0.31	0.0	0.0	8.96	10.5	0.0	10.61	3.49	8.66	10.11	0.0	0.26	1.43	21.78	2.47	2.32	0.0	6.34	0.0	0.0	0.11	1.08	0.0	0.46	0.04	0.0	0.0	0.0
Pvalb	0.0	0.28	2914.72	0.0	0.0	0.0	1319.97	2144.98	1316.24	1740.57	1769.21	1815.89	1408.27	1444.32	1731.8	1698.2	1295.74	1914.29	2248.99	760.46	1555.2	1763.04	1332.22	1806.53	1681.17	1086.73	1839.14	2567.22	1689.22	1415.72	1388.14	1830.01	1390.65	1823.48	1319.97	1749.01	3516.69	0.0	0.43	0.0
Ramp3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	82.83	0.0	166.53	0.0	0.0	48.16	0.0	0.0	46.63	0.0	47.52	0.0	50.16	85.93	0.0	104.39	70.99	38.07	477.23	412.64	118.67	0.0	286.1	162.3	0.0	0.0	0.0	0.0	0.0	4.37	0.0	0.0	0.0
Rhobtb2	0.0	0.0	0.0	0.0	0.0	0.0	0.71	2.62	14.74	21.79	18.23	0.14	1.89	6.62	9.04	3.54	0.0	2.65	3.16	0.0	1.73	1.08	41.11	0.74	5.25	29.4	7.2	2.81	7.06	5.0	12.71	8.49	22.58	19.96	0.65	8.07	13.03	0.0	0.0	0.0
Samd1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.0	0.0	0.0	0.0	0.36	5.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Sec16a	0.0	0.0	0.64	0.0	0.0	0.0	5.47	0.0	9.52	0.0	0.0	1.45	1.03	0.67	0.0	8.66	8.13	0.0	0.05	0.05	0.15	0.0	0.0	0.06	0.14	9.34	20.07	0.0	4.34	0.0	11.73	0.6	11.42	8.05	0.0	1.27	18.87	0.0	2.08	0.0
Sgtb	0.0	0.0	10.57	0.0	0.14	0.0	0.0	52.83	70.58	7.44	48.23	39.13	24.04	96.39	21.05	37.53	12.56	71.0	6.84	37.63	55.02	8.43	11.53	7.77	8.69	68.37	18.12	12.28	9.34	84.68	31.65	91.45	96.45	33.5	1.97	41.5	98.88	0.13	0.55	0.0
Sh3pxd2b	0.0	0.02	28.59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.46	0.0	0.0	17.25	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	27.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.0
Slain2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.02	31.11	0.0	0.44	5.0	35.4	0.37	0.0	1.46	0.0	5.85	0.0	1.39	0.0	0.0	0.0	0.0	26.27	62.09	46.71	33.11	0.0	0.08	0.0	0.78	8.43	3.43	0.0	0.0	12.48	0.0	0.0	0.0
Slc29a1	0.0	25.35	0.0	0.0	0.0	0.0	32.68	0.0	0.0	75.63	24.03	14.93	0.0	0.0	41.47	143.9	60.91	47.37	30.28	0.0	76.65	0.0	0.17	1.32	31.74	185.59	106.89	70.2	0.0	0.0	123.66	92.28	100.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Slc9a3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.42	0.0	0.0	0.0	3.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Snord16a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.28	0.0	0.0	0.0	0.0	0.0	12.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.05	23.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0
St6galnac4	258.38	0.0	0.14	0.0	0.17	0.15	0.57	0.0	0.0	112.89	19.33	1.14	0.02	33.86	14.31	0.09	0.0	0.0	0.1	0.1	15.41	31.07	23.18	0.05	0.06	0.08	24.98	0.0	0.08	0.09	56.49	0.15	50.84	25.08	0.0	28.49	0.04	0.29	0.08	0.0
Stam	0.38	59.9	83.0	0.17	0.11	0.43	34.29	38.6	8.42	125.63	90.95	43.8	9.91	28.84	57.3	7.79	0.85	0.33	14.35	11.03	29.42	1.0	48.62	9.16	20.33	115.57	72.02	50.67	0.95	70.19	37.81	87.54	38.92	50.24	17.28	43.12	3.26	0.42	0.72	0.28
Tab3	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	3.23	0.0	0.1	3.22	0.0	0.0	0.0	0.0	26.13	0.0	0.0	10.67	0.28	0.0	20.91	31.97	14.63	39.84	40.1	0.0	0.0	0.0	0.0	0.0	0.0	8.44	0.0	0.49	0.63	0.0	0.06	0.0
Tmem65	0.0	12.21	33.02	0.0	0.0	0.0	20.18	95.99	93.4	47.72	141.36	112.07	100.9	89.12	74.58	72.17	48.29	12.84	2.16	59.52	18.12	67.25	69.04	15.9	29.89	61.48	127.46	119.59	15.06	158.96	130.9	27.69	139.38	133.74	76.48	77.77	106.09	0.0	0.0	0.0
Trove2	96.42	23.94	28.4	12.46	4.0	1.13	19.16	13.73	57.82	45.25	72.4	34.18	25.81	19.65	31.95	28.82	44.59	47.06	40.53	25.6	61.45	48.61	37.72	7.56	41.72	128.22	23.89	46.77	18.27	76.54	75.78	87.47	71.96	25.12	46.72	52.56	24.17	0.79	0.95	0.09
Trp53inp2	0.0	0.0	17.6	0.0	0.0	0.0	29.36	4.23	0.0	0.0	32.85	24.38	0.14	89.08	4.09	38.38	13.76	0.0	0.0	30.45	48.31	27.94	21.1	3.82	8.65	37.57	27.72	11.25	45.24	7.19	77.56	0.0	22.55	82.37	0.0	40.88	0.93	0.0	0.0	0.13
Ugcg	0.27	0.03	50.51	0.0	0.0	0.0	2.86	8.14	59.25	51.59	41.87	93.09	61.68	134.4	73.51	69.1	40.02	2.51	13.63	82.05	52.71	59.94	24.65	58.95	87.65	113.52	9.78	28.76	57.29	101.22	166.41	81.89	133.49	62.99	8.76	85.69	85.21	0.0	0.0	0.28
Wdr67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.87	0.0	14.89	42.29	7.73	0.67	32.32	33.73	2.7	0.0	0.54	0.0	0.0	0.0	8.76	6.95	2.02	0.07	0.0	0.0	0.0	0.0	0.37	42.3	6.1	29.62	0.0	0.0	39.92	0.23	0.0	0.0	0.0
Zfand1	0.0	0.0	0.2	0.0	0.0	0.0	98.7	0.0	48.9	6.16	145.19	51.44	0.0	205.24	33.11	127.92	0.0	64.61	9.27	0.0	0.0	0.0	59.09	155.09	28.66	0.0	161.2	0.0	0.0	69.33	36.6	106.13	115.71	25.44	0.0	83.3	5.71	0.0	6.83	0.0
Zfp358	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.38	0.0	10.48	0.0	0.0	0.21	10.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Zfp606	0.0	0.0	0.0	0.0	0.0	31.41	0.05	0.0	2.72	0.0	0.0	1.2	1.05	0.0	0.0	9.48	2.71	9.47	0.18	4.33	0.57	4.12	0.0	0.0	0.0	54.99	61.28	0.0	0.0	1.87	0.0	12.15	0.61	2.65	4.2	0.0	0.0	0.0	0.15	0.11
Zfp609	0.0	0.77	0.0	0.0	0.0	0.0	0.43	0.0	0.07	0.09	0.18	0.61	0.48	3.03	6.05	0.3	0.06	0.0	0.0	0.79	0.0	0.0	1.22	0.19	0.77	3.55	2.93	0.63	0.0	1.5	3.15	1.51	0.0	2.41	2.91	0.0	0.0	0.0	0.0	0.0
