	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_54	Cux2_tdTnegative_cell_4	Cux2_tdTnegative_cell_12	Gad2_tdTpositive_cell_55	Gad2_tdTpositive_cell_74	Nkx2.1_tdTpositive_cell_18	Ntsr1_tdTnegative_cell_33	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_35	Pvalb_tdTpositive_cell_40	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_46	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_49	Pvalb_tdTpositive_cell_55	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_22	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_34	PvalbF.Gad2_tdTpositive_cell_42	Rbp4_tdTpositive_cell_51	Rbp4_tdTpositive_cell_89	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Rprd1a	0.22	0.11	0.0	0.0	19.49	0.0	14.04	0.19	30.68	82.42	14.95	45.25	46.39	77.21	23.77	23.35	61.13	0.0	48.3	68.97	193.98	0.7	0.85	0.07	5.66	42.35	0.63	29.88	38.04	17.45	30.18	13.62	0.6	60.36	59.67	95.84	55.95	7.72	46.28	0.0	89.33	85.64	85.39
Serp2	0.0	0.0	0.0	0.0	14.78	19.57	40.05	0.0	18.86	37.83	52.19	53.56	117.1	157.3	20.61	44.31	14.28	103.04	5.79	76.78	302.23	0.0	47.4	146.5	92.48	0.43	70.32	42.39	104.59	67.52	55.45	83.88	125.62	1.72	106.78	87.74	35.4	28.14	41.07	0.0	141.78	155.98	144.95
Sesn3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.95	0.0	0.0	0.0	26.73	0.95	0.0	32.89	0.0	0.25	0.0	0.0	4.54	68.67	0.0	0.0	25.67	0.0	0.0	0.0	0.33	0.13	0.0	0.0	0.0	0.0	0.39	0.19	0.0	0.0	1.47	0.18	0.0	66.26	57.32	62.37
Sgtb	0.0	0.0	0.0	0.0	0.0	0.0	11.01	0.0	23.01	35.76	0.0	52.83	25.37	50.16	11.28	135.85	14.04	69.47	2.24	70.58	37.94	0.0	4.24	0.0	23.93	7.44	48.23	39.13	24.04	21.05	37.53	31.43	80.03	108.86	30.48	12.56	6.22	71.0	98.88	0.0	141.85	138.92	138.37
Shank1	0.0	19.36	0.0	0.0	6.41	3.82	5.45	0.0	7.7	6.1	4.59	5.28	8.55	7.89	9.93	5.03	11.41	8.18	9.23	4.81	25.04	2.44	8.3	7.15	11.13	13.46	8.33	6.68	6.21	6.89	13.79	8.38	12.1	11.36	4.22	4.55	8.02	9.56	7.43	1.27	148.7	139.9	181.16
Slc16a1	2.02	0.0	6.7	0.0	0.13	124.21	2.54	9.1	19.26	0.31	0.0	7.6	11.4	17.43	0.28	0.89	1.22	1.49	0.13	25.46	82.11	6.52	2.06	1.24	1.4	0.84	2.13	2.56	15.75	0.0	2.27	1.23	1.46	0.28	0.0	9.31	6.36	5.77	1.79	0.24	23.48	23.61	24.18
Slc6a8	0.0	15.88	0.0	0.0	0.0	0.0	26.34	0.54	14.74	42.6	0.94	0.6	14.42	25.19	5.91	16.67	23.16	3.12	26.71	59.14	46.83	56.83	0.0	2.34	14.71	0.0	0.15	19.04	22.46	42.18	26.64	0.0	14.16	62.07	5.19	7.45	45.18	46.41	43.64	0.0	61.85	65.48	65.64
Snhg5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.28	36.17	0.0	0.0	0.0	1.58	0.0	0.0	49.11	57.33	0.0	0.0	242.51	0.0	86.25	0.0	0.0	0.0	0.0	0.0	0.0	0.41	0.0	0.0	0.0	0.0	0.0	164.01	26.19	0.0	56.09	0.0	14.1	13.35	12.39
Stat2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.29	0.0	0.0	3.45	7.24	0.0	0.0	0.0	0.12	0.0	0.27	4.84	28.73	0.0	0.0	0.0	0.18	0.0	13.72	10.33	0.0	0.0	6.76	0.45	0.0	7.21	1.71	4.87	0.22	0.0	0.0	0.08	19.19	17.83	18.17
Sun2	14.45	0.07	0.0	0.0	0.0	0.0	0.11	0.0	1.43	0.0	0.0	0.0	0.0	0.0	2.21	0.0	0.0	0.0	0.0	3.65	8.26	0.0	2.09	0.0	0.0	2.99	0.0	0.0	0.52	0.0	0.0	1.07	0.0	3.44	0.0	0.0	0.0	0.24	0.16	0.0	35.57	40.71	40.21
Tmem143	0.0	0.0	0.0	0.0	0.53	0.0	7.58	0.0	0.0	11.05	0.0	27.92	4.11	3.93	0.0	2.93	2.01	31.76	0.0	0.0	35.77	1.97	0.0	0.0	0.0	0.0	10.67	3.32	0.0	0.0	1.04	0.0	0.61	0.0	0.0	0.0	0.0	0.0	2.02	0.0	18.4	19.05	18.99
Tmem80	0.0	48.59	0.0	0.0	0.0	0.0	55.17	444.57	0.9	27.19	0.0	0.0	46.5	0.0	0.0	32.87	35.69	28.65	31.92	3.66	106.01	0.0	0.0	0.0	39.33	12.51	0.0	32.5	0.47	0.92	0.0	0.0	0.0	129.84	0.0	0.0	0.0	0.0	0.0	0.0	37.13	31.79	35.08
Uggt2	0.0	0.0	0.0	0.0	15.23	0.0	2.09	0.27	18.87	0.74	0.04	0.29	11.69	22.08	0.19	2.5	0.0	0.08	0.36	21.36	17.1	0.37	6.74	0.26	2.34	2.83	6.75	5.75	0.04	6.88	8.46	7.49	1.06	7.04	0.24	24.05	0.0	6.51	3.69	0.0	17.95	14.99	18.88
Wdr82	0.0	156.92	0.0	0.0	39.11	0.0	8.97	0.14	1.82	34.99	0.57	42.77	14.6	63.62	34.21	40.53	4.37	56.57	43.3	135.03	143.38	37.67	0.0	16.69	38.49	11.88	25.63	73.36	31.71	18.7	29.9	23.7	59.41	2.96	69.8	23.08	37.38	36.38	35.8	0.0	79.99	80.97	77.35
Zfp345	0.0	1.73	0.0	0.44	1.44	2.64	0.17	0.75	0.68	1.27	0.09	0.19	0.49	1.89	0.44	0.89	0.46	0.18	1.14	0.0	15.97	0.39	1.53	0.72	1.42	1.34	0.97	0.97	0.93	0.38	1.2	1.31	1.55	1.63	1.59	1.46	0.95	0.56	0.78	0.0	0.74	0.86	0.95
Zfp697	0.0	0.0	0.0	0.0	0.11	0.0	12.88	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.15	0.0	0.0	0.34	11.08	19.68	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.07	0.0	32.82	0.0	11.13	16.28	17.65	0.0	12.97	11.6	12.07
Zfp873	0.0	0.06	0.0	4.15	0.0	0.0	0.0	0.26	0.0	0.0	0.23	0.0	26.27	0.0	0.0	0.0	36.0	0.0	0.0	61.79	89.59	0.0	7.26	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	19.86	2.66	0.0	0.52	1.65	0.0	0.0	0.0	0.0	3.68	3.55	3.84
