	Calb2_tdTpositive_cell_3	Chrna2_tdTpositive_cell_58	Ctgf_tdTpositive_cell_1	Ctgf_tdTpositive_cell_3	Cux2_tdTpositive_cell_3	Cux2_tdTpositive_cell_71	Cux2_tdTnegative_cell_12	Ndnf_tdTpositive_cell_7	Nr5a1_tdTpositive_cell_9	Nr5a1_tdTpositive_cell_33	Nr5a1_tdTpositive_cell_37	Nr5a1_tdTpositive_cell_38	Nr5a1_tdTpositive_cell_46	Ntsr1_tdTpositive_cell_76	Rbp4_tdTpositive_cell_11	Rbp4_tdTpositive_cell_85	Rbp4_tdTpositive_cell_102	Rbp4_tdTpositive_cell_142	Rbp4_tdTpositive_cell_150	Rbp4_tdTpositive_cell_171	Rorb_tdTpositive_cell_34	Rorb_tdTpositive_cell_35	Rorb_tdTpositive_cell_36	Rorb_tdTpositive_cell_38	Rorb_tdTpositive_cell_55	Scnn1a.Tg3_tdTpositive_cell_62	Scnn1a.Tg3_tdTpositive_cell_67	Sst_tdTpositive_cell_27	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Nat10	0.0	0.0	0.0	0.0	0.05	103.74	0.0	0.0	0.0	0.0	0.89	0.0	0.0	79.04	0.0	0.0	0.0	17.71	0.0	39.35	0.0	0.0	4.43	0.0	0.0	0.0	0.0	0.0	3.15	3.02	4.74	22.8	21.9	22.63
Nbl1	0.0	0.0	0.0	0.0	0.0	117.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	12.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.18	55.19	62.18	60.17
Nox3	0.0	0.0	0.0	0.0	0.0	102.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.0	0.06
Nr4a2	0.0	0.0	0.0	0.0	0.15	158.48	0.0	0.0	0.48	0.0	0.0	0.03	0.24	0.0	0.0	0.0	130.12	0.0	0.0	1.46	0.11	0.0	12.8	44.59	0.06	0.0	0.0	0.0	4.24	5.57	7.14	51.72	44.29	35.3
Nup62-il4i1	0.0	0.0	0.0	0.0	0.0	1.24	0.0	0.0	0.0	0.0	0.0	0.0	1.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.83	0.0	0.0	0.0	0.0	0.0	0.52	0.0	0.0	1.46	1.83	1.14
Nusap1	0.0	0.0	0.0	0.0	0.0	60.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.48	0.73	1.96	1.8	2.14
Nxnl1	0.0	0.0	0.0	0.0	0.14	0.46	0.0	0.0	0.25	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.27	0.0	0.04	0.0	0.0	0.09	0.07	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.16	0.04
Oasl2	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.57	2.46	2.79
Olfr1420	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.1	0.11
Otof	0.0	0.0	0.0	0.0	0.0	47.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.85	16.68	17.5
Oxsr1	0.0	1.95	0.0	0.0	2.14	56.53	0.0	0.0	0.79	0.0	0.39	7.07	1.71	2.31	0.0	0.0	0.0	2.34	0.0	17.07	0.0	0.0	0.0	0.0	71.44	0.4	1.71	0.0	5.54	5.29	6.59	31.87	31.34	33.79
Pak2	0.0	59.61	72.09	0.0	0.02	66.34	0.0	0.0	0.0	0.0	0.0	0.02	0.0	9.09	0.0	0.0	0.0	0.0	0.0	1.84	0.0	5.93	10.18	0.0	0.0	0.0	0.0	0.88	5.13	6.92	4.37	30.29	29.99	29.34
Palb2	0.0	0.0	0.0	0.0	0.0	76.12	0.0	0.0	0.0	0.0	0.0	3.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.45	0.0	0.0	0.0	0.0	0.32	0.18	0.92	1.21	0.64	1.3
Peo1	0.0	0.12	0.0	0.0	59.66	67.53	0.37	0.0	0.31	0.0	0.04	0.26	0.1	0.33	0.0	0.0	0.15	0.15	0.31	0.34	71.82	0.0	0.06	2.5	0.0	0.0	0.0	0.0	3.63	1.59	3.07	11.52	10.95	10.76
Pggt1b	0.0	0.0	353.76	0.0	0.0	245.53	0.0	0.0	0.0	0.0	0.0	131.93	0.0	0.0	0.0	0.0	104.45	0.0	0.0	0.0	0.0	0.04	61.34	0.0	0.0	111.49	0.0	0.22	13.08	6.54	10.15	8.69	7.4	10.25
Pold4	0.0	0.0	0.0	0.0	142.49	92.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.62	6.3	9.94	17.78	16.43	17.66
Ppp2r5b	96.5	1.68	0.0	0.0	0.0	131.44	0.0	0.0	0.0	0.16	40.97	0.03	0.0	7.38	0.0	0.89	0.15	0.4	1.29	5.0	0.54	0.0	0.04	0.0	27.85	0.0	0.0	10.79	1.76	3.18	4.23	116.6	126.11	122.75
Prdm8	0.0	0.0	0.0	0.0	7.76	30.51	0.0	0.11	0.24	0.0	8.92	7.56	0.05	0.21	0.0	0.0	0.0	0.34	0.0	0.0	12.93	7.02	4.26	1.35	0.0	2.3	0.0	0.0	1.24	0.88	0.89	28.2	33.99	26.7
Prr14	0.0	0.0	0.0	0.0	0.0	123.09	631.41	0.0	0.0	0.19	39.74	0.0	0.0	0.08	0.0	0.0	0.0	0.24	0.0	0.0	0.0	0.0	0.0	36.07	0.0	0.14	0.0	0.0	11.97	8.65	6.74	23.5	23.12	23.09
Rab24	0.0	0.45	4.4	0.0	0.0	82.07	0.0	0.0	3.58	0.0	0.05	0.0	0.0	0.0	10.22	0.0	0.0	26.45	0.0	13.05	0.18	0.0	0.11	0.55	306.64	0.0	0.0	82.45	8.08	10.44	4.33	60.01	70.01	60.32
Rabl3	0.0	0.21	0.0	0.0	0.0	163.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.06	0.06	23.26	132.06	0.0	0.0	0.0	0.0	20.08	27.78	18.86	8.78	8.82	8.91
Rnf20	0.0	0.1	0.0	0.0	0.02	144.0	0.0	0.0	6.84	73.44	33.55	45.23	9.5	0.0	0.88	25.46	0.1	0.51	55.57	0.3	0.0	0.0	2.36	0.0	87.17	0.22	98.61	5.19	15.93	11.5	9.12	48.41	45.8	44.56
Rock1	11.26	48.51	26.42	13.39	0.03	158.5	38.4	0.0	0.0	0.0	0.0	42.49	72.39	21.29	7.86	46.1	1.65	9.99	2.31	42.55	21.97	0.0	20.81	0.85	0.0	0.1	0.0	0.0	21.53	13.08	17.52	12.68	8.81	12.6
Rprd1a	0.35	28.23	0.0	0.0	0.12	370.51	0.0	0.0	0.0	0.3	0.0	86.52	0.11	81.44	36.53	12.78	56.36	0.0	10.82	4.93	0.0	0.05	68.06	21.6	0.0	1.3	11.8	77.6	43.53	30.2	30.26	89.33	85.64	85.39
Rps6ka2	0.0	0.08	0.0	0.0	0.02	68.77	0.0	0.0	0.0	0.0	0.0	48.11	14.81	19.13	0.0	25.97	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	17.76	0.0	12.5	6.77	4.66	5.66	48.29	46.96	47.75
Sh2b2	0.0	0.0	0.0	0.0	0.0	84.59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	4.29	3.91	4.25
Sh3d19	0.0	12.64	44.65	0.51	0.09	41.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.63	0.74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.51	0.32	0.21	8.76	8.5	8.98
Slc18a2	0.0	72.78	0.0	0.0	0.05	259.84	0.0	0.0	98.77	0.0	0.0	119.09	57.56	0.18	10.7	52.82	0.0	75.2	90.69	42.68	157.04	0.06	286.81	0.03	0.0	54.5	182.77	0.0	125.83	56.94	61.44	3.13	2.46	2.88
Slc1a1	0.22	109.57	0.16	0.43	144.04	270.55	0.25	0.0	0.39	80.69	73.4	106.09	0.22	115.15	7.87	0.0	40.51	71.15	6.43	49.34	36.15	0.46	0.04	0.06	0.18	0.41	0.1	25.74	51.09	60.6	61.74	81.77	88.56	82.67
Slc25a39	0.0	0.0	0.0	0.0	0.0	89.43	0.0	0.0	0.0	0.0	0.06	19.57	0.0	0.1	55.97	36.6	23.03	56.14	0.0	49.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.45	5.86	4.01	61.39	65.52	64.37
Slc27a2	0.0	0.0	0.0	0.0	0.0	3.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.23	0.0	0.0	51.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.79	0.0	0.15	0.15	6.96	6.93	5.86
Slco6c1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.04
Smcr8	12.91	0.0	0.0	0.0	63.47	58.51	0.0	0.0	8.05	0.0	0.0	4.58	1.93	0.09	0.0	0.0	0.0	0.0	0.4	0.0	0.0	0.0	0.01	0.0	0.0	0.0	3.57	0.0	1.87	1.82	3.16	18.47	18.1	17.56
Sox15	0.0	0.0	0.0	0.0	0.0	64.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.09
Spata13	0.0	0.0	0.05	0.0	0.0	12.94	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.39	0.23	0.14	5.93	6.29	6.39
Spna1	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.01	0.04
Spnb3	46.23	4.31	0.0	0.0	7.67	87.58	0.0	0.0	0.0	13.36	13.0	17.72	0.0	0.74	0.57	10.94	1.09	6.36	28.71	19.3	2.75	3.29	14.49	6.42	200.52	4.56	11.93	9.19	8.96	11.25	11.65	367.45	352.95	387.16
Stk40	45.23	0.0	0.0	0.0	0.0	92.94	17.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.01	6.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.77	0.0	0.0	0.0	0.61	2.93	1.77	28.92	28.46	24.06
Svil	0.0	0.0	2.43	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	3.91	4.53	4.57
Tmem120b	0.0	0.0	0.0	0.0	0.0	130.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.62	2.26	8.86	9.15	7.94
Tnfrsf11a	2.1	4.13	7.88	11.05	2.43	66.98	0.0	0.0	3.75	10.61	2.54	1.48	24.48	3.73	4.56	2.07	3.33	2.93	1.99	3.75	6.61	0.42	0.9	3.28	15.18	1.52	2.49	0.57	3.76	3.95	4.77	4.06	2.73	4.13
Trhr	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.14	2.96	3.62
Ttc32	0.0	0.0	0.0	0.0	0.0	37.52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31	1.43	5.05	4.85	4.38	4.58
Ttll3	0.0	0.53	0.18	0.0	0.0	100.71	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.03	0.0	0.0	0.0	0.24	0.0	0.0	0.0	0.0	0.0	1.15	2.32	1.89	10.76	12.11	10.16
Txndc15	172.9	0.0	0.0	0.0	27.21	241.27	0.0	0.0	0.98	0.0	1.55	0.06	0.0	12.0	24.9	0.0	17.84	2.14	61.39	45.02	42.38	0.31	0.3	1.25	0.0	56.32	0.0	116.96	33.78	21.08	26.13	75.79	77.31	81.14
Ugp2	0.0	55.93	10.2	0.0	5.87	187.8	0.0	0.0	105.9	35.32	19.18	0.0	0.08	0.11	6.7	30.37	0.0	38.74	36.14	0.0	0.07	0.0	0.0	0.04	0.0	0.0	0.0	12.13	11.1	18.38	17.65	64.0	58.96	62.3
Vax2os2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.07	0.07
Wasf3	0.0	0.0	0.0	0.0	0.57	31.23	0.0	0.0	0.27	0.0	0.0	0.0	0.0	15.85	0.0	0.0	0.0	4.8	0.0	1.1	0.16	0.0	0.04	9.38	0.0	0.0	2.71	0.0	4.11	8.46	4.4	65.21	62.16	68.55
Wdr44	0.0	22.91	0.0	0.0	0.0	106.93	147.8	0.0	0.0	28.81	45.55	0.0	27.88	0.0	32.43	0.0	0.0	0.52	0.12	13.99	0.0	0.0	75.56	42.49	0.0	0.0	0.97	0.0	23.12	10.05	12.41	13.23	12.26	13.91
Zbtb7c	0.0	0.0	0.0	0.0	0.0	2.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.65	0.0	0.0	2.64	2.89	3.3
Zfp334	0.0	0.0	0.0	0.0	0.02	74.58	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.58	1.02	1.37	13.13	12.72	12.57
Zfp398	0.0	0.0	0.0	0.0	0.03	18.57	74.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.08	0.0	0.13	0.0	0.16	9.33	0.03	0.0	0.0	0.0	0.0	0.0	0.23	1.56	2.03	1.78	0.56	11.13	9.89	11.02
Zpld1	0.0	0.0	0.0	0.0	0.0	111.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.07	0.24
Zscan21	0.0	0.0	0.0	0.0	0.0	265.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31	0.0	0.0	0.0	64.31	0.0	80.74	4.28	0.0	0.0	0.0	0.0	0.14	110.09	0.0	40.56	41.3	32.84	14.24	17.25	14.37
c10_LSU-rRNA_Hsa	0.0	0.0	0.0	2.92	0.0	76.02	0.0	0.0	4.01	0.0	0.95	1.7	1.61	1.66	4.41	0.0	4.47	0.0	0.0	1.16	1.28	2.05	0.97	0.51	0.0	0.0	0.0	1.31	4.08	1.47	1.21	25.24	24.45	31.24
mt_AK131586	0.04	0.0	3491.17	6370.03	0.0	0.17	3744.02	4908.34	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	4339.12	0.0	0.06	335.15	0.01	0.0	0.0	25813.35	24091.17	24561.45
