	Chrna2_tdTpositive_cell_13	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_4	Ctgf_tdTpositive_cell_6	Ctgf_tdTpositive_cell_7	Ctgf_tdTpositive_cell_10	Cux2_tdTnegative_cell_6	Ndnf_tdTpositive_cell_3	Ndnf_tdTpositive_cell_5	Ndnf_tdTpositive_cell_6	Nkx2.1_tdTpositive_cell_8	Nkx2.1_tdTpositive_cell_9	Nkx2.1_tdTpositive_cell_20	Nkx2.1_tdTpositive_cell_23	Nos1_tdTpositive_cell_1	Nos1_tdTpositive_cell_54	Nos1_tdTpositive_cell_66	Nos1_tdTpositive_cell_73	Nr5a1_tdTpositive_cell_21	Nr5a1_tdTpositive_cell_51	Ntsr1_tdTnegative_cell_29	Ntsr1_tdTnegative_cell_56	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_67	PvalbF.Gad2_tdTpositive_cell_29	PvalbF.Gad2_tdTpositive_cell_31	PvalbF.Gad2_tdTpositive_cell_33	PvalbF.Gad2_tdTpositive_cell_35	PvalbF.Gad2_tdTpositive_cell_36	PvalbF.Gad2_tdTpositive_cell_88	PvalbF.Gad2_tdTpositive_cell_89	PvalbF.Gad2_tdTpositive_cell_90	PvalbF.Gad2_tdTpositive_cell_91	PvalbF.Gad2_tdTpositive_cell_92	Rbp4_tdTpositive_cell_174	Rbp4_tdTnegative_cell_14	Rbp4_tdTnegative_cell_21	Scnn1a.Tg3_tdTnegative_cell_2	Scnn1a.Tg3_tdTnegative_cell_8	Rbp4_CTX_10pg_1	Rbp4_CTX_10pg_2	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Sorbs2	0.19	93.74	372.48	0.0	49.08	456.27	0.0	96.56	0.07	231.48	6.0	16.59	7.22	8.2	139.94	26.78	0.28	8.94	79.67	3.94	50.91	0.86	8.99	72.12	6.55	27.03	15.82	7.66	24.73	64.8	17.62	13.29	43.47	133.8	0.2	0.0	0.0	0.0	0.17	55.16	66.06	99.7	89.51	99.73
Sp1	0.0	0.0	33.8	0.0	0.0	176.93	0.0	11.99	93.63	70.52	0.0	13.62	9.93	2.25	190.16	0.1	0.0	0.37	0.0	0.0	119.0	0.0	0.0	0.0	6.76	4.5	0.0	0.0	2.02	0.0	0.0	0.03	0.0	0.0	0.15	0.0	0.0	0.0	0.0	2.05	0.02	12.62	10.74	11.9
Ssfa2	37.09	0.0	0.0	0.06	0.0	163.14	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.9	329.26	185.18	0.0	47.52	0.0	0.04	199.56	0.0	0.0	0.0	13.53	0.77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.69	41.21	25.24	24.84	25.08
Stk38l	0.0	2.28	526.05	0.0	12.33	471.11	0.0	77.81	0.26	213.19	35.91	55.72	44.6	0.0	336.47	0.69	0.0	0.85	23.98	47.77	97.77	1.8	75.11	0.0	38.18	31.58	0.3	40.7	59.58	0.54	17.29	1.05	9.31	60.58	323.74	0.0	0.0	0.0	0.0	55.92	51.11	18.3	18.22	17.64
Tagln	0.0	0.32	14141.91	0.63	0.51	8591.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2428.96	0.0	0.0	0.0	0.0	0.0	494.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.08	10.21	9.75	9.02
Tank	0.0	0.0	979.37	0.16	0.0	642.79	0.0	0.0	0.0	0.0	72.36	74.23	28.18	0.0	0.0	0.0	0.08	169.86	92.62	0.0	186.34	1.05	1.91	0.0	0.0	33.67	0.0	63.91	103.75	1.36	2.21	0.0	0.0	0.0	175.09	0.0	0.0	0.0	0.0	149.29	0.0	30.23	27.78	28.46
Tgfb1i1	0.0	0.0	322.49	0.0	0.13	262.92	0.0	0.0	0.0	186.3	0.0	0.0	0.0	0.0	3.84	420.85	232.74	0.0	2.26	29.39	65.51	0.0	0.0	0.0	0.0	10.02	0.0	0.0	15.7	0.15	0.09	8.82	0.06	0.0	0.39	0.0	0.0	0.0	0.0	3.4	42.97	9.64	8.72	7.29
Tgfb2	0.0	0.0	222.39	0.0	0.0	193.79	0.0	3.85	174.54	0.0	0.0	0.0	0.0	20.67	42.1	209.73	53.31	6.94	0.26	0.0	0.42	0.0	0.0	0.0	0.0	6.28	0.0	0.0	1.72	0.0	0.04	0.0	0.0	0.65	0.0	0.0	0.0	0.0	0.0	0.0	14.17	8.68	7.93	8.15
Timp3	0.5	0.11	514.15	0.14	296.06	1261.22	0.0	0.0	0.0	285.18	0.0	0.0	0.0	45.76	3609.03	2119.68	2237.19	0.1	0.0	36.57	563.84	10.02	0.0	0.0	29.53	19.77	30.48	23.63	66.84	0.0	0.0	0.0	0.0	0.0	0.22	0.0	0.0	0.0	0.0	115.02	25.08	53.93	51.31	50.67
Tns1	0.0	0.0	97.53	0.0	20.35	101.5	0.0	17.48	2.42	184.42	0.0	0.0	0.0	0.0	12.11	45.13	0.16	0.05	0.0	0.02	217.67	0.0	0.0	0.0	1.37	5.4	0.03	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.12	82.69	0.0	0.0	0.0	1.3	3.46	12.3	13.19	13.04
Tpm1	124.19	699.04	1644.77	0.6	0.24	3259.83	34.89	0.0	44.29	34.11	92.36	49.67	43.81	59.6	879.53	292.22	11.34	153.37	57.61	84.54	780.41	13.75	177.5	418.47	60.01	115.45	198.87	39.56	108.93	90.44	76.75	34.33	147.4	196.65	0.0	0.0	0.11	12.0	0.0	60.84	260.14	284.27	281.08	265.33
Tpm2	0.0	0.0	481.81	0.32	0.0	1397.23	1.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	237.22	164.74	0.0	0.0	0.0	0.0	110.68	3.54	0.0	0.0	27.21	24.93	42.99	62.65	15.36	98.34	0.2	5.18	46.18	67.5	0.0	0.0	0.0	1.91	0.0	0.07	0.0	5.72	6.92	5.94
Tuba1c	0.0	0.0	432.32	0.0	32.3	1050.57	0.0	340.29	0.0	0.0	0.0	0.0	43.56	0.0	529.19	0.0	0.0	12.6	0.0	0.0	0.0	0.0	0.0	0.0	43.32	37.23	4.36	28.41	5.59	18.01	11.35	6.94	25.86	20.24	0.0	0.0	0.0	42.56	0.0	0.0	0.19	0.92	0.28	0.6
Vim	0.0	0.0	1806.55	761.92	4.18	1937.07	0.0	0.0	0.22	23.42	0.0	0.0	0.0	0.0	918.41	389.73	102.77	0.0	0.0	0.0	179.5	0.0	0.0	0.0	3.94	1.7	0.0	0.0	35.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.82	6.2	37.85	41.07	39.99
Zfp111	16.95	0.0	210.31	0.0	0.36	185.31	0.26	0.21	0.13	1.24	0.26	0.13	0.0	0.11	0.0	1.08	0.56	1.68	0.83	0.24	0.59	1.49	0.65	12.94	0.07	0.38	0.05	0.96	4.56	0.42	2.22	0.57	0.36	0.25	1.26	0.48	0.19	0.12	1.56	26.98	17.92	4.11	3.6	4.09
Zfp37	2.74	2.13	604.4	0.35	0.22	381.04	0.78	4.05	0.0	0.28	53.12	30.98	0.16	0.71	2.18	37.84	18.44	25.88	11.36	4.23	0.18	22.62	13.78	30.87	0.27	2.75	1.28	7.57	3.51	10.65	9.85	4.59	0.58	22.33	37.85	6.93	1.29	1.81	0.0	29.66	17.87	10.32	9.62	11.95
Zic5	0.0	0.0	0.0	0.0	0.0	113.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.62	1.6	1.5
mt_GU332589	6895.48	15332.83	8558.76	28558.05	21230.38	7183.93	9115.7	10543.38	12861.37	11648.74	6541.98	7133.16	8163.68	22738.66	9723.85	7327.56	26493.16	13741.48	13267.12	28909.02	7813.81	12431.83	7354.81	10558.64	31086.28	16090.8	21460.06	22390.28	20242.91	18187.79	11566.32	19369.81	14379.47	14964.47	19212.31	12718.04	7149.42	5699.55	6856.76	7119.49	6781.78	3308.99	2963.73	3155.88
