	Calb2_tdTpositive_cell_9	Calb2_tdTpositive_cell_64	Chrna2_tdTpositive_cell_51	Cux2_tdTpositive_cell_22	Cux2_tdTpositive_cell_37	Cux2_tdTpositive_cell_65	Cux2_tdTnegative_cell_14	Htr3a_tdTpositive_cell_13	Nos1_tdTpositive_cell_43	Nr5a1_tdTpositive_cell_44	Nr5a1_tdTpositive_cell_45	Ntsr1_tdTpositive_cell_17	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_32	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_42	Ntsr1_tdTpositive_cell_44	Rbp4_tdTpositive_cell_49	Rbp4_tdTpositive_cell_55	Rbp4_tdTpositive_cell_127	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_183	Scnn1a.Tg3_tdTpositive_cell_8	Scnn1a.Tg3_tdTpositive_cell_9	Scnn1a.Tg3_tdTpositive_cell_92	Slc17a6_tdTpositive_cell_10	Slc17a6_tdTpositive_cell_28	Slc17a6_tdTpositive_cell_30	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_3	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_1	CAV_LP_Ipsi_tdTpos_cell_9	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_31	CAV_LP_Ipsi_tdTpos_cell_35	CAV_LP_Ipsi_tdTpos_cell_36	CAV_LP_Ipsi_tdTpos_cell_39	CAV_VISp_Contra_tdTpos_cell_1
Suox	0.0	0.0	0.09	0.0	0.0	0.0	0.13	0.0	0.0	0.26	0.0	0.14	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	53.36	7.55	0.53	0.0	0.0	0.21	0.0	0.0	0.0	13.35	36.4	28.17	4.55	12.99	21.53	14.22	2.24	12.02	17.14	8.42	2.06	2.67	0.55	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.0	0.11	0.0
Tex12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.63	1.17	0.0	0.0	0.0	0.0	0.45	0.0	0.0	1.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tti1	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	7.8	6.2	0.0	0.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.39	0.04	114.11	0.0	0.09	0.0	0.0	2.44	20.76	8.68	17.2	10.91	8.9	5.85	5.52	0.88	5.14	6.61	4.72	8.71	15.92	0.0	0.0	52.9	0.0	0.0	0.0	0.0	0.0	0.0	0.24	9.14	0.58	0.0
Tusc1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.15	0.25	1.29	1.27	0.0	0.0	0.0	0.0	0.0	0.0	1.29	0.78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.41	0.0	0.0	0.0	0.0
Ubox5	0.1	0.0	47.99	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	67.43	0.0	32.98	0.0	0.0	0.0	0.0	0.0	0.0	19.99	10.13	18.48	0.0	0.0	0.0	33.41	0.0	0.45	24.76	1.05	15.89	9.57	20.21	19.46	21.73	4.05	13.93	8.21	4.49	14.1	14.94	0.0	55.69	0.08	0.0	0.0	0.0	0.0	0.0	52.09	0.0	0.0	0.0	0.0
Usp21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	74.65	0.0	0.0	0.0	0.0	102.7	0.0	0.0	64.65	33.99	12.06	0.0	0.15	2.58	0.08	0.0	70.22	0.39	13.26	13.86	12.5	2.78	26.95	12.03	2.51	8.57	10.47	2.19	4.13	16.98	16.17	0.0	0.0	74.47	0.0	0.14	0.0	29.72	14.72	0.0	1.27	0.14	0.0	0.0
Zfp39	0.0	17.15	0.0	3.66	0.0	0.32	37.73	0.09	0.17	0.0	70.97	0.0	0.0	40.97	0.07	0.26	0.02	57.13	65.58	0.09	38.95	25.13	0.87	0.45	0.2	0.27	60.93	31.81	2.96	23.75	30.14	10.77	10.57	11.63	13.69	12.06	7.45	10.56	3.65	22.31	16.37	11.36	0.14	0.02	0.14	0.0	23.87	63.1	0.7	0.0	0.14	0.12	4.44	1.31	31.15
c12_LSU-rRNA_Hsa	59.36	65.55	43.07	68.61	32.96	85.12	78.1	58.4	129.88	81.32	59.82	94.97	181.75	86.3	67.53	51.61	38.83	45.08	92.23	70.11	80.4	196.88	429.32	68.85	73.05	153.95	41.16	106.4	112.28	296.3	245.3	283.62	307.69	306.97	332.11	318.81	244.47	284.7	239.52	1336.39	882.67	941.41	74.71	94.86	27.9	57.96	61.53	79.05	68.67	88.76	97.46	69.72	62.38	92.38	35.94
c16_LSU-rRNA_Hsa	352.2	168.11	178.11	113.26	104.02	263.22	192.02	168.61	136.81	225.04	234.83	207.15	286.21	276.25	174.64	142.32	150.19	69.88	164.46	180.95	263.33	614.08	982.38	183.56	154.46	494.07	183.77	320.19	250.64	817.31	991.07	896.68	959.18	917.22	978.16	905.57	903.45	898.56	887.21	4078.37	3436.41	3239.78	184.2	240.92	179.66	210.51	204.34	186.23	250.11	318.87	277.78	187.9	213.39	198.81	203.67
c17_LSU-rRNA_Hsa	167.25	17.99	88.01	85.72	83.19	82.09	103.24	53.54	73.26	136.71	97.15	65.72	105.73	104.72	77.3	91.95	80.33	31.92	79.93	172.48	101.56	385.01	211.69	116.53	63.06	137.06	132.83	119.83	54.81	559.24	566.87	439.6	657.5	558.72	478.49	466.12	564.2	530.79	535.49	2453.54	1909.94	1873.08	71.44	94.18	91.62	170.53	86.75	114.25	206.26	256.12	116.01	91.02	129.33	73.46	49.12
c1_LSU-rRNA_Hsa	231.39	92.06	97.52	121.05	148.18	102.87	83.95	229.37	156.01	116.98	106.79	106.46	115.76	106.86	72.52	109.58	73.88	58.48	121.2	145.44	172.36	260.61	114.83	90.87	78.91	84.23	86.17	86.15	54.62	338.11	297.52	300.27	331.11	328.37	300.55	280.05	345.53	347.47	351.12	1190.36	1012.35	1050.0	174.41	135.55	170.26	134.68	130.48	112.13	134.91	161.39	167.13	80.88	76.43	101.58	142.18
c6_LSU-rRNA_Hsa	133.92	151.57	90.81	162.54	72.79	195.11	175.35	166.26	259.48	127.1	179.77	233.21	403.02	227.27	131.85	119.83	107.49	118.38	193.21	167.65	228.77	498.25	936.09	133.3	144.22	392.34	163.77	229.06	244.93	596.62	504.06	487.46	640.08	513.03	664.18	545.18	537.35	545.96	520.93	2823.89	2178.25	2269.48	174.46	220.8	104.29	100.9	75.41	153.44	195.54	202.11	133.35	175.55	134.68	168.89	135.32
c7_LSU-rRNA_Hsa	9.57	22.17	7.12	11.95	9.48	12.69	7.11	9.49	22.04	15.09	11.29	26.97	39.62	5.8	5.35	9.93	4.71	4.19	18.53	18.92	40.78	15.03	84.18	11.71	11.85	53.79	10.74	28.36	20.82	39.39	30.93	36.23	37.18	23.81	32.81	52.27	21.54	39.3	31.48	181.21	228.99	180.95	22.48	24.7	11.48	4.79	5.06	0.0	7.36	2.12	9.25	0.0	11.55	38.16	6.37
c9_LSU-rRNA_Hsa	201.47	137.0	139.96	202.27	115.49	202.29	189.13	164.85	271.32	304.34	252.49	199.63	333.37	227.05	227.39	140.99	126.37	121.35	179.58	230.69	214.24	649.08	856.4	214.93	131.61	443.42	159.35	215.17	213.16	814.07	840.09	686.69	807.04	753.53	800.05	735.22	722.26	738.95	767.48	3836.05	3013.32	3066.88	140.51	284.44	170.75	183.3	77.33	190.57	297.08	375.64	179.19	157.86	173.26	159.72	136.72
mt_AK136262	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.73	75.42	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.23	0.11	0.07	100.77	9.86	4.83	261.93	46.91	210.2	12.15	165.57	50.19	19.33	8.22	0.19	1.6	0.12	0.23	1.14	52.84	5.83	4.5	2.02	0.0	240.38	68.82	2.48	0.16	0.0
mt_AK142003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.73	75.42	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.23	0.11	0.07	100.77	9.86	4.83	261.93	46.91	210.2	12.15	165.57	50.19	19.33	8.22	0.19	1.6	0.12	0.23	1.14	52.84	5.83	4.5	2.02	0.0	240.38	68.82	2.48	0.16	0.0
mt_AK166798	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.73	75.42	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.23	0.11	0.07	100.77	9.86	4.83	261.93	46.91	210.2	12.15	165.57	50.19	19.33	8.22	0.19	1.6	0.12	0.23	1.14	52.84	5.83	4.5	2.02	0.0	240.38	68.82	2.48	0.16	0.0
mt_AK166978	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.73	75.42	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.23	0.11	0.07	100.77	9.86	4.83	261.93	46.91	210.2	12.15	165.57	50.19	19.33	8.22	0.19	1.6	0.12	0.23	1.14	52.84	5.83	4.5	2.02	0.0	240.38	68.82	2.48	0.16	0.0
