	Calb2_tdTpositive_cell_2	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_7	Ctgf_tdTpositive_cell_9	Cux2_tdTpositive_cell_6	Ndnf_tdTpositive_cell_1	Ndnf_tdTpositive_cell_7	Ndnf_tdTpositive_cell_10	Ndnf_tdTnegative_cell_7	Nr5a1_tdTpositive_cell_35	Ntsr1_tdTnegative_cell_33	Rbp4_tdTpositive_cell_70	Rbp4_tdTpositive_cell_74	Rbp4_tdTpositive_cell_95	Rbp4_tdTpositive_cell_133	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_176	Rbp4_tdTpositive_cell_177	Rbp4_tdTpositive_cell_178	Rbp4_tdTpositive_cell_180	Rbp4_tdTpositive_cell_185	Rbp4_tdTnegative_cell_2	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_6	Rbp4_tdTnegative_cell_9	Rbp4_tdTnegative_cell_13	Rbp4_tdTnegative_cell_14	Rbp4_tdTnegative_cell_22	Rorb_tdTpositive_cell_19	Rorb_tdTpositive_cell_20	Rorb_tdTpositive_cell_47	Scnn1a.Tg3_tdTnegative_cell_11	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Tctn3	329.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.49	0.44	45.49	55.96	0.13	47.67	0.0	20.81	54.7	0.0	0.0	0.0	0.0	0.0	0.15	0.0	636.29	0.0	0.24	0.0	0.0	361.45	0.15	0.0	27.44	27.89	27.4
Tpd52l1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	798.88	0.0	186.6	0.0	0.0	0.0	45.44	0.0	0.0	32.26	0.0	0.0	0.0	0.0	19.16	0.0	0.26	0.0	0.0	0.0	0.0	0.0	11.01	125.56	0.0	0.0	33.34	36.0	31.77
Trpm3	0.67	0.0	0.0	0.11	0.0	42.05	0.0	0.06	0.09	0.55	4.94	97.84	0.81	0.61	1.68	0.92	1.26	3.14	0.57	12.26	1.06	0.52	1.3	6.54	3.79	2.66	2.24	6.65	0.0	0.94	0.26	189.7	0.81	0.0	20.34	17.85	23.43
Ttll1	0.9	0.46	3.64	0.0	3.15	10.56	2.36	2.87	2.88	2.59	206.93	4.86	62.7	16.91	34.8	116.54	1.96	31.98	8.2	183.85	2.19	4.09	1.66	10.25	8.49	10.01	16.3	9.51	7.23	14.51	43.19	402.82	13.21	1025.51	49.65	49.52	45.89
Uck2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.39	0.0	49.32	0.0	0.0	2.38	0.0	2.66	0.0	0.0	7.76	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55.33	0.0	0.0	26.5	27.44	26.67
Uqcrc1	635.55	0.0	0.0	0.24	0.32	425.03	6.64	0.0	0.0	6.4	3.97	1.47	858.6	655.86	736.4	189.89	499.68	396.75	19.37	230.8	238.65	272.71	509.5	0.0	0.98	27.71	1.42	0.0	1.18	0.0	387.57	1087.49	935.29	0.0	273.94	307.23	289.52
Usp45	0.68	0.3	0.01	0.0	0.94	0.9	0.0	0.74	0.0	0.3	0.21	0.33	17.84	0.32	13.71	7.7	15.06	15.66	5.08	55.91	0.32	11.58	11.81	0.78	1.5	1.11	0.0	0.0	0.97	0.15	0.85	84.49	0.45	1.05	24.53	23.59	23.75
Vmn1r65	0.72	0.19	24.42	0.0	0.2	18.4	3.94	0.0	0.0	2.47	0.98	3.62	5.08	4.51	6.03	7.22	8.33	8.14	8.17	13.23	9.05	5.84	7.47	2.77	0.25	95.98	31.75	3.14	7.72	0.0	6.33	12.93	12.92	0.78	4.15	3.54	5.2
Wdr20a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.54	0.49	0.0	83.6	54.71	0.0	0.0	0.21	1.01	105.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.76	220.54	0.0	0.0	19.22	17.84	18.67
Wdr73	0.23	0.0	0.0	0.0	0.0	148.84	0.0	0.15	0.0	0.29	1.85	0.0	20.53	17.79	13.89	75.96	0.62	25.55	0.55	3.05	0.0	0.07	0.0	0.0	0.18	0.35	0.9	0.0	0.0	0.29	0.19	175.84	0.2	0.45	23.18	26.98	26.93
Zfp664	0.0	0.0	0.0	0.0	0.0	27.71	0.0	0.0	0.0	0.0	0.32	0.11	0.0	24.3	2.11	8.92	0.0	15.7	0.0	15.44	64.78	19.21	0.0	0.0	0.0	0.0	0.19	0.0	0.0	0.0	3.36	63.84	0.0	0.0	74.37	72.05	69.74
