	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_7	Cux2_tdTnegative_cell_3	Cux2_tdTnegative_cell_4	Cux2_tdTnegative_cell_5	Cux2_tdTnegative_cell_6	Cux2_tdTnegative_cell_13	Gad2_tdTpositive_cell_24	Ndnf_tdTpositive_cell_5	Ndnf_tdTnegative_cell_1	Ndnf_tdTnegative_cell_7	Nkx2.1_tdTpositive_cell_23	Nos1_tdTpositive_cell_66	Nos1_tdTpositive_cell_73	Nr5a1_tdTpositive_cell_21	Nr5a1_tdTpositive_cell_51	Ntsr1_tdTnegative_cell_5	Ntsr1_tdTnegative_cell_14	Ntsr1_tdTnegative_cell_20	Ntsr1_tdTnegative_cell_26	Ntsr1_tdTnegative_cell_30	Ntsr1_tdTnegative_cell_56	PvalbD.Slc32a1_tdTpositive_cell_28	PvalbF.Gad2_tdTpositive_cell_4	PvalbF.Gad2_tdTpositive_cell_18	PvalbF.Gad2_tdTpositive_cell_25	PvalbF.Gad2_tdTpositive_cell_29	PvalbF.Gad2_tdTpositive_cell_31	PvalbF.Gad2_tdTpositive_cell_33	PvalbF.Gad2_tdTpositive_cell_35	PvalbF.Gad2_tdTpositive_cell_36	PvalbF.Gad2_tdTpositive_cell_38	PvalbF.Gad2_tdTpositive_cell_80	PvalbF.Gad2_tdTpositive_cell_88	PvalbF.Gad2_tdTpositive_cell_89	PvalbF.Gad2_tdTpositive_cell_90	PvalbF.Gad2_tdTpositive_cell_91	PvalbF.Gad2_tdTpositive_cell_92	Rbp4_tdTpositive_cell_42	Rbp4_tdTpositive_cell_174	Rbp4_tdTnegative_cell_22	Scnn1a.Tg2_tdTnegative_cell_4	Scnn1a.Tg3_tdTpositive_cell_100	Scnn1a.Tg3_tdTpositive_cell_101	Scnn1a.Tg3_tdTnegative_cell_8	Scnn1a.Tg3_tdTnegative_cell_22	Slc17a6_tdTpositive_cell_5	Rbp4_CTX_10pg_2	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Prrt2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	58.44	59.96	0.69	0.0	0.0	2.03	0.0	0.0	0.0	59.13	0.0	25.2	112.21	3.64	26.76	6.25	48.48	0.17	0.0	0.15	17.56	4.24	0.1	0.14	0.07	67.38	155.91	0.0	0.0	9.79	113.0	0.0	0.0	48.07	209.15	264.19	282.46	274.77
Psmd5	0.0	0.0	0.0	0.0	0.0	0.0	356.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.71	0.0	0.0	0.0	0.62	0.0	0.0	1.56	56.83	19.31	24.94	49.56	1.18	21.94	0.0	26.57	2.27	90.38	66.96	0.11	0.21	1.27	1.33	35.5	0.0	1.18	0.0	0.0	4.67	39.19	0.0	0.0	0.43	62.41	49.38	49.21	44.6
Rbfox3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.29	0.0	7.21	48.37	31.95	0.0	0.0	0.0	0.0	0.0	2.09	34.35	9.37	7.25	62.57	1.13	18.91	3.51	0.0	9.62	8.86	0.19	0.3	0.52	0.17	0.48	6.98	12.78	588.08	0.2	0.25	301.05	241.2	0.0	0.0	154.68	21.55	216.71	228.38	226.62
Rce1	0.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.22	0.0	0.0	0.0	0.91	0.0	0.0	0.0	28.96	0.0	0.74	82.86	0.32	1.32	0.0	0.0	8.69	0.0	0.0	0.0	1.75	17.41	1.44	3.01	0.0	0.12	31.09	57.52	0.0	0.0	0.0	11.07	129.41	0.0	0.0	0.0	20.62	24.72	23.88	24.17
Rnf220	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.79	0.0	9.39	0.0	49.56	0.0	0.0	0.0	0.0	0.0	1.82	88.63	2.54	37.95	44.21	21.74	8.52	12.31	6.61	20.99	3.22	105.26	0.47	46.04	2.67	0.17	0.18	37.66	7.47	0.0	0.0	35.65	0.92	0.0	0.0	45.46	0.27	107.18	119.36	110.65
Rprd1b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.89	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.87	63.34	13.93	2.43	6.66	15.16	7.27	5.29	15.2	12.07	7.83	13.33	0.0	0.0	16.2	0.0	21.29	34.28	0.36	0.0	0.08	0.0	0.0	0.0	0.0	75.6	0.0	21.17	21.76	20.48
Sept3	0.54	0.0	0.0	0.0	0.75	0.0	0.0	0.04	0.0	0.0	0.75	20.17	0.54	7.76	26.18	13.68	0.12	0.31	0.32	0.12	1.02	1.63	132.86	53.65	59.57	150.55	18.76	52.48	0.87	10.75	52.12	118.14	128.18	0.35	0.81	5.98	41.05	0.38	46.25	13.93	0.26	0.97	165.83	129.83	0.0	0.0	3.54	140.91	270.67	257.5	265.53
Shisa3	0.4	0.0	0.12	0.0	0.0	0.0	0.18	0.24	0.11	0.14	0.34	0.89	0.27	1.65	1.36	1.57	0.3	0.0	0.33	0.52	0.33	1.05	0.85	0.11	0.17	0.77	0.33	0.28	0.95	0.0	0.33	0.36	0.43	0.55	0.47	0.35	0.44	0.65	0.63	2.2	1.05	0.41	5.94	9.53	0.54	0.0	0.69	0.21	1.13	1.59	1.33
Slc4a2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.05	0.08	0.0	0.0	0.0	0.0	1.64	0.0	0.0	0.19	0.0	0.0	0.0	0.0	0.99	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	26.5	19.74	0.0	20.39	0.0	0.0	0.0	0.0	0.0	1.08	0.0	19.7	21.94	24.19
Slc6a17	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.0	0.0	0.0	14.99	0.03	63.71	5.76	3.64	0.0	0.0	0.47	0.0	0.0	0.33	69.15	110.56	93.73	14.4	8.81	25.87	29.92	16.33	37.68	57.29	59.11	60.33	15.18	9.1	47.37	3.27	33.88	20.76	0.0	0.05	58.5	118.12	0.0	0.0	220.23	65.02	242.23	238.44	246.45
Slc8a1	0.0	0.0	0.0	0.0	0.0	0.02	0.1	0.0	0.0	0.0	0.0	19.03	0.02	4.58	10.33	9.6	0.0	0.0	0.13	0.0	0.0	0.67	42.47	29.08	7.4	32.51	27.25	20.57	40.47	15.44	6.91	1.24	0.01	19.79	9.38	22.12	1.04	19.68	157.11	0.87	0.0	0.05	15.88	22.74	0.0	0.02	3.95	6.8	45.22	37.06	47.99
Sncb	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.62	101.36	17.35	0.0	0.0	2.17	0.0	0.0	5.42	362.35	84.15	124.49	53.65	87.64	114.74	33.96	125.84	97.02	190.74	137.62	54.37	152.1	164.1	40.84	124.62	62.07	111.71	0.0	0.22	575.86	820.76	0.0	0.0	126.13	143.12	500.1	550.38	513.95
Snrnp200	0.0	0.0	0.0	0.0	0.0	139.07	0.0	0.0	0.0	0.0	0.0	0.0	0.02	60.55	1.46	0.03	0.0	0.0	0.0	0.0	17.29	0.15	93.91	0.0	16.36	1.98	17.6	21.16	5.79	17.18	9.33	35.39	2.34	0.17	0.1	3.37	11.9	13.18	25.39	0.0	0.0	0.08	0.28	15.53	22.19	0.05	0.0	52.46	56.11	58.53	58.1
Srp68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	57.58	0.0	0.0	84.62	0.0	57.36	0.0	0.0	0.0	0.0	1.25	122.35	0.0	20.29	0.0	13.8	21.13	0.0	43.42	40.85	0.0	6.85	137.38	9.19	0.92	0.07	4.55	59.54	0.47	0.0	0.1	0.0	2.78	0.0	0.0	0.29	37.82	62.41	62.8	60.84
St8sia4	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	117.75	55.93	40.04	34.9	21.7	3.46	0.0	0.06	19.96	0.0	42.63	118.52	104.55	0.0	0.0	0.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.92	7.13	8.15
Sult4a1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	72.03	0.13	1.04	499.56	89.29	0.0	0.0	1.59	0.0	0.0	7.96	435.21	192.8	244.57	3.34	83.56	144.61	87.62	222.42	106.5	149.55	164.05	61.32	153.3	7.36	38.98	1.87	15.53	158.07	0.0	0.54	46.28	174.29	0.0	0.0	65.59	533.63	438.7	457.81	456.98
Syp	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	13.49	0.13	140.8	173.7	111.76	0.0	0.0	3.05	3.12	140.63	4.67	226.36	174.08	175.34	232.97	133.45	191.78	91.02	161.25	350.25	123.36	371.12	109.27	127.97	361.28	80.61	136.42	257.56	154.84	0.0	1.03	1054.57	1532.2	0.0	0.0	570.08	927.59	1149.48	1186.08	1128.2
Tapt1	0.0	83.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33	0.0	3.37	0.17	0.0	0.0	0.0	0.0	0.34	21.29	372.64	54.71	0.0	7.66	0.0	24.21	21.61	0.0	0.91	0.23	0.0	17.99	0.0	6.74	0.0	16.08	0.88	0.0	0.0	0.0	0.66	0.23	0.0	0.0	0.0	63.95	46.19	42.6	39.79	41.19
Tarbp2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.04	0.0	0.0	0.0	0.0	0.0	0.21	0.11	0.0	0.0	0.0	0.0	0.0	0.0	79.52	0.0	24.3	0.0	25.58	20.41	0.24	38.26	43.13	0.0	0.0	0.0	0.1	0.0	0.0	0.0	17.28	311.03	0.0	0.0	0.76	23.68	0.0	0.0	0.0	0.04	20.43	23.36	22.75
Tars2	0.0	0.0	0.27	0.0	0.41	5.26	0.41	0.0	0.0	0.0	0.0	0.0	0.0	23.54	0.92	6.93	1.27	0.0	0.4	0.0	0.0	0.0	241.21	0.14	24.63	0.16	24.37	10.76	0.42	44.94	13.1	0.19	39.96	0.07	0.09	0.24	1.64	1.25	0.06	2.37	5.85	0.73	59.66	168.16	0.0	0.0	0.0	177.46	27.78	27.47	26.48
Trappc9	37.18	24.1	45.21	8.05	1.49	2.39	28.07	25.71	31.5	18.06	17.67	38.96	31.57	66.82	76.17	5.84	7.62	49.43	117.8	62.35	90.3	81.34	148.04	35.38	42.13	38.92	9.2	57.31	12.98	40.8	62.54	94.56	63.57	62.71	26.25	22.03	38.72	111.0	61.73	227.38	77.57	49.27	93.04	171.35	12.96	2.58	58.55	21.24	73.93	77.56	77.87
Trim32	0.0	0.0	214.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.42	0.0	99.36	149.87	40.79	0.0	0.0	0.0	0.0	0.28	1.31	140.0	112.86	119.82	60.99	19.94	93.91	86.31	128.23	105.67	0.0	61.55	0.92	114.21	21.52	72.8	84.74	80.13	1.86	0.0	0.0	100.96	124.08	280.22	0.0	23.52	224.36	143.56	152.05	143.36
Tro	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.3	0.07	8.43	22.87	45.15	0.0	0.0	0.38	0.0	148.0	2.57	229.31	78.07	18.83	0.97	60.22	38.56	18.71	23.35	65.87	56.32	23.76	27.99	2.78	30.3	5.39	54.94	70.2	158.98	0.0	0.23	12.39	9.7	0.0	0.0	56.78	110.78	91.35	86.53	91.89
Trp53i13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	600.4	0.0	15.62	0.0	0.0	0.0	0.0	1.65	0.0	0.0	0.0	0.0	18.47	0.0	0.0	0.0	0.0	0.0	24.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.57	7.04	7.56
Trub2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	3.63	0.09	0.0	0.0	734.23	0.0	40.72	0.42	51.86	0.0	0.0	0.0	0.0	5.44	0.0	0.0	0.0	0.0	0.0	0.09	7.04	0.2	0.0	0.0	8.19	0.0	0.0	0.0	0.0	0.0	0.0	0.71	0.0	20.74	22.14	23.54	21.89
Ttyh3	0.0	0.0	0.1	0.0	0.0	0.0	0.0	80.39	0.0	0.0	10.73	0.49	0.0	0.0	0.0	0.5	0.0	0.17	25.74	47.23	56.68	5.14	22.05	6.11	3.62	1.35	0.81	1.22	0.75	2.19	3.32	3.04	7.64	4.36	0.45	1.64	6.32	0.51	6.95	41.09	2.29	0.05	55.9	19.55	0.0	0.0	15.48	24.12	133.49	133.67	145.53
Tubb3	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.0	0.0	0.36	286.75	2.32	218.95	692.93	113.58	1.01	0.0	2.96	0.0	0.0	12.36	1651.18	735.3	215.32	471.62	618.13	706.12	261.77	1044.9	226.4	0.0	363.46	142.47	469.07	179.28	38.22	467.41	304.97	52.55	0.35	3.92	102.06	136.97	0.0	0.0	485.3	897.41	421.77	450.87	431.96
Tubb5	2.11	1933.51	385.15	0.0	492.25	609.11	2.22	0.37	765.1	1.36	0.0	300.49	279.22	148.5	560.69	99.79	0.22	34.54	3.38	0.59	1.78	13.69	462.66	119.13	78.42	31.91	202.21	368.5	48.81	110.36	229.67	99.47	66.79	61.13	151.58	89.28	0.82	4.04	387.83	14.27	853.8	129.83	121.87	465.38	281.51	0.0	633.92	287.14	373.09	402.5	390.84
Tubg2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28	0.0	0.0	0.0	0.33	0.0	103.22	8.15	0.12	0.0	0.0	1.43	0.0	0.0	0.0	182.95	0.0	51.87	0.0	0.0	22.37	0.0	50.22	6.54	0.0	6.44	0.0	0.28	0.15	0.0	52.83	130.7	4.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	62.61	56.84	60.13	56.52
Uchl1	0.0	0.0	0.0	0.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	71.39	0.14	40.41	73.15	126.49	0.0	0.0	4.53	0.0	0.8	5.67	191.06	85.89	165.93	70.77	102.7	242.86	55.13	155.06	107.63	13.95	186.69	58.07	88.87	57.01	10.75	154.69	109.65	298.86	0.0	0.92	101.01	544.96	0.0	0.0	703.83	419.49	895.01	1014.62	912.5
Uhrf2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	228.49	0.0	0.0	67.27	0.28	0.0	0.0	0.0	0.0	0.71	0.0	0.0	0.0	17.18	1.02	0.0	0.0	0.0	14.99	0.0	0.0	13.02	31.79	1.34	0.0	0.0	9.98	0.05	0.05	5.32	0.34	0.0	0.0	167.52	116.76	0.0	0.0	0.0	21.27	35.57	35.25	33.15
Xrcc4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	998.56	0.0	0.0	0.0	0.0	0.0	0.97	82.39	0.0	0.0	0.0	172.27	0.0	0.0	0.0	74.2	0.0	4.1	0.0	33.51	35.89	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.0	0.0	54.03	0.0	0.78	0.0	0.0	0.53	0.0	0.0	0.0	0.0	0.0	10.89	10.14	9.45
Zdhhc5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.56	0.0	0.0	0.0	0.13	0.0	2.47	16.97	7.04	5.09	0.0	24.6	3.87	0.0	1.04	11.9	0.0	15.73	8.8	3.9	1.31	0.0	4.65	0.07	0.33	0.0	0.05	2.24	7.02	0.0	0.0	75.13	4.4	33.67	29.92	29.42
mt_AK131579	29199.23	30179.68	34292.23	22357.47	32599.4	55662.18	26225.31	24964.5	31931.59	16796.02	32274.66	73067.83	55281.42	56311.06	40069.68	94403.3	29552.38	26979.55	28243.96	19278.68	41195.59	50469.69	19351.84	40349.87	26185.77	34633.84	60705.47	30389.16	56120.42	45312.1	46620.23	28249.04	25680.06	59803.41	36756.3	51796.42	39836.88	44271.34	24161.68	50260.41	29300.66	22735.44	33634.6	24919.03	25837.0	24017.77	31236.77	32711.03	21203.35	20196.08	21406.08
