	Gad2_tdTpositive_cell_44	Nos1_tdTpositive_cell_49	Ntsr1_tdTpositive_cell_49	Ntsr1_tdTpositive_cell_69	Ntsr1_tdTnegative_cell_3	Ntsr1_tdTnegative_cell_16	Ntsr1_tdTnegative_cell_19	Ntsr1_tdTnegative_cell_22	Ntsr1_tdTnegative_cell_23	Ntsr1_tdTnegative_cell_41	Ntsr1_tdTnegative_cell_44	Rbp4_tdTnegative_cell_7	Rbp4_tdTnegative_cell_18	Scnn1a.Tg2_tdTnegative_cell_3	Scnn1a.Tg2_tdTnegative_cell_17	Scnn1a.Tg3_tdTnegative_cell_1	Scnn1a.Tg3_tdTnegative_cell_6	Scnn1a.Tg3_tdTnegative_cell_10	Scnn1a.Tg3_tdTnegative_cell_13	Scnn1a.Tg3_tdTnegative_cell_14	Scnn1a.Tg3_tdTnegative_cell_15	Scnn1a.Tg3_tdTnegative_cell_18	Scnn1a.Tg3_tdTnegative_cell_22	Scnn1a.Tg3_tdTnegative_cell_23	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Snord116l2	0.0	3.47	0.0	4.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.67	1.84	0.0	0.0	1.22	1.15	1.9
Suds3	0.0	1.44	17.57	50.78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	78.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.0	0.0	0.15	8.8	8.19	7.05	8.96	98.23	92.43	94.15
Tm7sf2	0.0	0.0	11.67	162.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.11	31.23	39.08	23.02	23.2	22.0	26.19	23.21
Tnfrsf23	0.0	0.0	0.2	0.58	0.0	0.0	0.34	0.0	0.0	0.0	0.0	0.19	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.29	6.42	0.6	0.42	1.68	1.55	1.71
Tnrc6c	25.95	37.21	17.08	49.72	0.0	9.25	3.59	0.0	14.43	0.87	0.0	0.05	0.0	3.74	2.84	0.0	0.0	0.0	0.0	0.0	0.0	0.23	7.25	0.0	24.61	37.33	15.32	41.05	35.29	39.79	38.65	41.82
Trf	22673.57	0.0	0.0	0.0	18866.76	40934.39	29291.22	16066.88	59004.26	25492.58	28131.18	20574.64	24636.45	15023.9	26091.44	39899.4	24883.01	19181.08	47798.56	67608.53	30444.99	26736.61	25232.5	31832.26	371.67	0.0	0.0	0.0	249.6	219.44	232.71	255.04
Trpc4ap	1.05	6.54	39.19	23.36	0.0	0.0	0.0	20.3	0.18	0.0	0.12	0.07	0.0	9.61	0.0	0.0	194.82	0.0	390.81	0.0	0.0	0.16	0.0	0.0	22.23	12.43	11.79	12.74	16.88	127.08	131.22	130.17
Ube2k	106.77	98.55	0.53	78.6	0.0	3.72	0.0	0.2	0.0	0.0	0.0	0.19	56.45	72.43	0.0	0.0	0.0	0.0	0.0	122.29	0.0	0.0	0.0	0.0	67.22	65.69	65.45	35.89	36.55	61.42	58.79	58.55
Ubn1	0.0	8.07	0.35	53.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.34	0.0	0.0	0.0	7.05	0.0	0.0	0.0	0.0	0.0	0.0	0.61	15.33	10.93	0.63	9.63	7.07	27.68	26.73	27.37
Vipr2	0.13	0.0	0.2	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.57	1.39	1.32
Vkorc1l1	0.0	37.7	2.04	96.19	0.0	0.0	237.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.97	12.79	20.73	9.14	7.09	55.54	56.94	53.04
Vps13a	5.57	5.56	3.5	42.87	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	1.11	0.0	0.0	11.17	11.9	0.0	0.0	0.0	5.55	7.63	3.95	6.24	7.84	19.01	13.64	19.0
Wdr17	0.0	0.62	0.0	156.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	10.22	24.24	5.76	20.12	14.75	25.12	22.97	22.66
Xrn1	8.6	2.94	2.02	155.45	14.27	0.0	0.0	0.0	0.0	49.05	0.0	0.04	0.0	0.08	0.0	0.0	0.0	0.0	154.36	0.0	0.0	0.0	0.0	0.0	14.48	10.47	9.63	15.77	6.68	12.86	10.62	12.98
Yipf6	0.0	0.49	0.0	109.49	0.0	0.0	163.41	0.0	0.0	0.0	0.0	0.05	0.0	0.26	0.0	0.0	182.39	92.14	0.0	0.0	0.0	0.0	322.64	0.0	3.41	8.2	4.07	13.64	16.41	24.09	21.59	23.75
Zfp112	0.0	0.0	0.0	107.14	0.0	0.59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.0	0.0	0.0	11.05	4.74	2.56	6.62	7.69	7.82
Zfp524	0.0	0.0	0.0	97.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.58	0.0	0.0	8.22	0.0	4.29	0.0	4.19	2.6	9.94	10.22	8.19
Zfp768	0.0	0.0	0.0	19.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	11.49	11.46
mt_BC071253	157.86	204.85	0.0	420.09	670.97	377.74	108.38	0.0	86.35	133.3	0.0	12.67	0.0	0.0	0.0	73.17	0.0	212.35	0.0	41.09	123.09	0.0	457.89	68.78	142.52	0.01	190.39	187.35	187.18	640.6	571.28	543.87
