	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_77	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_18	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_40	Gad2_tdTpositive_cell_64	Htr3a_tdTpositive_cell_32	Ndnf_tdTpositive_cell_9	Ndnf_tdTpositive_cell_11	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_40	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_3	Rbp4_tdTpositive_cell_59	Rbp4_tdTnegative_cell_8	Rbp4_tdTnegative_cell_18	Scnn1a.Tg3_tdTpositive_cell_95	Scnn1a.Tg3_tdTnegative_cell_22	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_101	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Rbfox3	8.5	8.63	12.26	0.0	97.77	0.86	123.55	33.13	88.65	0.0	0.0	5.19	2.52	0.04	0.11	2.04	12.3	11.2	20.78	26.2	2.19	11.02	15.92	2.52	6.44	97.54	55.22	0.0	0.08	3.83	0.31	6.01	1.18	5.12	0.39	6.36	3.65	0.09	0.0	83.19	63.68	0.0	60.68	0.0	15.42	14.91	24.95	13.57	0.2	5.28	216.71	228.38	226.62
Rgs7bp	0.58	1.06	0.43	0.0	28.85	100.71	123.92	52.63	84.9	2.73	3.83	1.03	4.23	0.49	0.49	13.63	4.73	11.46	29.27	23.83	11.42	14.41	4.55	4.34	3.97	42.79	66.15	7.66	14.1	0.49	1.67	10.32	0.71	0.46	0.93	7.49	0.6	3.13	1.18	60.62	84.26	0.83	26.39	0.06	25.93	0.15	0.4	6.09	11.89	3.78	124.57	101.66	124.47
Rock2	16.08	4.97	0.0	0.0	128.01	64.05	107.75	98.27	123.19	0.0	0.88	15.72	1.66	2.85	23.84	0.15	37.23	10.65	29.49	26.69	2.68	21.22	8.46	4.92	5.75	125.34	57.93	14.73	10.8	19.86	3.37	1.07	3.98	13.99	0.47	22.46	20.43	3.64	0.0	76.02	72.59	0.0	17.21	0.0	26.42	35.73	21.93	13.55	21.76	9.64	81.62	63.9	79.25
Sbno1	22.1	42.17	60.72	0.0	1.55	72.88	161.25	42.98	57.53	12.54	0.0	21.01	0.32	11.99	29.5	17.01	22.28	28.9	23.88	12.42	33.86	21.3	64.67	21.9	18.87	54.02	64.53	34.21	17.94	41.61	5.75	57.0	17.47	24.15	20.76	37.02	49.74	13.51	1.05	11.04	96.24	0.0	21.67	0.07	13.13	23.76	34.22	18.05	37.59	14.36	46.85	42.42	47.03
Sema3c	0.0	0.0	0.0	0.0	160.73	88.02	51.95	105.14	139.97	0.0	12.5	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.88	66.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.41	14.04	14.1
Setd3	25.38	153.73	88.76	0.0	143.76	111.78	58.56	71.84	119.16	0.0	0.0	12.9	14.49	37.85	53.4	70.04	6.15	48.5	0.57	0.0	73.31	63.92	26.47	0.0	138.65	105.35	75.06	33.16	95.66	34.86	0.0	39.93	45.16	59.36	26.38	25.02	33.42	0.0	0.93	124.51	59.45	0.0	74.47	0.0	148.56	35.1	1.51	34.23	0.7	97.3	146.71	143.74	145.47
Slc24a3	45.46	130.86	0.15	0.0	48.88	0.43	192.98	48.3	134.17	0.0	0.0	16.04	12.3	58.98	0.92	55.11	1.81	17.12	45.82	27.53	12.95	9.07	37.31	19.96	2.02	1.49	45.76	9.01	0.07	29.0	141.91	75.19	2.61	0.0	18.28	1.6	2.56	22.18	0.0	80.14	80.85	0.0	204.11	0.0	0.17	32.22	2.65	1.74	23.86	62.43	102.8	101.41	101.16
Smg1	10.4	2.55	24.24	0.0	0.0	2.4	2.89	42.44	18.29	0.0	0.03	0.74	6.54	17.57	14.94	4.81	3.82	1.34	9.09	1.51	0.29	1.64	6.44	9.71	15.96	3.63	10.0	9.98	1.06	5.33	8.47	3.88	15.58	1.54	9.1	4.13	9.77	8.14	0.0	7.0	10.35	0.71	6.14	0.0	1.92	7.86	0.59	9.34	5.17	0.62	45.02	36.92	47.73
Snap91	146.95	28.07	80.63	0.0	222.5	166.59	212.31	159.28	96.3	0.0	0.0	77.73	55.39	53.88	59.0	4.04	78.32	64.19	71.94	66.46	123.37	86.82	64.74	98.59	84.7	21.3	82.12	33.6	31.28	89.85	48.38	72.5	92.62	78.8	20.49	43.67	17.51	34.81	0.0	126.39	230.0	0.0	241.73	19.6	51.8	114.46	94.6	143.33	89.88	8.46	254.03	253.8	241.24
Snx7	0.0	0.0	0.0	0.0	54.69	69.37	79.49	154.59	72.99	0.0	0.0	0.0	0.04	0.0	0.0	0.0	4.05	0.0	0.0	0.0	0.0	0.0	5.59	0.0	0.0	162.82	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.94	0.0	23.89	0.46	0.0	0.0	0.0	0.05	18.29	20.5	16.63
St13	50.07	47.52	29.94	0.0	103.79	112.89	150.5	267.49	120.14	0.0	0.0	47.71	25.68	68.98	11.65	93.78	39.64	13.88	6.9	56.04	27.91	14.7	33.43	54.06	42.16	30.33	172.14	54.74	33.17	34.6	139.14	36.2	50.77	65.21	68.94	5.82	75.45	21.62	37.46	14.03	102.89	0.0	28.25	0.22	82.3	19.33	89.37	10.93	47.23	45.89	141.08	140.69	138.58
Stk11ip	0.71	0.0	0.06	0.0	54.9	0.0	7.49	53.89	0.11	0.0	0.0	0.2	0.02	0.03	0.04	24.04	0.03	0.0	0.0	4.72	0.17	0.08	0.0	0.0	0.0	0.0	1.79	0.0	0.01	30.76	40.78	0.0	0.37	0.0	0.07	0.0	11.47	0.71	0.0	0.17	48.68	0.0	0.43	0.0	0.89	0.0	0.0	0.79	0.27	10.46	22.95	24.4	24.19
Syn2	352.96	100.1	147.37	0.0	420.12	259.86	528.93	298.3	225.59	0.0	0.0	234.46	169.2	14.71	139.66	64.62	124.7	125.14	83.98	133.31	52.18	63.4	65.04	70.85	160.98	97.6	99.16	134.37	104.97	100.18	70.81	12.44	51.32	230.18	99.26	49.87	83.18	59.41	0.0	250.05	253.06	0.0	236.73	0.0	147.12	136.4	43.18	181.79	206.75	113.48	385.63	397.76	386.53
Syp	394.35	504.38	268.08	0.0	760.02	716.93	883.97	626.41	203.67	0.0	0.0	279.48	423.29	233.55	357.64	259.95	366.53	273.06	353.18	358.08	361.65	299.35	283.21	346.52	433.22	405.97	261.52	220.61	359.99	235.57	84.63	228.54	303.58	221.95	112.69	235.16	370.15	169.14	0.0	469.62	898.17	0.0	1178.61	0.0	237.3	348.86	274.52	209.77	259.66	368.79	1149.48	1186.08	1128.2
Tceal8	86.11	72.08	96.79	0.0	176.94	184.55	212.2	324.9	264.21	3.18	0.41	147.94	36.32	67.09	17.26	28.06	150.86	46.5	78.31	120.03	101.76	40.96	69.21	0.0	120.1	197.17	174.79	0.29	66.58	0.29	73.54	35.52	46.81	44.79	152.66	0.17	19.7	46.15	0.0	92.18	42.61	0.0	112.37	0.18	134.57	0.23	17.01	61.87	40.72	26.21	35.8	38.77	35.37
Tnpo1	1.41	0.0	0.0	0.0	32.18	0.0	18.02	0.0	8.04	0.0	23.19	0.0	5.81	0.0	0.0	0.27	0.02	0.0	0.0	5.67	0.0	3.13	0.06	0.1	0.0	0.0	46.01	0.0	0.52	0.0	0.0	0.0	1.65	0.0	0.05	0.0	0.0	1.71	0.0	1.83	0.19	0.0	4.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.68	24.03	28.16
Tsc22d1	90.25	100.87	62.47	0.0	895.53	504.72	881.03	1150.31	785.65	0.0	317.27	113.37	76.34	106.3	30.42	50.78	65.3	48.67	52.4	163.29	68.75	86.47	100.46	67.33	67.34	213.92	863.04	173.33	399.81	142.03	1.02	0.0	104.2	57.0	125.27	158.38	81.28	211.39	0.0	256.25	115.93	0.0	240.9	0.0	61.9	115.38	100.37	72.96	96.87	209.22	468.35	489.61	431.55
Ttc39b	0.07	0.06	2.76	0.0	1.61	101.34	123.13	40.73	15.2	0.0	0.05	0.17	0.1	0.32	0.09	18.19	0.29	0.09	20.98	17.95	0.16	0.29	0.08	0.16	0.1	1.25	22.01	20.59	7.05	18.11	0.27	1.33	5.51	0.16	0.12	31.58	3.43	11.75	0.06	36.35	36.94	0.14	40.42	0.0	0.05	0.23	0.04	0.03	8.05	8.77	32.36	26.13	30.71
Unc13a	2.93	3.96	10.57	0.0	1.96	5.44	17.91	1.39	3.93	0.0	0.0	1.51	2.34	2.37	4.43	17.28	4.18	7.76	1.92	4.2	6.54	4.16	4.86	3.1	3.48	6.7	4.01	4.67	4.16	0.79	7.39	6.16	9.15	1.82	2.95	4.73	5.98	1.92	0.0	3.32	20.83	0.0	21.02	0.0	1.67	4.11	3.88	8.35	2.18	2.67	173.28	162.24	184.32
Unc5c	10.38	2.68	0.0	0.0	28.15	13.29	63.65	80.1	27.42	0.0	0.0	0.0	0.01	0.0	7.23	2.28	0.0	0.0	0.92	0.03	0.21	0.0	0.0	1.55	0.03	29.71	30.67	0.07	0.0	29.82	4.21	0.16	11.65	7.57	0.15	0.0	0.13	2.09	5.12	6.92	0.55	0.0	19.54	0.0	0.0	12.99	0.03	0.45	14.45	0.0	13.18	13.74	14.31
Vamp2	150.42	128.67	218.76	0.0	375.11	444.7	526.41	262.25	193.94	0.0	0.0	70.74	162.22	124.47	8.43	121.5	118.95	119.52	191.3	258.31	159.89	130.07	58.21	266.88	188.18	127.98	129.86	152.42	114.84	168.82	93.11	78.64	125.55	138.45	87.45	90.41	78.51	91.21	0.0	412.76	688.94	0.0	759.83	0.0	139.25	96.52	128.15	106.73	154.62	93.42	1049.62	1054.48	1042.78
Ypel3	22.39	81.48	0.0	0.0	171.34	58.29	259.43	0.0	133.2	0.0	0.0	0.0	41.75	16.68	85.75	38.92	32.73	30.85	0.0	11.14	22.04	1.77	34.99	6.77	63.65	77.72	0.0	30.37	23.1	50.0	75.88	6.69	0.0	0.0	37.39	34.38	0.52	7.56	0.0	86.11	572.29	0.0	81.48	0.0	47.71	1.92	30.64	0.72	0.0	41.24	295.93	344.58	318.07
Ywhab	361.0	179.26	177.42	0.0	400.09	289.36	678.48	452.78	395.28	0.0	0.0	244.36	99.42	150.19	308.57	214.78	449.1	176.51	145.36	169.29	181.97	161.36	157.61	201.0	126.02	257.94	408.71	172.37	235.61	283.76	159.86	196.86	146.13	144.97	198.77	201.47	181.84	368.84	0.0	304.52	394.58	0.0	516.0	17.33	253.17	197.13	193.32	271.93	209.12	247.71	562.59	561.18	533.71
Zcchc6	0.0	3.29	6.06	0.0	66.11	0.0	17.98	0.0	1.22	0.0	0.0	0.0	0.0	17.48	0.0	0.0	1.68	18.22	0.0	0.05	0.0	19.56	0.91	13.94	0.0	6.82	0.0	18.06	0.0	0.0	0.04	0.0	4.72	0.0	0.0	5.7	0.03	0.0	0.0	7.17	0.0	0.0	11.89	0.0	6.74	0.0	0.48	0.0	17.63	0.0	30.73	27.71	31.01
Zfp869	36.54	58.79	35.66	0.0	147.74	0.07	0.0	71.53	0.32	0.0	0.0	0.0	0.05	0.0	0.05	55.85	0.11	5.93	0.0	0.0	3.52	35.42	0.0	3.0	35.54	41.61	0.16	0.0	0.0	0.0	0.0	0.0	48.38	15.04	0.94	0.0	42.27	0.08	0.0	38.78	22.52	0.0	9.89	0.0	34.31	0.0	0.0	0.0	45.52	0.28	22.33	22.06	20.49
Zkscan3	32.31	1.05	0.92	0.0	147.64	90.87	33.27	204.76	65.93	0.0	0.0	0.32	0.0	0.0	0.92	0.0	0.0	1.17	0.96	16.88	0.0	27.92	38.71	0.0	0.0	82.65	0.2	1.24	0.0	0.0	0.0	1.67	2.54	0.0	0.0	0.0	0.0	0.0	7.44	1.32	8.72	0.0	43.59	0.0	0.0	0.0	0.0	40.61	16.26	0.0	25.68	23.25	24.03
Zswim6	7.89	0.0	0.0	0.0	2.98	0.0	22.84	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.23	0.0	0.0	6.33	24.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	7.78	0.0	11.5	0.0	0.0	10.95	0.0	0.0	0.0	2.67	17.74	17.91	16.61
