	Chrna2_tdTpositive_cell_51	Chrna2_tdTpositive_cell_56	Ctgf_tdTpositive_cell_12	Ctgf_tdTpositive_cell_13	Ctgf_tdTpositive_cell_14	Ctgf_tdTpositive_cell_19	Htr3a_tdTpositive_cell_79	Htr3a_tdTpositive_cell_96	Htr3a_tdTpositive_cell_106	Htr3a_tdTpositive_cell_123	Ntsr1_tdTpositive_cell_20	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_42	Ntsr1_tdTpositive_cell_43	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_49	Ntsr1_tdTpositive_cell_51	Ntsr1_tdTpositive_cell_52	Ntsr1_tdTpositive_cell_68	Ntsr1_tdTpositive_cell_69	Ntsr1_tdTpositive_cell_70	Rbp4_tdTpositive_cell_77	Rbp4_tdTpositive_cell_97	Rbp4_tdTpositive_cell_125	Rbp4_tdTpositive_cell_135	Rbp4_tdTpositive_cell_154	Rbp4_tdTpositive_cell_171	Rbp4_tdTpositive_cell_180	Slc17a6_tdTpositive_cell_24	Vip_tdTpositive_cell_69	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_1	CAV_LP_Ipsi_tdTpos_cell_19	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_32	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Gpr173	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.43	0.0	0.0	37.44	0.0	0.0	0.0	0.0	1.22	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.53	0.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.2	9.13	9.96
Gpr4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53.73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.77	0.0	0.12	0.0	6.85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.79	3.01	3.32	3.56
Grin3a	0.0	0.05	0.0	0.0	0.0	6.12	8.76	0.0	48.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.67	16.34	17.57
Gss	95.55	0.0	0.0	0.0	0.0	0.0	94.72	65.78	195.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.0	0.0	0.0	0.0	0.57	0.0	0.0	154.55	44.31	0.0	0.0	0.0	0.0	2.22	0.0	35.74	16.17	11.58	13.79	33.84	7.12	8.71	10.48	13.6	0.0	0.0	103.36	0.0	0.0	0.0	18.44	0.0	35.54	0.0	17.06	18.14	19.25
Hao1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.09	0.05
Heatr5b	2.07	0.0	0.0	5.93	13.42	18.38	6.87	0.1	47.81	0.05	0.0	0.0	3.13	0.04	0.18	0.0	0.0	31.89	0.0	43.21	0.0	0.0	1.97	0.88	8.21	0.0	39.17	0.0	0.78	75.47	6.57	4.19	5.0	6.35	3.94	4.71	7.57	0.82	3.86	3.09	3.37	27.17	0.0	0.13	0.04	12.18	5.47	0.05	0.0	30.57	25.73	24.21	25.56
Herc2	2.0	5.63	7.24	28.67	6.66	8.75	20.94	12.04	82.07	26.07	50.36	1.41	14.29	0.0	14.58	12.05	0.36	23.65	25.92	29.74	5.2	29.88	15.96	39.61	31.36	21.2	17.69	22.01	16.39	28.76	0.0	18.06	8.55	17.0	11.26	14.3	6.76	13.74	11.7	12.4	1.39	8.85	3.37	16.99	26.42	17.97	31.13	14.65	9.25	3.53	67.41	63.82	69.15
Hhla1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.09
Hnf1a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.15	0.06
Il13ra1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.94	4.1	4.6
Il20ra	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	67.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9	0.98	0.49
Itch	0.0	0.0	20.64	18.86	8.06	0.0	1.74	0.0	99.32	0.0	0.0	0.0	0.0	15.32	9.79	0.81	0.0	27.86	0.0	0.52	0.0	1.87	2.85	0.0	12.0	0.0	0.13	1.05	0.43	2.34	50.24	15.79	13.52	8.47	6.93	12.21	15.82	7.84	16.24	16.66	10.31	12.78	0.98	0.05	21.3	1.41	3.95	0.0	0.0	0.67	35.41	32.79	34.93
Kcnh6	0.0	0.0	0.0	12.09	0.0	0.0	0.0	0.0	18.74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.24	0.0	1.73	0.0	0.12	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.73	1.89	2.07
Kcnk9	0.0	0.0	0.46	0.0	3.32	0.0	0.0	0.0	10.02	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.31	0.0	1.8	0.0	0.0	0.0	0.3	1.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.91	40.93	50.68
Lpin2	0.18	1.24	46.15	8.12	16.92	19.03	6.76	1.2	29.95	22.25	0.0	0.0	0.0	0.05	0.0	0.06	0.0	3.15	0.0	69.29	22.73	10.72	0.0	0.06	35.49	0.0	6.2	14.54	0.26	5.43	0.0	22.09	19.2	10.1	16.17	13.98	11.29	15.66	18.22	22.71	0.0	0.04	0.0	0.05	0.0	0.06	4.17	0.0	3.2	34.68	43.15	40.85	39.03
Mcat	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.0	100.34	2.2	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.24	0.0	0.0	0.0	0.0	39.64	0.0	0.0	0.0	0.0	0.0	14.6	1.65	0.26	0.0	1.65	4.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.77	20.14	19.87
Mchr1	0.19	0.0	3.91	0.0	0.0	0.0	37.13	12.51	194.31	84.43	0.0	0.0	0.0	0.0	68.46	177.02	0.0	0.0	0.0	0.0	0.0	181.71	0.0	0.0	0.11	0.0	0.0	0.0	0.78	38.09	0.0	17.45	12.0	31.57	4.5	16.59	0.0	7.53	11.54	7.18	0.0	0.0	0.0	0.0	37.78	0.0	0.0	0.0	0.0	0.92	22.39	23.39	22.83
Mettl8	0.0	61.03	0.0	0.0	49.85	0.99	0.0	40.5	7.49	0.0	0.0	0.0	0.0	0.0	0.0	2.38	0.7	0.0	0.0	0.0	0.0	136.09	0.0	0.0	34.91	0.21	88.19	0.45	0.0	14.59	0.0	16.56	21.56	0.0	12.59	10.26	8.11	14.35	13.5	14.72	47.97	29.79	0.0	0.15	0.0	0.0	0.23	0.0	0.0	38.77	12.4	12.93	14.73
Morc3	0.05	34.04	39.69	27.08	33.35	12.15	3.74	0.54	56.5	3.46	0.0	0.0	51.75	0.06	13.57	10.94	16.92	50.64	20.27	39.24	0.0	39.05	0.0	0.0	7.59	0.0	112.52	0.0	0.13	0.0	0.0	14.58	29.16	12.43	7.86	13.05	27.49	3.61	23.03	24.0	24.68	12.11	0.0	0.0	6.57	0.0	0.0	1.08	0.23	0.0	16.61	15.67	15.45
Mrc2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.05	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.82	4.74	3.02
Mtmr10	0.0	0.0	17.68	28.78	2.44	13.64	7.41	11.59	43.19	0.06	0.0	0.0	0.0	0.0	0.0	0.0	2.87	29.46	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.47	0.82	0.22	0.45	0.59	0.05	0.11	1.11	1.98	0.0	0.0	0.0	3.01	1.33	35.65	0.0	0.0	0.0	12.33	11.13	12.35	11.92
Mtmr9	0.26	0.0	9.36	0.0	27.62	0.0	30.07	0.0	36.16	0.0	0.0	1.1	0.0	0.0	0.0	0.0	10.53	0.0	20.4	0.0	0.0	2.77	0.0	2.14	2.68	0.0	0.0	0.0	0.0	0.0	0.0	4.14	5.67	19.76	10.41	15.15	13.37	0.99	12.76	4.77	30.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	73.44	71.47	77.25
Myo1c	0.93	0.15	0.34	0.38	1.35	0.6	0.64	0.87	1.44	1.42	0.27	0.76	0.66	0.1	1.05	0.22	0.5	0.34	0.6	8.27	0.61	1.49	0.69	0.83	1.11	0.6	1.07	0.81	1.92	0.66	0.41	0.72	0.88	1.27	1.54	1.34	1.05	4.53	2.97	2.72	1.16	1.21	0.0	0.63	0.59	0.24	0.48	1.24	0.09	0.33	11.94	10.43	9.49
Mzf1	0.0	0.0	0.0	0.0	0.0	1.42	21.95	0.0	42.89	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	18.67	0.0	4.65	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	2.11	0.0	2.46	2.19	1.57	0.59	0.0	21.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.24	6.89	7.69
Nanos2	1.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	97.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.67	1.63	1.08
Nespas	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.09
Nkx6-3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.09
Ormdl1	0.0	0.0	0.0	0.0	43.31	0.0	0.0	0.0	285.73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.59	0.0	0.0	0.0	46.07	0.0	303.68	0.0	0.0	0.0	0.0	13.41	0.0	27.71	44.21	9.75	10.14	21.97	31.46	15.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.74	9.58	10.11
Parp16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.16	0.0	0.0	0.0	2.19	0.0	3.03	1.53	1.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.18	3.45	3.9
Pcdha1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.64	38.74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.75	0.0	4.58	0.0	1.3	1.51	0.0	1.48	0.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.49	1.67	1.69
Pcdha4-g	0.0	0.0	0.0	0.26	0.0	0.0	0.0	0.0	16.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.84	1.36	2.18
Pcp4	4955.04	3507.11	3820.49	3360.37	4639.95	4871.0	4036.12	5130.46	3629.17	3389.89	7467.74	5853.47	6240.76	5326.1	6808.32	7407.1	6583.41	4322.71	5620.14	3006.03	1998.8	2999.77	872.1	3581.8	3666.35	3514.04	2759.62	2779.19	4470.96	7030.52	5492.66	4246.61	4480.25	4373.65	4108.26	4928.48	3901.08	5219.57	3442.63	3306.12	7638.97	4439.21	4654.82	6941.16	7178.2	5557.87	6670.6	6291.11	8685.7	6217.49	788.83	807.59	741.11
Pde1b	0.0	0.0	47.17	4.2	4.33	1.69	108.16	3.88	39.92	105.73	0.0	0.0	0.0	2.27	0.0	2.26	0.0	27.36	40.11	0.0	0.0	4.09	0.0	0.0	14.48	0.0	0.0	0.0	0.77	2.37	0.0	7.2	2.42	5.05	5.37	3.49	17.1	8.95	7.56	3.29	0.0	0.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	245.53	258.71	247.87
Peg12	0.0	0.0	0.22	0.0	0.0	0.28	0.0	0.0	2.93	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.07	0.24
Phldb2	0.0	0.0	0.88	0.0	0.0	0.0	0.0	0.0	71.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.25	3.4	4.2
Pigb	0.0	0.0	0.0	0.36	0.0	0.0	0.0	0.0	80.03	41.73	0.0	0.0	0.0	0.0	1.24	62.54	0.0	26.3	0.0	0.0	17.51	0.0	20.43	0.0	0.0	0.0	17.89	0.0	14.94	16.83	0.0	7.77	1.03	5.31	1.52	14.65	1.78	17.2	9.09	7.28	0.0	0.0	0.0	0.0	11.36	69.5	0.0	0.0	0.0	0.0	10.57	8.7	10.33
Ptger2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.22	0.13
Ptgir	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.03	0.12
Ptpn13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.38	0.0	0.0	0.0	0.0	1.65	0.0	0.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.45	6.34	6.4
Ptpn14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.73	5.05	5.09	5.53
Qrfp	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.06	0.14
Rab3d	0.15	0.0	0.16	0.28	0.51	0.16	0.57	0.9	77.82	0.29	0.79	0.64	68.92	0.16	1.18	0.39	0.0	0.46	0.11	0.97	0.6	2.1	9.51	0.16	0.43	1.07	0.52	0.98	0.94	0.18	1.19	1.28	0.09	0.58	0.68	0.36	2.95	4.68	2.35	0.77	0.45	0.89	0.0	0.06	0.36	0.53	0.57	0.11	0.38	0.74	9.53	10.1	9.83
Rabep2	0.0	0.0	0.48	0.0	0.0	18.46	1.47	0.0	62.26	0.0	0.0	41.07	0.0	0.0	1.22	0.0	0.0	0.43	0.0	0.0	0.0	0.0	1.99	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.64	0.0	7.37	6.13	0.0	2.92	2.18	1.36	2.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.77	11.34	10.72
Rarg	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.92	0.0	0.0	0.0	0.67	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.96	10.44	8.04
Rbm44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.03
Rchy1	2.23	0.1	33.29	5.61	3.23	93.25	130.08	13.26	183.04	16.07	5.2	1.25	1.94	79.77	2.51	73.95	17.03	22.75	0.85	8.8	22.38	5.74	34.95	14.1	31.44	65.42	3.94	2.81	28.14	3.31	3.43	25.53	34.08	15.48	27.68	7.87	31.96	49.82	25.8	26.79	11.55	107.86	1.83	87.0	0.84	2.11	5.81	6.85	0.81	14.66	35.69	36.47	35.08
Ripk4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.44	0.31	0.29
Rtkn2	0.3	0.19	0.97	1.18	1.26	0.4	0.45	0.37	2.92	1.1	1.56	2.11	1.02	0.19	1.4	0.29	0.28	2.28	0.79	2.02	0.41	1.05	0.9	1.08	0.51	0.76	0.55	0.73	1.66	1.18	2.11	1.46	1.78	1.11	0.79	0.45	1.13	1.12	2.44	2.26	0.79	0.37	0.77	1.27	0.26	0.6	1.95	2.25	0.8	1.0	2.53	2.53	2.61
Sbf1	0.0	0.0	0.1	0.0	0.09	1.89	0.0	0.31	24.54	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.64	0.0	2.08	0.0	4.68	0.0	0.0	0.0	1.31	0.05	18.97	25.64	16.59	0.0	5.72	4.06	6.88	3.77	4.86	6.46	2.4	4.61	2.99	0.0	0.11	0.0	8.99	0.0	0.0	0.0	0.0	0.0	2.15	87.42	87.58	93.92
Sdk2	0.0	0.0	9.27	8.89	0.5	3.27	0.0	7.59	38.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.55	11.82	1.58	0.06	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	1.59	0.21	0.17	0.35	0.19	0.22	1.0	0.1	0.16	0.0	0.0	0.0	0.0	0.0	0.0	8.88	0.0	0.0	0.0	8.94	6.94	9.41
Sec22c	0.31	0.1	0.93	1.67	0.06	2.46	4.1	0.36	11.73	0.74	0.16	0.13	0.17	1.04	0.58	0.11	0.22	0.39	0.48	1.17	0.64	0.3	0.35	0.0	0.18	0.24	0.19	1.97	1.23	20.28	0.31	0.59	2.64	2.84	1.28	2.73	1.62	4.92	4.91	3.11	1.68	0.13	1.05	1.86	0.0	0.38	0.79	0.24	0.05	0.25	22.99	22.86	22.18
Serpinb6b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.55	0.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.05	1.52	0.88
Slx1b	2.31	0.78	6.33	5.07	10.09	6.32	5.11	4.58	83.78	6.42	5.92	1.21	3.43	4.09	3.93	7.69	22.03	5.42	5.97	15.67	23.14	7.72	3.2	4.56	4.8	7.95	29.38	6.72	13.74	5.32	6.34	15.52	17.89	14.43	8.57	6.2	12.62	9.51	8.24	9.93	3.73	5.07	2.61	5.19	4.7	4.43	4.22	2.48	2.58	24.29	11.47	12.34	10.57
Snap29	0.18	0.0	0.0	0.0	3.4	0.0	7.06	0.0	54.57	0.18	0.0	0.0	0.0	1.09	0.0	0.0	0.0	0.0	0.0	3.12	0.0	0.11	0.0	0.0	8.04	0.0	0.0	0.0	11.52	3.56	0.0	2.99	0.83	10.84	10.78	1.05	0.64	0.35	6.59	5.54	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	22.72	20.53	17.65
Spast	8.69	0.0	3.46	6.42	0.82	29.38	25.74	33.91	39.36	46.98	0.0	2.71	0.0	0.0	5.13	0.0	0.0	0.0	0.0	0.0	71.99	56.49	0.0	84.14	44.08	0.0	62.97	0.0	66.05	0.0	0.0	17.56	2.49	8.44	16.96	5.28	0.83	8.64	11.05	8.21	21.94	0.0	0.0	0.0	0.0	0.06	0.0	0.06	0.0	0.0	35.91	36.22	33.42
Spc25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	68.95	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.89	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.52	1.05	1.61
Spock2	0.0	0.0	22.73	36.82	12.1	26.29	8.91	9.82	28.21	27.85	0.44	7.43	0.0	5.5	21.3	2.94	3.7	10.72	60.95	53.35	3.89	1.37	0.11	18.44	23.21	5.73	5.24	0.78	1.46	38.83	1.79	13.11	17.91	16.01	30.49	7.26	17.05	10.82	11.86	15.34	1.89	13.0	4.93	0.64	2.01	4.21	0.11	0.08	10.68	1.66	393.08	392.03	397.52
Tab3	0.0	0.06	26.41	2.57	0.17	12.3	0.0	11.86	53.79	0.0	0.0	0.0	15.15	0.0	0.0	0.0	0.0	0.0	0.0	0.44	0.0	0.0	0.0	0.0	0.04	0.0	0.05	13.79	0.0	0.0	0.0	4.79	3.94	1.83	0.79	0.04	2.87	0.03	1.98	4.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.86	0.04	0.0	11.96	9.75	10.57
Tdgf1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.52	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.57	0.39	0.8
