	Calb2_tdTpositive_cell_23	Calb2_tdTpositive_cell_27	Calb2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_14	Chrna2_tdTpositive_cell_22	Chrna2_tdTpositive_cell_24	Chrna2_tdTpositive_cell_51	Chrna2_tdTpositive_cell_72	Cux2_tdTnegative_cell_16	Htr3a_tdTpositive_cell_95	Ndnf_tdTpositive_cell_2	Nos1_tdTpositive_cell_34	Nos1_tdTpositive_cell_38	Nos1_tdTpositive_cell_42	Nos1_tdTpositive_cell_46	Nos1_tdTpositive_cell_49	Nos1_tdTpositive_cell_59	Nr5a1_tdTpositive_cell_31	Ntsr1_tdTpositive_cell_14	Ntsr1_tdTpositive_cell_71	Ntsr1_tdTnegative_cell_19	Ntsr1_tdTnegative_cell_22	Ntsr1_tdTnegative_cell_37	Ntsr1_tdTnegative_cell_44	Rbp4_tdTpositive_cell_1	Rbp4_tdTpositive_cell_3	Rbp4_tdTpositive_cell_47	Rbp4_tdTpositive_cell_56	Rbp4_tdTpositive_cell_62	Rbp4_tdTpositive_cell_65	Rbp4_tdTpositive_cell_71	Rbp4_tdTpositive_cell_98	Rbp4_tdTpositive_cell_99	Rbp4_tdTpositive_cell_105	Rbp4_tdTpositive_cell_108	Rbp4_tdTpositive_cell_123	Rbp4_tdTpositive_cell_132	Rbp4_tdTpositive_cell_142	Rbp4_tdTpositive_cell_153	Rbp4_tdTpositive_cell_155	Rbp4_tdTpositive_cell_161	Rbp4_tdTpositive_cell_162	Rbp4_tdTpositive_cell_171	Rbp4_tdTpositive_cell_172	Rbp4_tdTnegative_cell_1	Rbp4_tdTnegative_cell_12	Rbp4_tdTnegative_cell_15	Rbp4_tdTnegative_cell_18	Rorb_tdTpositive_cell_20	Rorb_tdTpositive_cell_30	Rorb_tdTpositive_cell_31	Rorb_tdTpositive_cell_40	Scnn1a.Tg3_tdTpositive_cell_15	Scnn1a.Tg3_tdTpositive_cell_94	Scnn1a.Tg3_tdTpositive_cell_103	Scnn1a.Tg3_tdTnegative_cell_13	Scnn1a.Tg3_tdTnegative_cell_15	Scnn1a.Tg3_tdTnegative_cell_19	Scnn1a.Tg3_tdTnegative_cell_23	Slc17a6_tdTpositive_cell_23	Sst_tdTpositive_cell_83	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_27
Rab1	103.15	8.59	163.23	0.36	29.7	23.1	4.3	107.38	234.74	82.23	66.46	106.72	140.11	222.82	159.58	169.04	26.27	343.36	180.62	217.49	0.42	7.5	81.07	0.13	110.66	115.2	116.2	24.4	42.01	190.77	175.42	144.7	347.75	164.9	205.89	177.62	104.91	160.47	156.68	284.96	110.89	301.77	227.6	60.47	87.25	0.09	0.32	9.65	75.92	138.16	118.54	219.37	50.56	265.86	44.0	1.43	63.59	2.5	0.6	55.11	28.82	33.5	256.23	134.83	107.36
Scn1a	86.14	0.0	50.74	12.38	84.62	39.43	2.05	0.7	0.98	163.61	9.06	16.82	42.48	52.88	22.34	36.94	25.42	126.14	115.0	52.21	0.0	0.0	163.59	0.0	144.82	67.65	58.88	19.38	10.94	64.71	85.12	166.56	11.26	29.25	33.52	20.8	17.94	74.17	58.12	67.37	5.81	43.76	55.03	35.88	0.03	0.0	0.0	0.0	6.0	195.91	111.57	43.32	94.64	114.1	39.97	0.0	0.0	0.0	0.0	106.91	29.57	2.31	4.06	60.38	22.93
Sgsm1	165.58	112.96	3.09	2.06	35.8	35.6	3.33	161.99	27.27	9.89	15.99	7.52	9.63	57.19	85.5	4.03	9.35	115.09	81.32	74.61	0.77	4.95	8.79	0.0	34.53	2.86	6.16	45.74	3.89	38.71	74.15	6.14	8.22	1.0	1.15	15.65	31.23	65.4	58.01	20.21	74.26	6.0	5.12	66.15	10.35	2.48	2.61	8.34	198.51	29.8	10.07	7.25	192.67	103.13	12.13	3.08	1.26	0.95	4.12	9.34	34.27	2.61	21.08	6.21	1.36
Stmn1	9039.94	10414.48	10776.66	5322.2	7039.23	7917.21	10587.49	9820.07	11391.73	10788.4	10862.63	6886.47	8302.76	6862.48	7638.5	8959.67	7426.91	9729.87	12096.72	6491.76	4460.98	2673.53	9462.09	10015.46	9224.38	10267.64	7764.43	8519.23	8517.86	7226.24	6754.57	8486.8	8003.8	6737.73	6896.85	13005.25	6908.4	6994.08	7299.92	6906.42	11961.92	7001.66	7015.97	8047.45	4977.06	5457.92	5765.28	6980.74	6991.72	8042.85	10665.83	7388.93	7564.75	6242.0	8251.97	6841.51	4131.14	5307.39	3112.47	10788.95	7791.07	10789.21	12161.23	10051.01	11287.74
Stxbp5l	33.7	0.05	26.31	0.03	7.67	23.37	0.05	12.92	20.32	3.36	24.84	16.95	4.93	2.2	0.13	5.22	12.12	97.24	23.55	64.52	0.0	0.14	85.37	0.17	5.29	60.26	23.96	12.28	23.75	11.38	104.43	25.53	0.08	0.18	13.47	0.44	7.48	46.78	64.06	53.26	3.21	9.24	27.91	74.49	0.2	0.0	0.37	0.14	2.64	19.97	34.46	10.66	67.71	28.36	39.4	0.0	0.04	0.0	0.0	0.37	3.84	28.37	38.18	57.2	8.27
Tbr1	4.36	0.0	162.87	0.0	11.63	11.02	18.59	107.04	0.0	0.0	3.55	24.4	14.35	58.44	63.11	24.3	40.29	79.65	0.0	78.66	0.0	0.0	61.61	0.0	78.13	3.28	0.0	27.85	66.58	0.0	18.81	31.59	2.19	50.1	14.24	0.0	0.78	3.08	1.08	0.0	1.15	0.29	24.09	1.55	0.0	0.0	0.0	0.0	0.0	110.41	30.9	0.67	118.93	15.86	147.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.34	43.87	78.61
Thy1	0.9	154.99	67.96	0.43	51.55	56.07	99.73	45.06	28.78	45.57	8.7	44.39	207.96	194.54	54.31	108.54	32.75	173.78	38.26	27.07	0.0	0.29	2.54	0.0	174.85	110.27	119.44	88.91	148.39	93.62	57.71	150.95	50.3	66.28	134.33	121.32	132.97	54.81	22.39	89.85	1.11	35.58	100.64	102.93	0.14	0.0	0.0	0.0	39.3	253.54	167.27	113.0	1.8	41.55	61.21	0.0	0.0	0.0	0.0	11.41	52.16	122.34	45.79	1.38	50.4
Tmem183a	0.0	0.0	0.0	0.0	0.0	3.18	0.0	27.34	0.0	0.0	57.41	0.0	108.69	0.0	0.0	0.0	0.0	115.61	0.44	0.0	0.0	0.0	157.23	0.0	0.0	0.44	0.0	1.25	0.4	11.21	58.38	0.0	0.0	12.54	73.37	0.0	0.0	87.65	0.0	0.0	130.61	25.91	23.84	93.43	0.0	0.0	0.0	0.0	0.0	8.07	8.86	0.08	0.0	0.11	0.32	0.0	0.0	0.0	0.0	0.0	0.1	0.0	12.03	0.0	10.72
Tmem93	0.0	0.0	0.0	0.0	0.25	0.27	0.0	0.0	3.11	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	48.29	0.0	0.0	0.0	0.0	11.93	0.0	0.0	0.0	0.0	4.49	0.0	0.0	0.0	0.0	0.0	3.4	21.62	0.57	0.0	0.0	0.5	0.0	0.0	0.22	57.16	0.23	0.0	0.0	0.0	0.0	0.0	19.23	0.0	0.0	0.0	5.46	0.0	0.0	0.0	0.0	0.0	0.0	0.49	0.0	20.57	0.0	0.0
Ube2e2	29.76	0.0	77.17	0.0	99.51	0.27	109.08	312.87	590.24	0.0	170.89	74.7	77.02	176.97	113.86	4.14	0.0	391.53	257.12	35.26	0.0	0.0	22.62	0.0	0.0	5.66	1.41	118.89	225.63	0.11	87.72	4.04	203.62	252.27	21.72	76.19	100.92	9.18	6.43	241.73	45.96	22.21	0.0	3.69	0.0	15.55	0.32	0.0	0.0	77.3	43.79	175.4	59.54	494.13	0.0	0.0	0.0	0.0	0.0	0.0	0.24	251.47	49.75	42.75	0.23
Unc80	50.71	0.0	16.04	3.44	44.77	42.9	11.1	64.93	22.68	30.01	23.05	63.87	66.45	13.31	28.82	12.0	14.68	77.48	48.37	41.1	0.0	0.0	7.87	0.0	56.74	77.03	31.85	45.34	25.32	27.7	58.43	40.84	30.9	1.46	21.39	30.49	14.63	63.49	58.95	122.26	138.99	25.1	37.38	39.43	0.03	0.0	0.0	0.0	34.21	100.2	32.31	20.93	19.81	47.94	22.71	0.0	0.0	0.0	0.0	45.31	34.59	39.37	5.86	57.02	40.92
Zfp157	0.0	0.0	4.62	0.02	2.31	0.0	31.79	65.1	0.0	41.83	0.07	0.0	0.0	47.37	4.48	34.55	0.0	68.59	134.77	0.0	0.0	0.0	157.26	0.0	0.12	38.75	0.44	0.0	59.87	28.92	0.0	0.0	0.0	0.13	0.05	1.96	0.0	108.9	5.08	39.0	0.07	5.3	0.0	0.06	0.0	0.05	0.0	0.0	0.0	5.92	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.58	0.05	0.0	0.0	0.0
Zfp259	0.0	0.0	0.0	0.0	2.13	3.96	0.0	1.25	0.0	0.0	0.0	13.46	70.04	0.42	0.0	41.99	1.16	86.26	0.12	0.0	0.0	0.0	0.0	0.0	0.08	3.71	0.0	0.0	0.21	0.0	0.21	0.0	0.0	9.39	0.1	0.0	6.43	0.0	0.0	36.27	0.0	45.81	8.93	0.0	0.25	0.0	0.0	6.49	0.0	0.0	0.14	0.81	0.0	1.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.72
