	Ctgf_tdTpositive_cell_4	Cux2_tdTpositive_cell_57	Cux2_tdTpositive_cell_65	Cux2_tdTnegative_cell_14	Ndnf_tdTpositive_cell_2	Nr5a1_tdTpositive_cell_30	Nr5a1_tdTpositive_cell_36	Nr5a1_tdTpositive_cell_45	Ntsr1_tdTpositive_cell_6	Ntsr1_tdTpositive_cell_12	Ntsr1_tdTpositive_cell_20	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_31	Ntsr1_tdTpositive_cell_32	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_52	Rbp4_tdTpositive_cell_54	Rbp4_tdTpositive_cell_89	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_182	Rbp4_tdTpositive_cell_183	Slc17a6_tdTpositive_cell_30	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_3	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_31	CAV_LP_Ipsi_tdTpos_cell_36	CAV_LP_Ipsi_tdTpos_cell_39	CAV_LP_Ipsi_tdTpos_cell_41
Pop4	0.0	0.0	0.37	158.41	171.42	0.0	0.0	11.67	0.35	205.63	0.0	0.84	92.14	0.0	0.0	0.3	0.71	122.11	0.0	97.05	177.22	82.31	135.38	72.48	88.24	49.05	67.96	76.7	47.77	56.38	114.33	77.59	65.25	63.5	185.7	96.51	438.13	16.22	174.47	226.13	0.0	64.36	0.56
Ppp1r11	0.0	232.21	261.68	254.58	349.2	108.15	358.36	0.0	129.23	200.18	0.0	434.48	62.79	133.53	522.72	124.91	149.91	495.02	0.0	304.15	154.23	124.39	341.97	185.45	261.39	230.6	280.05	209.91	185.85	194.81	201.33	227.11	234.16	223.09	174.92	612.05	200.71	243.66	148.35	264.3	139.93	217.76	277.92
Prkar1b	16.84	334.91	852.34	405.18	1099.07	769.77	510.51	584.48	283.17	658.45	383.47	17.52	189.94	462.84	47.44	103.64	204.62	263.87	43.87	179.62	128.91	186.7	208.8	491.06	347.25	406.03	332.38	341.02	377.41	548.57	461.48	382.55	436.7	420.84	7.57	479.52	228.83	230.58	29.51	88.96	437.47	249.0	281.63
Pts	7.33	6.7	3.89	6.33	324.32	1.63	5.01	3.51	9.38	11.82	21.44	1.81	0.59	140.3	2.65	4.45	9.09	177.31	0.0	57.67	10.13	282.05	22.95	68.69	82.02	75.0	42.49	83.5	67.99	41.28	64.45	40.76	54.65	45.91	7.23	7.31	5.48	222.3	7.5	4.17	121.76	338.41	7.93
Ranbp9	0.0	0.0	0.0	0.1	70.0	0.11	25.16	0.0	0.0	0.0	0.0	4.93	18.85	0.0	0.0	0.69	56.74	3.43	3.66	23.83	3.91	124.09	112.43	15.16	21.02	19.25	13.59	25.64	34.38	43.07	11.92	30.02	19.88	14.97	0.0	0.0	18.85	0.0	0.0	37.02	64.17	9.11	5.16
Rhbdd3	0.0	119.45	0.0	0.0	91.07	0.0	0.0	0.0	0.0	0.43	0.0	0.0	0.0	106.34	51.23	0.0	0.0	13.14	0.0	4.74	8.53	1.42	0.0	6.31	4.37	28.62	1.12	5.06	19.16	20.39	0.11	9.61	15.67	5.4	0.0	0.0	0.0	0.0	0.0	0.0	1.69	0.0	0.0
Rps19bp1	0.0	0.0	0.0	0.0	91.0	0.0	0.0	0.0	49.77	0.49	0.0	0.0	0.0	0.0	0.0	28.95	0.0	47.25	52.88	5.9	59.47	35.51	0.0	18.47	2.73	1.27	0.73	0.86	8.37	5.83	0.5	3.41	6.54	6.16	0.0	0.0	0.0	0.0	4.57	0.0	0.0	0.0	0.0
Rrp1b	0.0	0.28	0.0	41.87	0.67	0.0	1.27	0.33	0.14	0.34	0.0	0.0	0.24	0.78	0.13	0.18	0.41	0.3	0.0	7.85	10.17	0.48	0.38	0.81	0.63	6.56	7.94	1.94	6.5	6.5	2.9	3.28	1.59	2.62	0.13	0.37	0.37	0.07	0.35	0.0	0.22	0.38	0.61
Rsph9	0.0	366.78	0.0	123.86	330.04	0.0	0.0	0.42	0.0	71.98	0.0	0.0	107.44	0.0	194.18	345.99	376.54	241.4	175.07	52.12	83.15	85.08	76.37	108.58	106.26	64.16	83.79	110.81	124.97	72.8	83.87	52.24	117.7	84.19	0.0	311.96	55.6	479.26	0.0	0.0	63.99	0.27	0.0
Sccpdh	0.0	129.18	0.0	80.29	223.73	53.47	201.2	0.0	16.46	0.0	0.0	0.0	0.0	102.11	0.0	0.0	0.22	53.38	0.0	40.64	10.39	270.34	0.0	32.07	36.66	18.81	14.5	51.81	24.89	56.8	33.84	32.12	22.95	40.84	69.14	0.0	0.0	46.94	0.0	0.0	36.09	0.0	0.0
Sema4a	0.0	0.0	0.0	1.7	57.91	0.0	13.57	0.0	0.82	0.0	0.0	0.0	0.0	0.0	5.89	0.0	0.0	0.0	0.0	9.16	0.34	1.96	0.0	13.72	11.96	4.7	4.71	9.07	21.52	15.32	13.4	8.31	9.13	11.42	0.0	0.0	0.0	16.53	0.0	0.0	0.0	0.0	0.0
Skap2	0.0	0.0	0.0	10.56	20.88	0.0	0.0	0.0	177.53	0.0	0.0	0.0	0.0	112.16	0.0	0.0	93.82	66.64	0.0	9.93	0.0	0.0	0.0	18.47	19.51	13.47	15.49	17.78	13.0	14.03	0.37	26.42	12.99	14.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Slc11a2	0.08	108.83	1.53	8.44	144.67	0.0	89.13	12.18	61.72	0.0	0.22	0.07	0.0	0.0	13.03	80.61	76.61	30.09	0.08	15.23	10.15	16.24	0.49	33.71	16.66	23.06	9.46	18.37	18.67	5.62	23.08	20.06	21.17	19.69	0.06	0.0	0.1	0.06	10.37	0.0	0.14	40.65	32.25
Slc16a4	0.16	0.0	0.0	0.0	3.59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.92	0.0	0.0	0.0	0.0	0.0	0.46	0.13	0.0	0.69	0.92	0.45	0.0	0.47	0.32	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0
Slc25a42	5.17	16.75	22.91	21.61	39.8	9.09	22.91	19.07	12.23	22.66	13.8	11.98	3.87	14.84	12.78	9.0	19.99	62.54	1.74	28.15	32.05	17.59	32.12	25.35	28.13	25.87	24.3	20.72	36.93	27.95	25.4	29.04	30.23	25.81	6.27	5.9	6.38	15.67	4.37	7.98	23.81	19.1	22.53
Smu1	0.0	91.68	179.6	66.56	393.79	98.8	0.0	138.58	141.1	1.19	0.22	162.02	49.65	211.95	137.15	164.93	90.16	86.83	197.98	72.89	12.1	214.6	0.0	169.56	138.99	116.83	98.88	139.5	115.26	152.08	187.51	131.1	125.8	110.39	154.56	72.6	0.13	22.73	96.55	141.66	151.76	113.28	216.15
Soat1	0.07	86.78	1.82	0.25	14.51	0.07	0.17	0.62	0.32	2.17	0.85	0.48	13.27	1.3	3.29	0.49	5.42	22.36	0.0	6.87	1.14	1.16	4.96	2.36	10.26	6.57	10.0	6.99	1.23	11.44	6.86	10.11	6.09	6.48	0.24	0.08	1.66	0.06	0.3	0.0	0.99	13.58	1.67
St8sia1	0.04	0.29	0.53	0.23	19.51	0.04	0.27	0.68	0.18	0.3	0.04	0.0	0.04	29.05	0.23	0.18	0.31	29.45	0.4	7.82	19.33	6.5	0.17	0.09	0.24	1.43	0.56	1.38	1.58	2.46	0.26	1.34	2.14	1.72	0.03	0.16	0.15	1.03	0.16	0.13	0.1	0.12	0.13
Susd1	0.0	0.0	0.0	0.0	38.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.61	0.0	1.62	1.66	2.94	0.0	0.0	0.0	0.0	0.0	0.7	0.0	0.0	0.0
Sytl2	0.0	15.95	311.61	358.36	141.43	51.1	49.17	322.81	6.45	423.97	0.14	0.0	102.14	71.61	4.15	0.0	61.85	66.04	51.34	93.83	144.76	198.73	0.0	76.3	69.44	135.52	78.91	68.38	53.47	144.29	90.66	71.6	79.34	74.56	134.34	9.2	240.65	64.1	104.93	155.47	104.41	314.9	379.6
Szt2	0.0	0.03	0.0	0.0	7.43	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.95	0.0	0.67	0.58	10.45	0.0	0.03	1.83	0.06	0.39	0.03	0.11	1.78	0.0	0.99	0.34	0.44	17.05	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.03
Tbrg1	0.0	53.82	265.79	93.4	250.71	151.7	185.74	218.65	191.95	156.95	42.75	205.11	0.0	119.71	143.21	506.67	208.13	160.8	48.04	97.5	111.46	27.59	0.55	232.48	107.68	169.16	243.36	153.37	284.57	154.89	250.62	203.34	231.29	238.38	304.61	135.37	85.78	11.65	160.18	87.6	0.0	214.52	103.05
Tmem192	0.0	0.0	0.0	0.0	96.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.46	0.0	11.52	0.0	8.06	0.0	3.74	0.0	1.86	5.91	0.0	1.81	1.55	0.0	0.0	1.04	2.19	9.14	1.91	0.0	0.0	0.0	0.0	0.0	0.0	4.46	0.0	0.0
Tmem91	0.0	0.0	0.0	0.0	142.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	19.51	0.0	115.79	2.1	260.01	0.0	58.8	21.01	1.2	18.59	36.41	8.98	4.12	0.95	5.36	3.7	14.12	0.0	0.0	0.53	3.28	0.0	0.0	131.94	9.79	0.0
Trim3	0.0	0.13	203.57	14.3	107.23	56.98	146.93	106.72	0.28	0.0	0.0	43.2	40.05	0.0	0.0	0.0	32.11	30.42	0.0	31.85	86.48	34.64	0.28	28.9	20.56	13.57	10.1	28.08	8.61	44.0	10.62	19.65	24.61	18.89	0.0	53.5	1.78	0.0	0.08	28.39	40.38	54.91	3.24
Tsg101	0.0	0.62	48.32	284.53	222.14	435.51	0.44	21.98	301.46	229.92	0.0	160.62	121.25	208.0	272.77	78.18	114.64	285.36	49.4	109.4	71.77	236.58	108.23	172.19	156.46	171.75	110.75	187.73	100.48	177.47	160.75	90.39	99.11	100.77	50.85	302.84	24.53	0.0	142.56	204.34	5.03	594.65	108.05
Ttc30b	0.0	0.0	0.0	0.0	206.59	0.13	0.0	0.15	0.0	0.0	0.0	0.0	0.0	122.12	0.0	0.0	0.0	54.67	0.0	15.28	0.45	0.53	0.0	30.66	25.69	21.41	0.0	14.92	41.25	18.61	28.47	55.11	44.98	39.62	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tubd1	0.0	0.0	0.0	0.0	74.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.0	0.0	13.97	0.95	0.81	0.0	1.92	13.72	10.48	52.51	23.71	14.38	5.89	11.3	14.65	20.18	10.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Txndc9	0.0	120.26	31.13	74.8	96.08	0.0	93.44	0.58	41.74	0.25	0.0	66.62	45.98	3.09	60.88	34.13	149.38	27.92	0.53	52.82	112.99	134.71	51.78	63.3	69.17	59.11	68.7	39.27	80.73	61.81	74.75	69.16	70.67	62.24	94.87	147.16	18.07	162.85	39.25	26.18	55.21	44.14	29.79
Upf2	0.0	3.56	27.87	0.0	39.66	2.38	0.0	7.7	1.52	2.46	27.5	2.45	3.12	0.72	2.0	23.22	3.88	1.34	0.0	17.59	0.14	29.19	14.34	12.63	7.26	7.36	21.39	11.37	20.14	15.09	8.85	24.37	13.5	14.22	13.11	4.22	11.03	0.0	80.88	2.88	4.07	0.0	2.21
Vash1	0.0	0.2	0.06	0.11	73.15	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.92	48.2	0.0	0.0	0.0	0.0	1.14	2.09	1.47	0.13	11.67	0.46	3.32	4.59	6.77	6.75	5.67	1.23	4.93	3.92	5.74	0.0	0.04	44.05	0.05	15.91	0.0	1.37	0.04	0.0
Vps72	0.0	0.0	0.34	0.52	71.87	60.11	31.84	0.27	0.42	0.0	0.0	0.0	0.0	0.63	0.41	0.0	0.0	0.46	0.0	26.88	0.34	1.36	0.0	16.59	3.35	5.78	33.09	6.72	11.38	25.34	11.95	10.45	5.44	12.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0
Wdr31	0.0	0.0	0.0	0.0	236.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.44	98.83	0.0	0.0	0.0	6.44	20.89	0.0	11.53	0.0	9.68	7.44	3.49	0.0	0.0	0.0	0.0	0.0	0.0	132.01	161.41	0.0
Zfp28	0.0	0.0	0.1	0.0	13.6	0.0	0.0	92.27	82.21	0.0	0.0	0.0	0.0	0.0	0.0	46.33	0.0	0.0	0.0	0.37	0.0	0.0	3.43	0.0	0.0	0.08	0.0	2.91	0.0	0.0	0.0	0.0	1.48	1.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Zfp612	0.0	139.42	39.02	9.72	86.22	0.07	0.16	0.16	73.86	106.26	0.07	21.0	0.0	0.1	0.0	0.21	8.87	42.46	277.95	28.87	17.58	4.39	8.76	43.67	31.89	52.13	38.98	35.97	55.22	41.73	78.54	35.74	33.24	36.07	54.32	2.68	0.0	0.25	26.93	21.73	40.8	47.49	16.08
Zic1	0.0	0.55	1.13	0.13	1.37	0.0	1.38	0.12	0.62	0.35	1.33	0.0	0.0	1.03	0.43	0.34	1.14	0.1	0.0	0.47	1.1	0.55	1.89	0.86	0.32	0.32	0.42	0.42	0.54	0.34	0.29	0.17	0.82	0.46	0.0	0.0	0.34	0.76	0.09	0.81	0.57	0.3	0.43
mt_AK136262	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.06	0.0	75.42	0.01	0.05	0.0	0.0	0.0	0.0	0.01	0.0	0.03	0.0	0.07	100.77	9.86	4.83	261.93	46.91	210.2	12.15	19.33	8.22	0.19	1.6	1.14	52.84	4.5	2.02	0.0	240.38	2.48	0.16	13.3
mt_AK142003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.06	0.0	75.42	0.01	0.05	0.0	0.0	0.0	0.0	0.01	0.0	0.03	0.0	0.07	100.77	9.86	4.83	261.93	46.91	210.2	12.15	19.33	8.22	0.19	1.6	1.14	52.84	4.5	2.02	0.0	240.38	2.48	0.16	13.3
mt_AK166798	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.06	0.0	75.42	0.01	0.05	0.0	0.0	0.0	0.0	0.01	0.0	0.03	0.0	0.07	100.77	9.86	4.83	261.93	46.91	210.2	12.15	19.33	8.22	0.19	1.6	1.14	52.84	4.5	2.02	0.0	240.38	2.48	0.16	13.3
mt_AK166978	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.06	0.0	75.42	0.01	0.05	0.0	0.0	0.0	0.0	0.01	0.0	0.03	0.0	0.07	100.77	9.86	4.83	261.93	46.91	210.2	12.15	19.33	8.22	0.19	1.6	1.14	52.84	4.5	2.02	0.0	240.38	2.48	0.16	13.3
