	Calb2_tdTpositive_cell_53	Nkx2.1_tdTpositive_cell_10	Nkx2.1_tdTpositive_cell_18	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_20	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_24	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_32	Pvalb_tdTpositive_cell_40	Pvalb_tdTpositive_cell_46	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_55	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_70	Pvalb_tdTpositive_cell_87	Pvalb_tdTpositive_cell_89	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbD.Slc32a1_tdTpositive_cell_26	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_22	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_34	PvalbF.Gad2_tdTpositive_cell_40	PvalbF.Gad2_tdTpositive_cell_42	Rbp4_tdTpositive_cell_51	Tac2_tdTpositive_cell_8	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Siglech	0.0	0.73	0.74	0.0	0.4	0.86	0.0	0.31	0.0	0.0	0.72	1.06	0.0	0.0	146.17	0.19	0.11	0.15	0.35	1.33	0.0	0.3	0.13	0.61	0.0	0.47	0.24	0.23	0.17	0.0	0.48	0.2	0.68	0.5	0.33	0.53	11.81	10.81	13.29
Slco6c1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.04
Slfn2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28	0.0	0.0	2.32	2.58	2.84
Smtn	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.31	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.0	0.0	0.22	0.0	0.0	0.0	0.0	9.66	0.0	16.94	0.0	0.0	0.0	4.91	6.04	5.54
Snord52	0.0	0.0	0.0	0.0	0.0	18.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.42	4.17	9.13
St6galnac5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.76	0.0	0.0	0.0	0.0	25.55	0.0	97.54	0.0	0.0	0.0	4.71	0.0	0.0	0.0	0.0	0.0	5.97	1.89	0.0	0.0	0.0	0.6	24.2	0.0	0.0	0.0	10.39	0.0	60.42	61.84	60.43
Stil	0.0	0.0	0.0	0.0	0.0	0.12	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.45	0.0	0.05	0.0	0.0	0.14	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.49	0.4	0.44
Strn	0.0	0.0	0.0	0.0	0.0	18.84	0.0	0.0	0.0	10.66	0.0	0.0	0.0	0.0	40.04	0.0	0.0	0.0	0.0	0.0	0.08	0.0	16.74	0.0	0.72	0.0	0.0	0.55	0.0	0.0	0.0	0.0	0.0	0.0	4.07	0.0	49.78	45.34	46.32
Stx19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.16	0.7
Tcf3	0.0	0.0	0.0	0.0	0.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.48	0.0	13.87	0.55	13.78	0.0	0.0	0.0	0.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.0	18.71	22.55	19.67
Tecpr2	4.07	6.53	8.04	7.2	0.12	3.53	2.07	0.28	23.55	3.69	7.52	0.56	15.76	5.12	32.89	0.12	6.5	7.14	13.19	15.59	1.03	8.02	11.87	9.24	4.91	1.28	0.06	0.13	0.15	1.37	0.18	4.16	11.22	22.03	0.67	0.24	37.36	37.41	39.21
Tnrc6c	0.0	23.24	6.6	0.17	4.91	21.12	8.47	0.51	7.4	6.92	19.01	0.0	15.29	4.52	34.24	11.44	8.55	7.24	6.1	17.29	7.72	10.98	7.43	22.73	15.31	18.69	7.68	18.22	2.53	19.59	16.81	4.67	31.22	12.75	10.33	20.03	39.79	38.65	41.82
Trip10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	66.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.46	5.63	5.58
Tstd1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.95	1.78	0.98
Ttc25	0.52	0.21	0.52	0.0	0.85	0.51	0.0	0.0	1.4	1.54	0.3	0.18	1.69	0.42	7.31	0.69	0.28	0.41	0.53	0.7	1.45	0.0	0.09	0.0	0.43	0.51	0.71	0.0	0.29	0.28	0.0	0.0	0.25	0.8	0.33	0.23	1.26	1.6	1.2
Ttc28	0.0	0.0	0.0	0.0	3.14	0.19	4.64	0.0	0.65	0.0	0.32	0.0	1.59	0.0	11.52	0.0	0.0	0.24	0.96	2.43	0.0	0.0	3.93	0.86	0.0	0.0	0.0	0.0	0.0	3.56	0.0	0.0	1.34	6.89	0.0	0.0	4.7	4.95	5.16
Ttll7	0.0	24.97	25.65	4.46	20.16	50.64	30.49	35.48	48.32	86.13	34.71	27.48	77.0	14.92	129.63	34.62	70.05	59.92	16.84	55.58	79.81	44.25	49.81	36.89	71.31	53.56	74.35	34.36	30.42	47.08	76.78	31.36	59.17	18.59	34.98	48.94	115.17	104.97	116.05
Tub	0.0	48.59	31.77	19.9	1.11	20.24	2.43	0.0	0.0	13.73	0.0	0.2	0.13	0.0	57.18	0.0	0.09	30.65	0.08	0.0	0.0	2.61	0.0	1.36	46.22	0.0	0.17	23.77	3.02	5.67	12.55	0.0	22.6	0.3	30.4	0.63	106.14	109.45	103.21
Vax2os2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.07	0.07
Ybey	3.6	8.27	6.89	0.06	29.49	2.2	3.61	2.55	2.79	4.02	3.28	5.71	25.16	4.69	62.01	2.31	4.35	4.01	26.94	10.23	3.54	11.59	1.58	5.59	22.94	5.39	3.17	8.15	4.68	3.56	10.63	1.25	5.04	2.89	2.56	1.66	5.24	5.16	5.31
Zbtb46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.15	8.78	7.45
Zdbf2	0.0	11.98	0.1	0.0	1.34	1.6	0.0	0.7	0.0	0.0	0.0	0.0	0.0	0.0	15.17	0.0	0.02	0.0	0.0	1.81	0.0	1.17	0.0	0.0	0.0	0.0	4.48	2.72	0.0	0.03	0.0	0.0	10.5	0.0	0.0	0.0	9.24	7.29	6.94
Zfp398	0.12	0.0	0.0	0.0	0.0	8.95	0.41	0.0	0.0	0.0	2.28	10.15	0.68	1.55	70.48	0.0	0.0	0.0	21.95	0.22	0.0	3.09	0.72	0.0	1.58	0.0	0.0	0.0	35.73	1.42	0.0	38.6	3.35	0.0	0.0	0.0	11.13	9.89	11.02
Zfp560	0.0	1.51	1.68	17.31	0.5	0.79	2.29	0.47	2.65	8.07	0.18	4.87	2.71	0.76	7.2	0.1	0.44	1.46	0.58	0.32	0.46	1.33	1.0	0.46	1.28	0.64	0.51	1.07	0.26	0.6	1.01	0.5	4.11	11.26	0.54	0.2	4.31	4.24	4.49
Zfp57	0.0	6.01	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	103.34	0.0	0.0	0.0	0.0	0.0	0.0	6.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.84	0.0	0.0	33.62	0.0	0.0	0.0	9.81	11.03	10.73
c16_5S	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.52	0.0	0.0	0.0	0.0	83.74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.62	0.0	20.07	0.0	0.0	19.22	0.0	8.22	0.0	0.0	0.0	35.49	0.0	2.85	3.58	1.86
