	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_6	Ndnf_tdTpositive_cell_10	Ndnf_tdTpositive_cell_11	Nr5a1_tdTpositive_cell_35	Rbp4_tdTpositive_cell_70	Rbp4_tdTpositive_cell_74	Rbp4_tdTpositive_cell_95	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_176	Rbp4_tdTpositive_cell_177	Rbp4_tdTpositive_cell_180	Rbp4_tdTpositive_cell_185	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_6	Rbp4_tdTnegative_cell_9	Rbp4_tdTnegative_cell_13	Rbp4_tdTnegative_cell_14	Rbp4_tdTnegative_cell_22	Rbp4_tdTnegative_cell_23	Rorb_tdTpositive_cell_19	Scnn1a.Tg2_tdTpositive_cell_14	Scnn1a.Tg3_tdTnegative_cell_11	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Safb	0.0	0.0	0.0	0.0	0.0	1.9	14.89	0.98	0.27	2.87	17.78	7.2	14.58	0.0	0.0	0.0	0.0	0.0	0.61	0.0	0.0	0.36	66.14	0.0	97.55	103.32	94.51
Scaper	0.0	0.0	0.0	0.0	0.24	17.68	30.12	82.8	25.81	7.46	63.06	46.27	31.19	55.16	0.18	127.64	0.0	0.0	0.0	0.0	0.0	5.97	102.44	0.0	20.96	17.45	21.09
Sec11c	0.0	0.0	0.0	0.0	227.71	102.68	214.27	169.79	50.58	316.3	72.34	192.16	165.06	271.1	1.76	108.8	6.35	29.31	1008.94	0.0	0.0	233.21	260.1	0.0	100.65	96.56	99.24
Sec23ip	0.97	28.27	11.63	1.05	118.31	16.71	45.45	66.78	92.63	95.01	95.19	115.29	46.08	68.21	1.71	4.26	4.83	1.35	0.08	269.83	1.96	1.83	30.36	2.06	24.56	26.07	24.41
Senp5	0.23	0.25	0.0	0.09	0.52	8.29	37.99	2.92	1.61	16.09	1.58	2.07	4.79	0.6	2.89	15.18	2.42	0.0	2.21	0.83	0.02	1.32	73.78	1.09	32.11	30.03	30.39
Senp8	0.0	0.0	0.0	0.0	30.88	30.11	0.0	27.81	0.0	7.02	0.0	11.07	1.34	0.0	0.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	91.29	0.0	4.71	4.2	4.13
Serpine3	0.0	0.0	0.0	0.0	0.0	5.16	1.71	0.0	0.0	0.0	0.0	0.51	7.85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.42	0.0	0.29	0.67	0.29
Sez6l2	0.0	0.0	0.0	0.0	0.36	32.49	16.43	68.7	80.78	40.97	91.97	48.5	28.67	132.68	0.09	0.4	0.43	0.0	0.18	0.0	0.0	10.73	101.24	0.0	200.78	204.89	199.02
Sgpl1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.04	0.0	24.88	0.0	0.0	0.08	0.0	0.0	0.0	1.89	0.0	40.32	0.0	245.04	0.0	25.18	22.93	20.75
Sidt2	0.0	0.0	0.0	0.0	0.0	4.45	23.13	50.05	0.1	4.38	0.0	0.0	5.07	1.67	0.0	0.17	0.0	0.0	0.15	0.0	0.0	0.0	110.45	0.0	50.61	55.9	57.6
Slc12a5	0.0	0.0	0.0	0.0	0.43	15.25	30.44	14.17	39.39	25.88	22.49	1.84	33.59	41.19	0.16	0.0	0.0	0.0	0.0	0.0	0.0	12.31	402.32	0.0	303.65	314.89	318.33
Slc24a2	0.0	0.0	0.0	0.0	27.08	159.64	63.94	28.13	32.33	59.28	80.67	3.11	53.07	62.17	0.06	0.21	0.07	0.0	0.48	0.0	0.0	32.71	199.22	0.0	186.31	165.34	192.36
Slc35e3	0.0	0.0	0.0	0.0	0.0	1.54	0.0	0.0	9.56	6.81	0.0	0.0	0.0	10.29	0.0	0.0	0.22	0.0	0.0	0.0	0.0	0.0	31.05	103.79	26.84	28.01	27.12
Snhg6	0.0	0.0	0.0	0.0	14.5	114.56	231.06	328.89	123.2	150.47	110.97	192.55	90.3	9.31	0.0	0.0	1.71	15.88	0.0	0.0	0.0	118.98	147.84	0.0	35.25	33.21	33.95
Snn	0.0	0.0	0.0	0.19	0.89	25.19	0.93	13.35	5.53	12.83	18.97	0.0	0.39	21.18	83.04	0.0	0.0	1.96	86.52	0.0	0.0	0.0	85.32	0.0	193.32	197.85	194.31
Sntb2	0.0	4.21	0.0	0.0	0.29	48.25	0.0	0.78	0.19	6.39	0.0	0.0	22.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.09	0.0	8.1	8.38	8.11
Snx24	0.0	0.0	0.0	0.0	321.11	7.24	0.0	0.0	0.0	13.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	210.33	0.0	13.72	14.81	12.96
Sorl1	0.0	0.0	0.0	0.0	11.25	166.07	86.07	88.7	30.83	32.85	40.08	60.06	57.56	7.85	0.09	0.31	0.0	0.0	0.0	0.0	0.0	42.38	139.07	0.0	108.6	99.88	115.58
Ssbp3	0.0	0.0	0.0	0.0	8.3	21.74	41.76	69.29	7.05	54.82	8.83	61.83	27.81	28.83	0.0	0.7	0.0	0.0	0.0	0.0	0.0	25.9	101.11	0.0	89.36	86.96	88.95
St6galnac6	0.0	0.0	0.0	0.0	69.37	29.04	1.65	45.64	0.0	0.08	0.0	0.0	0.0	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.94	0.0	111.0	121.34	119.44
Tasp1	0.0	0.0	0.0	0.0	0.0	62.9	57.46	59.25	0.0	5.46	0.0	27.21	93.74	0.14	0.3	0.0	0.35	0.0	0.0	0.0	0.0	29.68	149.55	0.0	21.82	22.18	21.01
Tbc1d22b	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.24	4.65	0.0	0.8	0.0	0.29	0.4	0.42	0.0	0.0	0.0	0.0	0.06	6.49	44.06	0.0	35.54	36.1	35.89
Thada	0.0	0.0	0.0	231.09	0.16	27.96	0.65	0.0	11.59	0.26	0.1	2.9	21.13	0.89	0.08	0.0	0.38	0.0	45.86	52.12	0.11	12.73	48.8	0.14	6.06	5.04	5.89
Tmem134	0.0	0.0	0.0	0.0	0.0	11.44	10.42	5.04	0.0	4.66	3.37	0.0	18.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	59.63	0.0	28.74	31.09	31.77
Tmem30a	0.0	0.0	92.31	0.0	1.76	174.22	117.28	84.13	131.07	151.36	69.99	87.49	106.29	94.9	0.0	0.4	0.0	0.0	0.0	0.0	0.0	41.21	426.22	0.0	311.87	297.75	306.82
Tmod2	0.13	0.0	0.0	0.02	0.9	116.79	63.11	37.6	29.07	29.17	26.26	22.52	41.14	33.09	0.57	0.6	0.56	0.14	0.46	0.36	0.47	25.86	124.89	0.95	147.06	135.01	149.73
Tnnt2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.39	8.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	77.83	57.06	0.0	10.36	7.11	8.46
Tomm7	274.78	172.58	609.2	0.0	163.98	183.38	220.43	276.91	144.54	252.25	307.43	256.04	240.72	404.05	279.99	265.52	2.16	59.53	16.77	315.61	0.0	268.78	304.88	0.0	44.49	46.88	50.43
Tsr1	0.0	0.0	0.0	0.0	0.0	2.71	2.52	0.0	30.94	2.5	5.16	7.01	44.89	2.87	0.0	0.0	40.83	0.0	0.0	0.0	0.0	2.41	128.18	0.0	34.46	31.44	33.88
Tti2	192.48	0.21	0.57	110.63	0.57	0.51	0.72	46.23	24.42	2.26	1.7	14.51	1.66	0.55	2.79	3.89	1.26	0.0	3.1	1.6	1.06	0.8	57.74	1.43	17.38	16.97	16.7
Ttpal	0.0	0.0	0.0	11.58	0.0	28.98	0.0	1.52	110.81	11.36	0.89	0.0	155.14	4.23	0.14	0.16	0.0	0.0	0.0	0.13	0.0	44.86	199.01	0.0	48.18	48.03	44.14
Ube2f	0.31	0.0	0.0	0.0	1.94	20.29	180.57	14.81	0.0	103.25	56.53	227.44	120.36	1.78	853.91	14.22	0.0	0.0	0.0	0.0	0.0	0.0	360.37	0.0	55.2	49.02	48.55
Unc45a	0.0	0.0	0.0	0.0	0.0	0.0	2.59	2.65	3.36	11.55	5.95	0.0	0.0	0.0	0.0	0.0	0.24	6.53	0.0	0.0	0.0	0.0	99.63	0.0	26.91	25.32	22.3
Vmn2r29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.72	11.98	0.0	55.34	0.0	0.0	0.0	0.0	30.18	0.0	0.0	0.0	0.0	108.05	0.0	9.85	9.88	9.48
Vps8	0.0	0.0	0.0	0.0	0.0	0.0	14.08	71.5	7.66	1.17	6.71	12.48	7.93	6.86	0.0	0.0	13.85	0.0	0.0	0.0	0.0	0.0	125.15	0.0	30.73	30.4	29.26
Wdr52	0.0	0.0	0.0	0.0	0.39	0.71	0.0	0.0	0.0	0.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.91	0.0	2.13	1.65	2.07
Wrnip1	0.0	0.0	0.0	0.0	0.0	1.36	21.21	18.65	31.74	13.53	0.0	0.0	96.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.4	208.47	0.0	60.42	67.09	61.56
Yif1b	0.0	0.0	0.0	0.0	2.35	127.33	0.43	60.77	51.52	60.0	67.01	6.33	115.91	0.0	0.29	0.66	922.14	0.0	0.0	0.0	0.42	0.0	225.57	0.0	45.71	53.67	49.4
Zfp157	0.0	0.0	0.0	0.0	0.0	0.06	20.27	20.9	0.0	18.29	1.04	0.0	12.18	38.97	0.0	0.0	0.19	0.0	0.0	644.4	0.0	0.0	77.65	0.0	10.38	9.57	10.6
Zfp352	0.0	0.0	0.0	0.0	2.3	6.29	0.97	0.0	0.0	2.07	0.0	4.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.63	0.0	1.31	1.52	1.26
Zfp410	611.27	1.05	1.15	0.14	2.16	34.9	57.0	2.36	5.23	15.76	37.69	3.18	3.88	1.74	7.62	23.5	7.2	26.95	3.75	3.13	114.01	1.22	191.05	0.93	20.41	18.35	16.89
Zfp622	0.0	0.0	0.0	0.0	0.0	8.07	0.17	0.99	0.3	3.23	0.0	0.0	0.2	23.41	4.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.88	0.0	29.77	31.42	29.21
Zfp692	0.0	0.0	17.17	0.0	0.0	0.54	0.0	37.47	13.37	10.99	30.41	0.0	30.85	0.0	0.0	0.0	0.0	0.0	0.39	0.0	0.0	0.0	88.96	0.56	35.85	35.72	38.95
Zkscan16	0.0	0.0	0.0	0.0	0.46	0.12	21.21	11.53	0.0	3.15	0.0	0.0	0.0	29.29	0.0	0.0	0.0	0.0	0.23	0.0	0.0	0.0	124.36	0.0	42.82	39.54	38.67
Zmat5	0.0	0.88	611.41	0.0	173.28	63.53	6.92	102.48	0.0	66.81	5.42	63.32	103.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	206.25	0.0	49.57	49.63	49.97
