	Calb2_tdTpositive_cell_7	Calb2_tdTpositive_cell_46	Calb2_tdTpositive_cell_50	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_6	Ctgf_tdTpositive_cell_7	Cux2_tdTpositive_cell_6	Htr3a_tdTpositive_cell_17	Htr3a_tdTpositive_cell_25	Ndnf_tdTnegative_cell_7	Nr5a1_tdTpositive_cell_35	Ntsr1_tdTnegative_cell_33	Ntsr1_tdTnegative_cell_35	PvalbD.Slc32a1_tdTpositive_cell_1	Rbp4_tdTpositive_cell_70	Rbp4_tdTpositive_cell_74	Rbp4_tdTpositive_cell_95	Rbp4_tdTpositive_cell_133	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_176	Rbp4_tdTpositive_cell_177	Rbp4_tdTpositive_cell_180	Rbp4_tdTpositive_cell_185	Rbp4_tdTnegative_cell_2	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_6	Rbp4_tdTnegative_cell_9	Rbp4_tdTnegative_cell_13	Rbp4_tdTnegative_cell_14	Rbp4_tdTnegative_cell_22	Rbp4_tdTnegative_cell_23	Rorb_tdTpositive_cell_13	Rorb_tdTpositive_cell_19	Rorb_tdTpositive_cell_39	Rorb_tdTpositive_cell_47	Rorb_tdTpositive_cell_54	Scnn1a.Tg3_tdTnegative_cell_16	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Ncbp1	176.92	0.0	99.78	0.0	0.0	0.0	87.03	0.0	22.94	0.0	0.0	0.0	0.0	150.94	0.0	3.32	0.44	1.39	0.0	8.88	0.0	0.22	0.0	0.0	0.22	0.1	0.0	0.0	0.0	0.21	0.0	0.0	0.0	24.97	1.02	0.0	0.0	0.0	48.19	49.97	45.62
Ndst3	0.31	0.13	0.12	0.05	0.0	0.0	0.23	0.0	1.44	1.92	0.0	0.0	0.51	145.53	75.47	31.07	37.84	5.52	1.12	15.83	0.44	0.13	28.37	0.07	0.17	0.7	0.89	0.59	0.0	0.29	0.0	1.85	0.0	0.33	0.13	0.27	0.08	0.0	16.74	14.36	16.62
Neurod6	0.0	0.0	0.0	0.0	0.0	0.0	592.78	0.0	0.0	0.0	1157.36	2.8	427.74	0.15	0.17	0.0	0.0	358.06	406.18	110.76	515.98	51.13	1.59	517.38	0.32	0.3	0.68	0.0	0.0	1.25	0.0	0.22	318.61	39.97	0.33	0.66	0.62	0.0	88.63	89.8	90.04
Nom1	3.31	7.51	7.25	27.66	1.23	1.33	4.95	0.61	3.97	25.15	1.69	7.37	2.54	68.63	1.36	3.52	9.81	18.33	4.35	3.26	3.59	4.48	5.58	3.65	7.13	11.04	10.72	34.61	8.34	4.22	3.9	8.07	7.25	1.64	1.55	16.98	12.24	1.84	20.01	21.6	20.55
Nt5c3	0.13	0.0	0.0	0.0	0.0	1496.48	11.94	0.0	0.0	0.0	190.27	0.0	101.48	199.38	1.81	5.05	2.09	4.78	157.82	136.81	7.07	82.68	164.16	262.11	0.46	0.22	0.49	0.52	0.0	0.0	0.0	0.0	273.49	0.0	0.0	0.56	0.0	0.0	60.33	60.83	50.29
Ntrk3	0.06	0.0	0.0	0.0	0.0	0.0	51.21	182.88	155.3	0.0	0.0	0.0	148.37	319.52	0.0	80.85	23.2	142.54	2.41	54.25	100.56	72.83	44.93	0.0	0.23	0.08	48.55	0.0	1798.43	0.0	0.0	0.0	152.05	0.0	0.0	0.0	0.09	0.0	58.9	50.57	64.35
Nudt15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	76.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.83	5.81	5.31
Nutf2	0.33	0.0	8.34	0.0	0.0	0.0	2.71	0.58	0.0	0.0	299.83	0.54	133.43	401.85	58.74	49.64	70.24	13.09	66.75	22.01	0.73	1.25	1.02	12.41	0.0	0.0	9.96	0.0	0.0	4.64	0.0	0.0	0.0	2.04	0.32	0.43	0.2	0.0	23.22	23.39	25.44
Ogdhl	0.59	0.0	0.0	0.0	0.0	0.0	1.57	0.0	0.0	0.0	0.0	0.0	14.46	73.78	2.92	18.34	0.1	0.0	0.49	2.47	6.32	0.0	1.31	1.95	0.0	0.0	290.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	73.51	75.56	72.3
Panx1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29	0.0	101.12	0.0	0.0	0.0	58.63	0.0	0.88	0.0	0.0	0.0	0.0	0.33	0.0	12.4	0.0	0.0	0.0	0.0	0.0	0.0	14.5	0.17	0.0	0.0	0.0	17.96	20.74	18.98
Parp11	0.33	0.97	6.47	0.0	0.81	0.0	0.24	0.0	1.34	0.0	0.0	0.39	0.23	66.26	0.0	0.13	0.0	13.08	0.0	1.87	1.95	0.0	0.0	0.0	0.0	0.24	98.0	0.56	0.0	0.0	0.0	0.11	0.0	8.49	0.09	0.2	4.31	0.0	13.63	12.63	13.24
Pcdhb13	0.0	0.0	0.0	0.11	0.0	0.1	0.0	0.0	26.69	0.0	0.0	0.0	0.0	110.5	0.09	0.0	0.0	0.0	0.0	0.0	0.0	1.88	0.0	64.52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.1	0.0	4.35	5.11	5.2
Pcsk5	0.04	0.0	0.3	0.13	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.16	0.08	87.12	24.63	37.21	0.46	0.0	15.94	0.0	42.9	35.13	0.14	0.0	0.0	0.0	0.23	0.0	0.0	0.0	0.0	0.0	0.1	0.18	0.07	0.08	0.0	7.95	7.01	8.22
Pigm	0.72	1.37	0.45	0.0	0.0	0.0	4.31	4.96	12.03	0.0	0.0	0.0	13.54	43.34	31.01	3.59	3.56	12.86	7.65	11.6	2.29	4.04	7.69	3.39	0.0	0.0	3.04	0.64	0.4	0.58	37.15	0.11	2.3	2.37	0.2	10.17	36.88	0.0	7.88	7.13	7.52
Pisd	130.87	11.32	187.39	0.0	0.0	1.38	16.82	13.28	363.6	0.0	9.98	0.28	34.04	194.15	7.92	0.0	60.87	120.05	19.65	64.04	40.56	7.65	12.9	13.19	61.28	105.99	0.68	0.05	0.0	0.0	1.43	0.0	99.16	8.1	0.33	0.2	194.38	46.29	69.17	65.01	59.76
Pkd1	0.0	2.32	0.0	0.0	0.0	0.0	11.92	0.0	0.0	0.0	12.49	0.0	0.0	13.24	0.0	6.54	0.14	0.82	29.8	4.29	1.02	3.55	0.35	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	33.03	31.69	34.04
Pkia	103.19	0.2	0.0	0.0	0.0	0.0	151.3	1.4	0.0	0.0	0.7	0.16	84.16	244.93	81.2	0.13	7.4	32.22	20.21	42.53	7.45	37.08	1.38	73.72	0.0	0.0	0.59	0.0	0.0	0.0	0.0	0.13	59.41	41.13	0.29	0.11	0.1	0.0	143.55	141.29	132.93
Ppip5k1	0.0	0.0	91.34	0.0	0.0	0.0	0.0	1.41	0.0	0.0	0.59	0.0	0.81	39.92	1.23	17.84	13.66	4.93	0.77	7.34	2.03	11.72	23.96	3.08	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0	22.6	0.0	0.07	0.03	0.0	66.18	64.87	65.93
Ppm1e	0.15	0.0	0.0	0.0	0.0	0.0	89.87	123.31	0.05	1.06	87.57	0.0	12.26	107.09	125.31	31.63	31.89	54.91	36.88	69.35	1.27	30.42	43.07	41.29	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.0	10.26	4.06	0.06	0.13	0.03	0.0	127.2	120.08	127.03
Ppp2r2c	19.46	0.0	0.0	0.0	0.0	0.0	176.09	75.44	27.59	0.0	26.17	0.15	92.72	113.95	39.61	32.12	13.67	0.0	18.66	21.56	24.78	10.47	62.49	16.68	0.0	0.0	0.36	0.0	0.0	0.0	0.0	0.0	38.59	3.93	0.09	0.41	0.13	0.0	446.28	420.01	458.99
Prpf4b	3.53	54.81	124.43	41.34	0.0	59.22	122.59	26.74	0.0	0.0	0.58	0.0	98.35	117.46	20.35	39.72	43.19	70.29	27.4	57.39	92.95	71.66	96.92	40.08	0.45	0.14	0.16	0.34	0.0	703.19	26.31	0.0	0.0	36.32	0.0	0.18	6.56	0.0	57.17	46.5	56.26
Psmc6	135.88	0.0	28.51	0.0	0.0	0.0	121.92	190.13	743.77	0.0	8.42	0.39	275.4	859.34	120.36	101.18	334.7	439.06	347.91	438.69	786.57	648.59	276.82	345.06	13.84	0.21	0.0	0.5	0.0	0.84	2.31	10.21	246.66	198.81	0.46	69.07	473.9	0.0	96.35	94.44	98.4
Pvr	0.0	0.0	0.0	0.0	0.0	0.0	3.03	0.0	0.0	0.0	0.0	0.0	16.07	62.55	0.58	0.0	0.0	3.42	0.0	0.0	0.28	54.95	0.0	0.0	0.0	0.0	0.0	2.97	0.0	0.0	0.0	0.0	0.3	0.0	0.0	0.0	0.0	0.0	7.31	7.36	6.8
Rbm7	0.21	437.09	5.61	0.0	0.0	0.0	0.0	221.5	0.0	0.0	0.72	0.0	0.0	209.51	0.0	0.0	0.0	0.0	76.6	16.98	0.0	1.56	3.8	62.36	0.0	0.0	0.0	0.0	694.7	0.36	0.0	0.0	0.0	1.58	0.0	0.23	0.2	0.0	32.31	35.79	34.1
Rfc4	0.0	0.0	0.0	0.0	0.0	0.0	164.05	0.0	0.0	0.0	0.0	0.0	0.0	90.19	0.0	31.11	0.0	0.0	0.0	9.36	0.0	0.0	0.0	0.0	0.0	0.0	0.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.0	0.15	0.0	4.63	4.75	5.8
Rnd3	0.0	0.0	0.0	120.88	0.0	0.0	297.2	0.08	0.0	0.0	175.29	0.42	0.0	103.79	0.12	0.0	0.0	6.26	53.2	11.81	222.47	17.98	4.35	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.0	113.41	61.44	209.54	0.15	276.58	0.0	15.39	13.81	11.67
Rnf167	128.36	417.29	418.23	0.0	15.31	0.0	278.95	199.44	0.0	0.0	251.62	0.8	121.08	411.56	143.0	99.85	133.51	171.02	63.56	136.85	121.33	0.93	126.09	66.14	0.91	2.56	0.49	0.0	0.0	0.86	0.8	1563.73	208.31	144.31	647.94	1.11	0.59	0.0	79.79	84.43	77.3
Rybp	36.78	0.0	0.0	0.0	0.0	0.0	10.47	0.0	0.0	0.0	20.56	0.0	15.7	78.02	1.46	0.0	0.0	1.7	0.0	1.76	11.58	0.16	0.0	0.0	0.0	0.0	0.99	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	38.07	36.05	34.87
Scarna13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	92.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.64	1.31	0.42
Slc19a1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27	1.22	73.61	0.0	43.62	56.39	22.71	0.0	15.46	0.0	2.79	0.76	0.0	0.0	0.0	0.0	0.0	62.89	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.08	0.0	14.88	17.91	16.34
Slc24a2	33.32	0.0	0.0	0.0	0.0	0.0	4.69	0.0	6.76	0.0	27.08	0.28	157.73	333.36	159.64	63.94	28.13	21.37	32.33	59.28	80.67	3.11	53.07	62.17	0.06	0.06	0.21	0.07	0.0	0.48	0.0	0.0	165.48	32.71	0.2	0.31	0.1	0.0	186.31	165.34	192.36
Slc25a47	0.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.52	2.5	3.19
Smarcc1	1.96	0.0	3.86	0.0	0.0	0.0	93.11	1.71	3.87	1.82	4.52	0.1	61.47	26.18	18.77	20.12	2.24	7.21	1.25	9.25	4.38	4.5	4.35	3.36	0.0	0.06	0.13	0.0	1.49	0.0	0.0	0.0	93.85	13.79	0.0	25.75	0.33	0.0	34.43	31.44	33.7
Snrpc	83.52	61.89	0.0	0.0	0.0	0.0	99.14	0.0	145.62	166.01	18.04	0.0	0.0	143.63	54.41	36.01	73.87	0.0	31.84	80.02	119.62	117.93	0.0	163.75	0.0	0.0	1889.28	0.0	522.93	0.0	0.0	0.0	316.59	18.46	0.0	0.58	0.0	451.94	51.93	59.98	51.42
Snrpd3	476.14	233.63	0.0	0.0	880.05	0.0	400.53	164.8	316.12	0.0	697.98	504.94	531.12	905.13	115.63	403.68	410.78	59.13	192.51	241.76	507.55	546.83	393.41	122.79	1.21	938.42	0.0	412.27	839.87	2.3	0.0	0.0	371.51	182.23	0.0	0.74	535.72	1.08	107.47	102.98	113.25
Snx16	166.32	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.0	56.33	0.0	0.0	129.37	104.23	56.6	32.84	117.54	93.82	44.81	96.18	34.94	7.23	29.16	0.0	0.0	0.0	0.0	0.0	0.24	0.0	0.0	0.0	0.0	0.0	5.8	0.0	0.0	30.17	25.88	29.33
Snx19	3.77	0.0	0.0	0.0	0.0	0.0	1.89	0.0	0.0	0.11	0.0	0.0	9.76	159.27	0.0	5.97	0.0	0.0	1.36	7.54	0.0	29.74	0.0	0.73	0.0	0.0	0.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	38.68	39.83	40.53
Snx25	38.91	0.0	0.0	0.0	0.0	0.0	48.41	0.0	0.0	0.0	0.0	0.0	0.0	147.59	0.0	3.67	0.11	0.0	25.88	13.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	90.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	45.36	44.33	44.34
Sorbs1	0.14	247.13	284.66	0.0	69.55	263.45	19.77	0.04	86.44	0.0	167.61	280.83	2.22	279.34	4.78	61.39	41.12	0.22	3.65	47.22	19.22	11.36	5.03	0.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	70.54	9.88	0.33	308.56	0.17	0.0	69.42	65.03	69.8
Spg21	0.0	0.0	0.0	0.0	0.0	0.0	93.27	0.0	0.1	0.0	0.0	0.0	0.0	36.7	28.25	0.0	0.39	0.0	0.0	1.45	0.0	0.0	0.0	0.0	0.0	0.12	0.48	0.0	0.53	0.0	0.0	0.0	0.0	38.81	0.0	0.15	0.0	0.0	25.57	26.44	23.71
Sstr4	34.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.04	1.74	14.54	1.02	0.0	18.05	3.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.73	23.69	26.85
Stard3nl	64.88	0.0	0.0	2.63	0.0	0.0	174.09	182.58	0.0	847.45	353.99	0.48	57.48	198.27	85.31	94.32	139.7	3.14	85.47	85.97	0.0	3.93	195.55	46.07	0.0	0.26	0.58	1.23	0.0	0.0	20.53	0.0	24.08	1.46	1.13	0.33	0.28	0.48	62.67	60.81	62.69
Sub1	883.77	0.0	50.19	68.83	4.34	299.22	530.31	981.45	745.18	0.0	477.63	167.36	512.5	737.9	746.0	542.48	517.74	587.92	461.47	733.36	919.66	503.33	720.16	844.33	0.2	0.82	0.22	149.35	0.0	181.83	78.73	0.28	359.17	818.88	1.48	261.27	83.22	0.18	139.01	141.93	132.96
Sun1	210.66	0.0	0.0	0.0	0.18	0.0	152.36	39.26	0.26	158.51	362.83	0.66	0.6	144.67	57.55	50.05	149.66	0.11	56.58	40.84	15.91	62.93	6.75	77.98	0.0	0.09	0.54	0.43	0.39	0.36	0.17	0.98	261.32	15.45	201.34	0.34	0.31	0.0	77.42	79.01	78.25
Syce2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.63	0.0	11.19	0.0	0.0	0.0	3.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.15	5.01	4.01
Tbc1d1	0.0	0.0	0.0	0.0	0.18	0.0	40.47	0.0	0.06	0.0	0.0	0.0	0.0	37.36	0.12	12.6	19.83	4.66	0.69	2.36	42.85	0.0	37.12	0.06	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	98.35	0.0	0.0	0.0	12.2	12.12	11.44
Tbl3	163.72	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0	1.03	0.0	0.0	100.1	54.47	86.61	0.0	0.0	17.2	29.19	0.0	0.0	0.0	0.13	0.0	0.13	0.0	7.4	0.0	1.03	0.0	3261.03	0.0	0.0	0.0	0.0	0.0	0.0	22.39	27.91	24.73
Tfap2b	0.05	0.11	0.0	0.07	0.0	0.0	0.17	0.04	0.0	0.07	0.0	0.0	0.47	0.19	0.0	0.0	0.01	0.07	0.0	0.0	0.0	0.0	0.17	0.0	0.0	0.16	0.28	0.25	0.24	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.49	0.48	0.38
Tra2a	142.5	0.0	46.91	33.24	21.63	0.0	23.53	1.21	0.0	0.0	0.0	0.0	15.62	149.27	24.82	26.27	10.73	0.0	10.06	50.82	3.14	19.64	19.07	24.31	0.0	0.0	161.13	0.0	38.61	0.0	0.0	2.84	38.62	6.79	17.81	2.99	0.1	0.0	83.97	67.88	73.86
Trappc5	0.09	41.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.31	205.46	0.0	46.61	0.0	12.67	0.0	13.08	14.46	0.0	19.95	0.12	0.0	0.0	0.0	0.0	0.0	2.23	0.0	0.0	14.52	0.0	0.0	0.62	137.7	0.0	36.17	39.81	37.43
Tsc2	5.08	0.0	80.57	0.0	0.0	81.61	35.05	0.18	0.0	0.1	0.0	0.0	6.58	102.07	0.67	0.91	0.0	50.81	0.55	13.92	29.03	5.68	2.33	10.39	0.22	0.16	0.24	0.0	0.0	0.0	30.72	0.0	87.99	21.53	0.46	1.98	0.36	0.0	54.95	54.1	55.36
Tspyl4	213.64	0.0	0.0	0.0	0.0	0.0	202.12	522.7	13.21	0.0	331.0	1.37	95.16	550.46	235.53	123.27	50.62	135.69	66.28	58.45	37.61	145.06	48.0	85.65	0.17	0.25	0.19	5.52	72.29	0.16	0.0	0.0	174.74	426.98	0.18	1.48	0.73	0.0	398.34	408.0	381.62
Ttc15	215.65	0.0	0.0	0.0	0.0	0.0	34.28	0.0	0.0	0.0	0.82	0.0	47.27	189.52	64.42	75.79	60.2	35.62	21.82	8.27	9.49	6.39	0.0	1.82	0.0	0.1	0.0	0.0	0.0	527.63	1.71	0.0	17.74	20.86	0.11	0.0	0.11	0.0	59.74	63.17	59.81
Wdr31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	124.37	67.72	34.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.16	6.26	6.71
Wdr70	0.74	0.0	0.0	0.0	0.0	0.0	5.39	0.0	0.0	0.0	1.21	6.74	0.0	112.36	3.5	0.0	0.0	0.0	17.07	11.76	0.78	0.0	3.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.07	0.0	0.25	0.0	0.0	0.25	0.0	10.89	11.87	11.61
Zbtb26	0.0	25.39	0.0	0.0	0.0	0.0	0.0	52.02	0.0	0.0	0.0	0.0	0.34	23.61	0.0	9.77	2.93	0.0	6.28	4.87	7.25	0.0	0.86	0.0	0.13	0.06	0.14	0.0	0.0	0.0	0.25	0.0	0.0	0.07	0.0	0.0	0.03	0.22	6.06	4.46	5.01
Zc3h18	0.0	3.49	0.0	0.0	0.0	0.0	4.99	0.0	0.0	0.0	0.0	0.0	0.0	10.45	23.85	7.02	0.28	0.0	0.11	3.93	9.29	3.16	0.0	0.0	0.0	50.87	0.0	0.0	0.0	0.0	0.0	0.0	11.72	0.0	0.0	0.0	0.0	0.0	30.0	31.22	31.72
Zfp827	0.0	0.0	0.0	0.1	0.0	0.0	54.83	0.0	41.27	0.0	20.51	0.16	0.0	43.88	26.07	0.0	31.17	0.05	4.61	4.97	8.12	0.0	0.0	0.04	0.0	0.01	0.0	5.46	0.0	0.0	0.08	0.0	0.0	2.82	0.0	0.0	0.02	0.0	19.14	18.31	19.24
Zfp9	99.27	60.55	29.76	13.95	14.17	24.65	167.96	80.05	20.96	78.69	25.04	14.45	133.54	111.5	13.31	36.55	15.44	39.3	57.43	29.11	46.17	33.72	35.18	21.81	15.03	15.8	59.81	29.4	26.93	31.68	58.32	27.11	30.98	19.25	43.19	26.75	18.0	13.81	19.53	19.7	18.5
Zfp952	0.0	0.0	11.1	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.43	0.2	0.0	232.94	22.63	0.16	0.0	140.8	0.12	20.53	30.68	0.0	0.22	1.12	0.0	0.0	70.52	0.0	0.0	0.0	10.55	0.0	0.0	0.0	0.0	0.0	0.0	33.33	14.02	13.76	12.9
Zmat3	1.5	4.29	2.1	3.63	4.45	2.13	5.06	0.57	1.52	1.4	1.93	0.82	2.81	84.83	14.24	14.52	18.98	2.11	2.25	19.36	5.36	4.02	15.54	0.9	1.0	1.97	54.6	4.22	2.91	2.37	2.3	1.33	5.76	0.9	0.73	1.04	3.34	0.54	42.46	39.38	38.1
c4_LSU-rRNA_Hsa	0.0	0.0	8.02	9.81	12.6	0.0	1.38	0.0	1.93	11.61	0.0	0.0	0.0	14.66	43.62	0.0	11.88	0.0	0.0	0.0	0.0	0.0	1.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.36	0.0	0.0	0.0	4.01	0.0	2.39
c9_tRNA-Ala-GCY_	8.13	0.0	192.27	0.0	0.0	210.07	0.0	59.49	30.18	48.3	0.0	0.0	0.0	170.84	46.8	24.37	39.68	94.41	18.42	16.13	35.77	69.23	43.36	40.44	0.0	0.0	118.2	0.0	117.28	0.0	0.0	64.76	346.4	7.83	9.29	0.0	13.75	0.0	74.87	45.68	58.87
