	Ctgf_tdTpositive_cell_3	Gad2_tdTpositive_cell_47	Gad2_tdTpositive_cell_55	Gad2_tdTpositive_cell_57	Gad2_tdTpositive_cell_75	Nkx2.1_tdTpositive_cell_18	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_8	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_40	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_55	Pvalb_tdTpositive_cell_70	Pvalb_tdTpositive_cell_72	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbD.Slc32a1_tdTpositive_cell_26	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_39	PvalbF.Gad2_tdTpositive_cell_42	Tac2_tdTpositive_cell_8	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Twf2	0.0	0.0	0.0	0.26	0.0	20.58	32.85	0.0	37.82	0.0	33.12	42.07	0.0	0.0	13.42	79.13	0.0	0.0	109.5	0.0	35.18	57.76	61.83	57.56
Txndc2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.11	0.12
Ube3c	0.0	77.77	28.57	0.0	32.08	28.96	42.1	7.35	6.06	27.53	14.82	25.09	12.53	7.91	5.45	30.83	11.87	14.66	86.13	24.27	2.56	55.48	54.31	55.77
Usp26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.02
Usp53	0.0	19.09	0.57	4.5	0.0	0.0	0.0	7.18	0.0	0.0	0.0	0.0	25.05	0.1	0.0	0.0	0.0	0.0	34.39	0.0	0.0	11.95	9.78	11.32
Vgll2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.26	0.07
Vmn2r11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.04
Zfp750	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.06	0.03
Zfp92	0.0	0.86	0.81	0.39	0.12	0.0	0.1	0.43	0.65	0.26	0.0	0.29	0.56	0.71	0.72	0.62	0.37	0.27	1.53	0.32	0.13	1.6	1.56	1.68
Zscan10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.03	0.04
mt_AK131586	6370.03	0.0	0.04	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18796.57	17507.83	18655.33
