	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_70	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_33	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Qrfpr	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	92.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.67	0.0	5.63	4.63	4.73
Rad51ap1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	111.22	34.73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.15	4.97	1.73	2.03	2.74
Rassf2	0.0	0.36	0.15	0.22	0.03	0.15	0.07	0.06	0.13	0.0	47.11	0.09	0.25	0.08	0.12	0.24	4.01	0.06	0.24	6.44	4.76	29.35	29.69	31.74
Rfc5	4.12	0.0	0.0	0.88	0.0	0.0	0.0	0.0	0.0	0.0	53.29	0.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.97	4.27	12.53	13.81	12.75
Rpusd3	18.1	0.0	0.0	0.0	49.98	0.0	0.0	0.0	31.57	0.0	105.44	0.0	0.0	0.0	0.0	47.0	0.0	0.0	0.0	4.83	7.58	9.4	10.72	10.56
Scrn2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	110.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.36	4.71	5.02
Sept1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.55	0.0	0.0	0.0	0.0	2.26	0.0	0.0	0.0	0.21	2.19	0.62	0.39	0.99
Sf3a2	0.0	7.87	0.4	0.0	32.63	0.62	0.0	0.0	4.89	0.0	72.66	0.0	0.0	0.0	0.0	0.53	0.6	0.0	14.74	1.63	1.05	29.43	32.21	30.48
Sf3b2	69.28	78.47	109.69	61.16	129.39	58.31	59.34	44.98	54.6	47.1	178.52	69.85	39.63	32.56	9.0	132.68	64.83	50.17	121.96	104.42	123.86	167.14	177.62	163.63
Shc3	0.0	0.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.19	0.69	45.22	41.9	55.7
Slc2a8	0.0	0.0	0.48	0.0	0.0	0.0	2.4	0.72	0.0	0.0	17.96	0.0	0.0	0.1	0.0	0.0	0.24	0.0	0.0	0.29	2.35	23.79	26.38	27.3
Smurf2	0.12	0.64	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.0	45.43	39.63	0.0	0.0	0.0	0.0	1.6	0.0	0.0	3.05	4.51	20.16	18.36	19.15
Snca	284.35	367.71	381.39	306.4	339.02	399.75	244.61	647.13	609.36	326.77	543.8	287.36	376.17	517.27	391.83	385.78	300.59	516.85	347.29	1840.25	1518.66	410.27	436.81	425.96
Snord8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	81.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.24	0.0	0.0	1.62
Spag1	0.0	7.63	0.0	0.0	0.0	0.0	0.0	0.0	3.4	0.0	27.48	4.35	0.0	0.0	0.0	3.44	0.53	0.0	0.0	2.68	0.65	10.31	9.19	9.88
Spin4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.25	0.59	0.51	0.61
Srbd1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.8	0.0	0.0	50.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.61	2.86	1.27	6.38	7.04	7.44
St6galnac4	0.0	0.0	0.0	0.0	0.04	0.05	0.0	0.0	0.11	0.0	73.13	0.0	0.06	0.0	21.91	0.0	0.0	0.0	0.0	4.64	3.56	12.36	14.14	13.27
Stx1a	80.62	88.5	2.27	0.65	1.54	49.38	92.53	194.11	82.53	81.27	102.87	1.37	286.6	51.32	5.54	86.1	110.75	0.0	118.53	343.12	407.58	316.19	325.03	318.03
Stx6	26.92	0.0	11.0	27.12	0.41	0.83	3.79	14.9	0.0	3.13	118.03	2.79	0.1	0.0	0.79	24.66	36.01	0.0	0.24	22.01	24.06	83.27	86.9	85.83
Syt7	13.87	5.31	0.5	2.57	14.13	0.09	3.61	1.22	0.71	21.74	39.08	0.0	0.56	4.0	0.08	29.51	8.52	1.34	20.55	39.12	34.42	137.04	129.89	141.23
Taco1	1.96	0.0	0.0	0.0	0.0	0.08	25.98	0.0	12.85	0.0	91.81	0.0	0.0	0.0	0.0	42.74	6.61	0.0	0.0	14.39	12.79	20.89	20.1	20.02
Tatdn1	56.51	0.0	23.37	0.06	1.87	0.08	55.19	5.21	0.0	68.07	122.66	7.39	49.39	0.78	0.0	0.0	27.7	0.0	4.83	17.42	15.33	11.43	10.56	10.66
Tctn2	0.0	0.0	0.0	0.03	0.0	0.49	0.0	0.0	0.0	0.0	67.34	0.09	0.84	0.08	0.0	6.31	0.0	0.1	0.0	7.64	6.35	20.4	19.69	20.58
Tfdp2	0.0	0.0	0.96	0.0	0.02	0.0	0.09	19.63	0.0	0.18	52.7	0.2	0.0	0.09	0.0	0.17	0.0	0.0	1.08	2.38	3.44	17.23	15.54	16.2
Tfip11	0.0	0.0	0.05	20.54	0.0	6.74	0.0	47.73	2.17	0.0	80.86	0.0	16.75	70.76	0.0	21.87	0.0	59.04	36.29	16.98	11.73	35.65	37.75	36.35
Tgds	0.0	0.0	0.15	0.14	0.15	0.0	0.15	0.0	0.14	0.19	47.41	0.1	0.16	24.48	23.08	0.0	0.33	1.01	0.0	14.16	4.16	5.52	4.71	5.75
Tmem55b	24.31	16.26	0.0	8.28	12.47	6.36	0.0	4.01	0.0	9.92	92.53	19.76	15.86	16.74	9.9	0.15	26.61	0.0	28.59	7.97	8.95	64.05	65.76	59.84
Tmem98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	90.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.89	13.5	14.27	16.45
Triap1	46.77	89.8	44.7	0.7	61.55	80.77	49.25	0.0	0.0	0.0	180.12	119.65	0.0	2.47	27.44	26.89	0.0	47.54	1.74	57.2	74.41	27.8	31.17	28.3
Tti1	12.15	0.0	0.0	0.02	0.0	2.56	0.0	0.0	0.0	8.61	155.82	0.0	0.0	0.05	0.07	0.08	0.0	0.0	0.0	4.72	15.92	15.11	15.61	15.15
Usp7	0.0	1.62	70.66	5.18	0.21	7.3	55.27	21.88	26.29	11.32	118.34	15.02	4.0	0.87	3.39	0.27	6.19	17.18	4.28	23.44	17.97	85.78	84.07	81.9
Vmn1r45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.03	0.06
Vmn2r37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.08
Vmn2r43	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.35	0.0	0.21
Zfp369	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.0	78.39	0.0	0.0	0.0	0.0	7.12	0.01	0.0	0.0	4.67	3.02	16.29	11.77	15.21
Zfp595	0.0	0.0	0.0	0.22	0.0	0.0	0.0	0.0	0.0	0.0	53.84	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.07	1.9	1.32	2.09	1.48	1.71
Zfp687	0.0	0.22	9.75	0.3	12.4	1.27	0.0	0.0	3.49	0.75	18.77	0.17	0.0	1.64	0.42	4.63	0.42	2.12	0.0	1.26	2.28	16.24	17.64	17.33
c13_tRNA-Met-i	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
c14_5S	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.07	0.0	71.12	0.0	0.0	0.0	0.0	0.0	8.24	0.0	0.0	0.0	0.0	10.37	13.69	13.41
