	Calb2_tdTpositive_cell_27	Calb2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_20	Chrna2_tdTpositive_cell_51	Chrna2_tdTpositive_cell_54	Chrna2_tdTpositive_cell_57	Chrna2_tdTpositive_cell_68	Chrna2_tdTpositive_cell_72	Cux2_tdTpositive_cell_47	Cux2_tdTnegative_cell_16	Htr3a_tdTpositive_cell_95	Ndnf_tdTpositive_cell_2	Nos1_tdTpositive_cell_38	Nos1_tdTpositive_cell_46	Nr5a1_tdTpositive_cell_31	Ntsr1_tdTpositive_cell_14	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTnegative_cell_19	Ntsr1_tdTnegative_cell_37	Ntsr1_tdTnegative_cell_41	Ntsr1_tdTnegative_cell_44	Rbp4_tdTpositive_cell_1	Rbp4_tdTpositive_cell_3	Rbp4_tdTpositive_cell_24	Rbp4_tdTpositive_cell_53	Rbp4_tdTpositive_cell_56	Rbp4_tdTpositive_cell_59	Rbp4_tdTpositive_cell_73	Rbp4_tdTpositive_cell_99	Rbp4_tdTpositive_cell_123	Rbp4_tdTpositive_cell_157	Rbp4_tdTpositive_cell_161	Rbp4_tdTpositive_cell_163	Rbp4_tdTnegative_cell_12	Rbp4_tdTnegative_cell_15	Rorb_tdTpositive_cell_25	Rorb_tdTpositive_cell_26	Rorb_tdTpositive_cell_29	Rorb_tdTpositive_cell_30	Rorb_tdTpositive_cell_31	Scnn1a.Tg3_tdTpositive_cell_71	Scnn1a.Tg3_tdTnegative_cell_13	Scnn1a.Tg3_tdTnegative_cell_19	Slc17a6_tdTpositive_cell_23	Slc17a6_tdTpositive_cell_39	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28
Kcnmb1	0.2	0.6	0.48	0.16	0.0	0.09	0.0	0.19	0.51	0.12	0.0	0.38	0.0	0.42	0.3	0.25	0.59	0.0	0.28	0.28	0.0	0.0	0.54	0.17	0.2	0.98	0.07	0.36	0.61	0.08	0.26	0.65	0.34	0.13	0.0	0.0	0.62	0.53	0.87	0.62	0.53	0.86	0.0	0.0	0.0	0.64	0.07	0.14	0.06	0.21	0.0	0.0
Kcnq1ot1	54.42	101.16	42.0	11.9	11.64	19.16	52.55	68.37	84.14	122.75	137.07	48.07	92.57	56.57	40.17	63.4	26.65	25.11	17.82	78.12	48.57	32.56	88.52	61.17	77.36	71.36	37.57	83.03	81.78	17.39	89.74	104.65	61.19	87.99	8.23	24.81	142.49	100.27	115.01	102.56	83.33	163.63	23.93	16.64	71.24	48.79	32.73	53.73	29.16	43.27	38.76	28.83
Krit1	0.0	115.1	59.79	1.44	0.32	0.0	6.69	5.15	6.96	0.08	55.29	5.92	9.83	24.99	39.82	24.86	20.91	41.52	0.0	0.18	411.1	0.06	93.17	64.25	40.17	12.3	1.03	17.43	22.6	43.32	41.91	40.3	0.0	84.02	3.81	0.21	94.97	51.53	69.59	0.89	26.44	40.22	184.95	101.2	8.63	45.91	44.66	0.23	31.31	13.56	2.29	0.67
Mtap4	302.24	118.0	68.12	27.46	25.05	72.37	129.94	247.32	225.73	0.37	94.9	120.43	193.88	228.19	110.53	114.57	6.78	112.74	0.0	90.63	1.95	0.0	274.78	66.15	108.0	0.08	97.97	141.02	235.87	0.09	0.32	75.72	266.8	164.87	125.78	0.24	210.68	162.9	213.57	68.47	132.74	480.81	0.0	22.54	21.97	60.78	96.65	37.96	23.21	23.18	64.69	82.34
Nucks1	73.33	166.88	91.29	23.39	15.12	15.81	2.88	91.17	0.76	106.05	0.41	8.47	34.03	44.98	1.12	69.89	62.09	95.39	136.82	242.38	0.3	6.63	35.77	120.55	134.28	71.06	55.01	105.42	99.38	30.23	99.95	304.3	343.14	165.02	73.76	0.18	85.34	74.94	49.33	81.64	86.12	64.3	0.0	12.64	10.23	151.9	1.62	145.69	30.96	89.78	42.94	78.66
Nupl1	0.0	0.0	0.0	10.52	0.0	0.0	0.0	0.0	0.0	0.0	36.94	27.82	0.42	0.0	0.0	0.0	20.09	2.21	0.0	45.39	0.0	0.0	0.0	0.0	0.0	0.0	0.83	5.07	2.59	0.0	0.0	0.0	0.0	0.81	0.0	0.0	0.11	0.07	7.84	8.26	4.58	0.0	0.0	0.0	0.0	0.0	0.12	0.0	5.74	2.61	0.0	0.0
Pclo	25.72	2.39	1.47	6.32	44.61	11.66	66.0	49.44	9.81	32.52	7.21	37.62	26.33	28.55	61.38	15.44	10.62	23.22	0.0	29.96	0.04	0.3	96.39	49.98	9.33	64.31	13.95	77.55	54.71	59.84	79.72	59.31	56.39	22.74	0.02	0.0	89.99	34.39	87.73	54.18	94.11	28.32	0.0	0.0	24.69	44.99	23.99	15.07	10.0	10.94	21.08	16.79
Phactr3	0.0	0.0	0.0	0.09	0.0	0.0	33.63	0.22	0.07	0.0	0.54	19.99	0.0	0.0	19.57	65.47	0.05	8.26	122.67	0.11	41.21	25.92	45.99	0.0	0.08	11.57	0.08	12.3	0.06	0.0	22.64	62.77	0.08	0.0	0.05	0.0	17.35	0.05	0.0	21.41	33.95	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	73.41	2.34	0.0
Pi15	19.49	35.13	13.8	6.36	11.29	5.78	13.7	28.46	38.21	57.97	47.85	35.58	22.88	18.87	8.91	24.62	10.25	11.47	14.58	32.44	4.4	4.09	34.52	16.19	32.87	13.13	15.46	32.05	39.76	11.32	35.34	40.44	24.6	32.31	5.64	12.07	46.38	36.64	36.6	36.43	24.65	81.23	0.44	13.55	42.77	19.12	13.88	14.51	6.79	10.76	10.13	7.59
Pirt	0.26	2.26	0.4	0.51	0.0	0.52	1.09	1.0	1.32	4.86	4.82	1.04	1.14	0.89	0.38	1.14	0.72	0.0	0.18	1.24	0.0	0.34	1.71	1.09	1.09	0.98	0.43	1.31	1.2	0.2	0.42	0.86	1.48	0.78	0.0	0.29	1.84	0.74	1.34	1.44	0.75	3.28	0.0	0.0	0.96	1.84	0.0	0.43	0.13	1.27	0.49	0.34
Pold4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.44	0.0	0.0	0.0	0.0	311.75	0.0	0.0	0.0	0.0	0.0	82.31	68.91	0.4	0.0	0.0	36.38	50.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.98	0.0	0.0	0.0	0.0	0.0	0.0	0.33	0.0	0.0	0.0	123.97	79.74
Ppm1l	0.0	0.0	0.31	0.0	0.0	0.0	10.39	41.08	0.0	0.0	0.0	105.05	0.0	0.0	0.0	85.56	1.25	0.0	0.0	0.0	0.0	0.0	82.12	72.84	0.0	8.98	8.97	14.07	6.51	0.55	0.0	0.0	0.0	0.0	0.0	0.0	201.13	70.01	55.71	3.47	66.62	348.8	0.0	0.0	54.75	30.73	58.07	121.81	23.08	0.6	0.08	20.02
Ppp4r2	0.0	144.94	5.05	0.0	0.0	0.6	163.91	1.46	0.0	0.0	22.02	0.48	0.0	0.0	0.0	7.37	23.03	1.63	0.15	0.0	0.0	0.0	157.95	0.0	0.0	0.0	41.37	8.1	0.0	0.0	117.73	0.0	0.0	0.0	0.07	0.0	6.87	52.72	10.96	17.06	3.1	267.13	0.0	0.0	0.0	201.41	1.01	0.23	0.0	41.99	0.0	5.64
Psg28	14.79	7.65	11.64	1.92	0.87	5.1	9.95	19.1	16.76	14.38	30.49	7.81	17.16	14.05	6.27	8.86	9.24	4.28	0.57	13.61	2.96	13.92	25.36	12.09	16.57	12.61	10.23	19.67	15.84	7.29	21.67	20.18	11.2	19.63	6.76	6.09	36.63	26.39	22.64	23.43	21.92	33.23	4.59	2.45	10.79	7.84	7.29	9.75	10.36	9.05	7.13	3.45
Pum1	60.28	1.39	0.0	60.2	0.17	17.73	41.54	0.91	20.4	92.23	201.24	99.48	45.88	78.94	0.08	0.0	22.54	2.72	0.0	73.19	4.01	0.0	56.33	0.0	124.01	11.42	0.36	54.91	51.47	0.0	125.9	105.01	65.87	47.32	0.0	0.0	19.74	55.31	68.86	54.42	19.64	92.81	0.27	36.96	3.2	40.76	0.0	17.06	31.41	5.47	17.36	4.05
Sacm1l	0.0	171.86	0.0	0.24	4.12	20.45	59.86	0.0	141.78	0.0	1.46	84.42	0.0	82.96	0.0	0.1	20.29	0.31	0.0	0.0	0.0	0.0	139.28	5.22	0.1	0.0	38.27	0.34	79.39	25.81	146.81	2.32	0.0	20.62	0.22	0.0	63.46	106.45	0.26	0.0	169.93	28.82	0.0	0.0	34.0	104.5	53.27	0.08	29.36	0.0	51.67	1.18
Sgk3	0.38	3.1	0.36	0.31	0.0	0.96	0.83	1.14	0.58	1.84	3.9	0.24	0.62	1.28	3.74	3.83	0.51	0.97	0.3	1.58	0.29	0.09	69.02	0.91	1.17	0.37	1.55	2.12	43.29	0.3	5.0	4.94	0.94	0.56	0.62	0.24	3.31	0.63	2.34	1.97	0.24	5.93	0.13	0.16	0.81	0.46	8.9	0.31	7.58	38.72	0.06	0.22
Skint4	6.37	14.07	6.73	5.04	2.92	1.81	6.97	9.78	8.21	30.44	18.39	10.08	13.2	4.94	3.59	4.77	5.87	4.69	5.48	12.61	4.14	11.95	8.97	8.38	10.96	10.66	7.77	12.28	14.51	1.85	12.91	21.36	11.56	14.68	3.49	3.54	22.36	15.46	16.92	13.48	10.4	26.71	0.36	0.31	10.08	6.81	6.12	4.01	1.5	3.9	4.18	2.86
Slc38a7	0.0	0.0	154.37	3.27	56.84	0.0	25.78	22.96	0.0	0.0	0.0	0.11	0.0	1.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	61.17	0.0	0.0	0.0	0.0	0.25	13.23	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.5	0.0	50.44	0.0	1.37	59.73	3.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.72
Slc4a10	145.98	476.76	65.92	14.85	0.04	3.39	36.46	46.56	593.33	118.96	94.63	44.93	191.55	113.27	171.35	145.04	67.02	149.38	0.0	91.71	3.12	0.07	251.38	145.01	201.82	31.53	98.02	320.21	274.14	48.73	0.54	360.36	248.55	448.41	0.0	0.0	244.88	109.19	227.82	279.11	189.64	138.56	0.0	0.0	42.24	101.08	119.74	70.5	72.55	49.36	103.22	134.26
Slfn4	0.48	0.0	0.09	0.0	0.0	0.0	0.56	1.07	0.0	0.0	0.0	0.0	0.51	0.0	0.0	0.0	0.5	0.7	0.0	0.0	0.0	0.0	1.06	0.42	0.1	0.0	0.0	0.0	0.13	0.0	0.19	0.0	0.0	0.48	0.22	0.0	0.07	0.09	0.09	0.0	0.03	0.25	0.0	0.0	0.0	0.0	0.5	0.0	0.54	0.0	0.0	0.0
Snord116	5.85	0.0	5.98	7.4	0.0	0.0	6.69	4.85	4.43	0.0	0.0	0.0	6.33	17.67	0.0	6.48	0.0	9.54	0.0	14.79	0.0	0.0	9.5	7.97	0.0	0.0	0.0	10.33	2.71	0.0	3.43	0.0	6.89	5.71	0.0	0.0	12.38	21.61	24.21	26.55	8.45	0.0	0.0	0.0	0.0	0.0	0.0	5.24	4.47	2.75	0.0	0.0
Snord116l1	5.85	0.0	5.98	7.4	0.0	0.0	6.69	4.85	4.43	0.0	0.0	0.0	6.33	17.67	0.0	6.48	0.0	9.54	0.0	14.79	0.0	0.0	9.5	7.97	0.0	0.0	0.0	10.33	2.71	0.0	3.43	0.0	6.89	5.71	0.0	0.0	12.38	21.61	24.21	26.55	8.45	0.0	0.0	0.0	0.0	0.0	0.0	5.24	4.47	2.75	0.0	0.0
Snord116l2	5.85	0.0	5.98	7.4	0.0	0.0	6.69	4.85	4.43	0.0	0.0	0.0	6.33	17.67	0.0	6.48	0.0	9.54	0.0	14.79	0.0	0.0	9.5	7.97	0.0	0.0	0.0	10.33	2.71	0.0	3.43	0.0	6.89	5.71	0.0	0.0	12.38	21.61	24.21	26.55	8.45	0.0	0.0	0.0	0.0	0.0	0.0	5.24	4.47	2.75	0.0	0.0
Sprr2a1	0.09	0.0	0.16	0.0	0.0	0.05	0.26	0.8	0.21	0.58	0.71	0.05	0.52	0.2	0.58	0.15	0.0	0.0	0.0	0.91	0.0	0.0	0.0	0.29	0.18	0.12	0.05	0.54	0.29	0.0	0.54	0.38	0.05	0.75	0.0	0.0	0.2	0.21	0.04	0.9	0.59	0.14	0.0	0.0	0.64	0.1	0.14	0.31	0.43	0.0	0.0	0.0
Sprr2a2	0.09	0.0	0.16	0.0	0.0	0.05	0.26	0.8	0.21	0.58	0.71	0.05	0.52	0.2	0.58	0.15	0.0	0.0	0.0	0.91	0.0	0.0	0.0	0.29	0.18	0.12	0.05	0.54	0.29	0.0	0.54	0.38	0.05	0.75	0.0	0.0	0.2	0.21	0.04	0.9	0.59	0.14	0.0	0.0	0.64	0.1	0.14	0.31	0.43	0.0	0.0	0.0
Ss18l1	5.22	0.39	19.88	34.19	0.0	56.39	0.2	0.0	2.33	0.0	9.15	46.34	51.66	0.0	0.08	4.22	51.66	48.93	0.0	0.23	0.0	0.0	106.54	0.0	0.39	0.6	0.17	67.98	29.03	0.64	0.08	0.0	2.19	1.85	0.0	0.0	0.9	0.49	88.53	124.97	1.27	0.83	0.0	0.0	0.0	1.45	0.07	2.77	0.0	33.14	0.0	89.96
Stmn1	10414.48	10776.66	8298.19	10587.49	5829.01	7914.47	7694.68	9820.07	9473.65	11391.73	10788.4	10862.63	8302.76	7638.5	9729.87	12096.72	9467.14	8680.94	4460.98	9462.09	5921.51	10015.46	9224.38	10267.64	9644.83	9355.99	8519.23	6797.35	3331.23	8003.8	13005.25	8575.21	11961.92	8724.02	5457.92	5765.28	7113.82	7448.32	7953.01	8042.85	10665.83	7564.55	6841.51	5307.39	10788.95	9399.34	10789.21	9222.0	12161.23	10051.01	11287.74	9866.46
Synj2bp	120.32	154.56	110.86	47.92	92.24	24.52	106.74	92.47	130.12	239.56	445.97	129.91	133.63	120.23	82.46	182.43	66.2	68.92	22.41	157.8	37.97	38.45	273.03	133.7	147.64	72.71	84.18	195.91	182.2	35.71	204.77	212.42	92.48	237.32	7.49	31.02	182.13	209.87	173.61	225.96	99.91	195.78	34.57	12.65	247.97	174.39	111.85	71.78	114.04	145.67	123.89	63.26
Tbl1x	0.0	0.0	0.0	0.0	0.0	0.0	20.29	0.0	0.0	0.0	0.0	8.83	0.0	0.0	0.0	0.0	33.11	0.0	0.0	0.0	0.0	0.0	123.3	0.0	23.01	0.0	0.0	30.23	0.0	0.0	0.0	0.0	3.33	0.0	0.0	0.0	72.78	0.0	8.94	0.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	161.4	0.0
Tcerg1	0.0	37.88	1.22	0.0	0.0	0.0	70.61	4.07	17.05	0.0	0.32	33.94	0.0	0.0	0.0	0.0	0.0	47.39	0.0	1.22	0.0	0.0	56.44	0.78	0.08	5.84	6.25	49.9	34.83	27.72	41.22	67.83	0.6	0.0	0.0	0.0	31.26	19.02	42.66	63.52	181.51	143.52	9.38	0.0	0.0	0.0	33.84	0.0	21.1	29.38	0.0	25.49
Tfrc	0.0	133.39	63.28	32.19	0.94	0.0	30.22	0.0	46.56	0.0	0.0	0.0	0.0	52.96	0.0	0.0	66.49	0.21	0.0	0.0	0.0	0.0	172.56	81.2	35.99	0.0	0.33	97.96	64.77	0.06	3.55	0.0	0.62	72.0	42.56	0.52	351.26	116.09	5.15	96.53	324.97	218.5	0.0	0.0	22.12	18.75	0.92	16.01	0.0	0.78	0.06	0.0
Tmprss11g	2.8	1.46	0.52	0.34	1.34	0.58	1.59	1.5	1.84	3.74	1.08	0.16	1.68	0.42	0.69	0.59	0.6	0.57	0.53	1.89	0.08	0.55	3.66	0.48	2.45	2.29	1.23	2.81	1.36	0.76	3.26	2.29	1.09	2.13	1.22	0.0	4.89	2.55	2.71	2.7	3.52	3.6	0.74	0.16	1.87	1.19	0.99	0.27	1.26	0.39	0.32	0.1
Tomm20	0.0	0.0	0.0	16.32	20.55	14.3	27.53	64.0	0.0	33.45	35.53	59.15	39.37	19.53	6.77	71.08	16.64	8.94	0.0	0.22	0.0	0.0	97.98	96.24	11.03	68.65	11.83	83.84	72.65	16.24	8.71	46.28	0.0	13.87	0.0	0.04	22.87	2.27	20.23	155.69	6.89	90.8	0.0	0.0	44.48	4.95	0.0	53.62	47.29	17.64	51.64	17.78
Trpm7	0.0	2.31	0.24	4.69	0.0	0.0	0.0	30.68	1.71	4.86	12.91	2.01	0.05	16.91	26.78	1.36	0.03	0.81	0.0	75.38	0.0	0.16	68.73	0.1	62.4	0.0	0.69	21.29	41.16	41.31	0.0	1.45	0.9	1.95	0.03	11.86	1.44	1.13	0.9	5.65	58.92	47.51	0.0	0.0	65.08	5.95	73.69	6.95	11.79	9.21	0.0	0.6
Vmn1r58	42.69	190.34	92.99	60.94	37.86	48.96	150.23	181.37	198.49	301.94	222.95	144.79	157.97	185.78	70.35	196.41	69.54	53.97	56.17	133.59	52.31	46.5	225.95	125.73	183.68	86.61	138.32	214.75	275.21	44.23	194.46	267.44	145.51	221.33	41.52	106.04	270.22	212.39	270.55	220.16	161.95	320.42	44.14	40.52	198.4	152.46	38.21	149.62	48.2	175.33	102.88	48.31
Wdr18	0.0	83.97	15.52	11.34	73.46	0.0	109.2	3.78	198.0	0.0	0.0	32.63	0.0	47.02	85.18	0.12	0.0	0.59	0.0	102.49	0.0	0.0	174.36	0.0	0.0	100.2	75.1	14.84	18.11	0.0	51.16	0.23	0.64	0.0	0.25	0.0	171.3	83.1	46.62	0.0	0.0	16.79	0.0	0.0	0.0	0.0	85.44	0.0	95.76	0.5	0.0	8.6
Zfp286	0.0	125.17	118.64	0.0	0.0	96.04	68.53	203.0	7.98	0.0	0.0	0.0	82.79	4.64	6.63	0.0	0.0	69.12	0.0	0.18	0.0	0.0	0.0	9.19	89.33	20.91	46.12	75.38	6.55	0.0	0.0	104.8	0.0	164.96	0.08	75.4	0.09	111.12	13.52	0.0	0.0	102.93	0.0	0.0	0.0	190.94	0.0	0.09	0.0	0.0	0.0	76.29
Zfp617	0.73	2.34	2.19	119.28	0.61	7.08	123.44	2.12	1.21	404.04	0.0	115.41	78.28	5.98	0.41	1.77	0.64	1.63	0.73	3.45	1.14	0.43	240.5	169.17	147.78	17.09	0.75	1.52	122.92	134.17	1.88	5.11	153.36	2.9	0.23	0.64	61.46	3.34	187.06	2.03	5.93	5.13	0.24	1.12	2.32	2.35	0.93	1.72	0.65	9.98	67.45	0.64
Zfp71-rs1	65.81	83.19	45.05	41.35	16.32	35.02	108.78	67.45	95.72	121.32	149.02	45.4	82.87	74.11	24.52	81.46	42.25	25.29	22.73	95.42	32.29	39.76	281.53	66.01	86.6	136.38	86.71	119.57	103.83	43.01	118.97	192.84	58.02	123.48	28.76	26.27	175.19	131.46	151.38	137.32	85.26	239.36	40.86	19.49	100.62	129.98	28.95	64.2	35.68	46.67	44.15	17.09
c7_tRNA-Ala-GCY_	0.0	0.0	0.0	0.0	0.0	0.0	0.0	57.46	33.97	107.87	118.67	81.62	15.34	0.0	0.0	0.0	10.93	0.0	0.0	72.97	0.0	0.0	96.47	0.0	29.04	0.0	84.82	61.85	69.57	0.0	0.0	31.32	0.0	44.06	0.0	0.0	90.43	22.4	59.91	93.88	0.0	444.82	0.0	0.0	63.23	53.51	0.0	0.0	22.35	14.11	0.0	0.0
