	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_54	Cux2_tdTnegative_cell_2	Cux2_tdTnegative_cell_4	Cux2_tdTnegative_cell_5	Cux2_tdTnegative_cell_7	Cux2_tdTnegative_cell_12	Gad2_tdTpositive_cell_43	Ndnf_tdTnegative_cell_6	Ndnf_tdTnegative_cell_10	Nkx2.1_tdTpositive_cell_4	Nkx2.1_tdTpositive_cell_9	Nkx2.1_tdTpositive_cell_18	Ntsr1_tdTnegative_cell_21	Ntsr1_tdTnegative_cell_33	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_12	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_29	Pvalb_tdTpositive_cell_32	Pvalb_tdTpositive_cell_35	Pvalb_tdTpositive_cell_40	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_55	Pvalb_tdTpositive_cell_56	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_71	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_11	PvalbD.Slc32a1_tdTpositive_cell_17	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_7	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_22	PvalbF.Gad2_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_40	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_55	PvalbF.Gad2_tdTpositive_cell_56	PvalbF.Gad2_tdTpositive_cell_61	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_67	PvalbF.Gad2_tdTpositive_cell_88	Rbp4_tdTpositive_cell_51	Rorb_tdTpositive_cell_47	Scnn1a.Tg2_tdTnegative_cell_5	Scnn1a.Tg3_tdTnegative_cell_6	Scnn1a.Tg3_tdTnegative_cell_12	Tac2_tdTpositive_cell_7
Nfe2l1	0.0	30.93	4.76	0.0	1.28	0.0	0.0	22.24	0.0	0.0	9.86	8.02	28.89	0.0	0.17	31.42	67.84	3.22	14.78	28.84	76.25	38.47	37.5	5.97	20.06	91.87	19.28	51.77	15.8	41.13	12.59	15.75	8.1	15.06	10.99	2.66	7.34	9.95	39.01	22.6	28.9	38.8	17.67	3.03	31.19	4.1	3.59	51.31	17.74	33.64	31.48	27.67	41.52	17.71	42.4	45.1	54.29	38.77	0.76	3.76	0.0	0.0	0.3	0.0	25.54
Nif3l1	105.28	137.64	0.41	0.0	0.0	0.46	0.57	59.02	0.28	1.36	120.29	90.78	151.97	0.0	1.73	139.35	44.76	55.79	135.88	121.08	126.46	120.67	115.99	99.98	105.02	33.23	67.83	97.39	75.49	79.45	30.7	57.5	70.84	11.33	176.59	0.0	48.2	62.85	0.35	105.76	56.54	49.72	127.32	1.03	212.92	29.15	60.77	0.0	76.08	0.62	62.16	241.78	106.92	79.18	53.86	94.09	131.47	106.41	0.76	80.01	2.35	0.62	0.0	0.0	0.22
Pafah1b1	9.59	27.69	5.87	0.0	0.0	9.34	0.08	91.75	217.41	0.08	23.25	58.18	95.35	0.17	263.11	59.52	51.74	78.01	68.24	58.65	84.25	62.87	93.18	80.87	145.04	146.0	35.08	55.51	53.96	73.64	49.82	112.01	52.01	70.75	55.33	48.48	112.39	66.8	49.04	101.65	63.72	72.3	78.3	50.33	52.49	78.54	66.09	62.01	67.36	24.96	49.95	123.42	26.98	72.48	52.79	63.47	58.89	107.05	20.27	28.83	40.04	2.71	0.0	0.0	101.45
Pak3	0.0	14.42	0.0	0.0	0.0	0.0	0.0	11.9	0.03	0.06	25.18	3.43	45.77	0.0	0.36	28.4	27.41	52.32	3.33	22.48	43.39	30.17	8.8	36.0	35.07	35.3	2.74	47.56	39.73	2.19	3.34	33.8	14.92	64.96	51.55	25.96	25.52	18.44	41.09	38.64	9.65	57.47	25.15	40.52	8.82	20.87	21.18	10.42	56.74	40.23	3.69	54.84	34.26	42.94	18.68	32.14	55.06	55.76	0.33	50.07	0.2	0.13	0.0	0.0	48.45
Pdxp	0.0	155.42	0.0	0.0	0.0	0.0	0.0	79.84	0.0	0.0	55.4	5.29	53.92	0.0	0.0	5.67	2.12	81.58	144.67	22.18	0.39	0.0	79.23	6.4	17.12	0.0	0.0	42.95	0.0	0.0	0.0	2.36	0.0	3.62	7.68	0.0	0.0	0.0	0.0	0.49	16.18	17.07	31.91	39.13	38.49	34.0	1.1	0.21	65.57	22.06	0.27	11.26	9.56	17.99	51.6	2.54	41.8	60.53	60.19	0.1	0.0	0.19	0.0	0.0	77.17
Pvalb	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2506.7	0.0	0.0	2481.2	1831.08	3332.67	0.0	0.0	1987.37	1559.12	1319.97	2144.98	1365.09	1711.38	1185.42	1292.73	1298.9	1590.34	1199.86	1414.35	1417.67	1488.24	1662.23	1383.0	1316.24	1724.33	1917.82	1121.03	1740.57	1202.67	1769.21	1277.26	1535.36	1815.89	1408.27	1731.8	1298.84	1698.2	1628.71	1974.07	1237.21	1344.6	1735.34	1295.74	1472.89	1914.29	1555.2	1457.87	1806.53	1681.17	2567.22	1832.51	3516.69	0.0	0.43	0.0	0.0	2070.85
Ranbp2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.62	0.0	1.22	0.01	2.35	0.0	0.2	0.0	9.98	4.23	0.0	10.13	9.76	11.37	0.0	4.41	0.33	2.71	38.5	0.0	20.98	4.86	1.78	5.34	3.51	0.14	0.0	3.08	0.0	0.55	9.27	0.04	9.46	3.05	7.22	5.18	20.26	0.04	8.84	4.07	5.65	14.07	2.23	16.82	5.4	0.0	0.43	4.3	1.57	21.67	40.83	19.09	19.42	0.09	0.04	0.0	0.0	22.76
Rp9	0.0	10.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.36	0.0	0.0	13.92	0.0	0.0	0.0	14.49	0.0	0.0	0.0	0.0	9.29	0.0	0.0	3.61	0.0	28.45	1.08	8.21	0.0	0.24	69.91	6.4	0.0	11.37	69.18	12.69	19.39	8.03	12.55	2.91	9.14	2.26	1.97	0.0	2.88	0.0	37.99	0.0	4.9	18.62	27.62	15.96	24.39	77.66	0.0	0.0	0.0	0.33	0.0	49.86	4.52
Sec23b	0.0	0.0	81.4	0.0	0.0	0.0	0.0	164.4	0.0	0.19	26.42	0.0	110.14	0.0	0.74	82.07	63.29	0.0	50.28	85.61	103.14	61.61	75.76	44.49	57.93	39.62	57.16	84.42	34.44	66.14	73.37	36.96	54.75	86.84	103.19	72.89	0.0	102.51	68.34	122.21	67.82	76.52	62.74	40.16	117.67	99.7	107.27	6.97	42.91	0.0	31.79	235.6	39.86	8.53	138.49	0.0	5.69	198.8	0.16	212.26	1053.6	0.93	0.0	0.0	55.15
Senp6	0.0	14.6	0.0	0.0	0.0	0.0	327.64	19.32	4.95	163.16	16.4	24.35	28.68	0.0	0.24	25.92	5.2	62.9	20.74	21.84	18.85	1.42	10.01	40.92	14.4	25.68	7.12	27.13	0.16	3.21	18.82	20.58	49.31	20.26	11.54	44.44	34.9	21.3	0.27	33.6	5.59	14.68	23.11	32.12	29.75	10.76	37.39	5.66	10.06	2.63	6.82	24.81	8.7	30.3	7.99	19.28	29.18	12.13	3.81	0.31	0.08	67.57	0.0	0.0	8.0
Shh	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.89	7.89	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.04	3.99	3.25	0.0	0.0	0.9	0.73	0.0	14.54	18.56	0.0	9.07	0.0	0.0	0.0	0.0	3.44	0.0	8.59	0.14	0.0	5.25	0.0	0.3	0.0	0.0	0.41	0.0	0.0	5.31	0.0	0.0	23.03	1.96	0.0	0.0	0.0	0.0	0.0	0.0
Shisa9	0.0	0.0	18.28	0.0	0.0	50.58	0.0	0.0	0.0	0.0	30.58	0.0	6.93	0.0	0.0	0.24	0.87	0.0	15.8	1.76	0.0	0.0	0.0	11.42	0.0	0.0	0.0	16.24	0.0	0.0	0.0	13.95	0.0	0.0	0.0	38.12	0.11	0.06	3.46	0.0	0.0	36.79	0.0	0.0	11.55	5.06	14.02	0.0	38.01	0.0	14.93	29.19	5.88	18.82	14.48	2.14	11.22	40.05	2.4	33.88	0.0	0.0	0.11	0.0	2.06
Slc1a1	0.13	0.06	0.0	0.0	0.0	0.29	0.25	38.61	0.22	0.12	33.39	0.09	27.78	0.9	0.0	11.78	77.19	52.28	40.8	29.2	92.73	38.04	24.73	57.09	2.77	88.89	72.18	79.85	80.28	35.33	54.34	72.79	0.12	55.36	0.39	90.67	80.23	118.41	48.19	11.57	51.79	61.16	48.31	154.68	141.01	31.79	138.42	30.12	75.86	61.17	173.58	141.13	58.53	66.41	76.15	45.47	71.54	74.29	57.26	98.49	0.61	0.76	0.12	0.83	114.11
Slc23a2	0.0	0.04	0.0	0.11	0.0	0.0	0.0	62.9	0.0	0.0	13.52	17.62	10.16	0.0	0.09	32.48	12.51	0.19	41.17	9.27	25.35	41.1	51.49	18.15	42.3	47.74	1.89	22.23	30.36	3.17	6.68	0.81	7.62	39.79	14.82	9.32	12.81	45.49	12.89	37.65	19.42	39.86	6.6	19.46	39.19	17.54	86.39	11.84	7.6	0.21	0.0	39.46	17.74	45.33	5.55	38.94	5.39	54.68	1.34	0.82	77.17	9.22	0.0	0.0	38.73
Snord116	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.93	7.69	0.0	0.0	0.0	0.0	0.0	8.69	9.26	13.81	0.0	7.55	0.0	0.0	10.13	0.0	6.06	7.17	4.97	5.44	0.0	8.33	2.38	0.0	3.39	4.84	5.67	3.11	0.0	13.15	7.64	3.68	0.0	3.4	0.0	3.94	0.0	3.61	16.41	9.68	0.0	0.0	0.0	3.43	10.18	13.5	10.52	8.22	1.69	0.0	0.0	0.0	0.0	7.18
Snord116l1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.93	7.69	0.0	0.0	0.0	0.0	0.0	8.69	9.26	13.81	0.0	7.55	0.0	0.0	10.13	0.0	6.06	7.17	4.97	5.44	0.0	8.33	2.38	0.0	3.39	4.84	5.67	3.11	0.0	13.15	7.64	3.68	0.0	3.4	0.0	3.94	0.0	3.61	16.41	9.68	0.0	0.0	0.0	3.43	10.18	13.5	10.52	8.22	1.69	0.0	0.0	0.0	0.0	7.18
Snord116l2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.93	7.69	0.0	0.0	0.0	0.0	0.0	8.69	9.26	13.81	0.0	7.55	0.0	0.0	10.13	0.0	6.06	7.17	4.97	5.44	0.0	8.33	2.38	0.0	3.39	4.84	5.67	3.11	0.0	13.15	7.64	3.68	0.0	3.4	0.0	3.94	0.0	3.61	16.41	9.68	0.0	0.0	0.0	3.43	10.18	13.5	10.52	8.22	1.69	0.0	0.0	0.0	0.0	7.18
Spna2	0.0	27.23	0.0	0.0	0.0	5.01	0.06	43.06	28.57	0.06	45.46	3.94	55.5	0.0	34.31	62.63	33.61	13.98	69.83	45.81	73.25	24.17	67.07	42.75	54.82	80.94	54.84	72.23	51.29	36.5	42.69	24.82	44.9	98.82	83.49	102.52	43.0	61.02	68.87	50.27	43.59	34.11	48.15	75.61	55.65	36.0	35.37	41.78	85.17	56.71	54.22	62.65	15.28	70.67	64.89	40.56	45.96	76.49	66.81	78.86	0.31	0.09	0.0	0.0	121.62
St7	0.0	1.59	0.0	0.0	0.0	0.0	0.0	20.48	0.0	0.0	1.33	4.86	0.0	0.0	217.0	3.57	38.06	33.29	0.0	22.21	39.06	37.4	0.0	0.0	0.0	7.8	4.46	18.52	35.96	0.0	0.28	0.0	9.99	44.16	113.06	34.05	11.7	53.91	0.0	0.0	5.63	0.0	0.0	13.41	0.17	0.0	0.4	0.0	0.0	1.06	0.0	39.35	32.03	0.0	62.32	0.0	0.0	68.92	0.0	25.04	0.19	0.0	0.0	0.0	27.22
Strap	0.18	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0	25.53	51.52	9.84	15.33	0.0	30.52	45.63	25.25	9.22	38.37	76.68	4.12	99.12	30.31	40.67	16.02	65.8	37.77	25.18	53.99	4.98	31.7	74.81	10.57	9.25	9.17	69.46	55.18	45.15	59.32	2.71	11.93	0.15	140.1	12.9	37.47	31.97	36.72	30.89	43.52	13.27	11.97	51.8	16.5	0.0	73.31	33.39	22.78	0.78	0.0	0.0	0.56	0.0	0.0	49.4
Tbl3	73.55	0.59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.72	67.66	0.0	0.0	10.39	56.12	0.0	0.0	43.51	45.41	0.0	0.0	84.82	0.0	0.0	0.0	42.19	9.15	0.0	0.0	0.0	178.3	31.5	65.07	130.53	58.44	0.0	0.0	115.14	2.56	12.74	0.0	0.0	0.0	12.95	0.0	27.75	57.58	9.54	12.46	80.17	0.0	47.78	33.98	0.0	0.0	67.72	0.18	0.08	0.0	0.15	0.0	0.0	58.88
Tmem30a	0.64	0.0	196.85	0.09	0.0	0.0	0.0	244.27	73.2	8.35	76.76	71.76	162.52	26.47	0.0	97.98	99.23	102.41	88.04	105.77	106.77	117.26	175.09	79.61	58.39	144.03	138.56	110.24	115.35	97.15	52.29	84.34	160.64	125.73	40.41	97.24	79.15	81.62	55.45	155.5	114.67	161.49	95.25	83.84	150.33	129.23	119.4	65.8	60.27	32.61	194.62	239.22	104.83	66.56	41.37	60.34	272.32	75.3	86.78	56.3	0.23	0.1	0.0	0.0	230.68
Tstd2	5.9	1.29	0.0	0.0	0.43	0.0	1.34	0.0	1.65	0.0	1.14	10.45	0.4	2.55	0.49	13.93	1.74	1.15	2.98	10.67	0.0	0.0	1.91	1.74	0.0	2.53	1.11	0.11	0.26	4.62	0.16	15.15	0.69	1.24	59.91	5.84	0.0	35.66	1.01	2.17	13.55	2.53	0.19	0.56	0.58	0.0	0.96	0.0	1.41	0.43	0.0	13.61	0.44	6.34	0.0	0.11	2.91	0.38	0.34	0.0	0.47	1.39	0.98	1.38	49.77
Ubqln1	0.0	22.26	0.16	0.0	0.0	0.0	0.0	58.5	0.0	0.0	79.84	1.99	54.09	1.07	0.16	29.96	18.97	30.67	102.82	44.02	50.43	19.42	101.72	48.8	26.84	23.22	16.96	65.91	41.56	30.98	69.17	38.89	22.93	90.9	85.62	103.56	84.7	53.4	55.19	44.02	27.65	86.9	46.18	80.04	58.31	35.2	46.67	43.52	67.25	38.9	6.84	45.19	50.41	10.12	20.0	139.42	97.76	23.24	4.58	42.93	0.11	0.1	12.02	528.29	102.74
Ywhab	46.63	16.2	0.0	0.0	0.0	297.53	31.42	214.01	0.0	0.0	138.87	152.22	176.83	0.0	0.65	221.26	240.99	276.23	286.27	342.74	300.09	296.66	263.35	229.25	194.08	366.28	323.92	252.93	128.94	150.3	195.87	167.82	244.51	352.48	373.56	112.8	189.91	178.47	195.05	215.6	238.59	282.18	116.74	143.72	234.99	72.06	265.5	178.43	294.0	199.15	134.36	243.0	162.25	194.46	85.63	219.34	232.41	148.96	68.23	197.33	82.68	1.99	0.0	0.0	414.65
Zfp148	0.0	0.0	0.0	0.0	0.0	0.0	11.9	12.58	0.03	2.01	0.04	7.48	15.42	0.0	0.19	15.09	16.1	15.13	9.93	2.32	15.85	12.69	13.02	6.9	7.92	25.32	4.82	14.82	18.78	12.47	13.23	10.38	23.47	4.31	43.15	20.67	0.22	13.11	20.34	2.74	3.36	6.12	14.12	25.06	18.07	9.82	8.6	2.55	4.62	0.0	0.17	11.22	17.27	2.58	0.54	18.38	10.41	5.67	2.21	31.95	0.0	0.12	0.39	27.65	8.38
Zfp326	0.0	0.0	0.0	0.0	0.0	2.53	75.08	0.0	0.0	0.0	21.3	29.59	1.89	0.44	0.55	0.54	13.1	0.0	0.0	0.0	0.0	9.69	0.0	14.54	0.0	11.39	2.66	0.82	0.0	0.41	0.0	3.16	0.0	6.07	50.08	0.0	5.52	0.7	16.79	13.68	16.08	0.0	2.61	0.49	1.54	12.08	0.0	0.0	2.0	8.94	1.23	0.0	7.96	21.28	0.0	17.02	1.69	9.99	4.25	0.0	0.0	0.0	0.0	0.0	30.46
Zfp639	0.0	10.71	0.0	0.0	3.37	0.0	0.0	162.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.59	53.05	11.78	117.3	36.27	53.4	110.51	14.42	47.11	10.38	12.09	48.75	87.18	0.83	60.98	0.31	0.0	5.54	7.55	62.88	18.61	12.99	49.21	0.0	29.78	38.71	0.0	107.34	7.04	82.68	2.77	55.16	0.0	17.37	2.64	69.16	112.15	0.0	57.76	43.47	0.0	130.99	55.67	14.48	27.69	479.37	0.58	0.0	88.48	79.32
