	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_14	Chrna2_tdTpositive_cell_49	Chrna2_tdTpositive_cell_54	Cux2_tdTnegative_cell_12	Gad2_tdTpositive_cell_43	Ndnf_tdTnegative_cell_10	Nkx2.1_tdTpositive_cell_9	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_41	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_12	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_30	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_9	PvalbD.Slc32a1_tdTpositive_cell_11	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_19	PvalbF.Gad2_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_48	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_81	Rbp4_tdTpositive_cell_51	Rbp4_tdTnegative_cell_4	Scnn1a.Tg3_tdTnegative_cell_12
Ndufs1	26.31	152.35	478.34	126.66	0.0	227.76	0.0	372.47	242.48	353.17	226.99	421.33	199.26	125.0	357.86	188.15	347.46	358.31	444.11	449.77	314.46	359.95	398.23	367.94	452.55	428.72	383.92	402.09	559.92	392.51	334.62	394.01	281.75	294.07	318.98	584.74	449.03	448.64	279.02	522.58	0.0	0.26
Ndufs2	0.0	238.91	123.68	0.0	0.0	684.21	0.0	344.35	8.14	212.12	739.7	517.1	357.95	129.0	546.73	464.49	545.93	625.09	521.13	610.04	704.72	528.62	680.44	196.97	514.41	58.45	513.68	419.57	352.17	893.03	377.45	266.48	536.76	444.11	268.97	211.94	842.66	378.48	586.42	714.47	0.0	0.0
Nefh	0.0	0.0	0.0	14.03	0.0	23.98	0.0	1.47	0.0	0.0	78.02	65.6	8.49	90.01	65.07	48.3	82.42	96.45	89.63	70.19	22.14	90.31	32.52	16.51	44.52	28.1	38.72	145.17	233.76	107.74	88.26	28.61	29.69	107.74	61.11	133.09	42.54	51.63	100.1	116.26	0.0	0.0
Nek7	0.0	0.14	0.48	0.0	269.06	333.04	0.52	160.76	0.0	0.17	168.74	204.88	147.41	114.89	150.38	170.47	212.73	225.17	152.55	171.67	16.26	93.04	299.07	72.1	144.99	167.59	232.06	90.32	43.33	184.58	251.71	56.63	77.88	111.52	41.61	109.41	187.97	232.95	365.21	60.65	20.91	1.16
Nme7	2.1	224.32	399.55	409.96	1.15	327.71	67.13	249.02	117.47	96.78	529.58	425.8	304.58	483.63	434.55	542.4	494.46	324.01	387.87	373.04	287.46	491.66	361.79	147.94	353.0	276.92	333.82	296.5	330.2	254.43	408.23	323.75	303.05	356.48	378.42	333.46	453.39	379.11	462.72	325.86	1.02	0.26
Pacsin2	0.0	69.51	0.0	0.0	0.69	118.55	0.0	54.03	0.0	0.0	184.71	234.16	18.96	105.98	139.71	108.62	219.93	184.14	187.82	70.21	63.27	150.48	99.79	102.31	40.63	185.66	149.37	210.19	45.57	195.46	264.1	125.45	157.46	157.84	107.33	74.11	152.43	151.89	170.66	69.84	31.95	0.0
Pdha1	0.0	39.87	224.83	82.5	0.0	349.66	0.0	311.24	76.04	216.76	455.23	402.49	251.31	422.75	488.6	491.75	527.34	500.57	509.53	566.3	219.1	506.41	625.97	380.09	356.84	405.14	295.57	447.02	627.43	446.99	664.68	514.36	455.18	342.14	410.31	334.89	686.9	868.38	469.89	784.21	0.0	0.0
Plxna4	0.0	19.17	0.0	4.92	0.0	3.27	0.04	0.0	0.0	0.0	5.46	9.53	0.04	19.53	2.91	6.56	7.92	1.14	17.4	11.1	7.85	24.23	2.87	1.6	9.01	2.27	0.29	12.68	2.88	1.98	12.89	14.15	12.94	1.18	15.4	21.04	25.72	13.99	17.94	6.1	0.0	4.88
Pnpo	0.0	40.86	285.01	315.19	0.0	136.46	0.0	238.55	88.27	94.27	242.26	209.81	153.49	235.08	348.56	567.45	109.72	311.78	183.78	271.97	208.46	237.08	336.97	283.12	206.88	250.93	316.43	118.88	287.86	414.51	395.37	90.49	326.5	374.26	355.7	321.02	558.84	322.58	196.48	223.68	0.0	0.0
Ppip5k2	0.0	0.02	7.33	0.0	0.0	25.47	0.0	0.0	0.0	0.4	52.15	37.37	12.04	29.39	70.34	58.34	30.99	63.59	58.69	36.63	13.09	72.94	40.52	15.37	32.62	15.84	57.36	60.62	82.09	24.18	23.06	52.64	27.79	0.49	59.83	19.43	0.43	19.16	73.61	54.33	0.0	0.0
Ppp2ca	283.9	36.47	1.35	11.91	5.67	181.97	0.0	93.07	0.56	0.0	110.3	59.73	336.2	229.35	65.51	122.82	134.16	125.3	92.13	15.74	48.54	71.96	70.73	89.26	4.49	145.3	0.0	42.24	48.37	87.98	80.78	25.05	62.55	15.5	68.51	83.15	242.54	126.01	165.0	104.59	0.0	0.0
Prune2	0.0	1.09	27.07	20.75	1.62	201.64	0.0	89.52	12.74	3.23	226.77	166.43	130.57	55.6	226.69	179.21	218.1	282.87	220.32	293.82	79.35	221.57	109.55	104.21	140.49	132.02	132.94	210.79	123.11	153.66	135.55	225.09	151.47	148.17	71.62	140.87	230.2	162.03	151.49	158.93	0.0	0.0
Psme3	0.0	0.0	0.0	28.37	0.0	20.66	0.0	0.0	0.0	0.0	1.59	20.63	22.65	10.05	16.44	37.39	32.07	0.0	34.12	2.49	11.75	21.77	31.37	0.0	17.13	25.82	0.0	36.62	16.24	13.74	37.65	0.0	13.03	6.45	0.0	19.86	38.52	14.24	6.23	2.38	0.0	0.0
Reps2	0.0	0.0	9.43	0.16	0.41	23.96	0.0	27.94	0.03	0.0	77.68	45.38	4.65	49.06	34.17	25.45	51.91	55.08	43.81	57.02	35.84	56.66	23.03	35.5	69.7	47.72	31.83	26.65	30.75	62.74	35.07	7.26	15.77	35.85	37.18	58.15	35.94	81.16	55.16	98.47	0.0	0.09
Scn1a	0.0	12.38	0.11	90.66	0.0	164.69	0.0	101.33	6.99	97.04	224.39	267.02	239.85	238.43	242.13	97.3	227.08	313.67	293.52	196.38	196.97	307.26	168.6	309.48	181.34	152.68	191.99	195.71	228.51	151.99	266.57	144.03	163.43	160.73	154.67	135.64	267.29	261.02	284.84	221.77	0.0	0.0
Scn8a	3.32	18.91	10.18	32.03	0.0	85.11	0.0	27.77	3.15	16.46	60.36	56.0	37.8	24.16	49.68	76.27	45.92	96.35	99.5	115.41	60.36	103.08	28.69	68.89	48.67	68.66	62.0	69.2	65.33	74.65	52.44	40.27	48.83	70.51	11.47	57.61	97.47	88.43	88.05	81.71	0.0	0.0
Serp2	0.0	0.0	6.54	0.0	0.0	47.7	0.0	1.36	2.97	0.0	18.86	37.83	52.19	53.56	117.1	157.3	65.59	20.61	44.31	14.28	24.81	76.78	47.4	0.43	70.32	76.61	80.47	42.39	104.59	67.52	83.88	125.62	65.23	62.83	87.74	28.14	26.26	75.77	134.85	41.07	0.0	0.0
Sfxn5	290.7	0.0	29.56	0.0	0.0	96.13	264.31	26.16	11.98	0.2	102.94	72.87	28.12	42.02	93.84	57.88	123.38	149.63	110.1	44.89	14.12	134.5	92.0	55.3	97.49	12.73	10.42	72.01	51.87	71.83	115.96	95.66	51.66	77.62	53.58	24.96	78.49	119.38	108.32	74.29	0.0	0.0
Slc24a2	0.0	143.19	53.48	78.59	0.0	331.39	0.0	34.33	58.97	20.64	172.15	150.96	170.46	264.55	154.79	263.46	233.37	283.84	257.24	244.33	190.72	283.6	223.98	341.43	304.97	171.31	127.86	202.85	214.57	191.88	226.75	170.1	216.92	218.18	161.6	247.62	204.79	190.94	293.84	269.92	0.04	0.0
Slc25a11	0.0	89.64	368.53	288.4	0.0	73.96	0.26	268.84	0.15	271.05	133.15	113.0	48.79	172.76	407.11	54.82	156.26	305.92	117.11	224.43	173.08	156.85	272.29	30.59	127.02	382.13	0.0	206.75	229.19	136.14	251.62	100.28	93.3	0.25	1.76	67.94	265.0	307.48	112.7	176.39	0.0	0.05
Slc4a3	0.0	20.61	0.0	0.11	0.0	22.55	0.0	10.77	0.0	27.63	0.4	8.14	0.0	8.75	15.45	3.96	5.84	5.82	2.12	7.51	0.14	0.29	4.2	100.23	16.31	14.71	1.07	3.03	12.27	2.01	7.82	13.71	8.42	0.0	19.28	10.19	14.15	4.52	19.59	8.65	0.0	0.0
Ssx2ip	0.0	0.0	0.0	0.0	0.0	9.26	0.0	84.6	0.0	3.37	61.26	35.51	27.77	11.65	12.36	69.2	49.57	68.81	35.0	19.49	0.0	34.21	71.96	10.15	50.55	10.27	15.55	15.98	25.85	6.15	0.0	4.42	28.18	10.7	9.38	0.0	43.07	0.0	57.19	0.11	0.0	0.0
St8sia1	0.06	0.15	0.25	32.95	0.24	50.52	0.69	0.19	0.23	0.09	8.15	26.35	19.45	15.59	4.8	34.79	1.17	15.12	14.24	3.39	10.11	58.68	0.87	7.35	3.28	1.18	15.05	44.26	27.61	25.72	20.37	39.35	1.27	0.11	36.2	7.87	8.73	11.86	46.04	4.98	0.21	0.0
Sv2a	0.0	270.61	292.64	176.86	0.0	42.78	0.0	64.74	16.62	40.35	239.57	188.79	133.12	242.72	100.06	134.44	214.23	136.23	104.6	179.08	139.25	250.66	153.11	188.06	216.76	291.81	70.21	195.68	135.33	130.07	199.87	122.39	140.98	313.58	103.85	113.23	169.01	173.19	277.08	99.77	0.0	0.0
Tmem25	0.0	0.0	251.93	0.1	0.0	127.57	206.35	103.05	0.0	0.0	289.04	125.78	137.33	50.32	179.68	147.1	77.8	202.41	288.44	55.28	481.47	168.55	154.25	284.12	112.39	120.45	144.25	236.84	233.07	242.73	256.63	413.21	181.79	190.78	275.42	51.62	122.4	158.39	194.64	273.23	0.0	0.0
Tmem65	0.0	12.21	103.95	1.54	8.83	86.36	0.0	2.71	0.0	0.0	55.66	34.94	20.18	95.99	63.81	5.26	44.17	104.77	88.19	66.78	94.55	93.4	18.53	47.72	141.36	21.76	29.96	112.07	100.9	74.58	19.8	5.35	18.61	8.59	48.29	12.84	35.7	29.89	133.74	106.09	0.0	0.0
Tmf1	8.06	30.11	2.84	31.39	195.33	64.73	20.68	15.24	21.25	31.8	87.0	73.06	34.89	30.28	53.39	156.04	60.11	65.87	81.66	96.67	42.33	116.23	48.41	33.08	58.18	36.8	20.56	59.8	69.77	48.91	69.09	69.99	61.56	37.34	64.43	89.01	82.55	84.3	80.76	152.98	0.0	111.07
Ttll7	0.0	1.66	1.61	0.0	0.0	28.98	0.0	4.38	8.95	0.0	66.25	64.88	4.46	20.16	50.64	58.66	65.32	30.49	48.32	86.13	43.75	87.84	34.62	59.92	26.08	74.43	5.89	44.25	49.81	71.31	74.35	34.36	46.29	72.97	76.78	18.59	67.85	85.59	67.4	34.98	0.0	0.0
Ube2q2	0.0	0.0	0.66	1.33	0.0	0.0	0.0	5.9	0.0	0.0	43.86	9.52	20.62	0.16	17.84	173.92	136.14	86.96	6.44	81.6	41.3	60.84	64.15	0.51	46.57	32.8	0.0	34.96	36.41	64.21	68.41	47.01	5.97	76.67	2.01	0.46	95.14	67.01	87.47	24.04	0.0	0.0
Vamp1	38.87	0.0	0.16	0.0	0.0	82.08	0.0	0.24	0.0	0.09	108.03	107.92	61.88	88.18	77.92	75.53	95.96	193.37	54.17	105.26	94.09	223.98	62.72	121.86	126.35	42.4	51.39	152.03	189.43	130.96	181.36	99.48	53.07	0.33	80.25	107.42	146.73	54.88	199.29	136.71	0.0	0.0
