	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_54	Cux2_tdTnegative_cell_2	Cux2_tdTnegative_cell_7	Cux2_tdTnegative_cell_12	Gad2_tdTpositive_cell_43	Ndnf_tdTnegative_cell_5	Ndnf_tdTnegative_cell_6	Ndnf_tdTnegative_cell_10	Nkx2.1_tdTpositive_cell_18	Ntsr1_tdTnegative_cell_33	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_12	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_35	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_11	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_18	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_22	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_34	PvalbF.Gad2_tdTpositive_cell_38	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_81	Rbp4_tdTpositive_cell_51	Rbp4_tdTnegative_cell_4	Scnn1a.Tg2_tdTnegative_cell_5	Scnn1a.Tg3_tdTnegative_cell_12	Tac2_tdTpositive_cell_8
Pvalb	0.0	0.0	0.0	0.0	0.0	2506.7	0.0	0.0	0.0	3332.67	0.0	1987.37	1559.12	1319.97	2144.98	1365.09	1711.38	1185.42	1292.73	1298.9	1590.34	1199.86	1414.35	1662.23	1316.24	1251.83	1724.33	1740.57	1769.21	1277.26	1815.89	1408.27	1731.8	1698.2	1628.71	1974.07	2136.15	1237.21	1344.6	1295.74	1797.97	1759.25	1914.29	1681.17	1823.48	3516.69	0.0	0.43	0.0	1584.75
Rasl10b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.36	0.0	0.0	0.0	0.0	0.0	0.0	1.76	0.16	0.0	0.18	0.0	0.62	4.78	0.0	4.26	1.54	1.84	0.0	6.27	0.0	0.61	3.25	7.24	0.54	6.43	0.0	1.43	0.0	0.11	0.0	8.52	0.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Rbfox1	0.0	2.08	0.0	0.0	0.0	291.85	0.07	0.13	0.04	88.81	1.29	111.53	149.02	125.14	91.05	122.72	160.2	192.55	222.62	216.07	254.3	171.68	77.38	90.53	73.23	121.31	101.8	100.93	141.49	107.11	53.76	54.96	122.22	157.32	111.57	131.12	221.0	116.76	143.2	66.71	123.16	154.48	74.89	96.1	141.51	190.51	0.0	1.14	0.0	242.29
Reps2	0.0	0.16	0.15	0.07	0.41	23.96	0.17	0.05	0.0	29.06	0.08	77.68	45.38	4.65	49.06	34.17	25.45	51.91	96.95	55.08	43.81	57.02	38.82	37.21	56.66	41.68	23.03	35.5	69.7	31.83	26.65	30.75	62.74	20.07	35.07	7.26	49.27	83.14	17.71	37.18	21.76	32.39	58.15	81.16	55.16	98.47	0.0	0.1	0.09	92.53
Rnf208	0.0	0.0	0.0	0.0	0.0	2.07	0.0	0.0	0.0	12.23	0.0	17.74	34.43	54.26	127.64	45.84	62.65	0.42	42.75	0.0	23.66	12.08	32.29	17.38	60.14	0.0	9.5	0.0	15.08	44.86	38.97	35.4	2.19	0.0	49.51	7.35	75.68	88.48	51.64	14.07	84.5	23.36	0.0	73.48	48.93	35.94	0.0	0.28	0.0	120.73
Scn2a1	0.0	56.38	0.11	0.04	0.0	19.66	0.12	0.16	0.17	30.9	1.14	18.38	20.05	3.79	0.63	3.94	6.71	0.0	9.12	5.28	7.68	7.23	7.25	0.0	0.48	30.8	25.71	4.94	50.23	4.24	8.92	2.58	7.52	11.16	15.08	1.66	10.5	4.03	25.14	0.92	0.17	0.28	5.22	5.8	2.04	0.76	0.04	0.72	0.0	75.94
Scn8a	3.32	32.03	0.0	0.0	0.0	85.11	0.0	0.02	0.0	27.19	0.11	60.36	56.0	37.8	24.16	49.68	76.27	45.92	79.76	96.35	99.5	115.41	60.77	73.98	103.08	13.92	28.69	68.89	48.67	62.0	69.2	65.33	74.65	88.97	52.44	40.27	73.88	34.15	65.37	11.47	52.31	33.3	57.61	88.43	88.05	81.71	0.0	1.33	0.0	30.13
Sel1l	0.0	0.04	0.0	0.0	281.1	63.88	0.0	111.56	0.0	16.77	0.58	23.53	7.55	1.96	9.68	32.09	30.93	20.48	15.26	9.9	26.78	0.09	21.42	32.23	32.76	4.96	62.29	0.0	21.45	2.09	24.12	25.17	9.12	47.36	12.55	9.74	37.91	20.61	40.24	9.71	5.95	16.97	27.36	28.5	40.24	8.5	0.0	0.18	0.0	96.44
Slc32a1	0.0	1.48	0.0	0.0	0.0	12.2	0.0	0.0	0.0	6.72	0.0	17.11	15.73	9.4	13.95	10.95	16.13	8.35	4.44	12.0	10.7	19.14	13.19	12.92	9.48	5.22	6.37	1.86	6.02	2.31	9.53	9.9	10.62	17.08	3.39	14.43	30.02	5.92	4.83	5.02	13.7	13.68	20.12	15.23	11.99	18.78	0.0	0.13	0.0	29.98
Smarcd1	0.0	0.0	0.0	0.0	0.15	32.68	0.0	0.0	0.0	11.41	0.0	14.43	14.41	42.91	1.36	26.66	47.75	29.12	0.0	42.01	25.73	14.93	7.85	17.3	18.48	0.0	24.66	0.12	8.83	16.76	25.78	4.48	0.39	7.23	13.09	3.44	12.43	19.67	2.9	19.1	29.95	6.09	0.92	14.78	5.27	1.94	0.0	0.12	0.0	36.89
Snap91	0.0	38.61	0.0	0.0	0.11	69.44	0.07	0.0	0.0	59.82	0.14	81.9	47.03	38.92	29.29	53.6	97.31	76.04	120.3	171.15	22.27	109.6	55.03	4.38	187.3	30.73	84.01	89.56	41.69	46.43	86.96	106.17	40.36	83.01	29.36	43.82	144.53	93.22	41.75	31.63	131.62	97.39	73.47	122.56	240.09	84.31	0.0	0.69	0.0	148.85
Spock1	0.0	37.24	0.0	0.15	0.0	49.31	0.0	0.0	0.0	32.34	0.38	81.11	60.77	5.34	54.11	59.43	49.93	42.25	82.32	56.44	53.54	83.45	80.99	82.4	83.2	34.58	98.9	85.87	48.31	20.9	121.12	38.02	9.9	89.21	100.25	52.37	67.53	43.88	36.38	13.98	32.28	85.91	34.36	60.07	140.36	77.14	0.0	0.94	0.14	130.48
Stk25	0.0	5.33	0.0	2.21	0.0	84.08	0.18	1.61	0.0	48.68	1.1	68.8	140.25	0.3	2.49	28.75	38.67	12.18	91.69	65.4	113.72	6.03	16.45	107.64	50.91	1.65	9.41	45.67	49.1	5.02	29.76	1.7	0.63	1.85	32.99	115.76	52.37	103.88	60.24	31.72	126.33	51.74	96.72	66.02	104.04	65.29	0.12	0.68	0.0	171.35
Tacc2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32	0.0	0.0	13.73	0.0	0.0	0.09	0.0	0.14	13.96	11.48	0.0	9.66	22.95	0.0	15.86	0.0	0.0	0.0	35.82	0.09	8.55	0.07	0.1	0.95	0.38	34.6	5.08	0.0	0.41	0.0	0.73	0.0	1.15	0.0	0.37	0.49	0.0	0.0	0.0	70.66
Tcf25	0.0	108.37	0.0	181.64	0.0	146.86	29.87	8.89	0.0	209.66	0.45	271.79	216.84	218.46	297.39	274.35	326.41	316.95	253.77	243.01	202.26	283.69	207.68	152.93	227.07	143.29	103.1	219.45	346.05	215.2	227.8	147.58	373.42	411.87	351.53	312.1	571.94	383.76	266.11	301.27	256.65	242.08	247.71	276.53	508.63	221.15	0.0	140.16	0.0	443.33
Tmem132b	0.04	0.03	0.0	0.0	0.06	2.36	0.04	0.03	0.0	6.7	0.15	35.97	30.63	3.24	20.98	32.71	10.89	0.54	32.53	33.51	17.02	35.26	3.34	11.29	4.76	0.19	4.09	0.0	10.87	2.36	5.75	0.14	10.98	9.98	22.72	10.73	14.99	93.88	26.06	0.0	15.6	0.0	1.12	29.32	1.01	0.0	0.0	0.48	0.0	88.17
Tmem167	0.61	7.87	2.07	2.7	0.93	27.2	1.93	0.75	1.74	39.58	1.49	38.45	28.12	22.69	21.93	26.85	31.91	16.88	16.88	14.74	24.15	32.83	33.74	14.61	37.46	7.48	0.63	18.86	40.6	24.29	31.05	27.55	26.36	32.51	30.01	24.54	28.65	0.6	31.26	46.82	28.93	5.17	9.59	49.94	11.27	25.47	1.15	2.36	0.49	65.17
Tsc1	0.0	17.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.01	0.0	4.33	0.27	0.35	3.92	3.81	13.33	11.45	4.26	4.97	0.81	0.0	4.74	1.83	7.07	0.79	1.43	5.59	1.68	0.04	0.27	1.96	0.73	0.14	11.6	3.18	9.92	0.0	2.69	0.07	3.14	0.32	0.23	10.41	11.57	1.07	0.0	0.0	11.51	10.74
Ttc7b	0.0	14.43	0.0	0.0	0.0	0.18	0.0	0.0	0.0	3.58	0.17	28.8	12.72	26.27	3.59	14.11	21.17	13.07	54.83	26.1	28.11	45.35	21.84	103.09	17.09	19.86	11.76	19.67	22.45	9.97	12.82	40.09	3.88	7.35	19.67	11.58	49.45	12.23	17.62	37.76	32.12	13.47	55.54	17.86	37.77	31.34	0.0	0.0	0.0	175.55
Ttll7	0.0	0.0	0.0	0.0	0.0	28.98	0.0	0.0	0.0	25.65	0.1	66.25	64.88	4.46	20.16	50.64	58.66	65.32	51.67	30.49	48.32	86.13	27.48	36.41	87.84	10.16	34.62	59.92	26.08	5.89	44.25	49.81	71.31	53.56	74.35	34.36	98.69	30.42	47.08	76.78	31.36	173.03	18.59	85.59	67.4	34.98	0.0	0.18	0.0	48.94
Tubgcp2	0.0	0.08	0.0	94.21	0.0	34.24	0.1	0.0	0.0	0.0	0.19	48.11	16.32	42.99	7.26	0.0	2.49	17.26	19.09	6.99	0.0	24.21	9.67	8.58	43.46	60.12	0.0	0.96	47.73	0.0	61.27	16.8	35.0	45.17	0.65	9.43	9.28	0.0	50.73	66.27	0.0	11.65	46.46	17.62	4.84	47.79	0.0	0.0	0.0	208.34
Unc79	0.0	0.0	0.0	0.0	0.0	0.35	0.0	0.0	0.0	0.61	0.0	9.94	14.56	0.0	12.48	1.4	0.09	13.07	0.74	19.41	15.88	7.23	0.0	4.54	8.51	1.2	10.75	16.4	0.34	6.42	0.4	0.74	0.05	2.66	3.33	14.9	0.42	0.0	1.68	19.36	7.0	1.59	0.05	0.0	1.77	20.28	0.0	0.08	0.0	12.49
Usp9x	0.0	43.09	0.0	4.94	0.04	0.31	0.0	0.0	0.0	13.0	0.15	38.52	39.33	7.01	15.05	20.23	24.84	40.66	50.64	50.5	33.29	47.11	25.54	8.5	99.32	34.81	28.73	36.66	33.38	18.99	12.53	17.53	19.58	23.28	19.18	43.77	77.21	18.99	52.95	21.71	36.65	34.19	20.53	51.45	48.34	25.07	0.0	0.15	0.0	79.09
Wdr12	0.0	44.54	0.0	0.0	0.16	45.99	0.0	0.0	0.0	59.07	0.21	93.23	76.02	0.0	58.22	56.84	72.51	67.29	188.8	139.16	55.34	116.19	145.2	122.89	81.26	1.9	32.69	102.76	95.33	0.0	47.69	23.08	122.45	41.01	43.48	85.25	65.69	66.75	147.47	2.03	41.65	87.03	100.05	138.19	233.81	67.53	0.0	0.13	0.0	132.64
Zmiz2	0.0	39.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.16	10.71	0.0	14.44	0.0	8.65	0.0	0.0	0.0	0.0	21.22	4.42	16.54	5.45	7.82	0.0	0.0	0.0	0.0	19.13	5.15	16.25	40.1	15.8	0.13	33.02	26.95	0.1	15.29	14.9	5.31	0.78	0.34	21.58	18.56	0.0	0.0	0.09	0.0	93.31
