	Chrna2_tdTpositive_cell_15	Chrna2_tdTpositive_cell_23	Chrna2_tdTpositive_cell_26	Chrna2_tdTpositive_cell_28	Chrna2_tdTpositive_cell_30	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_55	Chrna2_tdTpositive_cell_57	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_7	Ctgf_tdTpositive_cell_10	Cux2_tdTpositive_cell_98	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_64	Gad2_tdTpositive_cell_68	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_1	Htr3a_tdTpositive_cell_18	Htr3a_tdTpositive_cell_24	Htr3a_tdTpositive_cell_83	Htr3a_tdTpositive_cell_91	Ndnf_tdTpositive_cell_4	Ndnf_tdTpositive_cell_7	Ndnf_tdTpositive_cell_20	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_40	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_47	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_18	Ntsr1_tdTnegative_cell_54	Scnn1a.Tg3_tdTnegative_cell_13	Scnn1a.Tg3_tdTnegative_cell_19	Scnn1a.Tg3_tdTnegative_cell_22	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_7	Sst_tdTpositive_cell_29	Sst_tdTpositive_cell_39	Sst_tdTpositive_cell_46	Sst_tdTpositive_cell_49	Sst_tdTpositive_cell_63	Sst_tdTpositive_cell_65	Sst_tdTpositive_cell_69	Sst_tdTpositive_cell_76	Sst_tdTpositive_cell_92	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Olfm3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.0	0.0	0.0	727.4	0.0	115.78	69.08	1259.69	1167.62	90.76	0.0	167.48	0.0	0.0	0.0	0.0	0.0	34.06	44.46	301.27	462.98	204.85	0.0	193.69	0.0	0.06	234.33	6.54	207.26	150.39	88.41	302.67	87.25	0.0	126.31	0.0	100.3	138.94	169.36	269.56	137.32	0.0	236.62	203.89	286.76	113.27	0.0	132.62	264.32	213.63	0.0	0.11	0.0	0.0	0.0	65.39	65.9	784.18	1178.65	668.84	592.46	0.0	0.12	0.0	0.13	0.0	28.2	23.09	25.52
Osbp	0.0	0.0	10.73	16.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.58	0.0	118.86	20.33	0.0	8.75	28.12	0.0	0.0	0.0	0.0	11.66	0.0	26.11	0.0	15.86	0.03	6.6	5.16	0.16	3.95	0.0	1.59	8.05	0.26	0.0	1.49	0.79	1.34	24.61	10.68	22.17	6.9	0.0	12.18	0.0	0.0	0.0	5.71	0.0	8.1	0.44	0.0	1.14	0.0	13.39	0.0	104.9	0.0	0.0	0.07	15.2	35.84	0.0	0.0	0.42	0.0	0.0	16.14	0.1	42.36	42.74	41.4
Palm2	0.0	11.66	0.0	0.06	2.51	6.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.54	2.04	129.85	5.9	0.0	42.15	0.95	0.08	0.12	0.04	0.0	1.86	10.11	10.06	0.39	0.21	16.4	1.9	0.03	5.29	12.25	7.91	38.41	9.56	12.23	30.26	4.8	17.85	0.01	1.75	16.26	0.0	0.93	0.59	13.76	11.63	2.79	18.76	2.21	2.67	0.07	11.25	23.1	14.65	0.15	16.46	0.0	0.1	0.0	2.48	0.0	13.6	31.83	0.15	4.26	0.07	3.66	11.71	0.64	0.11	21.01	17.83	20.89
Pclo	22.24	34.86	19.71	39.75	43.57	12.98	26.47	8.0	11.66	0.01	0.05	0.09	83.07	0.0	10.74	39.25	126.39	188.64	12.02	45.61	57.1	37.41	57.91	0.0	0.07	0.0	18.75	9.25	31.54	16.51	15.31	5.73	21.45	18.57	18.89	56.7	59.57	19.9	17.02	32.78	51.91	26.73	8.89	56.79	17.93	30.92	34.82	24.95	22.54	47.52	5.49	30.77	39.24	56.82	10.33	20.06	18.11	18.36	19.72	0.07	67.49	0.0	0.0	0.0	25.08	13.24	36.95	79.41	87.4	40.72	14.63	16.26	54.34	16.03	30.18	60.14	52.02	64.43
Plcg1	10.68	0.16	0.0	0.0	0.0	0.0	0.0	0.0	19.04	0.0	0.0	8.21	0.0	0.0	0.87	0.0	0.28	74.5	0.0	2.47	13.68	0.0	0.0	0.0	0.39	0.0	16.02	19.61	0.02	0.0	0.0	0.0	0.0	0.0	0.0	3.88	0.0	18.82	0.0	0.0	0.0	4.53	0.13	8.74	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.28	0.0	0.91	0.0	15.19	0.0	0.0	0.0	4.23	0.0	0.0	0.0	0.0	0.04	0.0	50.7	0.0	0.0	0.0	0.0	1.14	0.0	0.1	47.58	47.21	51.72
Plxna1	5.11	7.66	8.56	0.05	0.11	0.3	2.67	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.03	0.0	10.32	39.05	0.47	6.21	0.04	0.06	0.0	0.0	0.0	0.0	22.16	0.56	1.58	0.65	0.0	0.0	0.01	0.06	0.0	0.0	14.26	0.03	0.58	0.66	13.2	21.6	11.42	2.9	0.0	3.7	3.94	0.39	4.81	0.0	0.0	0.0	11.4	0.0	8.12	0.0	15.85	0.0	3.02	0.0	2.94	0.08	0.0	0.0	0.29	8.74	9.34	64.67	0.0	28.09	0.0	0.0	1.41	0.24	7.95	35.88	37.83	38.57
Prepl	160.75	304.63	105.63	423.44	630.5	240.8	57.66	73.48	44.12	0.0	0.0	0.0	629.98	0.0	216.47	383.59	397.5	431.42	318.63	122.73	402.16	307.53	295.05	0.0	0.0	0.0	398.69	356.47	216.56	74.19	393.64	193.51	221.97	87.75	188.8	460.26	384.04	338.92	219.4	226.76	272.82	807.7	307.12	66.58	107.57	179.08	300.41	159.93	226.61	190.94	148.19	130.68	316.94	267.22	287.47	247.64	303.64	406.72	362.43	0.0	169.37	0.0	0.0	0.0	201.18	102.43	350.9	628.32	268.89	363.31	380.17	287.88	347.57	101.33	250.84	393.35	381.5	369.95
Rapgef5	0.0	0.0	0.0	54.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.52	0.0	0.0	0.0	0.1	118.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	3.54	1.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.01	7.12	3.67	41.67	0.0	0.0	0.0	2.76	0.0	0.0	0.0	1.32	0.0	11.66	0.04	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	1.89	94.31	0.0	0.0	2.28	0.12	0.0	0.0	0.0	53.76	49.47	54.47
Rian	102.24	61.85	14.95	116.47	53.13	163.67	69.04	20.33	28.03	0.0	0.11	0.0	68.75	0.0	4.97	48.72	94.83	80.89	1.98	14.82	39.02	59.93	133.95	0.0	0.07	0.0	104.41	77.62	158.52	92.71	63.58	56.11	9.96	72.02	32.31	54.76	96.42	55.84	101.29	119.53	64.53	16.1	47.52	19.14	22.23	111.9	33.3	99.19	108.21	62.49	12.6	35.95	57.6	33.76	86.91	112.71	171.37	97.59	77.54	0.0	74.5	0.0	0.0	0.0	80.6	82.68	112.71	139.62	112.76	12.13	43.48	230.98	115.86	59.83	104.57	439.96	415.61	429.09
Slc30a8	0.16	0.0	0.0	0.0	0.23	0.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.71	0.19	0.0	0.27	0.0	0.0	0.24	0.06	0.0	0.05	0.0	0.17	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.22	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.1	0.11
Slc39a7	19.93	0.0	0.0	0.0	58.68	0.0	0.0	65.99	0.17	0.0	0.0	0.0	66.53	0.0	75.24	1.07	163.49	224.04	0.0	0.0	2.3	0.0	0.85	489.97	0.0	0.0	0.42	69.9	146.6	17.37	0.08	0.89	47.18	0.05	19.46	0.0	54.07	27.78	0.0	25.77	0.0	0.0	69.18	21.6	0.0	8.24	51.31	0.31	43.28	0.31	5.01	70.33	1.1	1.19	0.0	10.37	0.3	1.11	47.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.71	76.29	0.77	192.16	0.0	0.0	13.25	57.74	45.87	82.77	89.91	87.1
Sst	54779.79	110572.87	47293.26	27080.23	31942.05	52293.57	92299.24	48476.57	39954.99	0.0	0.0	0.0	32059.53	0.0	58.01	0.0	72114.03	41248.39	0.0	0.0	0.0	79456.04	80147.45	0.0	0.0	0.0	39114.0	46171.02	45987.89	53894.31	43875.07	45687.49	43763.2	39090.22	56866.87	51085.86	57147.69	41946.67	53884.47	50199.22	40467.48	49702.56	51551.12	68952.67	4.67	41941.87	98.2	63593.53	54941.04	65451.11	14.37	53524.63	52986.0	54018.45	54281.29	59257.22	56460.73	63808.17	57846.93	0.0	50608.74	0.0	0.0	0.0	41295.0	40924.0	78404.02	40301.33	70180.73	33572.19	40569.83	41593.77	34709.45	27470.9	60686.4	558.6	588.98	558.0
Syn2	36.92	3.47	61.21	32.94	0.77	100.1	27.67	1.8	0.09	0.0	0.0	0.0	225.55	0.0	9.66	298.3	231.48	195.19	412.4	185.51	143.06	74.69	23.93	0.0	0.0	0.0	234.46	19.19	169.2	14.71	139.66	93.64	64.62	124.7	125.14	83.98	133.31	52.18	63.4	65.04	158.86	179.21	70.85	160.98	99.16	173.77	63.3	134.37	104.97	100.18	175.12	12.44	51.32	230.18	99.26	49.87	83.18	23.96	59.41	0.0	146.65	0.0	0.0	0.0	147.12	258.68	123.9	657.02	87.35	341.43	147.71	38.38	82.07	113.86	75.36	385.63	397.76	386.53
Tmtc4	3.48	0.0	0.0	0.43	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	338.04	0.0	0.0	0.0	113.61	1032.9	0.0	0.0	1.66	0.0	51.84	0.0	0.0	19.85	0.0	0.0	0.0	78.3	0.0	0.0	0.0	0.0	0.0	43.8	0.0	0.0	15.45	0.0	0.0	57.94	0.08	0.0	0.0	0.0	0.0	0.0	44.16	0.0	0.0	0.82	24.26	0.0	0.0	56.14	0.0	0.0	1.16	0.0	0.25	0.0	0.0	0.0	1.18	98.3	1.44	283.49	0.0	133.15	0.0	0.0	0.0	26.84	43.56	9.29	9.24	8.57
Trim43c	0.39	0.25	0.0	0.25	0.0	0.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.35	0.0	0.28	0.33	1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.15	0.32	0.0	0.12	0.0	0.0	0.0	0.38	0.0	0.0	0.0	0.0	0.0	1.0	0.23	0.0	0.0	0.0	0.0	0.13	0.0	0.18	0.33	0.57
Tsta3	0.0	9.66	10.22	0.0	1.67	83.28	110.58	0.0	0.0	0.0	0.0	0.0	359.68	0.0	69.64	183.45	0.0	443.25	98.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.1	12.88	68.5	0.0	125.88	55.21	4.71	108.13	22.02	0.0	32.04	181.89	70.47	0.0	0.0	0.0	68.3	51.04	0.0	108.89	0.0	52.41	62.35	0.0	0.0	69.02	40.05	89.13	112.43	45.48	78.52	0.0	47.39	0.0	42.98	0.0	0.0	0.0	31.53	135.31	46.24	261.82	0.0	0.0	0.0	125.02	244.03	63.11	0.36	26.56	26.99	29.08
Vgf	30.91	7.72	24.11	21.34	10.06	19.33	5.33	0.63	0.0	0.0	0.0	0.0	31.73	0.0	3.26	1.54	35.11	45.56	2.82	0.0	0.0	12.92	29.24	0.0	0.0	0.0	15.22	27.06	22.72	20.91	5.55	18.33	32.82	23.55	11.35	24.79	39.99	29.21	45.81	5.21	12.05	7.83	3.86	41.0	3.64	12.61	2.14	10.38	20.41	8.62	0.0	4.0	8.84	22.89	6.08	46.78	6.75	8.74	10.55	0.0	19.92	0.0	0.0	0.0	15.85	31.12	45.98	12.58	40.29	80.33	14.63	54.4	21.47	28.23	38.44	199.85	211.88	211.88
Yipf5	130.22	86.2	66.77	240.26	44.04	1.18	72.7	20.32	107.51	0.0	0.0	0.0	316.77	0.0	114.98	144.55	0.18	964.0	79.99	96.3	56.99	24.11	0.0	0.0	0.0	0.0	51.81	133.16	76.66	203.1	75.78	0.0	0.09	36.02	64.54	113.42	74.94	6.35	58.99	58.81	107.63	48.25	40.02	0.0	67.78	0.0	82.53	6.4	15.61	13.98	70.39	0.22	29.84	6.47	49.11	102.7	45.12	0.0	31.91	484.17	164.1	0.0	0.0	0.0	58.32	0.0	89.0	376.92	0.23	193.67	4.57	74.79	47.13	60.39	39.39	45.01	45.67	45.24
Zfp954	73.04	0.18	0.0	0.0	0.0	0.0	105.07	0.0	0.0	0.0	0.0	0.0	0.0	597.9	0.0	123.17	106.77	434.39	0.0	83.61	0.14	0.0	0.0	0.0	0.0	0.0	101.28	59.07	23.0	0.0	74.74	0.0	61.0	42.81	0.0	68.21	108.34	101.85	0.0	25.07	68.76	0.0	0.0	0.0	233.86	0.0	0.0	0.0	74.73	0.11	145.87	152.93	59.83	0.0	0.0	0.0	0.0	72.33	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	249.53	0.0	0.23	0.0	0.0	104.6	25.23	81.19	12.61	13.66	11.57
