	Calb2_tdTpositive_cell_3	Calb2_tdTpositive_cell_8	Calb2_tdTpositive_cell_51	Chrna2_tdTpositive_cell_58	Ctgf_tdTpositive_cell_9	Cux2_tdTpositive_cell_2	Cux2_tdTpositive_cell_3	Cux2_tdTpositive_cell_8	Cux2_tdTpositive_cell_9	Cux2_tdTpositive_cell_50	Cux2_tdTpositive_cell_55	Cux2_tdTpositive_cell_56	Cux2_tdTpositive_cell_69	Ndnf_tdTpositive_cell_11	Nr5a1_tdTpositive_cell_3	Nr5a1_tdTpositive_cell_4	Nr5a1_tdTpositive_cell_14	Nr5a1_tdTpositive_cell_33	Nr5a1_tdTpositive_cell_37	Nr5a1_tdTpositive_cell_43	Nr5a1_tdTpositive_cell_46	Ntsr1_tdTpositive_cell_9	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_38	Rbp4_tdTpositive_cell_3	Rbp4_tdTpositive_cell_94	Rbp4_tdTpositive_cell_115	Rbp4_tdTpositive_cell_116	Rbp4_tdTpositive_cell_142	Rbp4_tdTpositive_cell_155	Rorb_tdTpositive_cell_11	Rorb_tdTpositive_cell_32	Rorb_tdTpositive_cell_33	Rorb_tdTpositive_cell_38	Scnn1a.Tg2_tdTnegative_cell_8	Scnn1a.Tg3_tdTpositive_cell_7	Scnn1a.Tg3_tdTpositive_cell_56	Scnn1a.Tg3_tdTpositive_cell_80	Scnn1a.Tg3_tdTpositive_cell_97	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3
Snapc3	0.0	71.03	0.0	142.13	0.39	8.29	0.0	0.0	0.0	0.0	0.0	284.72	0.0	0.0	0.14	4.44	0.0	0.0	0.0	234.4	0.18	0.24	0.24	0.0	0.0	0.0	0.0	0.0	84.29	0.0	0.0	0.16	158.97	0.17	14.16	49.24	190.93	0.0	325.85	94.95	48.43	38.32	35.34
Spryd3	200.16	307.59	1.43	131.45	0.0	5.6	110.6	136.66	114.64	51.66	0.0	191.47	61.56	0.0	39.68	3.78	153.76	0.0	49.48	0.05	0.1	23.58	72.94	207.93	0.85	0.0	0.0	111.11	2.21	31.74	0.0	326.22	260.63	110.13	90.69	0.35	10.72	27.09	2.35	61.83	109.25	104.35	144.3
Srcin1	0.43	10.27	0.0	7.58	0.0	3.22	12.29	16.05	0.0	2.52	2.02	0.16	10.0	0.0	7.44	11.06	4.48	0.06	3.21	20.19	0.1	0.0	2.28	7.12	6.97	0.49	6.46	0.0	10.19	1.04	2.42	1.64	10.47	10.42	0.0	1.69	24.14	0.78	2.04	6.84	4.02	3.56	3.64
Tmem135	0.0	0.0	0.4	4.91	0.0	35.63	0.11	15.57	0.0	0.0	0.0	0.0	101.1	0.0	0.0	0.0	0.0	0.23	57.37	0.0	60.74	0.09	0.0	0.0	0.19	0.0	0.0	0.15	0.0	5.36	5.36	72.51	75.44	0.03	0.64	0.07	0.0	0.0	2.27	20.51	14.62	10.66	10.94
Tmem169	81.04	44.05	0.0	0.0	0.0	0.0	11.03	0.0	0.0	0.0	0.0	62.4	0.2	0.0	0.07	0.0	0.14	0.0	0.0	173.94	0.0	0.0	11.79	0.0	0.0	0.0	8.09	0.0	76.98	8.26	0.0	85.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.03	11.65	13.68	9.86
Txndc17	0.54	128.14	190.68	88.75	0.0	5.23	90.49	95.79	0.0	10.45	97.3	59.46	57.05	0.0	0.34	64.84	79.77	0.3	116.37	247.85	233.89	22.57	19.48	130.87	64.92	63.21	36.05	82.92	7.16	31.51	0.65	252.0	69.17	47.81	155.11	0.38	3.11	52.23	2.69	64.09	58.35	59.96	68.31
Ube4b	98.77	0.44	0.27	0.07	0.0	8.0	24.43	0.08	0.0	0.0	0.0	0.0	10.13	0.0	0.47	0.33	0.0	0.0	10.55	36.14	0.0	0.12	0.0	0.0	27.35	3.67	0.0	1.82	0.1	1.48	15.66	0.34	70.84	33.54	0.11	0.79	2.89	0.33	1.05	14.22	10.34	9.7	10.54
Ubtf	6.51	11.17	15.68	15.66	5.33	2.09	1.32	0.63	5.05	0.47	1.72	1.83	1.28	0.0	1.35	27.78	25.75	7.07	7.02	101.57	1.42	0.29	30.01	0.58	0.0	0.8	0.35	0.12	5.2	29.37	0.22	37.27	1.4	1.18	52.46	5.63	1.27	23.49	0.99	5.55	10.58	11.92	12.9
Usp3	0.0	0.0	25.38	0.0	0.0	9.73	0.0	0.0	20.24	14.64	0.0	0.0	0.0	0.0	0.09	0.0	16.44	0.0	15.9	0.06	0.0	23.24	35.01	147.58	0.0	0.0	0.0	32.88	0.0	11.05	0.0	34.49	86.47	0.05	0.0	0.0	124.2	0.0	0.62	18.63	12.54	6.29	13.64
Vmp1	512.94	682.73	247.9	495.1	0.38	1116.7	623.29	346.36	754.29	418.39	1175.95	592.55	202.63	0.0	401.97	631.73	768.9	588.22	429.26	1189.3	633.95	1371.89	989.2	650.28	183.15	443.41	163.47	518.23	436.72	410.71	846.55	521.29	747.3	383.7	467.62	277.74	320.54	656.72	753.2	395.03	673.81	560.4	627.69
Zcchc2	61.95	23.88	0.0	0.0	0.0	0.0	0.0	77.32	0.0	0.0	0.0	0.56	0.0	0.0	1.16	108.38	0.34	0.0	1.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.39	0.0	10.02	55.18	8.34	1.49	0.0	0.0	52.21	0.0	0.14	7.96	3.65	3.3	4.17
Zfp958	0.36	123.43	0.6	1.65	0.0	7.89	239.13	13.87	1.79	156.14	0.0	6.3	3.06	0.0	0.96	1.21	0.17	0.96	0.74	2.26	3.2	0.7	0.4	2.06	43.6	5.51	3.02	0.35	4.78	2.73	0.0	4.53	6.09	0.21	1.46	145.32	66.15	9.63	5.01	44.59	9.9	21.56	14.32
mt_AK136262	12.47	0.0	0.0	3.35	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.94	0.0	0.0	0.0	0.0	0.0	0.0	1.1	1.01	0.0	86.5	75.42	0.0	0.06	0.13	0.02	0.0	0.0	0.0	0.0	0.08	0.02	0.23	3.65	0.0	1.78	0.0	0.02	210.2	8.22	0.19	1.6
mt_AK138272	226.79	151.48	83.93	236.01	67.36	403.48	230.03	218.97	37.12	171.79	70.94	75.28	194.88	0.0	161.51	114.36	214.14	209.72	279.26	557.64	193.54	120.2	127.41	121.2	197.3	68.21	49.55	153.64	145.79	128.54	263.76	449.56	229.93	316.67	111.37	0.0	296.31	0.0	7.56	189.81	148.03	190.14	215.76
mt_AK142003	12.47	0.0	0.0	3.35	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.94	0.0	0.0	0.0	0.0	0.0	0.0	1.1	1.01	0.0	86.5	75.42	0.0	0.06	0.13	0.02	0.0	0.0	0.0	0.0	0.08	0.02	0.23	3.65	0.0	1.78	0.0	0.02	210.2	8.22	0.19	1.6
mt_AK166798	12.47	0.0	0.0	3.35	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.94	0.0	0.0	0.0	0.0	0.0	0.0	1.1	1.01	0.0	86.5	75.42	0.0	0.06	0.13	0.02	0.0	0.0	0.0	0.0	0.08	0.02	0.23	3.65	0.0	1.78	0.0	0.02	210.2	8.22	0.19	1.6
mt_AK166978	12.47	0.0	0.0	3.35	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.94	0.0	0.0	0.0	0.0	0.0	0.0	1.1	1.01	0.0	86.5	75.42	0.0	0.06	0.13	0.02	0.0	0.0	0.0	0.0	0.08	0.02	0.23	3.65	0.0	1.78	0.0	0.02	210.2	8.22	0.19	1.6
