	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_3	Cux2_tdTpositive_cell_6	Ndnf_tdTpositive_cell_10	Nr5a1_tdTpositive_cell_35	Ntsr1_tdTpositive_cell_3	Ntsr1_tdTpositive_cell_6	Ntsr1_tdTpositive_cell_8	Rbp4_tdTpositive_cell_70	Rbp4_tdTpositive_cell_74	Rbp4_tdTpositive_cell_95	Rbp4_tdTpositive_cell_133	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_157	Rbp4_tdTpositive_cell_160	Rbp4_tdTpositive_cell_176	Rbp4_tdTpositive_cell_177	Rbp4_tdTpositive_cell_178	Rbp4_tdTpositive_cell_180	Rbp4_tdTpositive_cell_185	Rbp4_tdTpositive_cell_189	Rbp4_tdTnegative_cell_2	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_4	Rbp4_tdTnegative_cell_5	Rbp4_tdTnegative_cell_6	Rbp4_tdTnegative_cell_9	Rbp4_tdTnegative_cell_10	Rbp4_tdTnegative_cell_13	Rbp4_tdTnegative_cell_14	Rbp4_tdTnegative_cell_16	Rbp4_tdTnegative_cell_22	Rbp4_tdTnegative_cell_23	Rorb_tdTpositive_cell_19	Rorb_tdTpositive_cell_47	Scnn1a.Tg3_tdTnegative_cell_16
Tpr	0.0	179.03	63.69	1.22	0.0	64.8	38.53	24.3	31.44	38.96	12.64	8.03	0.21	88.6	24.44	36.79	18.82	73.96	8.17	3.21	30.45	0.0	0.08	0.0	0.08	0.0	12.63	0.0	0.0	0.0	0.05	3.71	0.0	29.89	231.77	0.0
Trappc9	37.18	0.78	160.54	9.91	35.98	196.41	115.23	153.07	118.03	127.9	40.41	52.0	84.28	202.14	40.92	79.79	85.86	160.75	62.6	33.82	68.43	40.45	259.55	15.16	135.96	122.32	59.45	47.01	66.16	57.93	7.65	77.57	106.33	34.67	52.45	20.18
Tssc1	0.0	0.0	12.47	0.0	27.15	224.24	118.19	285.0	127.32	60.86	101.93	22.16	74.77	186.21	167.77	38.36	18.77	3.99	99.2	0.0	109.53	0.0	0.0	0.0	0.0	0.44	48.58	0.0	0.0	0.39	0.42	26.55	0.0	0.2	0.75	0.0
Twf2	0.32	0.0	0.19	0.0	168.36	137.08	1.6	196.35	0.0	11.09	0.0	0.0	0.0	63.29	184.96	0.0	0.0	0.0	0.0	47.46	1.18	4.03	0.0	0.0	0.0	0.93	0.0	0.0	0.0	5.33	0.0	0.0	0.0	0.0	0.0	0.0
Uba3	0.0	0.0	0.0	0.0	17.32	379.08	108.79	264.52	210.71	179.97	263.15	269.41	83.02	269.18	616.18	243.54	355.09	60.54	98.84	119.88	132.57	0.57	0.27	852.61	517.88	1.53	0.32	0.0	0.0	1.35	0.15	0.25	0.0	233.68	1.04	0.0
Ube2b	0.0	177.02	405.05	15.2	775.32	596.26	516.78	42.54	233.42	321.56	143.13	95.24	321.63	538.02	312.85	551.38	257.41	109.63	404.05	275.52	173.89	0.0	255.28	0.0	4.4	1336.96	1.1	0.0	1064.2	54.29	30.08	0.0	11.99	639.71	81.42	0.29
Usp14	0.0	0.0	92.92	0.0	333.47	362.73	312.75	299.87	300.96	265.48	263.65	136.13	232.03	275.43	411.04	154.55	6.81	110.27	213.19	219.91	153.06	0.17	163.22	0.0	34.36	0.36	3.01	0.0	181.96	0.0	0.35	0.0	0.11	15.35	0.3	0.0
Usp22	0.11	0.0	124.16	0.0	368.54	537.65	354.18	559.65	353.7	404.52	228.82	329.82	294.54	845.18	671.9	141.63	175.37	79.74	204.28	225.27	163.76	0.0	0.22	0.0	221.97	1.86	1.23	0.0	759.07	0.86	0.71	0.0	0.0	269.92	0.74	269.56
Usp48	0.0	0.0	1.3	0.0	0.45	56.75	0.07	79.57	38.2	28.25	0.89	23.85	19.08	36.65	89.2	4.61	0.36	0.0	29.79	12.41	35.41	0.0	0.0	0.0	0.1	0.0	0.13	0.0	0.0	0.0	0.06	76.99	0.0	26.96	0.07	0.0
Usp5	0.0	0.0	99.41	0.0	2.03	332.6	388.76	106.57	194.53	39.3	49.95	73.9	31.09	56.21	56.45	2.8	1.53	9.06	7.13	53.44	9.96	0.21	0.1	0.0	34.82	0.0	0.73	0.0	0.0	0.2	0.22	0.0	0.0	99.76	0.78	0.0
Wash	0.18	0.48	20.98	1.61	12.78	5.35	40.63	61.35	21.26	18.04	22.91	35.45	25.26	51.65	13.82	24.13	18.97	16.22	20.7	13.37	8.57	8.61	2.65	19.94	13.04	19.85	30.99	7.33	9.94	20.85	2.08	6.86	64.68	7.29	27.58	1.46
Zwint	0.38	0.0	517.39	4.92	1314.76	598.42	907.53	600.83	517.41	668.34	337.75	893.02	514.86	949.68	775.67	388.79	283.43	160.48	291.91	426.03	332.8	0.51	0.6	0.0	0.33	2.46	229.46	0.0	0.0	0.72	0.53	0.0	0.35	615.85	3.88	0.0
Zyg11b	1.31	41.73	10.27	4.27	4.0	89.45	70.18	51.61	30.53	18.83	35.76	27.25	10.26	52.59	36.42	30.46	15.43	15.46	31.14	16.64	19.66	5.02	1.79	2.24	4.73	41.15	5.27	3.77	2.97	6.68	3.4	5.38	5.69	7.35	5.99	3.98
