	Calb2_tdTpositive_cell_3	Calb2_tdTpositive_cell_51	Chrna2_tdTpositive_cell_58	Ctgf_tdTpositive_cell_1	Ctgf_tdTpositive_cell_3	Cux2_tdTpositive_cell_14	Cux2_tdTpositive_cell_50	Cux2_tdTpositive_cell_65	Cux2_tdTnegative_cell_12	Ndnf_tdTpositive_cell_7	Nr5a1_tdTpositive_cell_14	Nr5a1_tdTpositive_cell_33	Nr5a1_tdTpositive_cell_34	Nr5a1_tdTpositive_cell_38	Nr5a1_tdTpositive_cell_41	Nr5a1_tdTpositive_cell_43	Nr5a1_tdTpositive_cell_47	Ntsr1_tdTpositive_cell_7	Ntsr1_tdTpositive_cell_38	Rbp4_tdTpositive_cell_3	Rbp4_tdTpositive_cell_86	Rbp4_tdTpositive_cell_88	Rbp4_tdTpositive_cell_171	Rorb_tdTpositive_cell_11	Rorb_tdTpositive_cell_36	Rorb_tdTpositive_cell_46	Rorb_tdTpositive_cell_55	Scnn1a.Tg3_tdTpositive_cell_55	Ntsr1_tdTpos_100cell_1	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Rxrb	0.0	0.0	0.0	0.0	0.0	11.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	25.39	1.97	73.37	39.28	0.0	41.12	54.18	0.0	1.62	0.0	0.0	4.77	0.0	0.64	56.74	63.91	61.21
Serpinb11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.06	0.0
Slco6c1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.04
Slit3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.68	0.0	0.0	120.33	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.0	0.0	1.67	5.59	0.0	0.0	0.02	0.0	0.0	0.0	0.18	25.89	25.15	27.05
Snph	24.94	0.0	97.38	0.0	0.0	39.66	0.0	65.14	0.0	0.0	1.76	0.0	1.45	0.07	62.47	0.49	0.06	103.12	4.73	0.0	146.97	86.68	22.53	59.7	0.02	0.0	23.56	0.0	14.56	167.43	174.0	180.8
Stk24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.57	0.0	0.13	0.0	0.0	0.0	2.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	85.59	11.35	0.0	0.0	0.62	0.0	0.0	1.97	44.81	42.02	44.95
Tas2r137	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.1	0.1
Tfcp2l1	0.24	0.59	0.3	0.19	0.09	0.17	0.45	0.14	0.0	0.34	0.85	0.34	0.05	0.27	0.7	0.3	0.21	0.71	0.45	0.57	0.23	1.61	0.6	0.82	0.25	0.19	1.35	0.71	0.16	2.51	2.46	2.58
Tm9sf1	0.0	109.84	0.33	0.0	0.0	0.0	0.0	0.0	0.19	0.0	46.3	0.0	129.96	0.07	0.06	0.0	0.0	0.0	0.0	92.33	10.05	143.13	0.0	0.0	0.0	0.0	0.0	0.0	9.98	31.21	30.33	30.16
Tmem194b	7.52	0.0	67.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.38	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	85.58	0.0	0.0	0.0	0.0	0.0	0.0	0.89	4.69	5.13	5.95
Trpc4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	1.28	0.0	0.0	0.0	0.0	0.0	0.0	157.76	0.0	0.0	3.3	14.24	0.0	0.0	2.22	14.26	15.72	14.98
Ubr4	0.0	11.95	2.8	14.86	0.0	0.02	1.24	9.85	0.0	0.0	0.0	0.03	0.0	5.1	0.6	0.26	11.77	0.07	1.27	0.13	14.71	19.74	10.22	0.47	0.07	5.4	2.03	0.0	6.85	45.95	42.73	49.32
Unk	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.42	0.0	0.0	0.0	0.0	0.05	0.05	0.0	0.0	0.06	0.0	0.0	0.56	15.1	0.12	0.0	0.0	0.15	0.0	0.0	1.44	15.06	16.53	17.51
Vax2os2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.07	0.07
Vps52	0.0	0.0	17.52	0.0	0.15	0.0	0.0	92.48	0.0	0.0	23.5	0.0	0.0	0.03	0.0	0.0	0.0	0.11	4.11	0.5	136.83	187.59	0.31	0.0	103.84	62.53	2.61	0.0	9.49	71.46	74.29	76.31
mt_AK131586	0.04	0.0	0.0	3491.17	6370.03	133.69	0.0	0.0	3744.02	4908.34	0.0	0.01	0.55	0.0	0.0	0.0	0.0	0.0	1.79	0.0	0.0	1.44	0.0	0.0	0.0	0.0	4339.12	0.0	0.01	25813.35	24091.17	24561.45
