	Calb2_tdTpositive_cell_9	Chrna2_tdTpositive_cell_51	Cux2_tdTpositive_cell_57	Cux2_tdTpositive_cell_65	Cux2_tdTpositive_cell_74	Cux2_tdTpositive_cell_96	Ndnf_tdTpositive_cell_20	Nr5a1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_20	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_32	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_42	Rbp4_tdTpositive_cell_44	Rbp4_tdTpositive_cell_89	Rbp4_tdTpositive_cell_125	Rbp4_tdTpositive_cell_127	Rbp4_tdTpositive_cell_133	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_183	Rbp4_tdTpositive_cell_189	Scnn1a.Tg2_tdTpositive_cell_2	Scnn1a.Tg3_tdTpositive_cell_65	Scnn1a.Tg3_tdTpositive_cell_70	Slc17a6_tdTpositive_cell_10	Slc17a6_tdTpositive_cell_28	Slc17a6_tdTpositive_cell_29	Slc17a6_tdTpositive_cell_30	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_31	CAV_LP_Ipsi_tdTpos_cell_32	CAV_LP_Ipsi_tdTpos_cell_36
Msra	29.68	0.0	0.64	307.35	0.0	113.94	0.0	341.74	0.0	0.28	0.0	209.03	0.21	69.6	402.17	0.0	61.84	64.01	96.67	54.72	130.8	2.19	7.97	63.95	157.63	441.22	173.73	107.08	0.52	0.0	43.91	57.22	30.69	74.68	46.83	179.57	4.15	189.45	0.51	144.41	5.77	0.21	555.54	190.27	89.7
Nipa2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.26	0.0	0.0	0.0	0.0	0.0	56.57	0.0	0.0	20.87	19.98	0.0	22.99	11.22	0.12	91.21	24.04	0.0	144.08	0.0	0.0	0.0	0.0	4.4	0.0	7.25	9.31	4.2	0.0	0.0	0.0	24.68	58.06	0.0	4.76	0.0	0.0	42.97
Nktr	28.86	0.0	0.16	0.0	1.77	55.27	0.0	0.0	0.12	18.37	0.0	0.0	2.05	5.61	2.64	53.34	16.48	12.31	17.12	9.29	24.58	31.55	44.9	22.95	0.0	108.25	39.38	36.47	28.04	4.62	29.56	19.68	17.42	11.82	10.32	27.4	34.32	0.0	19.17	0.45	6.85	36.85	0.0	28.23	20.36
Nrxn2	0.02	1.72	0.06	0.07	0.0	0.37	0.0	0.43	0.0	0.43	0.0	0.31	2.59	0.22	0.57	0.35	0.79	2.37	0.51	2.28	2.14	2.17	3.03	0.77	0.0	3.41	1.0	2.34	2.42	0.55	0.47	0.78	1.0	0.68	1.02	0.0	0.83	0.43	0.0	0.14	0.3	0.27	0.31	0.0	1.01
Nudt6	0.0	0.0	0.72	0.42	0.0	0.0	0.0	0.19	0.0	0.0	0.0	0.0	132.2	0.0	0.0	0.0	0.96	0.0	0.0	0.0	12.98	0.0	2.08	0.0	0.0	197.52	0.0	68.65	0.0	0.0	21.38	5.5	10.5	8.07	2.01	0.0	103.43	0.0	0.0	0.0	0.89	0.0	0.0	0.0	0.0
Nup214	0.23	0.0	0.76	2.22	0.11	0.0	0.0	16.03	0.33	35.81	24.74	24.23	7.15	0.03	0.97	0.04	1.02	13.05	0.4	20.12	4.47	0.48	0.08	0.02	0.53	64.57	18.55	1.44	21.15	19.08	4.77	3.29	4.09	7.49	4.63	0.11	0.07	0.0	25.47	0.0	0.0	0.06	61.44	0.07	0.11
P4ha1	32.23	0.0	0.27	23.68	15.26	14.29	0.0	44.68	0.0	146.95	17.82	66.43	39.71	24.53	0.0	0.0	22.01	20.2	3.38	25.05	22.8	0.29	111.22	7.65	0.0	146.54	34.37	34.66	58.47	23.57	77.18	82.95	25.87	28.72	24.83	0.0	16.67	0.0	3.27	42.6	19.34	3.89	18.27	24.87	11.43
Pfkm	115.66	278.53	397.44	321.77	0.84	179.05	0.0	63.89	86.3	108.68	296.6	53.32	191.74	134.02	66.91	622.66	179.67	231.39	101.94	174.98	48.66	213.29	94.12	138.82	16.16	450.19	302.16	152.44	269.15	129.12	158.15	244.03	155.7	199.57	207.65	215.75	70.31	59.95	9.04	92.44	124.06	64.68	104.5	275.67	284.25
Plec	49.03	41.02	0.02	38.83	0.0	21.13	0.5	10.44	0.05	30.86	27.83	13.58	35.0	39.9	20.31	63.7	14.41	37.87	16.45	9.98	25.66	6.41	13.76	27.75	0.18	116.9	39.69	44.23	17.84	38.27	25.76	20.2	20.93	14.64	16.62	25.04	0.0	2.14	45.78	0.06	9.83	16.2	0.0	19.28	12.11
Plekha3	64.09	0.0	6.04	26.83	0.0	12.79	0.0	0.0	0.0	39.07	1.38	0.71	21.08	0.0	0.0	155.57	10.52	0.0	0.0	18.4	10.91	0.2	44.62	28.08	0.0	120.44	0.0	0.0	0.0	0.0	25.29	11.35	16.86	12.58	12.1	0.0	3.19	0.0	0.0	0.0	0.0	0.0	0.0	0.17	33.51
Plekha8	0.0	0.0	0.06	0.0	0.0	0.0	2.24	1.3	0.0	0.05	45.82	0.0	0.01	17.42	3.46	0.0	0.66	52.98	0.06	0.0	4.01	37.21	0.0	2.74	0.0	140.94	0.09	0.19	28.25	0.0	9.47	9.2	4.18	5.24	3.62	79.47	65.96	0.0	0.03	0.0	0.0	0.03	7.47	29.65	0.0
Ppargc1a	48.1	0.0	0.34	2.56	0.1	0.12	0.0	0.5	0.05	36.29	0.26	0.04	0.0	0.08	0.88	0.0	38.21	33.74	1.27	2.78	16.62	0.56	36.43	26.68	0.0	134.97	16.56	32.37	0.83	1.29	5.42	7.33	7.06	9.98	10.35	0.0	0.0	0.04	0.05	0.0	0.04	3.34	0.0	40.47	82.17
Ppm1f	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	29.88	0.65	0.0	1.68	0.0	0.0	0.05	2.66	9.09	22.44	10.87	9.11	1.16	0.0	19.53	65.15	0.0	0.0	0.0	0.0	4.73	6.71	1.79	5.93	6.69	0.0	0.0	0.0	0.0	0.0	9.95	0.1	0.0	0.0	0.0
Prkag1	59.4	44.11	184.03	4.82	413.2	19.17	0.0	187.08	0.0	0.41	222.85	254.08	0.31	89.08	0.2	0.0	76.46	293.79	108.64	154.03	71.31	0.46	29.01	40.8	0.0	478.32	0.0	124.38	155.49	111.53	106.3	179.25	134.01	131.36	128.98	393.0	112.71	340.17	0.18	0.0	0.0	0.3	159.86	74.3	182.64
Prkcz	36.44	1.64	80.87	166.02	0.0	0.73	0.0	107.19	0.0	0.0	52.72	10.38	64.43	25.41	2.16	0.0	73.83	74.83	1.05	11.81	29.22	30.94	7.86	42.95	5.87	374.38	161.47	120.45	71.21	40.47	54.31	85.94	82.9	55.25	54.68	54.64	0.27	0.58	0.0	65.9	20.88	2.79	39.84	11.44	32.76
Prosc	0.0	11.55	26.89	37.37	0.0	152.25	0.0	0.17	0.25	55.85	25.76	0.0	0.0	9.33	0.18	176.91	50.86	27.03	45.99	0.0	23.95	3.25	14.99	64.38	0.0	202.29	14.94	4.83	40.35	0.0	27.78	46.19	14.9	12.03	40.25	0.24	0.0	16.14	3.68	50.31	0.0	19.62	27.89	13.29	51.81
Psmd1	8.71	105.27	209.78	184.94	7.48	83.22	2.3	250.68	0.22	191.07	115.07	26.61	75.8	147.06	76.71	0.11	202.47	224.36	13.86	157.63	58.77	131.53	100.24	146.83	353.58	486.99	299.24	128.01	429.78	276.86	145.81	229.32	176.25	155.95	145.07	161.96	56.5	67.43	78.86	34.49	21.03	37.19	7.2	53.2	138.22
Rbm10	9.77	1.72	3.46	23.7	0.0	3.29	2.34	0.13	0.0	41.09	89.01	0.0	6.78	0.0	0.0	0.0	15.68	0.0	5.75	6.2	14.04	5.13	0.17	35.4	0.0	135.29	0.0	25.08	0.19	55.1	35.83	0.84	10.47	10.88	12.13	4.78	78.78	25.32	62.57	0.27	0.0	44.28	0.0	0.0	1.23
Rbm24	0.24	0.0	183.63	2.94	0.0	0.93	0.0	6.71	0.0	0.0	0.0	0.0	5.81	1.91	0.0	0.0	1.38	10.03	0.12	0.0	32.18	12.05	45.48	10.64	0.0	154.05	144.7	0.0	37.15	0.0	4.89	0.0	0.49	1.01	2.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.23	0.0
Recql	53.44	25.4	0.0	0.03	4.38	0.0	0.0	40.45	0.0	0.11	0.0	0.0	5.52	0.44	40.02	0.0	11.87	0.0	0.0	5.71	1.46	0.35	1.29	0.0	0.0	92.04	54.94	0.0	58.77	79.69	8.75	6.5	30.05	22.8	18.89	0.0	0.0	0.0	33.6	0.0	0.0	21.21	0.0	42.1	0.0
Rer1	0.78	0.0	67.25	40.56	26.94	204.01	0.0	9.29	0.0	0.0	88.58	0.0	2.65	0.0	0.21	34.52	34.84	51.13	0.0	53.61	36.61	173.9	30.37	14.31	40.54	319.57	5.0	240.99	56.66	0.0	100.07	51.5	63.52	22.21	48.88	91.72	243.84	50.97	79.05	39.85	55.04	56.28	0.0	92.64	5.1
Rnf6	104.29	103.97	7.42	143.62	1.5	252.31	0.0	83.14	1.69	96.82	128.72	2.38	77.42	19.54	74.15	0.11	36.28	37.02	70.03	43.87	76.77	8.14	37.65	40.41	36.44	288.52	4.41	50.86	78.31	85.44	55.5	121.25	45.31	131.33	95.29	28.09	5.2	65.82	23.38	9.22	87.31	0.71	248.09	40.61	155.77
Scnm1	145.91	0.33	0.0	6.83	0.0	0.0	0.0	141.58	0.43	0.0	49.94	53.83	588.19	6.78	187.66	220.23	146.8	104.16	0.0	90.64	118.69	44.9	0.0	107.87	0.0	579.64	93.35	204.74	82.01	125.66	110.65	63.23	122.37	114.49	125.14	168.32	3.58	100.13	0.47	129.33	110.47	0.0	32.44	273.29	102.05
Sec23a	20.96	40.08	72.92	124.42	0.0	121.74	1.81	46.19	0.26	48.56	94.41	0.26	9.08	0.46	74.43	345.95	76.04	169.83	4.4	81.63	46.57	2.21	92.28	46.72	0.0	140.2	101.31	60.51	163.89	72.88	57.88	92.71	28.41	120.84	101.38	0.62	41.07	0.29	0.0	13.08	3.23	4.7	0.0	175.14	53.14
Sel1l3	0.0	15.9	0.0	69.82	0.35	6.47	0.0	0.0	89.26	55.87	31.13	0.06	0.0	59.05	0.0	0.0	15.67	32.39	0.09	49.58	3.87	0.86	1.22	18.33	65.12	396.79	20.5	0.0	87.72	1.67	32.85	25.86	25.36	38.15	24.27	20.62	1.52	29.91	10.15	113.64	1.74	11.98	189.7	0.05	49.59
Sept8	3.89	6.02	0.08	0.0	0.0	25.44	0.0	10.98	0.0	0.0	0.0	17.22	38.13	26.8	0.0	38.73	13.25	24.07	0.35	0.47	6.39	38.64	1.93	4.23	0.0	26.88	39.81	26.78	26.39	33.19	21.43	13.8	10.14	20.97	15.97	0.0	6.94	0.0	6.8	8.65	9.77	0.0	109.68	8.48	24.65
Slc30a8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.09	0.16	0.0	0.0	0.19	0.0	0.06	0.0	0.6	0.33	0.0	0.0	0.37	0.0	0.0	0.0	0.0	0.18	0.0	0.0	0.0	0.0	0.23	0.0	0.0	0.0	0.0	0.0
Slc35a1	0.59	0.0	0.0	0.0	0.0	93.72	0.0	99.65	106.31	167.4	0.0	0.0	0.0	103.58	144.55	0.18	138.87	131.06	136.88	169.48	56.36	191.23	21.18	44.41	0.0	494.73	0.0	17.89	11.99	146.61	39.78	62.11	62.08	48.01	91.27	0.0	110.51	108.28	0.0	281.93	0.0	235.78	337.61	29.58	153.72
Slc35a5	95.69	38.44	0.18	48.31	0.0	53.01	0.0	20.33	17.98	76.71	66.23	18.26	0.0	20.81	0.0	0.0	76.34	32.03	69.59	0.0	30.05	0.36	0.07	19.65	22.19	164.13	19.99	0.0	98.75	66.88	32.41	32.6	15.74	40.32	37.09	35.21	0.07	9.32	47.52	0.1	7.62	9.93	98.22	20.63	42.47
Snx1	79.27	0.0	2.7	0.21	0.0	79.37	0.0	119.02	0.0	0.16	16.49	0.13	21.54	0.13	0.62	0.0	97.82	45.89	4.38	8.81	45.76	0.94	6.42	20.69	0.0	389.1	0.0	85.25	0.0	24.88	26.32	47.8	43.55	38.58	23.21	0.69	0.0	93.31	0.0	0.0	0.0	0.12	0.0	14.25	72.91
Spryd4	271.31	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	66.22	0.0	0.0	0.0	0.0	0.0	37.06	53.51	0.0	0.0	42.95	0.0	31.57	0.0	0.0	477.53	0.0	0.0	0.0	0.0	8.02	31.7	13.97	39.46	24.31	0.0	111.27	0.0	0.0	0.0	23.46	95.27	0.0	0.0	0.0
Srrm3	0.0	0.0	0.0	0.44	0.0	2.48	0.0	4.37	0.0	0.75	0.0	0.0	12.92	0.0	2.41	0.0	0.44	0.79	0.0	4.06	2.16	0.34	0.31	0.72	0.0	11.5	2.2	0.16	8.09	0.0	0.0	0.0	0.0	1.36	1.05	0.0	0.07	0.0	0.07	0.0	0.0	0.06	0.0	0.0	0.0
Stk19	0.0	0.0	0.71	0.0	26.08	38.39	0.0	77.22	1.36	0.0	81.69	0.51	164.13	0.0	0.61	0.0	0.24	63.25	0.38	198.5	55.85	38.65	39.61	0.0	79.22	345.43	0.0	13.94	66.62	3.23	72.33	17.57	35.67	44.12	39.65	0.0	0.0	0.0	0.0	0.0	0.8	0.0	155.69	0.0	0.0
Strbp	69.72	50.57	75.2	274.8	6.98	211.43	0.0	84.43	88.26	74.74	165.55	11.39	13.36	44.64	144.22	65.16	228.16	96.48	103.78	111.62	164.02	136.73	114.79	85.73	28.31	245.04	139.55	229.65	220.27	131.54	107.1	185.45	84.11	289.37	182.32	85.32	45.25	45.82	44.8	12.74	37.79	49.56	184.69	210.6	265.48
Suds3	0.0	0.0	5.52	0.0	0.0	3.25	0.0	2.42	0.0	0.0	0.0	0.0	0.0	58.78	0.0	0.0	18.16	3.69	0.0	0.0	11.69	28.96	0.53	0.0	0.0	117.8	31.6	2.41	0.0	0.0	12.34	3.75	8.19	7.05	8.96	0.0	0.0	0.0	10.97	84.46	0.0	0.62	0.0	0.0	5.63
Tbc1d17	0.0	51.79	104.59	0.0	0.0	47.97	0.0	63.19	0.0	0.0	71.44	0.0	0.0	0.0	0.0	240.41	5.05	0.0	73.47	46.91	5.38	0.81	0.0	19.56	0.0	347.25	0.0	0.0	17.2	0.0	16.27	14.66	20.99	14.7	18.31	0.11	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.0	32.42
Tmem106b	24.62	19.0	90.91	28.1	0.0	0.0	0.0	0.13	0.06	40.78	0.17	31.35	39.45	56.89	0.0	0.82	56.84	27.09	0.58	0.0	45.03	10.16	26.01	26.86	18.13	200.38	47.22	0.0	0.88	0.14	23.5	19.46	16.76	27.72	17.77	3.14	0.09	0.0	0.0	0.0	55.27	0.43	126.68	26.62	112.51
Tmem231	0.0	0.0	0.0	0.0	0.0	0.26	0.0	8.13	0.12	0.0	5.3	0.09	0.0	1.96	0.0	0.0	8.05	1.71	0.0	33.09	5.02	8.75	0.43	5.0	0.0	211.82	64.34	6.7	2.92	10.49	2.69	14.01	5.54	3.1	7.33	0.0	0.0	0.0	3.59	156.26	0.0	0.0	0.0	4.66	0.0
Tyms-ps	0.46	0.52	1.58	0.0	3.13	1.39	0.0	0.42	0.32	0.25	1.06	1.24	1.87	0.4	0.0	0.0	0.68	1.17	1.99	2.14	2.03	1.2	0.89	0.25	4.19	6.42	0.42	2.84	0.0	3.66	0.79	1.83	1.92	0.88	0.61	0.32	1.57	0.1	0.27	4.85	0.04	0.11	5.49	1.61	1.46
Unc5c	40.24	0.0	0.0	2.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	140.33	1.4	38.8	0.0	0.18	21.54	0.15	0.0	7.12	0.0	133.19	0.0	0.0	10.81	0.0	1.86	0.19	0.0	1.47	0.33	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	20.11	33.38
Unc80	18.48	11.1	24.73	49.61	11.79	8.29	0.0	51.36	0.97	73.43	36.74	9.69	7.58	13.15	25.96	53.18	26.42	41.34	75.26	43.85	29.59	76.94	38.11	38.79	71.54	110.16	41.07	13.2	15.35	113.53	34.35	31.01	18.79	26.78	25.88	39.37	53.61	5.86	57.02	42.93	40.92	6.85	8.96	21.14	32.07
Usp28	0.0	0.0	2.54	94.95	0.0	0.0	0.0	4.83	0.0	1.24	0.08	0.0	0.06	0.06	0.0	0.0	0.0	24.67	36.85	5.47	14.25	0.53	45.82	4.39	1.24	118.68	8.63	0.44	3.69	33.08	10.61	16.07	7.99	12.98	7.51	7.49	0.0	0.0	0.0	0.0	0.0	2.65	0.18	17.48	71.67
Usp35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	32.92	0.0	9.45	0.0	22.54	39.38	0.0	0.0	0.71	0.11	28.31	20.68	0.0	66.58	0.0	0.0	0.0	0.0	0.0	11.67	0.2	4.32	2.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Usp5	48.97	35.36	120.35	0.0	203.68	63.16	0.0	159.5	0.11	66.19	148.07	14.62	100.79	21.05	20.28	0.0	113.71	5.71	73.9	31.09	31.55	120.13	9.96	0.08	14.3	504.07	197.97	34.89	44.73	17.19	57.85	75.51	71.34	123.62	130.48	6.16	81.91	56.4	0.09	210.86	32.26	11.0	0.24	82.59	105.33
Vamp5	1.31	0.74	0.25	3.31	0.52	0.0	0.0	1.84	1.75	1.17	0.96	0.15	0.0	5.89	0.42	0.46	1.62	1.6	4.65	5.48	3.6	0.66	2.18	0.17	7.68	9.76	2.06	1.29	1.2	1.89	0.95	4.12	1.56	1.6	0.87	1.09	6.94	1.6	4.38	0.58	0.0	0.14	0.5	3.27	1.87
Vps33b	69.08	16.28	4.34	4.44	11.13	2.89	2.12	2.64	6.19	1.72	2.01	3.27	11.8	12.59	1.3	0.14	41.54	0.86	11.21	59.45	10.04	8.19	61.31	2.16	3.82	144.08	108.19	2.89	35.26	187.76	21.2	31.7	8.51	36.81	18.73	2.19	0.6	0.66	2.01	2.99	0.52	42.0	2.92	4.24	86.5
Wnk2	3.87	0.0	0.06	25.17	0.0	0.23	0.0	0.21	0.0	0.0	15.92	0.0	0.04	0.04	2.18	0.0	4.95	2.02	9.58	6.49	6.27	30.38	2.4	0.66	0.0	20.65	7.06	7.27	0.36	5.54	6.1	4.79	4.81	4.85	6.22	5.31	0.0	1.87	0.0	0.0	5.81	0.0	0.0	3.84	5.27
Zfp281	0.0	0.0	0.21	29.95	13.17	0.14	0.0	1.85	0.0	49.34	3.13	1.31	0.0	0.0	2.75	0.0	37.98	3.75	0.0	30.44	48.09	0.99	6.95	5.45	0.0	292.42	0.0	12.19	65.76	0.0	16.84	29.9	16.96	16.36	14.08	6.35	0.0	45.15	0.06	42.31	3.6	28.04	0.0	2.53	0.06
Znrf3	70.71	0.06	21.91	0.17	0.14	0.0	0.0	18.07	0.0	26.78	0.8	1.19	1.72	0.06	22.37	0.0	41.07	14.18	0.22	44.2	22.56	0.45	3.03	19.57	0.44	77.79	60.48	21.96	39.47	18.12	20.71	29.0	23.41	53.2	40.6	0.09	0.06	0.08	0.0	47.05	0.44	2.97	0.0	7.56	16.57
Zswim7	73.49	0.0	0.0	120.6	0.0	217.13	0.0	1.7	0.0	0.0	99.89	0.0	0.0	34.05	39.05	0.0	38.36	43.16	0.0	56.06	72.19	74.61	0.43	37.04	0.0	369.34	0.0	72.11	89.37	0.0	26.39	32.61	50.78	39.6	41.62	205.5	0.0	12.22	0.0	0.0	0.0	0.0	0.0	13.72	0.0
