	Calb2_tdTpositive_cell_40	Calb2_tdTpositive_cell_41	Calb2_tdTpositive_cell_44	Calb2_tdTpositive_cell_54	Calb2_tdTpositive_cell_59	Chrna2_tdTpositive_cell_1	Gad2_tdTpositive_cell_15	Gad2_tdTpositive_cell_33	Gad2_tdTpositive_cell_34	Gad2_tdTpositive_cell_45	Gad2_tdTpositive_cell_54	Htr3a_tdTpositive_cell_21	Htr3a_tdTpositive_cell_31	Htr3a_tdTpositive_cell_34	Htr3a_tdTpositive_cell_41	Htr3a_tdTpositive_cell_45	Htr3a_tdTpositive_cell_47	Htr3a_tdTpositive_cell_48	Htr3a_tdTpositive_cell_52	Htr3a_tdTpositive_cell_56	Htr3a_tdTpositive_cell_68	Htr3a_tdTpositive_cell_81	Htr3a_tdTpositive_cell_104	Ndnf_tdTpositive_cell_15	Rbp4_tdTpositive_cell_165	Slc17a6_tdTpositive_cell_8	Vip_tdTpositive_cell_4	Vip_tdTpositive_cell_6	Vip_tdTpositive_cell_7	Vip_tdTpositive_cell_8	Vip_tdTpositive_cell_9	Vip_tdTpositive_cell_18	Vip_tdTpositive_cell_20	Vip_tdTpositive_cell_21	Vip_tdTpositive_cell_22	Vip_tdTpositive_cell_25	Vip_tdTpositive_cell_26	Vip_tdTpositive_cell_27	Vip_tdTpositive_cell_29	Vip_tdTpositive_cell_37	Vip_tdTpositive_cell_44	Vip_tdTpositive_cell_47	Vip_tdTpositive_cell_48	Vip_tdTpositive_cell_49	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Golt1a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.0	0.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.0	0.0	0.0	0.0	2.74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.13	0.0	0.0	1.19	1.37	1.01
Gphn	62.32	309.53	0.0	158.34	8.13	39.88	0.18	4.49	40.2	230.76	118.23	98.94	166.09	88.16	69.74	54.11	61.08	63.33	178.12	61.78	277.34	9.14	0.0	33.05	38.55	0.25	460.26	0.18	213.87	239.84	55.02	3.47	22.24	397.12	231.66	1.56	2.01	0.12	0.11	112.31	826.73	94.68	36.62	96.33	82.7	70.77	99.81	95.35	96.25	75.98	88.9	86.58	61.66	55.14	59.78
Haus5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.66	0.0	0.0	0.0	0.0	354.98	0.0	0.0	0.0	5.41	0.0	0.0	7.36	9.95	7.93	2.78	3.66	5.64	5.82	6.1
Igf2bp3	0.0	0.0	0.19	0.0	10.88	14.87	0.0	0.0	0.0	1.98	0.0	17.19	0.0	0.0	0.0	0.0	0.0	0.0	1.17	0.0	0.0	0.0	0.0	13.66	1.6	4.93	0.0	0.95	0.0	0.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.85	0.0	0.0	0.0	2.04	0.69	3.08	6.28	2.14	1.16	1.96	1.11	2.24	2.2	2.26
Il11ra2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.13	0.0	0.09	0.0	0.0	0.0	1.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.19	0.21	5.81	2.35	3.62	0.41	1.27	4.28	1.89	1.73	1.86	1.4
Jam3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.97	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	278.16	0.0	0.0	0.0	51.69	51.72	65.42	64.04	14.03	24.44	29.77	42.03	36.96	37.9	38.93
Klhl8	0.0	102.52	0.0	0.0	0.0	99.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0	11.35	1.82	169.81	0.0	0.0	0.0	99.47	0.0	0.0	0.0	0.0	0.0	23.44	0.0	0.0	0.0	271.43	0.0	99.42	0.0	10.61	9.37	5.01	10.86	2.65	5.64	3.97	3.17	26.65	26.2	24.88
Krba1	0.0	0.0	0.0	0.0	0.0	0.0	0.97	0.0	0.0	0.0	0.0	0.0	0.07	0.0	1.11	11.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.53	29.09	0.0	0.0	0.0	0.0	24.65	0.0	0.0	3.54	6.15	0.0	0.0	0.0	5.0	0.0	120.37	0.0	0.0	0.0	0.91	2.38	4.36	1.82	2.54	1.55	2.62	2.74	18.03	18.34	19.19
Lsr	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.66	0.0	0.0	0.0	22.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31	0.0	0.0	5.57	6.46	7.54
Man2c1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.46	0.0	0.0	0.0	0.12	0.0	2.01	0.0	118.81	0.0	0.0	0.0	3.29	0.0	0.0	0.0	0.0	0.0	6.23	0.26	0.0	0.0	0.0	0.86	0.0	0.0	0.0	0.0	244.9	0.0	0.0	0.0	3.98	1.05	20.05	6.57	4.43	10.8	9.16	3.98	45.18	46.88	47.37
Mchr1	0.0	0.0	0.0	133.21	57.4	0.0	0.0	0.0	223.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.46	0.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	266.53	0.0	0.0	0.0	12.0	4.5	15.98	7.51	0.0	15.35	11.54	7.18	22.39	23.39	22.83
Meis2	0.0	0.36	0.16	0.28	0.21	0.0	0.24	0.34	0.0	0.48	0.34	0.32	0.57	0.1	0.12	0.07	0.31	0.23	0.17	0.0	0.15	0.14	0.07	0.3	22.78	0.16	0.18	0.23	0.12	0.58	0.35	0.0	0.74	0.0	0.0	0.21	0.09	0.14	0.0	0.75	0.68	0.5	0.0	0.1	26.76	9.26	13.19	26.93	20.23	14.62	26.91	16.99	66.68	69.5	64.81
Mir713	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.02	0.0	14.88	4.72	0.0	0.0	0.0	48.02	0.0	0.0	0.0	0.0	0.0	5.9	0.0	0.0	0.0	0.0	0.0	2.74	0.0	0.0
Myh14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.36	14.87	15.9
Nat14	0.27	0.0	0.34	0.28	0.48	89.27	0.98	0.0	0.0	2.27	0.54	7.75	0.0	9.05	1.01	0.0	67.89	0.0	0.0	0.0	0.31	67.54	0.3	0.45	18.62	46.34	0.28	0.56	9.49	0.0	0.0	0.19	0.0	0.56	0.56	0.27	2.86	0.53	0.0	0.0	182.53	1.26	0.0	0.0	34.26	16.02	17.23	12.0	10.61	10.54	29.21	15.39	76.22	84.72	80.82
Nbn	0.0	0.0	0.0	0.0	0.0	0.0	9.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	2.13	0.0	7.41	0.0	19.37	81.75	0.0	55.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.71	0.0	0.0	200.17	0.0	0.0	0.0	10.23	34.93	1.21	24.47	5.86	9.48	13.84	16.9	16.51	14.65	16.25
Ndst2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	221.63	0.0	0.0	0.0	0.64	3.01	0.0	0.0	6.1	2.35	4.64	0.09	11.14	12.04	12.45
Nfatc3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	30.0	0.0	0.0	0.0	45.69	0.0	0.0	2.14	3.54	0.0	0.0	0.0	0.0	0.0	0.0	20.49	0.0	0.0	0.0	0.18	0.11	0.2	2.35	0.04	0.54	1.24	0.63	5.85	6.49	6.84
Olfr215	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Osbpl2	0.0	51.65	2.25	0.0	0.0	0.0	0.0	0.0	0.0	23.5	0.0	0.0	0.0	0.63	0.0	4.45	0.0	3.85	155.59	0.0	0.0	0.0	0.0	21.24	16.98	60.17	0.0	0.0	0.0	127.17	0.0	0.0	0.0	1.8	0.0	0.0	0.0	0.0	0.0	0.0	374.47	0.0	0.0	0.0	19.82	6.4	0.22	9.4	6.11	10.43	12.41	6.07	49.28	52.89	49.42
Pank2	0.0	0.0	0.0	0.0	0.0	1.45	0.28	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	88.55	0.0	0.0	0.0	0.0	6.06	123.95	0.0	0.14	0.0	0.12	0.0	0.0	0.12	150.53	0.0	0.0	0.0	0.0	0.0	0.0	190.34	0.0	144.25	0.23	12.29	9.73	10.42	10.2	4.57	11.02	9.65	12.04	32.39	32.48	32.67
Penk	7669.37	5037.4	10714.69	21119.42	7052.5	8723.78	14614.46	30305.82	14273.96	24078.42	18579.64	29110.93	7583.12	15168.53	23047.57	13973.88	19453.81	4223.01	4293.64	11802.85	22944.38	23364.23	0.35	5463.18	5.24	4394.27	16623.49	7740.57	6447.46	7531.18	24984.25	3223.82	7859.51	4578.01	3893.36	8575.12	4970.72	8940.47	3699.3	5789.22	9357.5	9658.52	3097.29	11865.47	0.0	0.0	0.22	0.0	0.0	1.73	1.49	3.51	368.19	372.55	337.73
Ppp1r14b	0.0	0.0	0.0	0.0	0.0	0.0	2.73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.97	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	64.15	0.0	0.0	1.11	0.0	0.0	0.0	0.0	1.97	0.34	0.0	0.0	31.01	36.7	38.39
Psg27	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.05	0.0
Rasl10a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.89	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	72.83	0.0	0.0	0.0	9.13	2.21	13.15	24.08	18.65	6.12	11.22	16.18	60.71	61.9	57.04
Rbm7	8.17	200.56	191.98	0.0	0.0	0.0	0.0	3.22	33.14	0.0	0.0	0.0	0.28	164.87	43.78	0.2	0.0	0.0	0.0	0.0	0.0	26.62	0.0	0.0	16.98	216.72	0.0	41.81	0.0	0.0	18.15	7.11	0.0	216.93	0.0	0.0	0.0	0.0	0.0	0.0	266.61	0.0	0.0	0.0	57.9	54.46	31.56	38.31	71.06	78.16	26.84	33.95	32.31	35.79	34.1
Rbms2	0.0	0.09	0.28	0.0	0.0	0.0	0.0	0.05	0.0	0.11	0.0	0.0	0.19	0.16	0.14	0.0	0.15	0.0	0.07	0.0	0.26	0.0	0.0	0.09	0.41	0.18	0.0	0.34	0.53	0.2	0.09	0.16	0.0	0.39	0.0	0.24	0.0	0.0	0.0	0.0	0.77	0.11	0.0	0.07	7.35	0.0	3.14	0.25	0.0	1.7	1.97	3.25	6.08	6.95	5.89
Rcan3	0.0	8.24	0.0	0.0	0.0	20.48	0.12	0.0	39.77	0.0	0.0	0.0	0.2	0.0	0.0	0.0	110.9	0.0	78.66	0.0	0.0	0.0	0.09	7.35	5.02	0.0	141.76	0.0	57.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	198.39	0.08	0.08	0.0	0.14	4.36	0.0	0.0	0.0	0.35	0.67	1.15	20.67	21.15	22.02
Rgsl1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	70.48	0.0	0.0	0.0	4.21	1.66	4.75	4.78	5.4	3.42	0.56	1.23	1.76	1.99	2.57
Satb1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.76	0.0	3.11	0.0	0.0	0.0	5.62	0.0	2.73	0.0	0.0	0.0	18.71	99.87	0.0	3.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.98	0.0	0.0	0.16	14.03	4.48	9.79	29.6	20.65	14.48	14.61	11.74	56.14	52.71	54.15
Sfi1	0.0	0.41	0.1	0.0	0.0	0.0	1.04	0.0	0.0	0.0	0.0	0.0	1.35	0.21	0.26	0.0	0.2	0.11	0.08	0.0	0.24	0.0	0.0	2.5	4.43	0.61	0.97	0.88	0.0	1.43	0.0	0.0	0.0	0.0	0.36	4.33	0.0	0.98	0.0	0.0	1.61	0.1	0.0	0.0	1.24	4.76	12.43	2.98	1.46	1.94	2.22	0.52	22.34	18.29	17.07
Sgtb	0.0	0.0	54.88	0.0	34.75	155.62	0.0	5.51	59.78	0.0	163.75	15.89	0.0	0.0	0.0	0.0	0.15	0.0	21.04	0.0	0.0	0.0	0.0	0.0	14.09	0.0	0.0	2.86	0.0	8.58	11.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.98	20.25	427.53	0.0	0.0	3.98	37.86	50.59	24.48	28.96	51.75	47.33	40.97	38.14	141.85	138.92	138.37
Siglece	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34	0.0	0.22	0.27	0.45	0.0	0.0	0.0	0.0	0.0	0.35	0.0	0.17	0.0	0.0	0.06	0.22	0.0	0.0	0.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.39	0.0	0.0	0.0	1.14	0.94	1.55
Slc25a42	7.63	27.16	10.47	14.76	16.39	20.62	10.25	37.23	9.97	28.58	35.08	27.22	18.96	20.04	21.91	43.36	15.69	20.49	24.08	33.0	39.62	32.69	37.28	45.95	28.15	25.07	17.92	7.93	22.19	23.63	21.42	29.4	12.9	17.47	24.78	26.77	19.31	12.51	7.67	12.29	187.94	16.24	22.79	15.24	28.13	20.72	36.93	27.95	24.15	29.04	30.23	25.81	27.98	30.22	30.29
Slc27a1	24.67	0.97	1.01	0.09	0.34	0.0	0.43	0.59	0.0	1.96	1.89	0.0	11.76	0.0	0.0	1.07	0.59	0.74	4.16	0.98	0.87	25.3	3.74	0.71	3.6	0.74	1.48	0.61	0.81	1.48	2.18	0.62	1.11	0.3	0.48	70.3	0.91	0.48	0.27	1.46	137.76	64.97	1.01	113.06	0.33	9.02	5.81	0.83	1.96	3.27	3.14	3.15	59.69	63.37	60.96
Slc38a8	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.0	0.21	0.0	0.0	0.0	0.08	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.45	0.0	0.15	0.0	0.0	0.0	0.0	0.2	0.09	0.0	0.0	0.0	0.41	0.31	0.12
Slc4a1ap	0.0	0.0	0.0	0.0	0.0	0.0	7.7	0.0	0.0	0.19	0.0	0.22	0.24	19.77	0.11	29.99	42.87	0.0	0.0	0.0	10.45	0.0	0.0	0.0	6.1	1.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.83	82.43	0.0	0.0	0.0	7.11	7.54	27.54	4.86	30.32	3.82	10.25	4.74	31.26	30.63	30.38
Smad7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0	3.93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	5.35	0.0	0.0	0.0	0.0	0.0	30.61	0.0	0.0	0.0	4.8	2.79	6.76	2.37	1.93	0.93	1.08	1.86	12.36	12.76	11.77
Snord58b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.39	0.0
Solh	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.79	0.0	0.0	0.0	0.0	26.51	0.0	0.0	0.0	2.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	83.25	0.0	0.0	0.0	2.93	1.43	0.0	0.78	3.29	0.27	0.31	0.42	29.12	31.21	32.67
Spry1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.63	8.63	8.4
Stat4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	242.53	2.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7	0.0	0.0	1.52	1.12	1.33
Tas1r3	0.0	0.0	0.16	0.11	0.17	0.0	0.36	1.33	0.07	0.58	0.24	0.0	0.15	0.24	0.25	0.0	0.0	0.37	0.0	0.77	0.26	1.05	0.0	0.74	0.37	0.0	2.57	0.56	0.43	0.25	0.0	0.12	0.34	0.0	0.57	0.15	0.26	0.0	0.11	0.4	2.68	0.02	0.0	0.14	0.0	0.0	0.1	0.02	0.15	0.09	0.2	0.11	0.96	0.62	0.29
Tmem63b	0.0	1.63	0.38	0.0	0.97	0.43	23.78	0.0	0.0	0.0	0.0	0.0	0.31	0.27	0.16	3.87	0.0	0.0	1.37	0.0	14.81	0.0	9.85	0.0	1.44	0.51	0.67	0.0	0.0	0.0	0.0	1.05	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	17.87	0.0	0.73	0.0	2.55	8.11	11.64	13.78	8.97	9.46	5.3	4.7	111.16	115.98	115.3
Top2a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.31	1.2
Trpm8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.1	0.05
Tsga10	0.0	15.58	0.0	0.0	0.0	0.0	2.46	28.72	0.0	0.0	0.0	0.0	31.41	0.0	0.0	19.56	0.0	17.69	0.0	0.0	0.0	0.0	0.0	2.75	12.67	0.0	0.0	9.05	0.0	0.0	11.78	6.96	0.0	0.0	86.53	0.58	0.0	0.0	0.0	0.0	270.83	0.0	46.07	0.0	3.15	5.93	5.27	3.95	1.23	11.01	8.37	7.83	8.05	6.46	7.99
Ttc26	205.41	2.26	1.56	16.43	4.15	3.62	1.86	2.02	0.21	0.84	2.82	0.67	1.61	0.25	1.05	0.45	1.74	1.46	1.21	2.89	3.14	1.27	1.2	2.23	8.9	2.91	1.67	4.45	1.42	0.93	2.14	2.6	3.78	1.65	4.63	2.92	2.29	0.99	0.64	2.37	317.33	2.6	1.64	3.65	14.5	5.67	9.71	2.18	12.94	7.45	6.11	9.24	8.87	7.78	7.86
Unc5a	0.0	2.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.43	0.0	0.0	0.0	0.0	0.0	0.0	0.11	6.94	0.0	4.01	0.0	0.0	0.0	4.08	0.62	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.99	0.0	0.0	0.0	1.88	2.62	0.37	1.0	0.0	2.01	2.49	5.12	66.21	71.14	67.84
Usp45	24.19	12.6	38.87	0.16	12.4	0.11	2.0	31.12	0.53	1.3	0.0	0.68	0.0	10.53	25.97	0.12	0.0	0.07	0.69	63.41	0.09	0.49	0.85	0.08	15.66	12.14	33.43	0.23	0.11	0.0	80.15	1.03	0.35	0.49	0.54	20.8	0.07	36.53	0.12	0.5	144.04	11.9	0.54	0.51	16.79	2.52	24.29	14.22	18.64	5.8	8.53	7.18	24.53	23.59	23.75
Wars2	3.07	3.81	2.02	0.84	1.72	8.63	3.99	5.66	2.28	4.78	4.74	3.35	3.38	0.82	5.1	3.07	4.87	104.58	4.77	3.72	6.42	3.35	19.53	6.41	10.22	5.95	6.94	6.53	6.1	3.39	3.22	2.33	1.06	2.54	6.5	3.9	4.77	5.06	20.49	3.63	216.95	4.76	4.75	2.95	7.91	7.95	5.35	5.65	2.91	6.33	7.38	7.18	5.34	6.17	5.87
Wdr95	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	69.63	0.0	0.0	0.0	0.0	2.46	0.0	0.0	0.5	0.0	1.11	0.28	0.4	0.45	0.45
Xdh	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.32	0.0	0.08	3.08	3.68	2.36
Xrn1	0.0	0.0	34.19	0.0	0.0	0.0	0.0	0.0	5.28	4.2	0.0	0.0	0.09	0.0	0.0	0.0	2.08	0.0	5.44	0.0	4.11	29.59	73.3	0.71	5.68	0.0	10.13	3.21	51.04	24.0	0.09	0.0	0.09	0.0	0.43	101.41	0.0	0.14	0.0	0.0	202.89	5.54	0.0	0.09	14.48	10.57	9.28	10.47	9.19	15.77	6.99	6.68	12.86	10.62	12.98
Zbtb46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.04	0.0	0.0	7.15	8.78	7.45
Zc3h8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	231.65	0.0	117.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.19	0.0	0.0	0.0	0.0	0.0	200.95	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	622.26	0.0	0.0	0.0	46.94	0.66	29.97	20.85	36.99	50.91	35.04	33.11	11.07	10.91	10.34
Zdhhc6	0.0	0.0	0.0	0.0	0.0	2.89	0.0	0.0	0.0	65.43	0.0	257.44	0.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	108.17	60.91	0.0	0.0	61.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	334.55	0.0	0.0	0.0	0.0	0.0	0.0	620.19	0.19	0.0	43.71	50.7	46.12	90.78	97.19	86.13	61.17	51.82	73.92	23.99	24.35	23.56
