	Calb2_tdTpositive_cell_3	Cux2_tdTpositive_cell_3	Cux2_tdTpositive_cell_8	Cux2_tdTpositive_cell_18	Cux2_tdTpositive_cell_21	Cux2_tdTpositive_cell_22	Cux2_tdTpositive_cell_32	Cux2_tdTpositive_cell_37	Cux2_tdTpositive_cell_56	Nr5a1_tdTpositive_cell_3	Nr5a1_tdTpositive_cell_4	Nr5a1_tdTpositive_cell_9	Nr5a1_tdTpositive_cell_14	Nr5a1_tdTpositive_cell_33	Nr5a1_tdTpositive_cell_37	Nr5a1_tdTpositive_cell_43	Ntsr1_tdTpositive_cell_9	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_38	Rbp4_tdTpositive_cell_25	Rbp4_tdTpositive_cell_155	Rbp4_tdTpositive_cell_171	Rorb_tdTpositive_cell_11	Rorb_tdTpositive_cell_26	Rorb_tdTpositive_cell_36	Rorb_tdTpositive_cell_38	Rorb_tdTpositive_cell_40	Rorb_tdTpositive_cell_43	Scnn1a.Tg3_tdTpositive_cell_33	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3
Snap25	26182.83	24880.43	23752.44	16643.48	19509.05	15906.77	13306.19	15647.99	25194.29	24000.2	21827.11	22188.29	24648.02	22891.51	21740.03	20866.53	21685.06	21261.82	23051.34	21046.1	19534.15	22039.64	25542.47	18859.81	21954.45	22725.47	21280.34	20618.04	18490.28	17485.78	15823.69	16180.38	16617.11	20846.74	19146.26	18964.09
Snx13	0.0	2.44	0.0	41.0	68.57	0.0	0.0	0.0	0.0	0.0	57.52	0.0	0.0	0.0	0.81	11.53	10.35	56.06	55.86	10.09	10.48	18.4	0.0	0.06	2.79	49.76	53.51	28.02	0.44	19.51	17.89	14.06	10.5	15.52	12.29	12.45
Spsb3	632.87	196.64	2.29	485.49	261.91	0.0	0.3	18.72	764.81	287.75	197.54	0.46	43.7	82.39	339.02	239.1	86.03	48.82	135.38	0.36	68.42	63.78	0.0	7.81	59.75	133.32	95.43	220.21	247.45	112.26	89.34	87.39	222.89	89.34	109.54	125.66
Stard3nl	53.81	4.69	160.75	299.04	6.33	0.0	0.0	130.42	37.16	158.53	0.27	0.0	271.83	1.02	13.37	244.92	0.0	0.26	277.16	0.23	78.67	66.11	0.0	74.24	6.18	0.09	12.41	234.12	146.35	124.09	67.6	197.71	135.27	127.01	115.08	121.97
Stx8	4.08	0.02	0.0	98.74	27.87	0.0	0.0	154.74	0.0	0.05	17.76	25.08	0.0	7.53	0.0	21.45	32.17	23.0	11.91	0.0	26.0	9.93	36.46	13.98	0.46	0.3	0.06	18.26	9.74	26.99	22.62	24.12	27.24	21.79	25.23	17.14
Sun1	0.0	10.75	80.16	337.32	159.1	92.74	2.51	39.23	0.0	153.13	292.9	142.38	375.18	15.18	87.6	0.07	56.65	91.48	23.91	7.86	171.08	107.82	107.58	257.65	121.87	23.25	11.15	0.0	0.0	49.95	62.98	47.65	29.27	59.8	50.29	55.63
Syngr3	774.68	487.83	323.42	615.26	517.0	524.45	42.73	282.04	0.85	128.66	384.82	206.65	446.63	0.0	210.6	228.61	433.6	0.34	102.83	339.18	449.5	475.81	480.04	456.91	448.99	419.02	430.7	3.59	304.85	242.36	244.65	241.01	264.9	194.19	240.96	221.87
Tceb1	1019.37	273.93	749.32	882.42	713.13	131.52	301.45	551.27	557.46	615.62	398.66	1200.15	178.45	416.39	517.63	563.02	356.49	328.12	497.88	534.51	633.61	521.48	819.32	499.88	599.44	197.79	575.04	427.0	567.94	455.84	444.76	678.64	619.88	646.38	448.28	448.54
Tead1	0.07	0.06	0.32	0.52	0.33	0.22	0.11	0.13	0.35	0.06	0.01	0.22	0.08	0.05	0.03	0.03	0.07	0.0	0.17	0.09	0.22	0.31	0.11	0.36	0.17	1.47	0.23	0.12	0.0	0.03	0.27	0.09	0.51	0.68	0.08	0.31
Tex2	0.15	0.04	87.02	131.32	27.78	31.96	54.57	0.0	45.21	23.41	0.94	0.0	0.0	31.86	72.86	38.24	19.03	0.07	22.4	0.12	12.15	59.43	0.0	25.04	3.87	21.41	64.82	90.42	104.12	40.93	40.3	37.74	15.76	39.81	26.35	21.57
Timd2	0.0	0.0	0.0	1.67	0.0	0.0	0.0	0.0	1.67	0.0	0.0	0.75	0.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.52	0.58	0.0	0.0	0.0	0.0	0.33	0.0	0.0	0.0	0.0	0.08	0.2	0.0	0.0	0.12
Tmem151b	83.1	0.1	0.0	69.4	15.94	15.89	0.0	0.0	0.12	0.0	0.05	69.91	0.0	0.26	0.04	0.0	37.18	0.0	0.31	0.14	0.13	0.0	0.0	0.11	0.61	0.09	0.21	65.84	0.0	42.2	38.08	33.74	39.57	105.25	81.44	91.66
Tmem178	0.0	18.88	0.0	191.98	55.86	85.08	0.0	0.0	0.0	23.18	78.68	0.0	0.24	0.0	0.0	0.0	32.72	166.29	126.24	15.33	0.0	98.5	0.0	2.9	0.06	0.0	1.31	43.52	163.68	32.45	38.24	35.55	32.95	49.21	38.66	51.05
Tmem44	0.0	58.66	0.0	87.57	3.32	48.96	0.14	0.0	55.73	34.79	1.68	0.0	0.09	0.0	1.97	151.8	0.0	0.0	0.0	0.0	16.09	133.13	0.0	24.09	1.61	1.11	1.62	0.07	0.0	0.0	0.09	0.46	0.0	0.07	1.31	2.11
Tpra1	0.0	39.47	0.0	172.83	10.61	0.0	0.0	74.41	190.3	0.0	91.91	33.72	38.69	0.0	0.0	0.0	1.42	37.45	0.0	0.16	12.35	143.91	0.0	92.14	112.57	115.75	91.2	94.13	178.04	19.9	20.14	14.86	33.1	15.01	30.24	40.68
Txndc16	3.4	284.34	0.0	156.19	128.44	18.65	25.49	157.23	0.0	123.37	47.19	0.0	135.63	95.93	83.35	130.01	0.0	63.01	1.48	0.0	1.59	18.98	0.0	26.98	27.56	82.38	0.06	7.51	0.0	45.62	61.88	36.57	20.85	35.37	54.4	62.07
Unc79	16.94	0.01	3.13	56.16	51.52	0.0	5.06	0.0	4.93	4.04	1.47	0.0	3.43	1.89	0.01	0.61	27.71	2.19	0.04	0.7	0.0	2.11	83.39	4.76	1.78	3.22	6.68	0.65	0.0	11.39	6.75	9.21	4.98	3.91	5.93	6.9
Usp25	0.0	6.58	0.07	33.5	0.09	0.0	0.0	0.0	0.0	0.04	0.33	0.0	0.0	0.0	7.41	0.0	3.26	9.76	0.0	0.0	6.26	0.1	0.0	23.84	0.0	0.0	26.63	0.0	0.0	8.43	10.38	11.04	8.48	15.13	8.59	5.31
Vamp5	1.48	2.4	1.0	5.83	1.21	1.48	2.97	1.08	3.26	4.32	1.58	2.5	0.55	0.29	0.22	0.09	1.75	1.17	0.77	1.73	2.03	0.85	0.65	2.68	1.07	0.49	1.61	0.21	0.0	4.12	0.78	2.06	1.56	1.6	1.09	0.87
Wdr1	36.43	15.47	157.6	203.1	17.53	15.37	22.22	0.0	10.64	305.02	74.37	12.58	426.34	15.68	46.96	12.45	25.78	71.13	83.42	83.38	26.14	214.59	89.47	10.02	11.6	118.9	189.84	33.65	27.74	75.9	72.99	130.31	97.07	146.62	138.94	162.34
Wdr48	0.2	0.09	0.06	303.32	71.74	54.52	0.0	1.26	164.06	121.25	242.29	0.0	117.97	0.22	0.03	17.64	0.0	0.0	3.4	0.0	50.02	27.62	0.0	19.79	0.08	0.66	84.3	0.23	0.0	19.91	30.47	14.66	27.33	14.76	19.96	16.24
Wdr59	0.0	0.3	1.02	115.21	0.24	0.13	0.0	0.28	0.42	0.33	27.94	0.0	0.3	0.78	0.11	0.0	0.0	0.05	0.16	0.0	0.06	0.0	0.19	0.21	69.26	0.48	22.41	0.0	0.0	1.6	0.61	9.57	6.45	2.67	2.21	3.99
Wdr8	403.57	196.25	2.16	210.02	190.45	0.0	0.3	0.0	0.0	0.0	103.83	0.0	0.25	305.28	218.7	0.0	0.2	0.0	47.27	0.0	77.52	0.27	948.92	19.39	98.71	10.9	112.43	277.71	0.0	56.95	37.16	49.99	40.65	64.21	47.18	59.29
Yif1a	0.0	0.07	0.0	188.45	276.09	0.0	0.0	0.0	0.0	0.13	49.0	0.0	139.45	0.58	67.09	0.0	0.0	0.0	8.82	0.0	0.0	52.75	0.0	0.06	0.07	38.74	0.0	0.0	0.0	53.42	45.8	21.22	36.14	16.29	39.66	46.66
Ywhab	97.43	504.82	335.7	336.76	533.35	73.89	116.69	312.05	51.9	278.92	224.2	28.35	139.63	332.21	54.8	19.4	270.05	254.1	167.61	221.5	299.7	204.34	462.6	294.17	8.06	64.63	216.15	219.79	269.33	291.25	208.59	231.05	231.67	192.39	217.7	237.53
Zbtb39	0.0	0.0	0.23	0.78	0.78	0.11	0.16	0.23	0.0	0.5	0.23	0.0	5.01	0.0	0.1	0.79	0.14	0.12	0.11	0.37	0.45	8.48	0.0	0.16	0.15	0.12	0.52	0.1	0.0	0.0	0.12	0.22	0.07	0.1	0.18	0.2
Zfp518a	0.0	0.0	0.0	45.34	14.16	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	30.72	0.0	0.0	0.0	19.92	0.0	0.06	0.0	0.0	0.0	0.0	0.21	0.0	0.0	2.42	2.98	2.99	2.17	5.42	3.18	4.06
mt_AK138272	226.79	230.03	218.97	335.93	271.71	0.0	125.93	140.2	75.28	161.51	114.36	59.17	214.14	209.72	279.26	557.64	120.2	127.41	121.2	84.02	128.54	178.8	263.76	258.32	197.97	316.67	268.64	16.15	167.28	189.81	133.41	230.54	202.15	148.03	190.14	215.76
