	Gad2_tdTpositive_cell_47	Nkx2.1_tdTpositive_cell_18	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_8	Pvalb_tdTpositive_cell_9	Pvalb_tdTpositive_cell_12	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_39	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_49	Pvalb_tdTpositive_cell_66	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_71	Pvalb_tdTpositive_cell_78	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbD.Slc32a1_tdTpositive_cell_26	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_22	PvalbF.Gad2_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_42	Rbp4_tdTpositive_cell_51	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Ppm1m	0.0	0.0	0.0	1.18	0.0	0.0	0.0	0.0	0.0	0.0	1.53	0.0	0.0	0.0	38.15	0.0	0.0	0.0	0.0	0.0	0.69	0.0	0.0	0.0	0.0	2.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.96	25.35	25.84
Prkcb	32.39	35.6	40.5	32.93	12.95	22.09	34.79	15.72	55.1	8.98	19.94	40.36	30.77	36.4	77.99	40.31	42.32	45.21	49.45	37.62	25.63	9.83	23.19	9.67	38.0	34.05	59.63	38.29	16.57	41.13	39.35	46.98	31.07	23.52	360.87	341.57	387.59
Psg16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	90.93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.14	0.0	0.0	1.82	2.22	2.0
Ptpn5	14.23	139.65	21.61	27.52	29.01	11.35	86.05	39.66	0.19	65.99	94.21	49.11	13.04	74.3	71.27	60.84	0.0	12.9	18.21	62.26	77.3	57.34	10.82	53.78	180.56	11.87	28.22	17.53	31.34	137.45	172.42	251.35	33.55	29.14	171.91	176.6	181.66
Rab34	0.23	0.31	0.0	0.0	0.0	0.0	0.0	36.02	0.0	0.91	0.0	0.0	17.02	24.58	32.26	0.0	0.0	2.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.82	0.32	0.0	33.11	0.0	0.0	0.0	0.0	21.55	25.64	27.58
Rab3il1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	71.88	0.0	0.0	0.0	0.0	0.0	11.99	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.65	0.0	9.21	10.96	10.39
Rap2b	0.0	1.69	4.35	0.0	0.59	0.0	3.23	4.92	0.0	0.0	0.0	0.39	2.62	5.26	11.11	0.0	0.0	0.0	0.09	0.0	6.96	3.04	2.69	4.64	0.0	2.83	0.24	0.72	5.59	0.0	1.51	7.78	1.92	2.2	40.22	41.06	42.79
Rassf2	0.07	0.0	0.0	0.1	0.0	0.2	0.08	0.0	0.12	0.0	0.22	0.17	0.0	0.0	24.93	0.0	0.07	0.17	0.06	0.29	0.0	0.0	0.0	0.0	0.15	0.23	0.14	0.0	0.09	5.89	0.28	0.11	0.0	0.07	29.35	29.69	31.74
Rel	0.0	0.0	0.0	0.0	0.0	0.0	8.2	9.85	5.97	0.0	0.0	0.97	0.0	20.18	27.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.84	0.0	0.0	0.0	0.0	0.0	21.91	0.0	0.0	0.0	0.0	2.87	2.12	2.37
Rfx7	0.27	19.54	6.21	1.64	8.59	3.42	12.58	0.0	0.0	0.0	13.9	0.0	13.53	7.62	8.21	4.8	0.0	0.47	13.78	0.0	0.1	4.67	5.65	6.99	5.49	2.31	0.0	4.94	28.42	0.54	1.56	11.3	4.01	2.83	16.9	16.54	17.04
Sept9	2.3	19.76	17.08	3.33	11.64	3.18	0.35	40.73	0.0	0.21	14.4	0.0	36.69	71.61	0.0	11.38	0.0	0.13	0.0	0.71	0.17	0.0	2.45	27.34	0.0	43.09	21.19	1.18	0.0	2.29	0.15	36.56	0.0	0.0	47.07	49.95	49.54
Sftpc	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4	1.8	2.75
Slc6a8	4.87	26.34	14.74	42.6	0.94	0.6	14.42	25.19	39.66	0.0	42.19	0.0	16.67	23.16	69.19	0.0	2.34	0.0	0.0	3.3	27.41	19.04	22.46	0.0	42.18	26.64	0.0	14.16	62.07	5.19	48.94	7.45	46.41	43.64	61.85	65.48	65.64
Slco6c1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.04
Snap29	0.0	0.0	2.41	0.0	0.0	0.0	1.78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.45	1.86	19.67	0.0	0.0	8.7	0.0	0.0	0.0	0.0	0.0	1.09	1.45	0.0	0.0	0.0	0.13	0.0	0.0	0.0	22.72	20.53	17.65
Spsb1	0.0	0.0	0.0	14.43	0.0	0.0	0.0	29.79	14.02	0.0	0.0	0.0	0.0	0.0	38.01	0.0	0.0	0.0	0.0	0.0	0.0	0.46	0.0	0.0	0.0	0.0	5.23	0.0	6.37	0.0	0.0	0.0	0.0	0.0	14.52	15.47	13.49
Tas2r137	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.1	0.1
Tg	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.04	0.08
Tnik	20.78	3.9	23.5	5.26	0.0	15.69	5.58	37.35	0.73	16.2	0.08	17.46	13.8	0.08	50.04	3.83	9.43	4.07	0.0	10.14	12.3	10.48	12.44	18.13	14.8	22.36	9.97	3.08	21.42	2.56	0.0	4.43	28.97	24.21	80.77	74.37	85.69
Trpv6	0.0	7.44	0.0	0.0	0.0	3.42	0.0	4.32	0.0	0.0	0.0	0.0	4.31	0.0	22.23	0.0	0.0	0.0	0.0	0.36	0.0	0.0	0.0	0.0	4.88	0.0	0.0	0.0	7.21	0.0	0.62	0.0	0.0	0.0	4.88	4.61	4.78
Ttc39d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Ucp2	0.0	0.0	0.0	0.34	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.19	0.0	10.11	0.0	0.07	0.0	0.0	0.0	0.11	0.0	1.69	0.18	0.0	0.11	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	6.99	8.02	6.4
Utp20	0.0	3.65	0.66	14.55	0.0	0.0	0.0	1.72	0.06	0.0	1.34	0.0	0.0	3.39	9.62	0.0	1.66	7.58	0.0	0.0	11.52	1.2	2.32	0.0	4.28	1.25	0.67	6.75	2.73	0.0	0.0	0.0	0.0	0.0	9.8	9.18	10.39
Vax2os2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.07	0.07
Vmn1r45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.03	0.03	0.06
Wdr4	0.0	5.46	0.0	39.21	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	17.6	9.49	0.0	0.0	0.0	0.0	0.0	1.44	11.14	24.27	1.3	0.0	0.1	0.0	49.5	0.0	0.0	0.93	0.0	0.0	1.34	13.92	14.78	15.12
Yipf7	0.0	0.0	0.0	52.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	69.71	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.08	0.09
Zfp827	0.0	3.43	12.46	2.45	0.0	0.0	3.1	0.16	6.07	0.0	6.64	0.0	0.1	0.0	9.18	0.0	0.3	0.0	0.0	0.0	3.02	12.05	0.0	0.0	0.0	8.26	3.37	0.0	0.0	0.0	0.0	0.0	0.0	5.94	19.14	18.31	19.24
Zfp831	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.09	0.0	4.97	0.0	0.03	0.07	0.0	0.0	0.01	0.0	0.03	0.0	0.0	0.04	0.06	0.0	0.0	0.0	0.0	0.07	0.0	0.0	9.57	9.46	9.79
Zmym6	2.89	2.92	0.43	6.56	0.0	5.39	0.0	0.0	0.0	4.39	0.0	13.18	0.0	1.56	55.38	10.68	5.02	24.6	0.0	0.0	4.83	0.0	0.0	0.0	9.12	10.34	6.36	4.08	0.0	5.74	19.72	21.37	0.0	3.04	30.47	25.58	30.42
Zp3r	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
