	Calb2_tdTpositive_cell_53	Cux2_tdTnegative_cell_2	Gad2_tdTpositive_cell_43	Ndnf_tdTnegative_cell_1	Ndnf_tdTnegative_cell_4	Ndnf_tdTnegative_cell_6	Ndnf_tdTnegative_cell_10	Nkx2.1_tdTpositive_cell_18	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_12	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_44	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_46	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_70	Pvalb_tdTpositive_cell_71	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_22	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_87	Rbp4_tdTpositive_cell_51	Scnn1a.Tg3_tdTnegative_cell_12	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Nek9	0.0	0.0	0.0	7.15	0.0	3.83	1.46	0.0	0.0	1.8	0.0	0.79	10.9	0.0	21.54	0.58	3.19	11.55	30.78	82.69	0.14	0.22	0.0	0.0	1.72	0.68	0.0	0.0	12.4	0.08	2.82	0.4	36.58	30.13	30.44	0.31	1.39	0.0	34.63	34.71	35.65
Notch3	0.0	0.0	0.0	0.0	0.0	1.86	0.0	0.47	0.0	0.87	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.49	0.0	0.0	0.0	1.16	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.81	0.0	0.0	0.0	0.0	0.27	0.0	7.02	6.41	7.28
Nup62	0.0	0.0	72.3	0.0	0.0	248.51	0.0	33.35	12.72	0.59	4.3	67.77	0.0	0.2	57.37	26.27	0.91	0.0	50.81	90.91	78.88	11.23	47.47	0.0	0.51	0.0	11.88	0.3	0.47	0.0	36.09	0.0	0.0	0.0	0.19	0.0	0.0	0.0	29.98	28.77	28.12
Oaz2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.65	92.56	4.09	0.26	96.23	105.99	5.92	67.55	122.81	76.66	76.49	157.34	107.96	0.66	4.52	136.05	0.0	94.52	82.41	31.74	57.4	0.0	70.66	0.0	88.09	112.29	69.57	13.52	2.66	0.0	205.75	212.47	201.97
Otud7b	0.44	1.51	6.23	0.78	3.5	0.93	0.42	11.18	9.68	3.17	8.52	0.12	6.65	9.84	11.52	14.73	3.75	0.75	0.2	24.14	0.89	0.27	0.06	0.65	9.96	0.3	0.46	12.58	0.89	19.88	3.0	0.92	13.8	33.12	1.49	14.67	0.33	1.27	19.77	19.36	19.81
Pex7	0.0	0.0	0.0	0.0	0.0	92.49	0.0	0.0	4.29	0.0	0.0	4.62	0.0	0.0	0.0	51.39	30.21	0.0	0.0	71.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.77	2.63	0.0	2.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.55	31.4	30.73
Pkib	0.0	0.09	0.11	0.0	1.57	0.05	0.0	0.08	0.22	0.82	0.05	26.32	0.0	0.1	0.03	0.15	0.1	0.1	11.57	46.81	0.15	0.88	0.26	37.61	0.0	0.2	15.7	13.38	22.86	0.31	0.21	0.17	0.15	0.35	0.02	15.83	0.23	0.0	3.75	3.56	3.72
Pkp4	0.0	0.0	113.28	0.0	0.0	0.06	0.0	38.86	50.94	30.87	54.22	52.47	22.31	54.37	47.87	45.82	80.3	45.85	79.91	126.33	31.89	3.89	27.18	51.02	54.07	17.67	60.59	54.07	47.39	90.84	104.13	50.52	26.59	143.85	85.05	92.05	55.25	0.0	116.43	120.28	126.26
Ppargc1b	0.0	0.0	11.73	0.0	0.0	0.0	0.0	13.64	14.19	16.21	14.22	0.0	12.99	10.52	9.05	12.89	5.46	1.24	5.12	33.42	0.42	0.0	0.12	16.73	0.0	0.0	0.33	3.89	5.29	5.56	4.99	11.37	14.1	15.85	14.13	23.54	12.72	0.0	7.48	8.01	8.58
Ppp2cb	0.0	0.0	79.22	0.0	0.0	0.0	0.0	58.18	27.47	0.0	0.14	32.67	63.93	66.61	101.08	67.71	143.08	89.1	41.29	216.23	3.82	2.17	52.54	152.65	0.22	37.91	98.33	21.51	73.47	107.01	0.0	0.0	17.31	1.53	30.81	60.8	0.45	0.0	155.13	154.21	139.78
Prkca	0.0	0.0	9.93	0.0	0.0	0.0	0.0	2.07	20.04	1.99	9.24	6.25	8.17	8.09	24.97	14.05	4.73	21.42	18.28	19.68	0.09	0.07	7.45	4.31	0.05	5.67	35.67	15.41	6.48	2.79	12.79	0.0	14.5	1.15	1.71	24.61	0.0	0.0	74.19	69.97	81.49
Psmd4	0.0	0.0	475.79	0.0	0.0	0.23	0.38	239.94	135.51	345.24	0.0	89.29	287.77	142.89	80.4	238.42	100.99	269.59	121.3	633.45	146.08	312.08	472.04	252.61	238.28	394.0	169.58	181.11	173.97	144.26	350.54	249.44	420.61	193.1	114.79	186.62	143.95	0.0	123.6	138.13	125.81
Ptpn1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.16	16.76	0.66	0.0	0.0	0.0	3.34	3.13	0.0	0.13	0.0	0.31	40.17	0.0	0.0	5.51	3.34	14.06	0.0	0.29	18.53	0.0	0.1	0.0	0.72	0.0	0.51	0.0	0.0	33.46	0.0	32.35	32.97	30.2
Ralgapa1	0.0	0.0	24.13	0.0	0.0	0.14	0.35	28.68	17.11	9.57	23.51	26.54	37.78	51.39	35.72	32.32	32.41	29.41	32.37	77.45	46.08	0.08	64.91	8.92	6.94	33.99	25.73	9.76	15.69	10.76	10.84	16.91	65.77	17.63	36.48	29.86	11.09	0.0	67.52	58.81	68.62
Rbfox2	0.0	0.0	1.72	0.0	0.0	0.0	0.0	9.17	20.88	9.59	3.97	23.7	28.71	7.54	24.71	6.28	10.29	21.87	13.39	21.97	0.35	18.42	11.8	0.17	5.01	1.9	1.04	14.96	6.98	15.61	16.74	0.2	2.34	2.29	6.39	28.12	0.06	0.0	114.48	109.59	110.57
Rbl2	0.0	0.0	43.54	0.0	0.0	0.0	0.0	0.0	1.27	7.51	19.14	17.19	26.91	6.8	15.79	6.29	1.38	0.0	41.21	59.41	0.65	2.06	0.2	0.0	4.54	1.19	0.06	22.58	0.0	0.0	0.0	0.18	0.0	0.12	0.0	9.18	0.0	0.0	27.69	27.57	27.58
Rnaseh2a	7.7	1.53	0.0	0.99	3.41	1.32	1.85	57.41	48.22	29.74	10.06	38.4	0.3	51.56	1.61	5.1	41.77	2.4	31.73	125.73	70.17	0.91	11.89	14.86	50.89	68.23	0.0	57.7	23.91	33.43	16.43	32.39	91.95	1.32	7.05	1.2	29.09	5.25	17.04	16.93	15.64
Rnmtl1	6.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48.53	0.0	0.0	0.0	88.29	94.07	112.34	0.0	58.89	0.0	50.06	222.78	0.0	0.0	0.0	0.51	19.12	139.14	44.83	21.47	4.74	139.64	48.82	108.76	33.96	62.56	91.57	34.82	60.98	0.0	14.25	15.82	13.67
Rps15a-ps4	0.0	0.0	7.33	6.52	0.0	31.43	0.0	14.24	15.49	9.88	3.93	29.46	12.18	1.46	19.85	3.56	6.37	2.8	18.91	59.18	6.36	10.87	1.35	8.62	5.79	15.45	3.99	5.38	13.16	7.15	18.86	8.15	33.16	13.07	5.64	9.22	9.14	0.0	23.06	19.89	20.9
Rraga	242.86	0.0	28.76	0.0	0.0	0.17	0.0	25.9	66.85	45.05	45.81	20.78	130.55	61.8	128.88	73.21	60.88	61.96	43.77	378.26	44.24	118.08	84.09	5.17	22.01	0.0	117.22	48.67	17.86	32.17	23.13	27.71	31.36	84.27	42.42	29.17	115.63	0.0	150.93	161.88	152.26
Sav1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.18	1.67	0.1	0.0	8.87	0.0	8.25	0.0	0.0	0.0	16.5	17.54	0.0	0.0	0.0	0.0	2.26	0.0	0.0	0.0	1.32	0.0	3.42	0.0	1.26	0.0	0.0	0.0	0.0	0.0	20.32	20.62	18.92
Sgca	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.89	0.0	186.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.26	0.0	0.0	0.0	0.0	0.0	34.44	0.0	0.0	0.0	0.0	0.49	0.64	0.71
Sh2b2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.29	3.91	4.25
Sipa1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.41	0.33	0.0	0.0	0.0	0.0	0.0	17.23	12.61	0.0	0.0	0.0	33.25	0.0	0.0	15.79	24.01	0.0	0.0	0.0	0.0	11.13	19.95	0.0	0.0	0.0	17.22	0.0	0.0	0.54	12.62	8.12	9.9	11.06
Snx12	0.23	0.0	0.56	0.0	0.0	1.18	0.47	0.62	39.3	0.0	3.5	0.2	99.24	56.66	0.36	70.82	0.9	41.06	32.52	224.99	3.55	0.93	39.76	67.74	0.51	38.78	77.88	62.7	20.47	22.03	26.29	1.36	85.13	0.26	31.4	0.49	13.81	0.58	50.84	44.89	52.09
Sox4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.0	0.0	0.0	5.6	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.99	3.83	0.0	0.0	0.0	0.0	0.0	16.37	13.85	16.57	19.85
Spty2d1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.82	3.59	0.0	2.99	0.0	0.0	0.0	3.19	0.0	1.77	0.77	1.35	39.88	0.0	0.0	0.0	0.0	0.0	0.0	1.74	0.0	16.57	0.0	6.46	21.39	2.13	0.0	0.09	0.0	0.0	0.0	13.97	12.3	10.09
Srcin1	0.0	0.0	0.72	0.0	0.0	0.0	0.0	2.79	5.54	11.32	9.1	9.25	7.97	5.48	0.35	9.85	6.61	4.96	4.33	16.53	2.73	1.63	5.72	1.58	9.38	0.45	3.04	2.23	2.2	2.61	13.06	0.86	5.08	20.47	7.66	12.84	7.31	0.0	138.51	141.68	150.57
Srsf12	0.0	0.0	0.0	0.0	0.92	0.0	0.0	28.35	0.0	0.0	0.0	8.44	0.0	18.32	0.0	0.0	35.76	25.49	0.0	96.62	0.0	0.41	12.78	31.53	23.92	20.72	11.57	0.0	0.09	82.74	0.0	0.0	16.37	0.19	0.0	0.0	0.13	0.0	17.5	17.84	19.21
Stom	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.49	0.0	0.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.36	10.99	11.15	10.18
Stradb	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26	0.0	0.0	0.0	0.0	31.16	46.11	0.0	67.03	29.21	0.0	122.31	0.0	0.0	12.32	84.47	0.18	4.33	0.0	0.0	34.91	14.16	113.92	53.2	43.3	0.7	25.84	0.15	0.0	0.0	43.46	44.24	43.54
Tmem151b	0.0	0.0	0.39	0.0	0.0	0.18	0.6	44.88	54.36	46.37	26.77	38.56	38.9	30.82	39.74	47.72	27.81	32.71	83.01	110.56	59.65	0.33	26.41	21.6	1.34	42.0	160.08	27.22	27.15	39.63	106.26	4.72	65.97	69.37	27.57	119.16	76.89	0.14	73.63	72.91	73.42
Tmem160	0.0	0.0	16.38	0.0	0.0	0.0	0.0	0.54	1.53	0.0	0.0	0.0	7.96	20.42	0.0	13.29	2.11	28.81	10.49	40.12	0.0	0.0	0.0	0.0	0.0	0.68	0.0	0.0	20.83	0.0	15.49	0.56	0.0	0.0	0.0	0.0	6.27	0.0	41.54	54.71	48.69
Tmem35	0.0	0.0	31.91	0.0	0.0	0.0	46.35	82.54	177.45	108.06	219.96	111.39	35.26	55.04	21.87	38.25	327.49	168.02	0.0	364.63	142.49	0.32	105.45	51.19	112.79	18.26	60.65	130.19	143.84	50.29	189.59	0.46	91.55	112.37	96.75	274.83	258.72	0.0	70.99	76.24	74.14
Usp46	0.0	0.0	220.85	0.0	0.0	0.0	0.0	23.98	15.94	43.32	1.08	0.0	0.0	0.0	0.0	40.04	0.17	4.23	10.84	150.83	66.76	0.0	0.0	22.58	6.65	99.79	34.05	11.27	17.09	18.94	4.98	0.0	0.0	0.0	20.25	150.71	63.41	0.0	93.37	85.42	85.54
Xlr3a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	139.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.63	0.0	0.64	1.98	1.49
Ythdc2	0.44	0.0	0.0	0.65	1.0	0.21	0.22	0.0	1.03	1.11	1.09	6.82	23.26	0.73	13.54	0.36	7.38	2.31	0.63	21.04	0.14	0.57	1.44	0.54	7.0	0.0	0.46	10.77	0.74	4.89	12.17	3.85	1.57	0.5	11.88	0.79	5.87	1.77	20.51	18.96	18.43
Zfp758	0.0	0.0	0.21	0.0	0.0	0.0	0.0	32.58	0.2	0.0	0.17	0.0	16.6	0.0	0.0	0.0	5.48	0.55	0.17	71.5	0.0	0.0	0.0	0.0	0.27	0.0	0.0	1.7	13.09	4.42	0.09	0.0	0.0	0.0	27.6	0.11	10.1	0.0	6.47	4.13	5.04
c13_5S	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.59	2.01
c9_SSU-rRNA_Hsa	0.0	0.67	1.99	1.7	0.0	2.1	3.54	5.99	2.75	5.22	1.0	1.8	5.8	10.74	9.62	5.99	0.0	5.97	1.0	11.63	0.0	5.28	0.0	0.7	0.96	3.96	3.97	12.91	3.05	5.33	5.19	4.88	7.87	8.65	2.83	1.24	6.58	26.51	3.35	1.63	4.54
mt_AK136262	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.05	0.04	0.2	17.46	0.04	0.0	0.08	0.17	7.2	0.22	0.21	0.04	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.15	0.0	0.19	0.04	0.06	0.0	0.0	0.0	0.0	0.0	0.0
mt_AK142003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.05	0.04	0.2	17.46	0.04	0.0	0.08	0.17	7.2	0.22	0.21	0.04	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.15	0.0	0.19	0.04	0.06	0.0	0.0	0.0	0.0	0.0	0.0
mt_AK166798	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.05	0.04	0.2	17.46	0.04	0.0	0.08	0.17	7.2	0.22	0.21	0.04	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.15	0.0	0.19	0.04	0.06	0.0	0.0	0.0	0.0	0.0	0.0
mt_AK166978	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.05	0.04	0.2	17.46	0.04	0.0	0.08	0.17	7.2	0.22	0.21	0.04	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.15	0.0	0.19	0.04	0.06	0.0	0.0	0.0	0.0	0.0	0.0
