	Calb2_tdTpositive_cell_1	Calb2_tdTpositive_cell_23	Calb2_tdTpositive_cell_24	Calb2_tdTpositive_cell_31	Calb2_tdTpositive_cell_32	Calb2_tdTpositive_cell_43	Cux2_tdTpositive_cell_80	Cux2_tdTpositive_cell_100	Cux2_tdTpositive_cell_103	Cux2_tdTpositive_cell_106	Cux2_tdTpositive_cell_119	Gad2_tdTpositive_cell_71	Htr3a_tdTpositive_cell_71	Ntsr1_tdTnegative_cell_44	Pvalb_tdTpositive_cell_23	Rbp4_tdTnegative_cell_4	Scnn1a.Tg2_tdTpositive_cell_18	Scnn1a.Tg3_tdTpositive_cell_8	Scnn1a.Tg3_tdTpositive_cell_9	Scnn1a.Tg3_tdTpositive_cell_13	Scnn1a.Tg3_tdTpositive_cell_15	Scnn1a.Tg3_tdTpositive_cell_17	Scnn1a.Tg3_tdTpositive_cell_20	Scnn1a.Tg3_tdTpositive_cell_29	Scnn1a.Tg3_tdTpositive_cell_33	Scnn1a.Tg3_tdTpositive_cell_36	Scnn1a.Tg3_tdTpositive_cell_38	Scnn1a.Tg3_tdTpositive_cell_44	Scnn1a.Tg3_tdTpositive_cell_97	Slc17a6_tdTpositive_cell_33	Vip_tdTpositive_cell_2	Vip_tdTpositive_cell_29	Vip_tdTpositive_cell_64
Rorb	0.02	323.2	0.0	325.56	543.82	0.18	376.92	0.0	0.0	0.0	0.05	0.0	0.0	0.01	0.0	0.04	208.6	230.69	347.44	165.3	158.15	87.23	238.07	438.11	454.92	240.33	445.42	481.15	231.69	16.29	0.92	0.08	0.0
Rpia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.63	0.61	19.09	0.0	0.0	0.0	28.41	0.0	0.0
Sbf2	0.15	0.0	0.0	0.0	2.76	0.0	0.43	17.26	0.0	13.94	22.87	0.0	0.06	0.0	0.0	0.0	2.93	0.0	1.35	0.06	1.94	0.27	0.0	72.57	4.5	0.73	2.3	0.0	24.56	8.92	0.08	0.0	0.07
Shisa3	0.34	0.66	0.0	0.05	1.3	0.0	0.21	0.17	0.28	0.18	0.33	0.0	0.53	0.0	0.33	0.69	0.85	0.77	0.87	0.22	0.25	0.51	0.44	21.68	109.76	51.74	53.27	0.06	0.17	0.59	0.44	0.0	0.44
Sigmar1	152.46	0.0	0.0	216.04	225.65	0.0	178.78	77.55	0.0	240.25	0.03	49.43	0.0	0.0	0.96	0.0	125.35	153.99	152.82	285.68	0.0	79.6	250.72	84.93	190.95	0.0	321.56	145.07	127.14	74.96	173.49	0.0	220.27
Slc1a2	19.94	184.53	33.5	373.31	356.0	8.39	293.62	1.83	171.13	117.59	66.04	0.58	1.52	0.27	23.75	3.36	288.46	414.57	386.82	112.3	239.79	157.5	255.06	378.71	451.87	234.84	283.21	378.6	212.19	145.11	12.16	105.92	43.02
Slc44a2	0.0	0.0	0.0	0.0	16.38	0.0	1.81	57.48	0.0	0.0	0.3	0.0	0.0	0.0	29.8	0.11	0.0	0.0	0.0	8.06	0.0	0.0	0.0	73.35	0.0	33.21	0.0	0.0	31.44	4.25	2.21	0.0	41.88
Smc1a	0.0	0.0	0.0	0.0	0.0	61.42	81.62	54.63	106.24	24.1	26.95	32.15	408.84	92.3	0.37	0.0	3.07	0.0	0.0	34.05	106.82	106.78	75.31	304.56	326.76	42.62	99.24	162.75	82.9	57.29	139.78	0.0	0.0
Sorl1	0.04	15.34	0.0	0.0	0.0	0.0	28.49	30.14	29.02	12.81	26.55	10.89	0.0	0.0	34.14	0.0	105.16	5.29	3.19	210.33	34.09	12.2	208.59	48.85	97.15	232.09	173.47	45.87	55.66	126.94	0.0	156.8	59.28
Spock3	149.11	0.0	0.0	88.96	255.62	30.05	406.79	115.52	0.0	7.89	0.04	340.01	0.0	0.12	64.59	0.12	76.87	269.96	151.85	122.23	24.64	0.21	0.0	382.97	194.95	146.58	246.57	218.8	49.04	0.0	102.76	0.12	194.32
Stox2	45.82	0.0	0.0	0.0	7.99	0.0	0.0	0.07	22.5	0.0	0.0	0.23	41.34	0.61	0.05	0.0	33.55	12.43	0.0	0.04	3.65	19.44	27.24	32.9	3.37	0.0	17.68	49.9	27.2	22.1	6.65	0.0	32.47
Stx1a	0.3	232.57	0.0	358.2	657.88	0.0	726.85	497.7	542.67	818.05	190.46	71.44	450.09	0.18	0.0	0.0	633.07	816.32	495.61	674.24	674.42	1115.55	813.18	534.52	1398.17	257.28	1240.19	873.86	1353.35	279.01	0.0	0.0	0.25
Syn2	6.63	168.82	290.08	70.6	5.35	188.38	121.27	80.89	117.82	9.17	98.9	50.19	13.92	0.0	114.21	0.0	221.77	124.01	73.49	263.99	31.54	130.15	150.49	52.16	188.62	55.0	314.36	13.12	2.66	65.32	182.1	0.1	169.53
Thnsl1	0.16	0.0	97.31	0.0	223.92	0.0	227.1	48.89	57.94	48.18	0.02	65.9	0.0	0.0	40.13	0.0	186.22	110.42	145.01	109.97	0.19	130.28	96.04	0.0	185.0	174.19	256.38	8.93	4.44	0.0	6.61	52.33	0.0
Thsd7a	24.23	0.0	0.0	0.0	0.12	0.19	21.14	14.91	0.0	0.0	0.0	36.35	0.03	0.13	17.22	0.0	38.18	13.05	0.02	55.46	17.65	12.09	56.57	27.74	47.49	0.16	71.88	77.59	9.19	0.0	76.62	0.04	7.37
Tmem90b	178.83	0.0	0.0	458.91	244.24	169.73	431.69	251.74	58.01	5.13	64.03	0.0	0.0	0.0	86.74	0.0	0.0	53.54	36.08	284.98	248.12	351.72	302.3	163.02	674.13	450.76	480.6	553.93	425.64	0.0	0.0	44.94	0.0
Tmem93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.83	3.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.41	0.0	0.0	0.0	9.05	103.92	0.0	87.34	4.5	36.73	77.02	0.0	0.0	0.0
Tmod2	28.39	89.91	63.13	52.18	110.41	29.36	24.47	79.96	44.29	152.94	81.51	8.47	0.13	9.85	74.88	0.66	158.54	26.16	44.0	42.92	35.77	132.0	24.25	185.44	8.84	58.52	53.02	186.33	21.94	15.16	29.5	0.04	46.02
Ttc25	0.16	0.0	0.0	0.2	0.74	0.0	0.28	1.02	0.22	0.52	0.12	0.29	0.0	0.19	0.0	0.36	0.23	0.0	0.0	0.6	0.17	0.23	0.35	1.38	0.0	0.0	0.32	0.0	0.24	0.26	0.97	0.27	0.15
Tusc3	61.23	24.68	0.0	9.97	233.88	0.0	169.58	210.85	195.68	154.48	185.94	0.0	0.0	0.0	22.16	0.0	279.24	327.05	326.52	347.52	161.04	224.56	176.4	233.07	353.61	542.34	180.96	286.17	336.77	116.97	0.5	0.0	0.92
Ube2cbp	0.0	0.0	0.0	0.0	0.0	0.0	0.0	67.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0	107.95	0.31	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0
Zfp959	2.19	0.33	1.47	0.38	10.66	1.35	10.37	210.73	8.42	0.0	1.46	7.13	1.31	0.21	9.3	0.0	3.3	9.24	0.83	4.3	1.45	10.04	3.0	207.64	0.34	1.63	6.42	4.39	230.52	3.17	1.34	1.46	0.0
Zfp964	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
