	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_5	Ctgf_tdTpositive_cell_6	Ctgf_tdTpositive_cell_7	Ctgf_tdTpositive_cell_8	Cux2_tdTnegative_cell_10	Gad2_tdTpositive_cell_7	Htr3a_tdTpositive_cell_72	Ndnf_tdTpositive_cell_3	Ndnf_tdTpositive_cell_4	Ndnf_tdTpositive_cell_5	Ndnf_tdTpositive_cell_7	Ndnf_tdTpositive_cell_8	Ndnf_tdTpositive_cell_9	Ndnf_tdTpositive_cell_10	Ndnf_tdTpositive_cell_11	Ndnf_tdTpositive_cell_12	Ndnf_tdTpositive_cell_20	Nos1_tdTpositive_cell_1	Nos1_tdTpositive_cell_28	Nos1_tdTpositive_cell_54	Nos1_tdTpositive_cell_66	Ntsr1_tdTnegative_cell_16	PvalbF.Gad2_tdTpositive_cell_36	Rbp4_tdTpositive_cell_165	Scnn1a.Tg2_tdTnegative_cell_13	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Slc25a13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.77	0.0	2.27	2.23	2.41
Sorcs3	0.0	0.0	0.0	0.0	0.0	0.0	25.93	10.53	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.03	0.0	0.0	23.23	0.08	0.07	7.85	5.32	9.33	26.5	23.84	29.89
Sox3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.67	1.49	1.39
Spin2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	81.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	37.34	0.37	17.37	46.12	46.68	46.02	7.86	7.66	7.13
St3gal2	0.0	0.0	0.0	0.0	0.0	0.0	3.38	3.59	0.0	0.0	0.0	0.0	0.0	0.0	95.48	0.0	0.0	0.0	0.0	0.0	56.47	0.0	0.0	30.6	4.68	0.0	9.42	5.23	4.89	2.54	65.58	65.03	67.48
Stag1	19.95	0.0	0.0	0.0	7.59	0.0	1.17	2.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.09	4.23	0.03	0.0	5.87	8.99	0.0	5.62	7.95	5.94	5.82	19.23	18.21	19.87
Stat5b	0.0	0.0	0.0	0.0	11.19	0.0	0.0	1.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.24	6.07	0.0	0.0	17.18	0.05	0.1	0.16	1.02	0.35	1.05	17.97	18.48	16.87
Stxbp5l	0.04	0.0	0.16	0.03	0.38	0.08	6.08	15.47	0.03	0.23	0.08	0.19	0.14	0.1	0.06	0.05	0.03	0.0	0.03	31.29	0.12	0.19	0.05	12.62	17.95	0.21	21.53	18.37	17.77	17.8	41.93	33.64	44.5
Tas2r137	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.1	0.1
Tfr2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.62	0.0	1.75	3.36	2.82	1.9	5.56	5.33	5.29
Tk1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.52	0.66	0.96	0.68
Tspan17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	184.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.22	7.95	0.0	0.0	0.19	0.0	0.0	38.39	46.39	44.45
Tsx	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.12	0.13
Ttc39d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.63	0.0	0.0	0.05	0.05	0.05
Tubgcp4	0.0	0.0	0.0	0.0	0.0	0.0	32.19	23.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.09	0.0	0.0	0.0	0.0	0.51	0.0	8.82	22.08	20.18	16.38	20.82	17.32	19.72
Ulk1	0.0	0.0	0.0	0.0	7.65	0.0	0.05	14.03	0.0	0.0	254.67	0.0	0.0	0.0	0.0	0.0	7.09	0.0	0.09	7.51	0.0	0.0	0.9	0.0	8.0	0.0	7.75	4.83	8.26	3.97	43.63	46.37	46.9
Unc13a	0.47	0.0	0.0	0.0	0.0	0.0	4.66	3.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.29	0.0	0.04	0.0	7.68	16.25	0.18	5.16	14.56	13.86	12.99	173.28	162.24	184.32
Vax2os2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.07	0.07
Vmn2r107	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Vps11	0.0	0.0	0.0	0.0	234.29	0.15	38.38	63.83	0.0	0.0	321.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	279.66	0.0	291.43	0.44	0.16	9.39	20.54	22.51	30.05	35.91	41.76	39.95	52.62	55.4	57.29
Zfp82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.36	0.0	0.0	0.0	0.0	7.67	0.0	0.21	11.55	11.86	10.45	5.91	4.85	5.05
Zim1	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.09	2.05	2.14	2.2
Zp3r	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Zswim3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.73	0.0	0.0	76.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.18	1.06	0.35	2.5	7.1	6.4	6.46	9.91	9.01	7.09
c16_tRNA-Gly-GGY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.58
