	Chrna2_tdTpositive_cell_18	Chrna2_tdTpositive_cell_51	Ctgf_tdTpositive_cell_12	Ctgf_tdTpositive_cell_15	Ctgf_tdTpositive_cell_19	Htr3a_tdTpositive_cell_99	Htr3a_tdTpositive_cell_109	Nos1_tdTpositive_cell_56	Ntsr1_tdTpositive_cell_14	Ntsr1_tdTpositive_cell_20	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_28	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_42	Ntsr1_tdTpositive_cell_43	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_49	Rbp4_tdTpositive_cell_1	Rbp4_tdTpositive_cell_6	Rbp4_tdTpositive_cell_56	Rbp4_tdTpositive_cell_76	Rbp4_tdTpositive_cell_99	Rbp4_tdTpositive_cell_108	Rbp4_tdTpositive_cell_125	Rbp4_tdTpositive_cell_132	Rbp4_tdTpositive_cell_135	Rbp4_tdTpositive_cell_153	Rbp4_tdTpositive_cell_159	Rbp4_tdTpositive_cell_162	Rorb_tdTpositive_cell_40	Rorb_tdTpositive_cell_43	Slc17a6_tdTpositive_cell_24	Vip_tdTpositive_cell_69	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_1	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_32	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Fnip1	6.63	17.66	10.23	36.51	22.18	2.99	47.92	0.0	20.09	0.0	28.45	0.0	4.85	6.03	0.13	22.77	0.0	0.15	74.26	29.22	0.0	8.12	0.0	19.66	11.33	28.76	27.53	75.37	89.13	15.06	0.78	25.44	16.45	0.0	12.61	19.82	13.88	13.81	17.69	5.07	26.83	15.21	18.79	0.0	0.22	0.04	8.93	0.0	16.92	20.08	29.97	27.14	29.56
Foxo3	0.0	0.0	0.0	0.0	0.0	0.0	3.97	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.5	30.55	34.03
Fzd10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.59	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.85	1.52	1.87
Gem	0.0	1.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.99	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.53	1.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1	2.23	1.99
Gipc1	0.0	49.75	23.37	1.52	0.46	37.64	2.12	0.56	9.69	5.78	2.22	0.39	0.34	62.09	0.43	2.24	15.48	7.0	2.49	1.85	1.29	72.77	4.37	4.36	62.49	10.04	25.66	61.51	1.17	1.46	20.25	0.06	10.98	0.99	1.65	6.35	34.26	49.53	13.69	36.3	7.89	11.8	13.15	0.81	0.61	1.93	3.79	0.53	0.15	1.59	73.83	85.57	79.88
Gipc2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9	1.79	1.88
Gm10033	22.83	19.08	0.69	0.0	0.0	0.0	81.33	0.0	0.0	0.0	0.0	0.41	0.0	0.0	48.24	2.5	0.2	0.46	0.37	0.0	0.0	11.73	0.73	0.0	7.17	0.22	0.0	133.45	0.27	0.0	99.47	0.0	0.33	0.25	6.93	32.54	30.14	13.27	13.38	26.71	24.59	24.93	33.92	0.0	0.44	0.0	0.0	0.51	0.0	0.0	5.35	4.23	4.63
Gm10640	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	33.76	0.0	0.0	51.75	0.0	0.53	0.39	0.0	0.0	0.0	0.0	0.0	0.26	0.0	0.0	0.0	1.36	0.31	1.26	0.29	0.0	0.0	0.0	0.0	1.31	0.0	0.63	0.34	0.35
Gm14326	2.67	0.4	11.09	5.13	10.18	9.63	4.23	0.03	78.55	182.96	33.33	0.0	8.74	4.49	0.19	4.23	2.69	0.68	64.43	49.08	12.95	6.91	15.39	2.26	11.6	2.27	4.18	74.07	7.32	14.93	46.92	0.87	29.55	3.26	15.98	22.51	17.55	21.21	23.97	17.22	22.53	20.06	14.58	6.37	23.94	22.77	0.12	3.36	6.81	19.31	18.46	11.31	17.73
Gm5577	1.97	0.46	3.35	10.13	1.83	3.31	0.99	0.0	0.25	0.0	0.0	2.34	0.0	0.0	0.19	4.53	0.24	0.0	1.42	1.11	1.43	2.85	0.0	0.38	2.27	4.43	4.61	2.76	0.34	1.05	2.14	0.0	46.45	0.32	14.26	0.47	4.35	6.79	0.93	5.27	1.35	3.95	4.66	1.15	83.61	0.3	0.0	0.2	1.01	3.58	18.15	13.4	18.24
Gnrh1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.01	0.0	0.0	0.0	29.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.76	1.45
Gpn2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.07	0.0	70.17	0.0	0.0	0.0	0.0	0.0	0.0	5.9	0.27	0.43	0.76	0.19	0.0	0.0	1.3	2.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.18	12.17	11.66
Gyltl1b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.12	0.09
Hccs	18.32	0.0	84.71	0.0	17.08	33.03	0.0	0.0	12.7	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.19	0.0	0.0	97.52	0.0	0.0	14.39	0.0	41.51	164.12	0.0	0.0	0.0	0.12	81.18	5.59	0.89	25.34	13.08	19.49	0.22	1.0	7.29	8.7	10.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.81	25.53	24.2
Ing2	0.0	0.0	0.0	45.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.76	0.0	0.0	0.0	58.22	0.0	0.0	0.0	0.59	1.62	0.0	0.0	16.1	30.1	0.56	134.89	0.0	55.24	5.18	49.23	0.0	0.0	15.2	10.56	3.06	1.08	8.8	11.16	2.44	6.36	4.07	1.95	0.0	0.0	0.0	56.6	0.0	0.0	25.32	25.33	21.64
Kcnq3	3.83	0.0	0.0	0.0	0.0	11.93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	3.09	1.72	0.0	0.11	0.0	18.63	26.59	0.41	65.37	0.0	0.71	0.34	24.89	0.0	0.15	6.41	0.87	3.79	1.41	5.46	3.7	2.17	2.27	2.89	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53.72	40.28	59.42
Klhl18	0.0	3.51	1.73	0.0	0.14	0.0	0.0	0.0	0.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.0	6.2	0.0	0.0	0.0	0.0	0.0	11.72	0.0	59.16	0.0	0.06	0.0	0.0	0.0	0.0	0.0	3.92	9.19	3.03	5.48	2.34	4.7	5.2	4.33	0.07	0.0	0.0	0.0	3.59	0.0	0.0	20.1	21.69	20.17
Klk7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.06
Klraq1	12.96	0.0	18.17	6.04	0.6	42.38	107.27	0.0	24.75	110.67	0.0	0.0	4.52	44.03	0.0	32.75	47.08	75.19	2.57	3.46	1.26	0.29	0.0	2.47	26.04	9.48	0.0	232.97	0.0	2.33	0.08	0.0	100.15	0.0	8.69	10.51	8.78	25.25	13.21	15.78	18.6	13.9	11.05	62.42	0.0	0.0	0.0	0.0	6.87	68.36	63.06	66.0	59.09
Lactb2	4.03	1.99	3.35	2.34	4.32	3.59	106.51	5.14	6.87	2.08	2.63	102.87	2.04	1.42	1.61	5.22	2.9	0.97	6.6	3.16	3.02	4.57	0.82	2.26	5.42	52.34	98.65	178.45	4.6	4.23	89.47	100.59	4.59	6.34	5.32	11.96	22.3	6.8	2.43	1.94	19.59	7.97	20.13	5.48	168.58	0.75	166.79	0.33	2.05	59.3	19.22	18.34	21.78
Lcorl	0.0	15.09	0.0	0.0	0.0	4.78	0.0	0.12	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.39	0.08	0.0	0.0	0.0	0.0	0.0	0.22	0.0	0.0	67.82	71.78	0.0	3.54	0.0	0.0	0.0	2.18	5.28	0.0	0.0	1.86	1.8	1.6	3.88	0.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.2	8.6	10.55
Luzp1	0.0	0.0	11.7	0.08	11.56	12.13	0.72	0.0	0.0	0.05	8.62	0.04	0.0	0.03	26.78	5.01	15.12	0.0	0.88	13.92	9.71	14.07	14.13	0.0	15.67	0.0	48.02	30.21	25.27	0.42	8.09	1.33	19.44	0.0	7.07	6.31	6.48	8.22	10.51	7.4	6.88	5.82	8.23	31.67	12.7	4.54	0.0	1.31	0.31	14.8	40.4	37.01	38.5
Ly9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.15	0.25
Lypla2	1.76	0.0	24.41	3.63	0.0	0.0	4.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.0	46.82	9.06	0.0	0.0	0.0	1.89	1.5	1.26	0.43	0.0	0.0	0.62	0.0	1.49	1.14	24.91	28.31	12.29	9.7	27.64	9.58	8.18	14.48	19.04	20.99	0.0	3.22	0.0	0.0	0.0	0.32	83.25	93.67	96.28
Manba	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.72	0.0	6.9	0.0	0.0	0.0	0.12	3.75	0.0	0.0	5.21	0.7	0.0	0.24	0.47	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.03	7.49	7.65
Mb	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.71	0.89	0.43
Mest	0.29	28.34	0.0	9.04	0.26	0.0	0.0	9.39	0.0	0.0	0.0	0.0	0.11	0.0	0.0	46.28	1.48	0.0	0.0	0.0	0.83	24.95	0.0	7.77	0.21	0.0	0.83	89.87	12.38	0.0	0.31	73.67	0.0	0.0	14.92	5.12	6.4	18.32	2.39	13.21	4.26	7.66	10.51	1.76	0.0	0.0	0.0	0.13	117.25	0.1	42.11	34.76	37.98
Mib1	0.0	0.66	0.0	0.0	19.95	0.28	0.0	0.0	0.0	0.0	0.0	0.0	0.91	0.39	0.92	0.0	0.09	0.0	4.52	0.0	0.09	17.49	0.0	0.0	6.68	4.95	5.19	39.52	0.0	0.0	5.35	0.0	24.8	0.0	0.37	3.85	4.52	2.74	0.88	2.69	2.58	2.44	3.64	1.01	0.0	0.0	0.0	0.08	0.0	0.0	49.4	40.57	49.68
Mid1	0.0	0.0	2.85	0.0	0.0	3.44	0.12	0.06	1.19	0.09	3.86	0.0	0.0	0.51	0.0	0.0	0.44	0.0	0.08	0.0	2.94	0.0	0.0	0.0	1.36	6.19	0.72	3.22	0.0	0.69	0.77	0.0	3.96	0.0	1.85	3.64	2.77	1.59	0.47	0.44	0.23	1.17	1.09	0.0	13.79	0.0	0.0	0.16	0.0	0.07	12.92	22.49	31.82
Mir453	0.0	0.0	0.0	0.0	0.0	34.76	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55.16	0.0	0.0	0.0	0.0	0.0	0.0	17.93	0.0	0.0	0.0	60.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.16	2.04	2.23
Mob3c	4.98	1.19	4.59	4.34	5.58	3.94	3.66	3.94	6.55	0.47	0.86	1.38	2.5	4.87	0.71	3.85	2.28	1.09	4.45	2.04	3.12	2.76	0.93	2.07	2.91	3.66	20.44	34.32	3.46	3.02	6.31	1.48	5.71	3.23	6.26	7.75	4.24	5.97	2.19	2.75	2.42	4.14	1.56	3.09	2.8	2.82	2.93	7.38	0.96	1.25	4.74	4.4	4.11
Mtdh	44.97	23.6	15.1	0.0	0.51	7.26	24.76	0.7	0.0	0.0	26.27	0.0	26.61	13.7	27.28	58.78	71.88	103.13	0.18	0.0	15.91	0.99	0.93	60.71	10.91	30.32	0.32	129.4	4.18	67.63	9.86	37.19	26.52	27.09	36.08	16.83	8.78	14.97	12.13	15.27	17.01	17.65	19.42	6.63	0.0	0.0	14.39	0.0	0.0	0.27	55.09	53.26	56.2
Mtor	1.43	0.0	0.0	0.0	0.29	35.6	83.68	22.89	34.15	0.0	0.0	0.0	0.0	0.0	0.03	0.0	24.56	4.97	0.05	0.04	12.48	1.15	4.28	49.48	3.78	0.04	0.0	23.76	18.06	0.0	17.92	0.07	0.0	0.0	0.37	2.54	2.47	6.85	2.72	5.12	6.36	6.31	3.82	12.66	4.44	11.69	13.97	0.0	0.0	0.03	40.15	39.6	41.09
Myo1c	0.96	0.93	0.34	0.59	0.6	1.16	0.12	0.67	1.61	0.27	0.76	0.0	0.66	0.16	0.1	1.05	0.22	0.5	62.41	0.86	0.65	0.11	0.0	0.22	1.11	0.08	0.6	0.94	0.46	0.92	0.97	0.11	0.66	0.41	0.72	0.88	1.27	1.54	1.34	4.53	1.31	2.97	2.72	1.16	0.63	0.59	0.48	1.24	0.09	0.33	11.94	10.43	9.49
Net1	0.0	0.0	0.0	0.19	0.0	60.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.73	0.0	0.0	0.13	0.0	13.33	4.93	0.0	0.0	5.84	0.0	32.04	168.74	0.0	0.0	0.44	28.05	0.0	0.0	9.03	12.32	0.0	0.0	1.7	27.69	22.2	15.53	13.93	73.5	0.0	0.0	0.0	0.09	0.0	0.0	24.75	27.28	24.52
Neurod4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	95.78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.33	0.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.35	0.55	0.43
Nme4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	117.39	0.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	69.43	0.0	0.0	72.96	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.72	2.18	6.69	5.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.18	4.55	5.23
Nr4a1	0.0	0.34	6.64	49.92	0.0	0.0	0.0	0.0	0.0	0.0	72.83	0.0	5.65	187.13	0.0	429.39	189.6	0.93	0.18	2.54	0.13	127.72	0.0	10.74	15.03	0.16	41.02	223.78	0.0	0.0	0.0	2.7	82.75	0.36	8.33	24.54	24.44	19.69	21.1	30.84	32.97	42.17	38.37	23.64	5.58	12.85	9.09	57.29	137.96	0.0	206.29	172.38	80.6
Osr1	0.0	0.0	0.28	0.64	0.0	0.34	0.23	0.0	0.17	0.0	0.0	0.17	0.06	0.0	0.0	0.0	0.0	0.0	0.24	0.0	0.0	0.0	0.24	0.0	0.0	0.0	0.0	0.52	0.0	0.0	0.0	0.0	0.0	0.23	0.26	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.17	0.0	0.0	0.0	0.22	0.15	0.0	0.19	2.7	2.6	2.52
P2rx5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.96	0.0	0.0	0.0	0.0	0.0	59.55	0.74	1.02	0.98
Pafah1b3	0.0	0.25	0.0	0.0	0.0	0.0	0.55	186.91	0.42	1.71	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.81	65.46	5.17	160.08	20.38	0.0	67.43	1.88	70.05	46.61	14.7	0.71	0.29	0.0	0.0	0.0	30.73	11.66	19.77	41.17	19.92	16.93	10.44	23.22	19.25	74.65	0.0	0.0	0.0	0.0	0.0	1.2	17.06	14.09	12.3
Papss2	0.26	0.0	0.67	0.34	0.38	0.33	1.1	0.09	0.53	0.0	0.09	0.0	0.18	0.0	0.2	0.19	0.0	1.72	2.9	0.26	0.24	0.18	0.0	0.0	0.36	0.4	0.11	0.72	0.24	0.15	1.11	0.17	0.61	0.46	0.19	0.13	0.58	0.0	0.07	7.45	2.51	0.22	0.62	0.48	0.27	0.04	0.0	0.22	0.15	0.67	9.31	8.81	11.68
Parp11	0.18	0.0	0.0	0.0	0.0	65.49	0.0	0.0	45.11	0.09	0.0	8.23	80.2	0.0	0.0	0.1	32.99	0.0	0.18	0.09	30.65	0.0	0.0	0.0	0.0	0.0	0.38	93.81	87.36	4.46	0.0	26.11	45.59	0.82	0.0	4.59	3.91	14.16	6.41	16.1	16.49	9.74	11.31	33.35	0.0	0.0	10.93	0.0	0.06	6.2	13.63	12.63	13.24
Pcp4	4061.01	4955.04	3820.49	2818.82	4871.0	3853.07	3670.93	5082.23	3863.9	7467.74	5853.47	4409.57	6240.76	5498.56	5326.1	6808.32	7407.1	6583.41	3276.12	3472.73	3079.77	4770.47	2547.46	3038.74	3666.35	3186.44	3514.04	3140.4	3535.48	3137.72	3706.04	3911.49	7030.52	5492.66	4246.61	4480.25	4373.65	4108.26	4928.48	5219.57	2919.09	3442.63	3306.12	7638.97	6941.16	7178.2	6670.6	6291.11	8685.7	6217.49	788.83	807.59	741.11
Pde7a	0.0	0.0	0.0	0.0	0.0	0.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.45	0.0	0.0	0.0	1.96	0.0	0.0	0.0	0.0	62.69	0.84	0.0	0.0	0.0	93.86	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.79	11.51	0.0	0.89	1.12	4.49	4.86	4.03	0.0	65.52	0.0	0.0	0.0	0.0	0.08	20.14	18.27	19.69
Peo1	0.0	0.0	27.58	0.59	0.0	0.0	0.26	0.0	0.1	0.0	1.01	0.19	0.31	0.0	0.0	0.15	0.0	0.19	0.0	0.09	0.0	0.4	0.09	0.0	6.58	0.0	0.11	5.18	0.41	0.0	2.69	0.0	0.17	0.0	6.95	0.9	0.23	3.18	5.7	2.2	3.63	1.59	3.07	0.09	0.33	0.0	0.0	0.0	0.0	0.08	11.52	10.95	10.76
Phf21b	2.78	0.74	1.31	1.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.57	2.21	11.63	10.42	0.76	1.44	0.0	0.0	2.02	31.89	1.89	0.0	0.2	0.0	0.63	0.0	0.1	4.04	0.0	0.27	0.07	2.49	1.59	0.37	0.47	2.07	0.15	0.0	0.0	0.0	5.55	9.05	8.47	9.0	8.22
Piga	5.75	0.0	1.13	0.18	0.35	0.38	0.0	0.13	61.45	0.0	0.0	0.0	0.4	0.0	0.1	0.39	3.04	0.55	0.45	62.42	1.59	1.06	0.0	0.09	0.59	12.54	0.11	94.65	0.34	0.1	50.62	0.0	0.19	0.12	0.32	5.05	0.08	1.36	4.36	0.66	7.43	5.63	3.32	0.34	0.25	0.0	0.18	1.09	33.67	0.0	6.93	6.16	6.41
Plbd2	0.19	0.0	1.0	0.0	0.52	0.38	0.51	32.75	67.61	0.0	0.0	0.0	101.2	0.0	0.0	0.0	0.0	63.32	0.56	51.58	16.93	93.45	25.41	0.0	27.2	0.76	23.56	41.38	0.26	44.81	3.03	0.0	64.07	0.0	0.49	6.44	7.4	5.8	14.07	10.83	7.26	4.1	5.67	0.0	0.0	13.84	0.0	17.67	0.2	12.56	56.52	58.58	55.52
Ppp1r12a	43.44	0.0	37.87	31.09	0.18	97.28	0.0	36.98	44.1	378.25	0.0	0.1	97.19	0.65	55.65	28.21	0.1	113.36	79.84	16.87	8.52	27.13	0.0	18.15	20.07	99.05	52.83	127.49	1.51	45.41	18.65	42.7	6.15	0.0	31.47	38.23	88.93	42.6	33.07	39.84	56.22	35.45	33.33	56.28	32.35	35.18	50.4	3.65	0.0	16.27	56.86	50.73	59.08
Prkar2a	0.0	0.0	0.15	0.31	6.9	2.04	0.0	1.5	0.0	0.0	1.13	0.0	0.0	0.0	0.0	0.85	0.95	5.58	9.09	0.4	0.0	0.11	0.0	9.61	0.06	58.82	2.73	9.68	0.0	1.58	0.3	0.0	4.88	0.0	7.68	2.99	0.14	3.99	8.75	5.78	11.22	7.61	3.76	14.77	0.0	0.06	0.11	0.45	0.0	0.0	34.51	33.28	34.11
Prpf19	3.55	1.87	2.38	1.29	9.69	31.54	0.1	7.27	1.68	0.0	4.09	0.0	2.19	0.04	0.0	4.55	0.0	0.17	3.06	0.56	12.77	3.74	0.3	0.68	7.59	0.07	0.88	15.43	19.44	2.45	10.24	11.75	0.0	0.08	6.26	9.95	3.25	15.9	2.59	3.86	1.68	5.45	5.28	12.08	0.1	2.78	0.08	3.74	0.0	5.19	65.92	70.75	68.94
Psmd5	0.0	39.32	0.9	45.2	0.62	75.27	94.25	158.79	0.0	0.0	1.14	0.0	19.32	0.0	0.0	0.0	0.0	0.0	4.98	1.79	0.0	32.89	0.15	34.86	0.24	1.35	4.69	235.26	0.0	19.5	39.45	76.45	30.83	0.0	11.38	12.36	14.75	14.33	9.8	27.21	7.36	12.73	14.39	81.17	0.0	0.0	0.0	18.15	78.91	0.0	49.38	49.21	44.6
Ptpn21	0.0	0.0	0.54	0.0	0.0	0.0	0.0	0.0	0.0	62.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	9.79	0.0	9.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.01	0.67	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.65	6.13	5.21	6.41
Rad18	4.86	0.0	0.0	0.0	0.0	148.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	11.91	52.17	0.0	119.86	0.0	37.23	10.71	0.0	0.0	0.0	8.27	27.73	0.22	3.17	5.41	4.33	6.39	2.01	5.52	61.86	0.0	12.61	0.0	0.0	0.0	0.0	5.98	5.27	4.83
Rad51l3	0.5	0.52	1.52	1.53	1.06	6.1	0.73	1.81	0.9	2.18	0.6	1.01	0.25	0.45	0.34	1.25	0.81	1.31	1.04	0.44	1.42	1.33	0.31	0.51	8.25	1.01	1.39	23.31	0.58	1.32	30.79	0.77	39.42	2.8	4.3	1.15	5.35	5.25	4.09	5.77	5.19	7.18	4.52	28.05	0.81	0.59	0.82	0.32	0.41	0.76	8.41	7.93	8.2
Rassf2	0.0	0.44	0.26	0.66	0.0	0.3	3.46	0.09	0.0	4.48	0.0	0.37	0.0	1.45	0.16	0.28	0.04	0.51	0.48	0.0	0.28	0.27	0.18	0.27	2.22	0.16	1.08	50.36	0.2	0.85	0.08	0.0	0.0	0.28	4.27	3.64	0.81	2.17	0.16	4.21	6.44	6.69	4.76	0.06	0.0	1.24	94.38	0.0	0.0	0.12	29.35	29.69	31.74
Rbm24	0.0	0.0	0.0	0.0	9.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.81	1.91	0.0	0.0	0.0	0.0	0.0	14.01	0.14	0.0	0.0	1.38	37.47	0.0	69.22	0.0	3.89	0.53	0.0	0.54	0.0	1.98	5.31	4.89	0.21	0.0	0.49	1.01	3.94	2.47	0.0	0.0	0.0	0.0	0.0	0.0	1.23	20.02	17.81	14.33
Reep1	91.97	54.42	41.18	76.94	63.17	64.37	1.68	29.0	2.84	409.91	0.0	0.98	0.0	23.96	0.0	28.66	0.0	132.71	3.93	57.99	81.07	69.54	55.08	3.36	45.02	22.59	56.97	370.17	41.58	71.02	80.12	0.0	100.17	0.0	39.19	45.01	34.68	28.9	32.54	9.81	54.79	45.47	37.98	2.7	0.07	16.93	0.0	57.19	43.75	57.68	107.81	106.11	104.33
