	Chrna2_tdTpositive_cell_23	Chrna2_tdTpositive_cell_26	Chrna2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_55	Chrna2_tdTpositive_cell_57	Gad2_tdTpositive_cell_8	Gad2_tdTpositive_cell_40	Gad2_tdTpositive_cell_68	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_1	Htr3a_tdTpositive_cell_83	Htr3a_tdTpositive_cell_91	Ndnf_tdTpositive_cell_16	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_45	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_54	Sst_tdTpositive_cell_7	Sst_tdTpositive_cell_8	Sst_tdTpositive_cell_29	Sst_tdTpositive_cell_39	Sst_tdTpositive_cell_46	Sst_tdTpositive_cell_49	Sst_tdTpositive_cell_63	Sst_tdTpositive_cell_69	Sst_tdTpositive_cell_76	Sst_tdTpositive_cell_92	Vip_tdTpositive_cell_30	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Tacc3	0.0	0.0	4.61	0.0	0.0	0.34	0.0	0.0	0.0	126.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.82	3.18	6.17	4.96	6.25
Tas2r137	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.1	0.1
Tgfbi	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	102.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	3.43	3.44	3.38
Tmc7	0.31	0.0	0.0	0.0	0.0	2.21	0.0	0.0	0.0	52.68	57.76	0.0	0.0	0.0	0.0	19.04	19.11	10.62	0.0	0.0	0.0	21.01	0.0	0.05	24.97	0.0	0.0	0.0	0.0	0.0	0.0	1.76	0.0	0.0	47.74	0.1	0.0	3.36	1.53	10.75	10.23	11.23
Ttc39d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.63	0.0	0.05	0.05	0.05
Unc79	0.0	0.0	0.03	10.84	0.25	0.07	0.0	0.32	1.42	25.91	22.57	0.0	0.0	0.02	18.91	4.23	3.59	11.11	7.12	0.0	0.0	0.02	0.0	2.24	1.31	0.1	0.07	2.05	8.7	5.76	0.0	3.28	0.0	5.43	11.62	22.79	0.0	3.91	6.9	25.25	22.05	24.79
Vax2os2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.07	0.07
Wdr13	0.35	0.9	0.38	0.76	0.0	54.79	0.51	2.25	0.0	84.16	0.37	0.58	3.22	36.13	56.61	0.86	11.3	50.63	0.0	0.12	0.0	0.56	1.23	30.81	0.41	47.2	17.86	9.21	0.78	0.0	0.0	0.33	3.65	41.02	0.0	7.54	0.0	22.73	24.36	136.96	138.91	138.76
Zfp367	12.47	0.0	13.96	0.0	45.33	59.5	28.99	0.0	0.0	99.46	90.55	0.0	0.0	55.05	0.0	0.0	0.0	55.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.08	11.48	16.07	32.13	5.18	0.0	0.0	0.0	44.94	0.07	85.83	79.81	4.0	3.17	19.62	18.37	17.87
Zfp54	5.83	0.0	0.0	52.24	0.0	0.0	0.0	0.49	0.94	138.34	0.19	0.0	0.0	0.08	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.72	6.06	1.06	0.62	1.31
Zp3r	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
c7_SSU-rRNA_Hsa	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.42	0.0	1.18	3.28	2.71
