	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_77	Ctgf_tdTpositive_cell_10	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_18	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_64	Gad2_tdTpositive_cell_69	Htr3a_tdTpositive_cell_32	Ndnf_tdTpositive_cell_20	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_61	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_70	Rbp4_tdTpositive_cell_72	Rbp4_tdTpositive_cell_165	Scnn1a.Tg2_tdTpositive_cell_8	Scnn1a.Tg3_tdTpositive_cell_2	Scnn1a.Tg3_tdTpositive_cell_64	Scnn1a.Tg3_tdTnegative_cell_2	Scnn1a.Tg3_tdTnegative_cell_22	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_101	Vip_tdTpositive_cell_16	Vip_tdTpositive_cell_30
St7l	0.0	0.73	0.09	0.09	0.0	0.38	4.17	32.25	0.4	0.91	0.0	2.08	30.07	0.11	0.21	0.15	0.02	8.82	11.41	2.28	0.53	0.22	0.28	21.9	24.1	0.58	0.2	0.06	0.0	0.48	22.05	0.09	0.04	0.15	0.12	41.14	0.0	0.11	0.03	0.1	11.43	0.18	1.14	0.47	19.46	25.29	0.0	0.06	0.0	0.05	0.39	3.2	0.04	1.48	17.82	0.0	59.0
Strbp	56.49	42.39	47.47	0.27	0.0	174.79	152.41	164.33	115.67	72.44	0.0	42.02	81.24	45.24	28.62	56.44	24.53	68.11	29.52	62.06	67.87	68.43	76.77	88.4	46.42	42.23	160.99	58.92	28.34	37.57	19.54	29.48	30.12	90.93	44.91	79.54	33.68	90.46	110.31	64.97	70.52	360.3	164.02	318.54	373.64	289.31	0.61	0.0	32.58	38.72	94.45	54.26	55.77	36.91	32.28	0.17	73.21
Synj2bp	77.88	87.72	94.54	36.29	0.0	181.43	120.88	166.52	193.24	125.18	23.18	97.88	73.68	165.22	76.07	85.53	115.2	133.09	116.81	82.68	64.33	103.63	78.43	68.76	99.37	77.79	77.64	82.03	69.6	53.76	75.24	69.73	42.05	111.45	88.91	146.16	80.76	89.63	101.37	91.03	76.97	175.22	147.39	134.69	312.3	143.94	35.82	18.58	68.78	115.0	105.28	53.25	77.86	67.85	61.57	5.12	178.96
Tigit	12.05	13.33	8.51	1.06	0.0	58.62	10.37	24.65	37.67	17.21	0.0	6.06	6.94	14.44	3.96	11.93	7.68	7.22	10.48	10.42	7.49	10.92	29.09	14.01	9.97	11.83	18.95	22.7	12.04	13.96	8.07	21.87	14.58	14.69	7.39	27.97	6.73	11.53	13.09	4.38	11.82	32.69	23.12	18.97	43.07	26.86	4.58	0.0	7.82	4.57	12.55	14.05	8.05	7.39	4.22	0.0	21.16
Tirap	5.02	5.14	3.99	3.21	0.58	15.65	11.59	8.36	9.23	10.04	11.14	3.88	9.34	4.55	3.49	6.5	3.29	7.07	4.84	9.27	2.95	4.18	7.51	4.62	4.04	4.67	7.76	5.63	5.79	4.07	1.91	7.8	6.82	6.38	3.5	16.6	5.34	5.43	4.35	4.02	6.79	15.09	15.66	30.04	16.48	15.3	4.24	0.0	3.6	5.43	9.43	3.2	4.91	4.77	6.05	3.7	37.47
Tmem35	86.91	60.13	171.05	0.0	0.18	196.09	0.69	108.91	10.54	0.0	0.0	202.46	170.85	423.54	37.02	84.65	30.54	95.06	22.46	53.17	120.06	161.15	106.33	0.0	78.03	49.47	95.41	0.0	56.91	63.48	0.34	0.0	3.84	156.76	0.11	216.26	57.91	6.61	67.52	0.91	198.93	232.37	31.36	296.69	191.52	168.37	0.0	0.0	58.34	43.82	182.78	0.15	77.35	85.85	2.94	1.38	761.88
Trove2	26.09	0.0	19.54	0.11	0.08	74.6	57.36	60.62	79.67	6.2	0.0	32.96	29.5	12.15	1.62	30.49	62.61	25.93	23.65	32.59	28.96	16.79	6.62	34.12	13.36	18.79	43.94	0.36	14.08	13.49	2.02	39.39	0.59	14.59	0.01	9.43	0.16	4.51	32.98	13.38	20.5	56.86	19.34	66.01	78.25	85.63	0.62	0.17	15.6	2.4	32.69	0.11	5.3	41.45	1.38	0.04	126.95
Vmn1r58	77.16	82.13	65.19	8.49	0.0	251.77	83.72	123.88	172.04	97.01	16.56	73.75	106.18	62.38	35.08	59.53	49.6	83.3	67.89	87.18	53.76	70.17	97.49	70.08	70.87	69.67	95.33	75.66	84.37	63.69	57.07	65.8	112.42	96.32	83.74	198.96	64.75	80.41	45.95	59.1	65.99	197.17	186.52	156.37	222.72	135.66	18.03	36.0	65.66	70.38	112.21	58.25	47.67	46.42	32.99	2.02	118.9
Zfp488	124.66	115.69	127.89	35.31	0.0	350.69	164.15	230.56	521.6	201.75	2.11	79.4	114.57	69.95	75.88	125.54	86.39	113.41	97.66	139.76	90.93	95.33	131.89	136.99	85.08	105.09	162.95	134.1	108.15	111.48	102.61	168.49	147.67	93.3	118.24	301.06	78.88	84.31	81.9	94.25	106.63	319.76	347.17	188.0	366.53	273.73	58.0	8.56	77.88	100.48	184.2	97.38	101.98	75.52	45.47	0.69	152.95
Zfp71-rs1	51.37	50.71	40.08	13.29	0.0	113.81	64.19	96.59	138.86	72.62	24.49	41.25	52.62	60.18	44.91	57.01	57.94	63.67	47.08	58.89	36.96	39.86	55.12	31.19	46.89	47.77	51.57	51.8	45.69	34.91	32.18	45.29	53.77	58.12	30.4	116.09	28.0	87.8	48.03	36.6	38.47	121.68	97.95	66.69	193.97	81.56	12.72	17.15	33.33	35.63	56.71	37.39	66.16	32.46	83.81	0.48	101.67
c9_tRNA-Ala-GCY_	0.0	0.0	0.0	0.0	0.0	29.93	11.9	20.26	34.43	0.0	0.0	8.08	6.68	6.41	0.0	11.54	0.0	28.62	14.35	0.0	0.0	3.76	24.97	0.0	0.0	0.0	13.39	0.0	14.42	0.0	0.0	0.0	0.0	0.0	0.0	38.53	0.0	37.61	21.69	22.41	55.09	0.0	16.13	61.01	107.55	22.54	0.0	0.0	33.55	0.0	15.35	0.0	6.07	13.55	0.0	0.0	116.95
